run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,crash_dd_min,crash_recent_min,crash_recent_max,recovery_min,expansion_min,atr_expansion_min,vol_max,rec_quality_min,overheat_ret20_max,overheat_ret60_max,pump_ret3_max,upper_max,ret20_min,ret20_max,ret60_min,ret60_max,rsi_min,rsi_max,ema20_min,ema50_min,atrp_min,atrp_max,range60_max,close_pos_min,stop_atr,rr,hold,cooldown,fail_bars,fail_pnl,verdict,note
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_B_021,a013_overheat_mix,a013_plus_d042,long,29634,9067,20567,30.59661199973004,10.014417158227928,10.033940886869463,3.123250554646295,106.59730521782114,597,0,0.01,0.0004,0.08,EM27_B_021,-0.22,12,240,0.08,0.012,0.9,4.0,0.0,0.18,0.35,0.14,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.95,3.0,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_C_022,low_mdd_recency_crash_mix,e044_b024_stability,long,18736,5922,12814,31.607600341588387,9.292654719688764,9.473541429909439,1.6590051554811858,107.65736973369941,597,0,0.01,0.0004,0.08,EM27_C_022,-0.25,12,180,0.08,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.9,2.8,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_C_023,low_mdd_recency_crash_mix,e044_b024_stability,long,16530,5279,11251,31.93587416817907,11.542240436500295,11.59036285680688,1.5111461045594021,109.90406943543255,597,0,0.01,0.0004,0.08,EM27_C_023,-0.25,12,180,0.1,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.9,2.8,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_C_024,low_mdd_recency_crash_mix,e044_b024_stability,long,14504,4684,9820,32.29453943739658,9.853147580993603,9.970692953222038,1.484377550918714,108.33831267443466,597,0,0.01,0.0004,0.08,EM27_C_024,-0.25,12,180,0.12,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.9,2.8,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_C_025,low_mdd_recency_crash_mix,e044_b024_stability,long,22638,7074,15564,31.248343493241453,9.552191641272989,9.663646720738983,2.3212201161405766,107.11811209296386,597,0,0.01,0.0004,0.08,EM27_C_025,-0.25,12,240,0.08,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.9,2.8,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_C_026,low_mdd_recency_crash_mix,e044_b024_stability,long,19631,6210,13421,31.633640670368298,13.51534782711492,13.529651451799495,1.3604753440010553,111.98510853566742,597,0,0.01,0.0004,0.08,EM27_C_026,-0.25,12,240,0.1,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.9,2.8,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_C_027,low_mdd_recency_crash_mix,e044_b024_stability,long,16985,5472,11513,32.2166617603768,12.52640769104454,12.57990683396908,1.3304730168679613,111.08206155112804,597,0,0.01,0.0004,0.08,EM27_C_027,-0.25,12,240,0.12,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.9,2.8,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_C_028,low_mdd_recency_crash_mix,e044_b024_stability,long,25934,8086,17848,31.179147065628133,10.400304057295306,10.413906829344732,2.312740426267057,107.86031976988164,597,0,0.01,0.0004,0.08,EM27_C_028,-0.25,12,300,0.08,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.9,2.8,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_C_029,low_mdd_recency_crash_mix,e044_b024_stability,long,22197,6953,15244,31.32405279992792,12.029204291668982,12.132849659534163,1.3991405333812712,110.56395350871213,597,0,0.01,0.0004,0.08,EM27_C_029,-0.25,12,300,0.1,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.9,2.8,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_C_030,low_mdd_recency_crash_mix,e044_b024_stability,long,18967,6043,12924,31.86059998945537,11.115390898817878,11.215044595421354,1.3357327553106924,109.72950881592692,597,0,0.01,0.0004,0.08,EM27_C_030,-0.25,12,300,0.12,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.9,2.8,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_D_031,quality_payoff_mix,recovery_quality_plus_exit,long,29795,9261,20534,31.082396375230744,11.49430647346652,11.532720740692714,3.0918776618728105,108.08426546243224,597,0,0.01,0.0004,0.08,EM27_D_031,-0.22,12,240,0.08,0.012,0.9,4.0,0.35,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.95,2.8,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_D_032,quality_payoff_mix,recovery_quality_plus_exit,long,29502,8868,20634,30.05897905226764,8.535923881300423,8.632251013651903,3.866688120134043,104.43178066907284,597,0,0.01,0.0004,0.08,EM27_D_032,-0.22,12,240,0.08,0.012,0.9,4.0,0.35,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.95,3.2,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_D_033,quality_payoff_mix,recovery_quality_plus_exit,long,29745,9239,20506,31.06068246764162,10.74627893870963,10.784435480402465,3.1473371029922315,107.29767583818727,597,0,0.01,0.0004,0.08,EM27_D_033,-0.22,12,240,0.08,0.012,0.9,4.0,0.55,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.95,2.8,14,18,6,-0.5,mdd_under5,official candidate pool
