symbol,horizon,events,up_rate_pct,avg_ret_pct,med_ret_pct,avg_abs_ret_pct,med_abs_ret_pct,avg_mfe_pct,med_mfe_pct,avg_mae_pct,med_mae_pct,avg_max_abs_excursion_pct,med_max_abs_excursion_pct,avg_realized_vol_pct,p75_abs_ret_pct,p90_abs_ret_pct,p75_max_abs_excursion_pct,p90_max_abs_excursion_pct
VET,36,16973,48.50645142284805,-0.021529476899171247,-0.021285653469571564,1.0108850458540894,0.6731173748422359,1.0439193884292648,0.7042253521126751,-1.1249535797212036,-0.7740198552919297,1.7206336887968303,1.3395157135497104,1.359350593047367,1.316624365482233,2.2857142857142887,2.1227304563331773,3.267214771695177
VET,72,16973,47.37524303305249,-0.05158781413941166,-0.06596306068601399,1.5307833863642972,1.0302457466918824,1.5657695580851798,1.0360962566845044,-1.6952496823249672,-1.1591332712022284,2.589956165680225,2.0196855426307225,2.059201504625911,2.018633540372683,3.493724181569183,3.2258064516129004,5.000989976652122
VET,288,16973,47.275083956872685,-0.18490309045934983,-0.19379844961240345,3.3546376709358143,2.368583252619527,3.412051214387948,2.2468186638388232,-3.782472003979592,-2.6898406786674878,5.736572904083155,4.633262903712643,4.605864042926214,4.511512134411955,7.575679400327449,7.256138939854728,10.541205862050766
VFY,12,911,48.847420417124034,-0.0740126761688065,0.0,0.9644480800408005,0.593723494486853,0.9341299400563645,0.6111289803795605,-1.0845400148173616,-0.6726457399103158,1.637818393192586,1.199760047990417,1.176522488579323,1.2714827283839547,2.099361064023997,2.0132090020535784,3.150242326332786
VFY,36,911,43.688254665203075,-0.18827256742487092,-0.24968789013731785,1.9010437145334336,1.1818056891576223,1.7335925031774966,1.0322580645161228,-2.2333754933743757,-1.34187252211041,3.260406976292857,2.231338803281968,2.449216246912139,2.276891225616029,4.214276938198802,3.5464034973463567,5.916950946947419
VFY,72,911,41.27332601536773,-0.3554105948333249,-0.43724535426811206,2.7300109781254913,1.6528925619834767,2.6030068967923237,1.382886776145198,-3.2169228224306683,-2.090909090909099,4.808540113024348,3.3766233766233777,3.651401068713031,3.281931772312735,6.563776668179755,5.557892431377509,9.002983846074697
VFY,288,911,39.95609220636663,-0.6226895613902677,-1.1070110701106972,5.7842972777211825,3.9562560308780914,6.368906231099542,3.4190620272314565,-6.534474816413762,-4.632489190858546,10.47563716407916,7.276302851524097,8.393045223921606,7.367397731199333,14.44297666226333,10.986315948148011,18.692691783931004
VIC,12,2481,49.0528012898025,-0.005713012950359674,0.0,0.523862311500358,0.37037037037037646,0.5790649383280375,0.4437869822485174,-0.5907094349808236,-0.4130335016062414,0.9229187089005161,0.7250129466597643,0.6967504293832659,0.6835937500000111,1.120331950207465,1.089324618736387,1.6057091882248131
VIC,36,2481,49.77831519548569,0.0021975161964225354,0.0,0.9409433167361427,0.6768792304951976,1.1148849497525588,0.8039579468150926,-1.0877679235500128,-0.7500000000000062,1.7159575004173215,1.333333333333342,1.3812324321147647,1.2955182072829308,2.0267686424474185,1.996476805637104,2.9675638371290614
VIC,72,2481,48.44820636839984,-0.02756661134762783,-0.03487966515520746,1.492797188655135,1.0657193605683846,1.76400957508511,1.2032085561497263,-1.6915667507072187,-1.145268233875818,2.674660578798373,2.0588235294117574,2.108786815979317,1.9239373601789733,2.8864656831302016,3.100775193798455,4.359141184124926
