symbol,file,bars,raw_events,kept_event_horizon_rows,first_ts,last_ts
BERA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BERA_5m.csv,95974,2908,11572,2025-02-07 00:00:00,2026-01-12 07:15:00
BICO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BICO_5m.csv,239186,6241,24912,2023-09-28 21:30:00,2026-01-12 09:05:00
BID,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BID_5m.csv,83942,2372,9468,2025-03-20 18:30:00,2026-01-12 07:10:00
BIGTIME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BIGTIME_5m.csv,235129,6630,26456,2023-10-12 23:30:00,2026-01-12 09:00:00
BIO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BIO_5m.csv,105800,3094,12360,2025-01-03 21:15:00,2026-01-12 07:20:00
BLESS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLESS_5m.csv,30078,919,3640,2025-09-23 18:30:00,2026-01-12 06:40:00
BLUAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLUAI_5m.csv,21989,672,2652,2025-10-21 20:30:00,2026-01-12 06:35:00
BLUR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLUR_5m.csv,283270,7789,31096,2023-04-28 21:00:00,2026-01-12 09:40:00
BLZ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLZ_5m.csv,559553,12009,48036,2020-09-17 16:00:00,2026-01-12 13:20:00
BMT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BMT_5m.csv,84758,2567,10232,2025-03-17 22:30:00,2026-01-12 07:10:00
BNB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNB_5m.csv,622920,16965,67824,2020-02-10 17:00:00,2026-01-12 14:55:00
BNT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNT_5m.csv,253307,6526,26052,2023-08-10 21:00:00,2026-01-12 09:15:00
BNX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNX_5m.csv,303676,6297,25188,2023-02-22 23:45:00,2026-01-12 10:00:00
BOB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOB_5m.csv,14819,548,2120,2025-11-21 19:45:00,2026-01-12 06:35:00
BOME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOME_5m.csv,190203,5251,20984,2024-03-16 21:30:00,2026-01-12 08:10:00
BOND,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOND_5m.csv,234264,3569,14276,2023-10-15 23:30:00,2026-01-12 09:00:00
BR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BR_5m.csv,83615,2649,10516,2025-03-21 21:45:00,2026-01-12 07:10:00
BRETT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BRETT_5m.csv,145003,4006,15920,2024-08-20 19:35:00,2026-01-12 07:55:00
BROCCOLI714,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BROCCOLI714_5m.csv,83660,2474,9800,2025-03-21 18:00:00,2026-01-12 07:10:00
BROCCOLIF3B,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BROCCOLIF3B_5m.csv,83657,2361,9372,2025-03-21 18:15:00,2026-01-12 07:10:00
BSV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BSV_5m.csv,232846,6583,26332,2023-10-20 21:30:00,2026-01-12 08:55:00
BSW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BSW_5m.csv,140448,3068,12272,2024-09-05 15:00:00,2026-01-12 07:50:00
BTC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTC_5m.csv,667450,18646,74556,2019-09-09 02:55:00,2026-01-12 15:40:00
BTCDOM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTCDOM_5m.csv,479797,12960,51812,2021-06-21 12:30:00,2026-01-12 11:30:00
BTR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTR_5m.csv,37843,1040,4040,2025-08-27 19:30:00,2026-01-12 06:45:00
BULLA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BULLA_5m.csv,53414,1470,5796,2025-07-04 18:00:00,2026-01-12 06:50:00
C98,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\C98_5m.csv,461364,12933,51708,2021-08-24 12:30:00,2026-01-12 11:25:00
C,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\C_5m.csv,50246,1401,5604,2025-07-15 18:00:00,2026-01-12 06:50:00
CAKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CAKE_5m.csv,229097,6583,26328,2023-11-02 21:45:00,2026-01-12 08:50:00
CARV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CARV_5m.csv,43528,1329,5228,2025-08-08 01:45:00,2026-01-12 06:45:00
CATI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CATI_5m.csv,136060,3898,15452,2024-09-20 20:30:00,2026-01-12 07:45:00
CC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CC_5m.csv,15649,484,1888,2025-11-18 22:35:00,2026-01-12 06:35:00
CELO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CELO_5m.csv,451569,12378,49500,2021-09-27 12:30:00,2026-01-12 11:10:00
CELR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CELR_5m.csv,503952,13729,54900,2021-03-29 16:00:00,2026-01-12 11:55:00
CETUS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CETUS_5m.csv,122490,3520,13976,2024-11-06 23:00:00,2026-01-12 07:35:00
CFX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CFX_5m.csv,304256,8655,34520,2023-02-20 23:30:00,2026-01-12 10:05:00
CGPT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CGPT_5m.csv,109749,2896,11584,2024-12-21 04:15:00,2026-01-12 07:20:00
CHESS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHESS_5m.csv,142446,4007,15988,2024-08-29 16:30:00,2026-01-12 07:50:00
CHILLGUY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHILLGUY_5m.csv,116430,3167,12576,2024-11-27 23:45:00,2026-01-12 07:30:00
CHR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHR_5m.csv,508852,14478,57884,2021-03-12 16:00:00,2026-01-12 12:15:00
CHZ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHZ_5m.csv,523256,14176,56704,2021-01-21 16:00:00,2026-01-12 12:35:00
CKB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CKB_5m.csv,301981,8146,32532,2023-02-28 21:00:00,2026-01-12 10:00:00
CLANKER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CLANKER_5m.csv,15649,443,1764,2025-11-18 22:35:00,2026-01-12 06:35:00
CLO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CLO_5m.csv,24005,710,2832,2025-10-14 20:30:00,2026-01-12 06:35:00
COAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COAI_5m.csv,29526,865,3372,2025-09-25 16:30:00,2026-01-12 06:40:00
COMBO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMBO_5m.csv,273184,5243,20972,2023-06-02 21:00:00,2026-01-12 09:25:00
COMMON,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMMON_5m.csv,15649,506,2020,2025-11-18 22:35:00,2026-01-12 06:35:00
COMP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMP_5m.csv,582292,15751,62964,2020-06-30 18:00:00,2026-01-12 14:15:00
COOKIE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COOKIE_5m.csv,104657,3056,12172,2025-01-07 20:30:00,2026-01-12 07:20:00
COS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COS_5m.csv,133160,3382,13512,2024-09-30 22:00:00,2026-01-12 07:40:00
COTI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COTI_5m.csv,509428,13968,55808,2021-03-10 16:00:00,2026-01-12 12:15:00
COW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COW_5m.csv,122497,3460,13768,2024-11-06 22:30:00,2026-01-12 07:35:00
CROSS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CROSS_5m.csv,51668,1573,6216,2025-07-10 19:30:00,2026-01-12 06:50:00
CRV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CRV_5m.csv,564165,16109,64392,2020-09-01 16:00:00,2026-01-12 13:40:00
CTK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CTK_5m.csv,72122,1824,7240,2025-04-30 19:15:00,2026-01-12 07:00:00
CTSI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CTSI_5m.csv,443216,12726,50848,2021-10-26 12:30:00,2026-01-12 11:05:00
CUDIS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CUDIS_5m.csv,39850,1226,4904,2025-08-20 20:15:00,2026-01-12 06:45:00
CVC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CVC_5m.csv,67533,1701,6684,2025-05-16 17:30:00,2026-01-12 06:55:00
CVX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CVX_5m.csv,47912,1433,5628,2025-07-23 20:30:00,2026-01-12 06:50:00
CYBER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CYBER_5m.csv,250137,7184,28672,2023-08-21 21:00:00,2026-01-12 09:10:00
D,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\D_5m.csv,104099,2674,10652,2025-01-09 19:00:00,2026-01-12 07:20:00
DAM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DAM_5m.csv,40411,1164,4628,2025-08-18 21:30:00,2026-01-12 06:45:00
DAR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DAR_5m.csv,389930,8236,32944,2022-04-29 12:30:00,2026-01-12 10:35:00
DASH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DASH_5m.csv,624649,16888,67524,2020-02-04 17:05:00,2026-01-12 15:05:00
DEEP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEEP_5m.csv,74447,1950,7800,2025-04-22 17:30:00,2026-01-12 07:00:00
DEFI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEFI_5m.csv,565318,12437,49748,2020-08-28 16:00:00,2026-01-12 13:45:00
DEGEN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEGEN_5m.csv,119927,3536,14068,2024-11-15 20:30:00,2026-01-12 07:30:00
DEGO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEGO_5m.csv,111839,3202,12740,2024-12-13 22:15:00,2026-01-12 07:25:00
DENT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DENT_5m.csv,505428,14149,56532,2021-03-24 13:00:00,2026-01-12 11:55:00
