30. long_main_v1_24_lm12_vol_contract_expand_lm12_1_03 | parent=6V2_L01_doubleflush_core | family=long_main_v1_improvements | group=lm12_vol_contract_expand | side=long | verdict=official_mdd_pass | trades=428 | win=34.8131 | final=0.4741 | max=1.0326 | mdd=0.6195 | cd=100.406707 | old_ratio_cd=1.6668
31. long_max_v1_45_lx12_second_leg_absorption_lx12_2_04 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_second_leg_absorption | side=long | verdict=official_mdd_pass | trades=16 | win=56.2500 | final=0.3926 | max=0.4252 | mdd=0.0355 | cd=100.389464 | old_ratio_cd=11.9638
32. long_max_v1_18_lx12_range_expansion_runner_lx12_0_17 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_range_expansion_runner | side=long | verdict=official_mdd_pass | trades=57 | win=45.6140 | final=0.4887 | max=0.5175 | mdd=0.1619 | cd=100.354740 | old_ratio_cd=3.1965
33. long_main_v1_99_lm12_dd_sanitizer_lm12_4_18 | parent=6V2_L01_doubleflush_core | family=long_main_v1_improvements | group=lm12_dd_sanitizer | side=long | verdict=official_mdd_pass | trades=438 | win=35.8447 | final=0.4041 | max=1.7692 | mdd=1.3922 | cd=100.352345 | old_ratio_cd=1.2708
34. long_main_v1_29_lm12_vol_contract_expand_lm12_1_08 | parent=6V2_L01_doubleflush_core | family=long_main_v1_improvements | group=lm12_vol_contract_expand | side=long | verdict=official_mdd_pass | trades=112 | win=48.2143 | final=0.4115 | max=0.5103 | mdd=0.1752 | cd=100.334223 | old_ratio_cd=2.9132
35. long_main_v1_38_lm12_vol_contract_expand_lm12_1_17 | parent=6V2_L01_doubleflush_core | family=long_main_v1_improvements | group=lm12_vol_contract_expand | side=long | verdict=official_mdd_pass | trades=120 | win=44.1667 | final=0.3424 | max=0.5913 | mdd=0.2746 | cd=100.315064 | old_ratio_cd=2.1533
36. long_main_v1_39_lm12_vol_contract_expand_lm12_1_18 | parent=6V2_L01_doubleflush_core | family=long_main_v1_improvements | group=lm12_vol_contract_expand | side=long | verdict=official_mdd_pass | trades=89 | win=51.6854 | final=0.3912 | max=0.4457 | mdd=0.1504 | cd=100.294628 | old_ratio_cd=2.9628
37. long_max_v1_3_lx12_range_expansion_runner_lx12_0_02 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_range_expansion_runner | side=long | verdict=official_mdd_pass | trades=40 | win=45.0000 | final=0.2729 | max=0.3034 | mdd=0.1132 | cd=100.189852 | old_ratio_cd=2.6808
38. long_main_v1_73_lm12_failed_breakdown_inside_lm12_3_12 | parent=6V2_L01_doubleflush_core | family=long_main_v1_improvements | group=lm12_failed_breakdown_inside | side=long | verdict=official_mdd_pass | trades=5 | win=60.0000 | final=0.1247 | max=0.1347 | mdd=0.0099 | cd=100.124744 | old_ratio_cd=13.5768
39. long_main_v1_34_lm12_vol_contract_expand_lm12_1_13 | parent=6V2_L01_doubleflush_core | family=long_main_v1_improvements | group=lm12_vol_contract_expand | side=long | verdict=official_mdd_pass | trades=5 | win=60.0000 | final=0.0573 | max=0.0573 | mdd=0.0068 | cd=100.050455 | old_ratio_cd=8.3705
40. long_max_v1_13_lx12_range_expansion_runner_lx12_0_12 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_range_expansion_runner | side=long | verdict=official_mdd_pass | trades=2 | win=100.0000 | final=0.0455 | max=0.0455 | mdd=0.0000 | cd=100.045452 | old_ratio_cd=0.0455
