batch_label,strategy_name,parent,family,group,side,description,timeframe,processed_symbols,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,cd_formula,old_ratio_cd_value,reference_safe6v2_cd_value,official_pass_mdd_lt_5,ruined,verdict
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_20_lx12_range_expansion_runner_lx12_0_19,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx12_range_expansion_runner,long,8V12 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx12_range_expansion_runner; tag=lx12_0_19; focus=raw V51 dryup-to-reaccel MDD compression,5m,597,559,269,290,48.121646,0.952318,3.55948,2.67259,100.791759628,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),1.331847,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_main_v1_22_lm12_vol_contract_expand_lm12_1_01,6V2_L01_doubleflush_core,long_main_v1_improvements,lm12_vol_contract_expand,long,8V12 long/short main/max no-trade-cap improvement from 6V2_L01_doubleflush_core; side=long; group=lm12_vol_contract_expand; tag=lm12_1_01; focus=official leader dryup-to-reaccel without trade-count cap,5m,597,960,329,631,34.270833,0.902735,1.685816,0.894791,100.775940499,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),1.884033,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_main_v1_23_lm12_vol_contract_expand_lm12_1_02,6V2_L01_doubleflush_core,long_main_v1_improvements,lm12_vol_contract_expand,long,8V12 long/short main/max no-trade-cap improvement from 6V2_L01_doubleflush_core; side=long; group=lm12_vol_contract_expand; tag=lm12_1_02; focus=official leader dryup-to-reaccel without trade-count cap,5m,597,465,207,258,44.516129,0.844244,1.096333,0.358264,100.734141225,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),3.060127,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_49_lx12_second_leg_absorption_lx12_2_08,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx12_second_leg_absorption,long,8V12 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx12_second_leg_absorption; tag=lx12_2_08; focus=raw V51 absorption floor to cut MDD spikes,5m,597,30,20,10,66.666667,0.710665,0.744502,0.062479,100.681558311,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),11.916075,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_main_v1_37_lm12_vol_contract_expand_lm12_1_16,6V2_L01_doubleflush_core,long_main_v1_improvements,lm12_vol_contract_expand,long,8V12 long/short main/max no-trade-cap improvement from 6V2_L01_doubleflush_core; side=long; group=lm12_vol_contract_expand; tag=lm12_1_16; focus=official leader absorption-floor for MDD compression without starving trades,5m,597,304,115,189,37.828947,0.785787,1.101055,0.41786,100.67859428,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),2.634988,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_main_v1_25_lm12_vol_contract_expand_lm12_1_04,6V2_L01_doubleflush_core,long_main_v1_improvements,lm12_vol_contract_expand,long,8V12 long/short main/max no-trade-cap improvement from 6V2_L01_doubleflush_core; side=long; group=lm12_vol_contract_expand; tag=lm12_1_04; focus=official leader dryup-to-reaccel without trade-count cap,5m,597,120,53,67,44.166667,0.501715,0.670176,0.190974,100.477922224,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),3.509258,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_main_v1_24_lm12_vol_contract_expand_lm12_1_03,6V2_L01_doubleflush_core,long_main_v1_improvements,lm12_vol_contract_expand,long,8V12 long/short main/max no-trade-cap improvement from 6V2_L01_doubleflush_core; side=long; group=lm12_vol_contract_expand; tag=lm12_1_03; focus=official leader dryup-to-reaccel without trade-count cap,5m,597,428,149,279,34.813084,0.474141,1.032624,0.61952,100.406706708,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),1.666813,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_45_lx12_second_leg_absorption_lx12_2_04,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx12_second_leg_absorption,long,8V12 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx12_second_leg_absorption; tag=lx12_2_04; focus=raw V51 absorption floor to cut MDD spikes,5m,597,16,9,7,56.25,0.392649,0.425152,0.035536,100.389464375,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),11.963816,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_18_lx12_range_expansion_runner_lx12_0_17,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx12_range_expansion_runner,long,8V12 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx12_range_expansion_runner; tag=lx12_0_17; focus=raw V51 dryup-to-reaccel MDD compression,5m,597,57,26,31,45.614035,0.488655,0.517461,0.161883,100.354739913,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),3.19651,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_main_v1_99_lm12_dd_sanitizer_lm12_4_18,6V2_L01_doubleflush_core,long_main_v1_improvements,lm12_dd_sanitizer,long,8V12 long/short main/max no-trade-cap improvement from 6V2_L01_doubleflush_core; side=long; group=lm12_dd_sanitizer; tag=lm12_4_18; focus=official leader reaction-based exits with no trade-count cap,5m,597,438,157,281,35.844749,0.404067,1.769213,1.392236,100.352344965,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),1.270771,121.7490287208,True,False,official_mdd_pass
