run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,atrp_min,atrp_max,range_atr_min,range_atr_max,body_atr_max,close_pos_min,lower_wick_rng_min,upper_wick_rng_max,wick_balance_min,ret1_min,ret5_min,ret20_min,ret60_min,ret20_max,ret60_max,ema20_pos_min,ema50_pos_min,ema100_pos_min,rsi_min,rsi_max,volr_min,volr_max,pre_range_atr_max,pre_upper_wick_max,pre_down_count_min,pre_down_count_max,fail_bars,fail_pnl,verdict,note
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_B_028_BD120_RR160_H14,compact_body_stop_geometry,compact_body_high_close_stop_take_geometry,long,4349751,1604258,2745493,36.88160540683823,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_B_028_BD120_RR160_H14,0.75,1.6,14,18,0.001,0.08,0.45,1.8,1.2,0.6,0.12,0.38,0.05,-0.006,-0.06,-0.16,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,70.0,0.35,3.8,1.8,0.55,1,5,4,-0.36,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_B_029_BD120_RR220_H8,compact_body_stop_geometry,compact_body_high_close_stop_take_geometry,long,4288643,1366980,2921663,31.874418085161203,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_B_029_BD120_RR220_H8,0.75,2.2,8,18,0.001,0.08,0.45,1.8,1.2,0.6,0.12,0.38,0.05,-0.006,-0.06,-0.16,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,70.0,0.35,3.8,1.8,0.55,1,5,4,-0.36,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_B_030_BD120_RR220_H14,compact_body_stop_geometry,compact_body_high_close_stop_take_geometry,long,4227479,1291329,2936150,30.54607722474789,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_B_030_BD120_RR220_H14,0.75,2.2,14,18,0.001,0.08,0.45,1.8,1.2,0.6,0.12,0.38,0.05,-0.006,-0.06,-0.16,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,70.0,0.35,3.8,1.8,0.55,1,5,4,-0.36,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_C_031_DC2_S75_RR140,down_sequence_absorption,prior_down_sequence_absorbed_by_lower_wick,long,3748748,1510141,2238607,40.28387611010396,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_C_031_DC2_S75_RR140,0.75,1.4,10,18,0.001,0.08,0.6,2.2,1.6,0.57,0.22,0.45,0.05,-0.01,-0.09,-0.2,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,62.0,0.35,3.8,1.8,0.55,2,5,4,-0.4,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_C_032_DC2_S100_RR140,down_sequence_absorption,prior_down_sequence_absorbed_by_lower_wick,long,3599649,1444361,2155288,40.12505108136932,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_C_032_DC2_S100_RR140,1.0,1.4,10,18,0.001,0.08,0.6,2.2,1.6,0.57,0.22,0.45,0.05,-0.01,-0.09,-0.2,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,62.0,0.35,3.8,1.8,0.55,2,5,4,-0.4,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_C_033_DC2_S75_RR190,down_sequence_absorption,prior_down_sequence_absorbed_by_lower_wick,long,3674627,1251165,2423462,34.048761955975394,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_C_033_DC2_S75_RR190,0.75,1.9,10,18,0.001,0.08,0.6,2.2,1.6,0.57,0.22,0.45,0.05,-0.01,-0.09,-0.2,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,62.0,0.35,3.8,1.8,0.55,2,5,4,-0.4,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_C_034_DC2_S100_RR190,down_sequence_absorption,prior_down_sequence_absorbed_by_lower_wick,long,3520492,1238093,2282399,35.16818103833214,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_C_034_DC2_S100_RR190,1.0,1.9,10,18,0.001,0.08,0.6,2.2,1.6,0.57,0.22,0.45,0.05,-0.01,-0.09,-0.2,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,62.0,0.35,3.8,1.8,0.55,2,5,4,-0.4,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_C_035_DC2_S75_RR240,down_sequence_absorption,prior_down_sequence_absorbed_by_lower_wick,long,3618821,1100114,2518707,30.39979042898226,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_C_035_DC2_S75_RR240,0.75,2.4,10,18,0.001,0.08,0.6,2.2,1.6,0.57,0.22,0.45,0.05,-0.01,-0.09,-0.2,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,62.0,0.35,3.8,1.8,0.55,2,5,4,-0.4,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_C_036_DC2_S100_RR240,down_sequence_absorption,prior_down_sequence_absorbed_by_lower_wick,long,3472567,1145561,2327006,32.98888113605871,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_C_036_DC2_S100_RR240,1.0,2.4,10,18,0.001,0.08,0.6,2.2,1.6,0.57,0.22,0.45,0.05,-0.01,-0.09,-0.2,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,62.0,0.35,3.8,1.8,0.55,2,5,4,-0.4,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_C_037_DC3_S75_RR140,down_sequence_absorption,prior_down_sequence_absorbed_by_lower_wick,long,2864646,1166548,1698098,40.722239327302574,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_C_037_DC3_S75_RR140,0.75,1.4,10,18,0.001,0.08,0.6,2.2,1.6,0.57,0.22,0.45,0.05,-0.01,-0.09,-0.2,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,62.0,0.35,3.8,1.8,0.55,3,5,4,-0.4,invalid_ruin,MDD >= 100
