strategy_key,period,path,error,traceback
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\THE_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\THETA_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\TIA_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\TLM_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\TNSR_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\TOKEN_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\TON_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\TOSHI_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\TOWNS_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\TRADOOR_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\TRB_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\TREE_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\TROY_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\TRU_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
