strategy,symbol,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,ruined
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,RLC,2,2,0,100.0,0.13207239688113326,0.13207239688113326,0.0,100.13207239688113,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,CAKE,2,2,0,100.0,0.12437673535665716,0.12437673535665716,0.0,100.12437673535666,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,SC,2,2,0,100.0,0.11982703541772999,0.11982703541772999,0.0,100.11982703541773,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,OMG,2,2,0,100.0,0.11578960599512023,0.11578960599512023,0.0,100.11578960599512,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,NEO,2,2,0,100.0,0.11513288181042025,0.11513288181042025,0.0,100.11513288181042,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,ADA,2,2,0,100.0,0.10624143136781505,0.10624143136781505,0.0,100.10624143136782,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,CYBER,2,1,1,50.0,0.1339177349427123,0.16516064103824224,0.031191390195539626,100.10268457394392,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,MANA,2,2,0,100.0,0.1001381403447743,0.1001381403447743,0.0,100.10013814034477,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,YGG,2,1,1,50.0,0.12288441352816815,0.14583573347748402,0.02291789746544648,100.09993835353883,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,RVN,2,1,1,50.0,0.09670242089194758,0.09670242089194758,0.0009172539133461832,100.09578427997187,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,ARPA,2,2,0,100.0,0.0945982089020081,0.0945982089020081,0.0,100.09459820890201,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,B2,2,2,0,100.0,0.0937007446480509,0.0937007446480509,0.0,100.09370074464805,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,DAR,2,2,0,100.0,0.07904456279488326,0.07904456279488326,0.0,100.07904456279488,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,TOKEN,2,2,0,100.0,0.07286100513783644,0.07286100513783644,0.0,100.07286100513784,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,COTI,2,2,0,100.0,0.06590184264574361,0.06590184264574361,0.0,100.06590184264574,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,MTL,2,2,0,100.0,0.06411596328943503,0.06411596328943503,0.0,100.06411596328944,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,STORJ,2,1,1,50.0,0.09575226730242914,0.12793904359114094,0.032145649452242075,100.06357583766199,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,C98,2,2,0,100.0,0.06056706132584466,0.06056706132584466,0.0,100.06056706132584,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,SNX,2,1,1,50.0,0.08309379990794064,0.08309379990794064,0.02584755711633191,100.05722476507421,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,BOME,2,1,1,50.0,0.08367474169128641,0.112487877348455,0.028780760790270143,100.05486989867377,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,BMT,2,1,1,50.0,0.08125483728644856,0.08125483728644856,0.026420109746827514,100.05481325992244,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,KNC,2,2,0,100.0,0.04894803880746146,0.04894803880746146,0.0,100.04894803880747,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,WAVES,2,2,0,100.0,0.047747809685705356,0.047747809685705356,0.0,100.0477478096857,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,CFX,2,1,1,50.0,0.0559699134296876,0.0559699134296876,0.018906751820491063,100.03705257951657,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,RDNT,2,1,1,50.0,0.04697463381524436,0.061655389007841954,0.014671709293156976,100.03229603254037,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,1000LUNC,2,1,1,50.0,0.06090840307797496,0.06090840307797496,0.02892494581576699,100.03196583953962,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,MKR,2,1,1,50.0,0.04599794367541321,0.06694457968079437,0.020932622749070262,100.02505569235032,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,KAVA,2,1,1,50.0,0.034981008785517353,0.034981008785517353,0.018866744647261235,100.01610766436066,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,SAND,2,1,1,50.0,0.032813583332691465,0.032813583332691465,0.0185945976805435,100.01421288409834,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,SFP,2,1,1,50.0,0.03222080590825627,0.03222080590825627,0.01872646754254026,100.01348830454695,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,WOO,2,1,1,50.0,0.04832844543689596,0.04832844543689596,0.04077320012805252,100.00753554025506,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,PIPPIN,2,1,1,50.0,0.05747689865756023,0.05747689865756023,0.053106020295434764,100.00434035466866,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,HIGH,2,1,1,50.0,0.03976346984571055,0.07613274396844893,0.036341606260692494,100.00340741290137,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,FHE,2,1,1,50.0,0.02593599536642177,0.04942228944131433,0.023474692344493953,100.0024552146268,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,IOTX,2,1,1,50.0,0.018533124130870604,0.018533124130870604,0.017345434106497137,100.00118447537353,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,STEEM,2,1,1,50.0,0.02957732923920542,0.05836370106762079,0.02876958083626313,100.0007992391293,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,EDU,2,1,1,50.0,0.01636452791451415,0.01636452791451415,0.02238299603284366,99.99397786901004,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,BCH,2,1,1,50.0,0.011486156102757938,0.011486156102757938,0.022825746651844447,99.98865778765001,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,LEVER,2,1,1,50.0,0.022561576429636077,0.022561576429636077,0.03392184245677443,99.98863208067044,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,NEAR,2,1,1,50.0,0.008723692254619664,0.036099234340891684,0.02736566329135659,99.98135564166701,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,H,2,1,1,50.0,0.014678556956360111,0.049876119207037384,0.0351800158240434,99.97949337721366,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,TST,2,1,1,50.0,0.0011698134075421862,0.031188873435317177,0.03000970034031658,99.97115976200973,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,DASH,2,1,1,50.0,0.002710307850684046,0.002710307850684046,0.052510848005227206,99.95019803663982,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,DAM,2,1,1,50.0,-0.013919234459003338,0.0,0.04033907079957766,99.94574730963126,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,FTT,2,1,1,50.0,-0.0026208433318131164,0.07013536372606488,0.07270521499089799,99.92467584716707,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,SOL,2,1,1,50.0,-0.03588187832643808,0.0,0.06524266768580533,99.89889886428239,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,GTC,2,0,2,0.0,-0.05453231159987526,0.0,0.05453231159987526,99.89096511453033,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,NEIRO,2,0,2,0.0,-0.05666056407085396,0.0,0.05666056407085396,99.88671097605351,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,AAVE,2,0,2,0.0,-0.0597676011922732,0.0,0.0597676011922732,99.88050051927698,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,BTC,2,0,2,0.0,-0.060945032251547016,0.0,0.060945032251547016,99.87814707846645,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,UNFI,2,0,2,0.0,-0.0730421410119142,0.0,0.0730421410119142,99.8539690695198,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,TA,2,0,2,0.0,-0.07724789111087649,0.0,0.07724789111087649,99.84556389014506,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,NOT,2,0,2,0.0,-0.07894585311983837,0.0,0.07894585311983837,99.84217061823757,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,SAGA,2,0,2,0.0,-0.08092975721832874,0.0,0.08092975721832874,99.83820598181937,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,HIFI,2,0,2,0.0,-0.08547058212365899,0.0,0.08547058212365899,99.82913188795676,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,PIEVERSE,2,0,2,0.0,-0.10482130078279805,0.0,0.10482130078279805,99.79046727348538,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,YFI,2,0,2,0.0,-0.13224985899882302,0.0,0.13224985899882302,99.73567518225441,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,SIGN,1,1,0,100.0,0.6163936452751706,0.6163936452751706,0.0,100.61639364527517,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,STRK,1,1,0,100.0,0.4491709027255819,0.4491709027255819,0.0,100.44917090272558,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,WAL,1,1,0,100.0,0.39335866420306953,0.39335866420306953,0.0,100.39335866420306,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,METIS,1,1,0,100.0,0.3703171988460374,0.3703171988460374,0.0,100.37031719884604,False
