feature,bin,trades,wins,losses,win_rate_pct,avg_pnl_pct,sum_pnl_pct,median_pnl_pct,avg_mae_pct,avg_mfe_pct
ema50_slope8,"(-0.0123, -0.00551]",56,18,38,32.142857142857146,0.028056824189209566,1.5711821545957356,-1.5798076614196632,-2.6811535445588173,3.491096451881339
ema50_slope8,"(-0.0156, -0.0123]",55,30,25,54.54545454545454,0.957043452665312,52.63738989659216,0.5628284451586908,-2.2243294882522515,3.649550690618018
ema50_slope8,"(-0.0322, -0.0252]",55,23,32,41.81818181818181,1.1602846110094223,63.81565360551823,-2.895938992310782,-5.7953478803484915,6.679924940386806
ema50_slope8,"(-0.0252, -0.0219]",56,28,28,50.0,1.6775685337673365,93.94383789097084,1.07491835921944,-4.378987464555069,4.665396887176148
ema50_slope8,"(-0.0177, -0.0156]",56,38,18,67.85714285714286,2.273218413943123,127.30023118081488,3.483956403892421,-2.2188232263208034,4.608989380377521
ema50_slope8,"(-0.0196, -0.0177]",55,41,14,74.54545454545455,3.0843029589454325,169.63666274199878,3.8756198745778994,-2.57164582032454,5.35607054590469
ema50_slope8,"(-0.0219, -0.0196]",56,45,11,80.35714285714286,4.016351404305495,224.91567864110772,4.928774084544829,-1.6998225821143687,5.876869583070776
ema50_slope8,"(-0.0398, -0.0322]",56,42,14,75.0,6.344332210159034,355.2826037689059,9.615910167452046,-4.236472791702603,9.533218456407402
ema50_slope8,"(-0.0967, -0.0398]",56,46,10,82.14285714285714,19.54507595845133,1094.5242536732746,17.943913144731507,-4.946542391835918,27.960626742751845
expected_tp,"(0.0211, 0.046]",56,26,30,46.42857142857143,0.1424603940982355,7.977782069501188,-1.1209526773179657,-1.5501023338326918,2.2488840601154516
expected_tp,"(0.046, 0.0545]",56,32,24,57.14285714285714,1.2890580351806271,72.18724997011512,1.8469209671869122,-1.6830330336397827,3.4268624702888446
expected_tp,"(0.0694, 0.078]",56,29,27,51.78571428571429,1.5293555260451217,85.64390945852682,0.9175889565470433,-3.1112795094126136,4.875594841766757
