run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,atrp_min,atrp_max,range20_min,range20_max,range60_max,volr_min,volr_max,ret20_min,ret60_min,ret120_min,ret20_max,ret60_max,rank60_min,rank120_min,breakout_lb,breakout_buffer,breakout_body_atr_min,breakout_body_atr_max,breakout_close_pos_min,breakout_upper_wick_max,breakout_volr_min,follow_delay,follow_ret_min,follow_close_pos_min,follow_no_big_wick,ema20_pos_min,ema50_pos_min,require_ema_stack,no_rsi_max,fail_bars,fail_pnl,trail_r,trail_atr,verdict,note
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_021_LB60_S75_RR300,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11215,2532,8683,22.576905929558627,-18.11328076469548,0.0,56.874988913367176,43.125011086632824,597,0,0.01,0.0004,0.08,LBF_A_021_LB60_S75_RR300,0.75,3.0,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,60,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_022_LB60_S90_RR180,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11218,3563,7655,31.761454804778033,-16.806238524110128,0.0,57.54354776715576,42.45645223284424,597,0,0.01,0.0004,0.08,LBF_A_022_LB60_S90_RR180,0.9,1.8,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,60,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_023_LB60_S90_RR240,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11213,2989,8224,26.65655935075359,-17.032569382863937,0.0,59.98722147249266,40.01277852750734,597,0,0.01,0.0004,0.08,LBF_A_023_LB60_S90_RR240,0.9,2.4,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,60,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_024_LB60_S90_RR300,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11206,2665,8541,23.781902552204176,-16.772902643747656,0.0,61.25340677483664,38.74659322516336,597,0,0.01,0.0004,0.08,LBF_A_024_LB60_S90_RR300,0.9,3.0,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,60,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_025_LB60_S105_RR180,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11213,3552,7661,31.677517167573356,-16.845156431042064,0.0,61.46159735130672,38.53840264869328,597,0,0.01,0.0004,0.08,LBF_A_025_LB60_S105_RR180,1.05,1.8,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,60,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_026_LB60_S105_RR240,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11204,3019,8185,26.94573366654766,-18.000937072875047,0.0,63.66435788771846,36.33564211228154,597,0,0.01,0.0004,0.08,LBF_A_026_LB60_S105_RR240,1.05,2.4,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,60,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_027_LB60_S105_RR300,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11200,2764,8436,24.678571428571427,-17.102298995221588,0.0,64.66759459009982,35.33240540990018,597,0,0.01,0.0004,0.08,LBF_A_027_LB60_S105_RR300,1.05,3.0,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,60,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_B_028_R60100_RR160_H6,elite_leader_breakout,very_strong_leader_short_followthrough,long,4393,1516,2877,34.509446847256996,-7.867593494443925,0.0,30.707580248239164,69.29241975176083,597,0,0.01,0.0004,0.08,LBF_B_028_R60100_RR160_H6,0.85,1.6,6,60,0.0015,0.05,0.01,0.14,0.3,1.4,5.0,-0.02,0.1,0.1,0.26,0.7,0.84,0.7,40,1.004,0.48,2.8,0.78,0.24,1.45,1,-0.006,0.54,0.58,0.99,0.97,False,82.0,3,-0.36,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_B_029_R60100_RR160_H10,elite_leader_breakout,very_strong_leader_short_followthrough,long,4393,1504,2889,34.23628499886183,-7.704160694477425,0.0,30.87701686799771,69.12298313200229,597,0,0.01,0.0004,0.08,LBF_B_029_R60100_RR160_H10,0.85,1.6,10,60,0.0015,0.05,0.01,0.14,0.3,1.4,5.0,-0.02,0.1,0.1,0.26,0.7,0.84,0.7,40,1.004,0.48,2.8,0.78,0.24,1.45,1,-0.006,0.54,0.58,0.99,0.97,False,82.0,3,-0.36,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_B_030_R60100_RR160_H14,elite_leader_breakout,very_strong_leader_short_followthrough,long,4393,1503,2890,34.21352151149556,-7.688590484754576,0.0,30.89730763818125,69.10269236181875,597,0,0.01,0.0004,0.08,LBF_B_030_R60100_RR160_H14,0.85,1.6,14,60,0.0015,0.05,0.01,0.14,0.3,1.4,5.0,-0.02,0.1,0.1,0.26,0.7,0.84,0.7,40,1.004,0.48,2.8,0.78,0.24,1.45,1,-0.006,0.54,0.58,0.99,0.97,False,82.0,3,-0.36,999.0,2.0,invalid_no_peak,max_return <= 0
