events,reason,symbol,usable_bars
1466,,FTM,557367
220,,FTT,393794
280,,FUN,80615
939,,FXS,312191
246,,F,57807
1370,,GALA,453993
834,,GAS,231353
402,,GHST,135007
104,,GIGGLE,25296
181,,GLMR,67410
704,,GLM,196690
1234,,GMT,402717
797,,GMX,304951
316,,GOAT,126072
359,,GPS,92611
354,,GRASS,121726
280,,GRIFFAIN,105904
1617,,GRT,532592
1311,,GTC,482509
277,,GUN,80561
422,,G,146251
211,,HAEDAL,71747
114,,HANA,29020
1467,,HBAR,507241
338,,HEI,93859
166,,HEMI,37168
807,,HFT,289437
800,,HIFI,215862
909,,HIGH,307977
429,,HIPPO,120321
341,,HIVE,108808
384,,HMSTR,134149
124,,HOLO,33334
274,,HOME,60126
956,,HOOK,312291
1586,,HOT,503494
192,,HUMA,64430
238,,HYPER,74223
140,,HYPE,63307
270,,H,55830
207,,ICNT,53484
834,,ICP,346283
1694,,ICX,559962
340,,IDEX,281659
225,,IDOL,53241
870,,ID,293442
572,,ILV,226574
1207,,IMX,411940
234,,INIT,76030
1037,,INJ,358090
191,,IN,43433
1884,,IOST,619577
1696,,IOTA,622173
1574,,IOTX,464652
496,,IO,164955
396,,IP,93764
57,,IRYS,13147
1288,,JASMY,392354
49,,JCT,15480
385,,JELLYJELLY,81964
794,,JOE,291742
211,,JST,72537
614,,JTO,218586
547,,JUP,202926
286,,KAIA,114254
257,,KAITO,91794
649,,KAS,224732
1951,,KAVA,574080
365,,KDA,136442
229,,KERNEL,76540
616,,KEY,161459
85,,KGEN,25816
72,,KITE,15480
701,,KLAY,319097
351,,KMNO,109583
1882,,KNC,584430
433,,KOMA,112545
1602,,KSM,551605
94,,LAB,22935
251,,LAYER,94354
189,,LA,61596
1055,,LDO,347609
880,,LEVER,256208
141,,LIGHT,28733
1300,,LINA,506664
111,,LINEA,36256
1825,,LINK,629668
573,,LISTA,162380
1307,,LIT,510916
206,,LOKA,134737
448,,LOOM,122837
1405,,LPT,438438
936,,LQTY,297218
1844,,LRC,550162
610,,LSK,204706
2143,,LTC,631972
303,,LUMIA,110249
1478,,LUNA2,351174
92,,LYN,26188
1023,,MAGIC,311715
1628,,MANA,507818
545,,MANTA,206725
1567,,MASK,460331
311,,MAVIA,81952
870,,MAV,265238
443,,MBOX,142541
362,,MDT,92916
363,,MELANIA,100766
108,,MEMEFI,31629
669,,MEME,228647
297,,MERL,63619
552,,METIS,191234
102,,MET,24687
509,,MEW,163226
356,,ME,112487
240,,MILK,70182
822,,MINA,307874
95,,MIRA,29014
161,,MITO,37313
1613,,MKR,533902
285,,MLN,80612
66,,MMT,15480
424,,MOCA,110826
96,,MON,25038
437,,MOODENG,125826
330,,MORPHO,116263
342,,MOVE,112812
654,,MOVR,213370
1979,,MTL,503206
274,,MUBARAK,84585
513,,MYRO,178280
266,,MYX,57810
267,,M,52374
182,,NAORIS,45424
1854,,NEAR,551305
477,,NEIROETH,111324
392,,NEIRO,137043
2120,,NEO,620722
198,,NEWT,57498
649,,NFP,213070
314,,NIL,82578
1751,,NKN,500613
919,,NMR,267254
136,,NOM,27622
486,,NOT,172444
609,,NTRN,225477
199,,NULS,67038
187,,NXPC,67675
219,,OBOL,69933
1269,,OCEAN,545843
1600,,OGN,502917
304,,OG,68509
206,,OL,55806
1642,,OMG,482615
463,,OMNI,180796
678,,OM,199235
503,,ONDO,206161
1308,,ONE,506953
729,,ONG,221718
1947,,ONT,622461
66,,ON,15479
126,,OPEN,34186
1165,,OP,380131
431,,ORBS,121211
348,,ORCA,113665
133,,ORDER,29005
692,,ORDI,227488
729,,OXT,252848
298,,PARTI,82289
281,,PAXG,81742
714,,PENDLE,256997
346,,PENGU,110480
1385,,PEOPLE,426048
762,,PERP,300083
334,,PHA,106792
979,,PHB,305239
63,,PIEVERSE,15480
416,,PIPPIN,99605
569,,PIXEL,197494
236,,PLAY,45460
210,,PLUME,83442
360,,PNUT,120897
814,,POLYX,231356
296,,POL,137898
324,,PONKE,122914
391,,POPCAT,144228
219,,PORT3,61888
601,,PORTAL,194613
734,,POWR,230779
278,,PROMPT,77470
352,,PROM,102170
171,,PROVE,43931
163,,PTB,35632
221,,PUFFER,61891
302,,PUMPBTC,59280
259,,PUMP,74636
251,,PUNDIX,71955
598,,PYTH,223140
905,,QNT,339658
2120,,QTUM,619866
308,,QUICK,127835
150,,Q,35979
412,,RAD,279640
492,,RARE,146246
325,,RAYSOL,112548
360,,RAY,462347
751,,RDNT,289725
101,,RECALL,23535
325,,RED,87726
1317,,REEF,412366
401,,REI,133879
331,,RENDER,152042
1371,,REN,551894
206,,RESOLV,60103
632,,REZ,177053
667,,RIF,232389
112,,RIVER,22932
2190,,RLC,573215
42,,RLS,11491
487,,RONIN,201365
1144,,ROSE,424037
422,,RPL,139047
1738,,RSR,550163
1720,,RUNE,563129
1587,,RVN,513581
82,,RVV,22659
403,,SAFE,125795
488,,SAGA,183143
201,,SAHARA,55512
1929,,SAND,521935
560,,SANTOS,124913
185,,SAPIEN,39605
305,,SCRT,118028
375,,SCR,126690
451,,SC,499748
749,,SEI,251234
63,,SENT,15480
1602,,SFP,513292
316,,SHELL,92608
250,,SIGN,72519
381,,SIREN,83202
235,,SKATE,51727
2083,,SKL,535754
302,,SKYAI,68212
136,,SKY,33970
224,,SLERF,96378
112,,SLP,47738
193,,SNT,56045
1642,,SNX,569182
357,,SOLV,101597
1896,,SOL,560249
168,,SOMI,38261
339,,SONIC,104254
322,,SOON,65348
236,,SOPH,63853
1355,,SPELL,352218
252,,SPK,58140
340,,SPX,112539
297,,SQD,59823
963,,SSV,302964
68,,STABLE,15480
121,,STBL,31681
691,,STEEM,227176
1039,,STG,355674
1286,,STMX,412944
2073,,STORJ,559673
289,,STO,77083
207,,STPT,60341
233,,STRAX,235392
412,,STRK,197182
1026,,STX,303799
819,,SUI,281610
372,,SUN,144227
625,,SUPER,222006
1625,,SUSHI,563130
288,,SWARMS,104479
394,,SWELL,121720
1960,,SXP,565848
264,,SXT,71397
507,,SYN,145963
204,,SYRUP,69957
385,,SYS,145099
270,,S,101912
223,,TAC,50058
211,,TAG,47168
199,,TAIKO,59827
196,,TAKE,35647
245,,TANSSI,51773
454,,TAO,182519
226,,TA,48366
1714,,THETA,591930
395,,THE,116291
611,,TIA,229440
899,,TLM,291449
533,,TNSR,183354
672,,TOKEN,228610
460,,TON,194355
114,,TOSHI,31684
182,,TOWNS,43960
143,,TRADOOR,31024
1943,,TRB,563419
167,,TREE,45983
180,,TROY,124061
311,,TRUMP,101300
81,,TRUST,15480
119,,TRUTH,27574
913,,TRU,298082
1788,,TRX,630244
404,,TST,94963
557,,TURBO,168394
88,,TURTLE,21489
387,,TUT,83777
650,,TWT,228617
1113,,T,309579
63,,UAI,15480
132,,UB,33064
989,,UMA,279635
1471,,UNFI,389040
1661,,UNI,559096
2558,,USDC,296581
164,,USELESS,41108
932,,USTC,221724
320,,USUAL,110231
429,,UXLINK,137288
375,,VANA,110802
596,,VANRY,190837
312,,VELODROME,111633
216,,VELVET,50073
1780,,VET,621596
97,,VFY,27863
252,,VIC,85986
226,,VIDT,143981
310,,VINE,99608
328,,VIRTUAL,112542
447,,VOXEL,136122
243,,VTHO,100190
336,,VVV,98189
291,,WAL,81682
1802,,WAVES,569759
649,,WAXP,233225
200,,WCT,76264
636,,WIF,206723
783,,WLD,258036
149,,WLFI,38849
1112,,WOO,395811
516,,W,184812
626,,XAI,209318
122,,XAN,28169
275,,XCN,77362
780,,XEM,511276
1983,,XLM,628803
1565,,XMR,624770
161,,XNY,41690
159,,XPIN,33094
159,,XPL,39125
2411,,XRP,632834
1548,,XTZ,623904
875,,XVG,263508
971,,XVS,287534
186,,YALA,43361
114,,YB,24948
1567,,YFI,564284
736,,YGG,254680
95,,ZBT,22971
2100,,ZEC,624192
1848,,ZEN,539793
324,,ZEREBRO,105897
632,,ZETA,202470
1750,,ZIL,585580
137,,ZKC,32158
263,,ZKJ,68215
453,,ZK,163262
184,,ZORA,47171
155,,ZRC,46034
464,,ZRO,162356
1909,,ZRX,583851
91,,币安人生,22113
