period,scenario,selected_after_cap,selected_before_cap,spec
EX_2025Q4,btc_rb_z4_gap0_cd144_h24_k1_short_capnone,104201,104201,btc_rb_z4_gap0_cd144_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap0_cd144_h24_k1_short_capnone,102702,102702,btc_rb_z4_gap0_cd144_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap0_cd144_h24_k1_short_capnone,10626,10626,btc_rb_z4_gap0_cd144_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0_cd144_h24_k1_short_capnone,1499,1499,btc_rb_z4_gap0_cd144_h24_k1_short
BASE,btc_rb_z4_gap0_cd144_h24_k1_short_cap20,114827,114827,btc_rb_z4_gap0_cd144_h24_k1_short
EX_2025Q4,btc_rb_z4_gap0_cd144_h24_k1_short_cap20,104201,104201,btc_rb_z4_gap0_cd144_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap0_cd144_h24_k1_short_cap20,102702,102702,btc_rb_z4_gap0_cd144_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap0_cd144_h24_k1_short_cap20,10626,10626,btc_rb_z4_gap0_cd144_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0_cd144_h24_k1_short_cap20,1499,1499,btc_rb_z4_gap0_cd144_h24_k1_short
BASE,btc_rb_z4_gap0_cd144_h24_k1_short_cap50,114827,114827,btc_rb_z4_gap0_cd144_h24_k1_short
EX_2025Q4,btc_rb_z4_gap0_cd144_h24_k1_short_cap50,104201,104201,btc_rb_z4_gap0_cd144_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap0_cd144_h24_k1_short_cap50,102702,102702,btc_rb_z4_gap0_cd144_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap0_cd144_h24_k1_short_cap50,10626,10626,btc_rb_z4_gap0_cd144_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0_cd144_h24_k1_short_cap50,1499,1499,btc_rb_z4_gap0_cd144_h24_k1_short
BASE,btc_rb_z4_gap0.5_cd24_h24_k1_short_capnone,130557,130557,btc_rb_z4_gap0.5_cd24_h24_k1_short
EX_2025Q4,btc_rb_z4_gap0.5_cd24_h24_k1_short_capnone,119210,119210,btc_rb_z4_gap0.5_cd24_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap0.5_cd24_h24_k1_short_capnone,117624,117624,btc_rb_z4_gap0.5_cd24_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap0.5_cd24_h24_k1_short_capnone,11347,11347,btc_rb_z4_gap0.5_cd24_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0.5_cd24_h24_k1_short_capnone,1586,1586,btc_rb_z4_gap0.5_cd24_h24_k1_short
BASE,btc_rb_z4_gap0.5_cd24_h24_k1_short_cap20,130556,130557,btc_rb_z4_gap0.5_cd24_h24_k1_short
EX_2025Q4,btc_rb_z4_gap0.5_cd24_h24_k1_short_cap20,119210,119210,btc_rb_z4_gap0.5_cd24_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap0.5_cd24_h24_k1_short_cap20,117624,117624,btc_rb_z4_gap0.5_cd24_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap0.5_cd24_h24_k1_short_cap20,11346,11347,btc_rb_z4_gap0.5_cd24_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0.5_cd24_h24_k1_short_cap20,1586,1586,btc_rb_z4_gap0.5_cd24_h24_k1_short
BASE,btc_rb_z4_gap0.5_cd24_h24_k1_short_cap50,130557,130557,btc_rb_z4_gap0.5_cd24_h24_k1_short
EX_2025Q4,btc_rb_z4_gap0.5_cd24_h24_k1_short_cap50,119210,119210,btc_rb_z4_gap0.5_cd24_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap0.5_cd24_h24_k1_short_cap50,117624,117624,btc_rb_z4_gap0.5_cd24_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap0.5_cd24_h24_k1_short_cap50,11347,11347,btc_rb_z4_gap0.5_cd24_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0.5_cd24_h24_k1_short_cap50,1586,1586,btc_rb_z4_gap0.5_cd24_h24_k1_short
BASE,btc_rb_z4_gap0.5_cd144_h24_k1_short_capnone,106520,106520,btc_rb_z4_gap0.5_cd144_h24_k1_short
EX_2025Q4,btc_rb_z4_gap0.5_cd144_h24_k1_short_capnone,96992,96992,btc_rb_z4_gap0.5_cd144_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap0.5_cd144_h24_k1_short_capnone,95669,95669,btc_rb_z4_gap0.5_cd144_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap0.5_cd144_h24_k1_short_capnone,9528,9528,btc_rb_z4_gap0.5_cd144_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0.5_cd144_h24_k1_short_capnone,1323,1323,btc_rb_z4_gap0.5_cd144_h24_k1_short
BASE,btc_rb_z4_gap0.5_cd144_h24_k1_short_cap20,106520,106520,btc_rb_z4_gap0.5_cd144_h24_k1_short
EX_2025Q4,btc_rb_z4_gap0.5_cd144_h24_k1_short_cap20,96992,96992,btc_rb_z4_gap0.5_cd144_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap0.5_cd144_h24_k1_short_cap20,95669,95669,btc_rb_z4_gap0.5_cd144_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap0.5_cd144_h24_k1_short_cap20,9528,9528,btc_rb_z4_gap0.5_cd144_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0.5_cd144_h24_k1_short_cap20,1323,1323,btc_rb_z4_gap0.5_cd144_h24_k1_short
BASE,btc_rb_z4_gap0.5_cd144_h24_k1_short_cap50,106520,106520,btc_rb_z4_gap0.5_cd144_h24_k1_short
EX_2025Q4,btc_rb_z4_gap0.5_cd144_h24_k1_short_cap50,96992,96992,btc_rb_z4_gap0.5_cd144_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap0.5_cd144_h24_k1_short_cap50,95669,95669,btc_rb_z4_gap0.5_cd144_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap0.5_cd144_h24_k1_short_cap50,9528,9528,btc_rb_z4_gap0.5_cd144_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0.5_cd144_h24_k1_short_cap50,1323,1323,btc_rb_z4_gap0.5_cd144_h24_k1_short
BASE,btc_rb_z4_gap1_cd24_h24_k1_short_capnone,123061,123061,btc_rb_z4_gap1_cd24_h24_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd24_h24_k1_short_capnone,112764,112764,btc_rb_z4_gap1_cd24_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd24_h24_k1_short_capnone,111318,111318,btc_rb_z4_gap1_cd24_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd24_h24_k1_short_capnone,10297,10297,btc_rb_z4_gap1_cd24_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd24_h24_k1_short_capnone,1446,1446,btc_rb_z4_gap1_cd24_h24_k1_short
BASE,btc_rb_z4_gap1_cd24_h24_k1_short_cap20,123061,123061,btc_rb_z4_gap1_cd24_h24_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd24_h24_k1_short_cap20,112764,112764,btc_rb_z4_gap1_cd24_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd24_h24_k1_short_cap20,111318,111318,btc_rb_z4_gap1_cd24_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd24_h24_k1_short_cap20,10297,10297,btc_rb_z4_gap1_cd24_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd24_h24_k1_short_cap20,1446,1446,btc_rb_z4_gap1_cd24_h24_k1_short
BASE,btc_rb_z4_gap1_cd24_h24_k1_short_cap50,123061,123061,btc_rb_z4_gap1_cd24_h24_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd24_h24_k1_short_cap50,112764,112764,btc_rb_z4_gap1_cd24_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd24_h24_k1_short_cap50,111318,111318,btc_rb_z4_gap1_cd24_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd24_h24_k1_short_cap50,10297,10297,btc_rb_z4_gap1_cd24_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd24_h24_k1_short_cap50,1446,1446,btc_rb_z4_gap1_cd24_h24_k1_short
BASE,btc_rb_z4_gap1_cd144_h24_k1_short_capnone,101248,101248,btc_rb_z4_gap1_cd144_h24_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd144_h24_k1_short_capnone,92478,92478,btc_rb_z4_gap1_cd144_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd144_h24_k1_short_capnone,91248,91248,btc_rb_z4_gap1_cd144_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd144_h24_k1_short_capnone,8770,8770,btc_rb_z4_gap1_cd144_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd144_h24_k1_short_capnone,1230,1230,btc_rb_z4_gap1_cd144_h24_k1_short
BASE,btc_rb_z4_gap1_cd144_h24_k1_short_cap20,101248,101248,btc_rb_z4_gap1_cd144_h24_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd144_h24_k1_short_cap20,92478,92478,btc_rb_z4_gap1_cd144_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd144_h24_k1_short_cap20,91248,91248,btc_rb_z4_gap1_cd144_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd144_h24_k1_short_cap20,8770,8770,btc_rb_z4_gap1_cd144_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd144_h24_k1_short_cap20,1230,1230,btc_rb_z4_gap1_cd144_h24_k1_short
BASE,btc_rb_z4_gap1_cd144_h24_k1_short_cap50,101248,101248,btc_rb_z4_gap1_cd144_h24_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd144_h24_k1_short_cap50,92478,92478,btc_rb_z4_gap1_cd144_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd144_h24_k1_short_cap50,91248,91248,btc_rb_z4_gap1_cd144_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd144_h24_k1_short_cap50,8770,8770,btc_rb_z4_gap1_cd144_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd144_h24_k1_short_cap50,1230,1230,btc_rb_z4_gap1_cd144_h24_k1_short
BASE,btc_rb_z4_gap0_cd36_h36_k1_short_capnone,136809,136809,btc_rb_z4_gap0_cd36_h36_k1_short
EX_2025Q4,btc_rb_z4_gap0_cd36_h36_k1_short_capnone,124425,124425,btc_rb_z4_gap0_cd36_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap0_cd36_h36_k1_short_capnone,122666,122666,btc_rb_z4_gap0_cd36_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap0_cd36_h36_k1_short_capnone,12384,12384,btc_rb_z4_gap0_cd36_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0_cd36_h36_k1_short_capnone,1759,1759,btc_rb_z4_gap0_cd36_h36_k1_short
BASE,btc_rb_z4_gap0_cd36_h36_k1_short_cap20,134622,136809,btc_rb_z4_gap0_cd36_h36_k1_short
EX_2025Q4,btc_rb_z4_gap0_cd36_h36_k1_short_cap20,123152,124425,btc_rb_z4_gap0_cd36_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap0_cd36_h36_k1_short_cap20,121571,122666,btc_rb_z4_gap0_cd36_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap0_cd36_h36_k1_short_cap20,11471,12384,btc_rb_z4_gap0_cd36_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0_cd36_h36_k1_short_cap20,1581,1759,btc_rb_z4_gap0_cd36_h36_k1_short
BASE,btc_rb_z4_gap0_cd36_h36_k1_short_cap50,136809,136809,btc_rb_z4_gap0_cd36_h36_k1_short
EX_2025Q4,btc_rb_z4_gap0_cd36_h36_k1_short_cap50,124425,124425,btc_rb_z4_gap0_cd36_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap0_cd36_h36_k1_short_cap50,122666,122666,btc_rb_z4_gap0_cd36_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap0_cd36_h36_k1_short_cap50,12384,12384,btc_rb_z4_gap0_cd36_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0_cd36_h36_k1_short_cap50,1759,1759,btc_rb_z4_gap0_cd36_h36_k1_short
BASE,btc_rb_z4_gap0_cd144_h36_k1_short_capnone,114826,114826,btc_rb_z4_gap0_cd144_h36_k1_short
EX_2025Q4,btc_rb_z4_gap0_cd144_h36_k1_short_capnone,104201,104201,btc_rb_z4_gap0_cd144_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap0_cd144_h36_k1_short_capnone,102702,102702,btc_rb_z4_gap0_cd144_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap0_cd144_h36_k1_short_capnone,10625,10625,btc_rb_z4_gap0_cd144_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0_cd144_h36_k1_short_capnone,1499,1499,btc_rb_z4_gap0_cd144_h36_k1_short
BASE,btc_rb_z4_gap0_cd144_h36_k1_short_cap20,114090,114826,btc_rb_z4_gap0_cd144_h36_k1_short
EX_2025Q4,btc_rb_z4_gap0_cd144_h36_k1_short_cap20,103797,104201,btc_rb_z4_gap0_cd144_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap0_cd144_h36_k1_short_cap20,102369,102702,btc_rb_z4_gap0_cd144_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap0_cd144_h36_k1_short_cap20,10294,10625,btc_rb_z4_gap0_cd144_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0_cd144_h36_k1_short_cap20,1428,1499,btc_rb_z4_gap0_cd144_h36_k1_short
BASE,btc_rb_z4_gap0_cd144_h36_k1_short_cap50,114826,114826,btc_rb_z4_gap0_cd144_h36_k1_short
EX_2025Q4,btc_rb_z4_gap0_cd144_h36_k1_short_cap50,104201,104201,btc_rb_z4_gap0_cd144_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap0_cd144_h36_k1_short_cap50,102702,102702,btc_rb_z4_gap0_cd144_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap0_cd144_h36_k1_short_cap50,10625,10625,btc_rb_z4_gap0_cd144_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0_cd144_h36_k1_short_cap50,1499,1499,btc_rb_z4_gap0_cd144_h36_k1_short
BASE,btc_rb_z4_gap0.5_cd36_h36_k1_short_capnone,125796,125796,btc_rb_z4_gap0.5_cd36_h36_k1_short
EX_2025Q4,btc_rb_z4_gap0.5_cd36_h36_k1_short_capnone,114834,114834,btc_rb_z4_gap0.5_cd36_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap0.5_cd36_h36_k1_short_capnone,113306,113306,btc_rb_z4_gap0.5_cd36_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap0.5_cd36_h36_k1_short_capnone,10962,10962,btc_rb_z4_gap0.5_cd36_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0.5_cd36_h36_k1_short_capnone,1528,1528,btc_rb_z4_gap0.5_cd36_h36_k1_short
BASE,btc_rb_z4_gap0.5_cd36_h36_k1_short_cap20,125024,125796,btc_rb_z4_gap0.5_cd36_h36_k1_short
EX_2025Q4,btc_rb_z4_gap0.5_cd36_h36_k1_short_cap20,114413,114834,btc_rb_z4_gap0.5_cd36_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap0.5_cd36_h36_k1_short_cap20,112950,113306,btc_rb_z4_gap0.5_cd36_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap0.5_cd36_h36_k1_short_cap20,10614,10962,btc_rb_z4_gap0.5_cd36_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0.5_cd36_h36_k1_short_cap20,1463,1528,btc_rb_z4_gap0.5_cd36_h36_k1_short
BASE,btc_rb_z4_gap0.5_cd36_h36_k1_short_cap50,125796,125796,btc_rb_z4_gap0.5_cd36_h36_k1_short
EX_2025Q4,btc_rb_z4_gap0.5_cd36_h36_k1_short_cap50,114834,114834,btc_rb_z4_gap0.5_cd36_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap0.5_cd36_h36_k1_short_cap50,113306,113306,btc_rb_z4_gap0.5_cd36_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap0.5_cd36_h36_k1_short_cap50,10962,10962,btc_rb_z4_gap0.5_cd36_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0.5_cd36_h36_k1_short_cap50,1528,1528,btc_rb_z4_gap0.5_cd36_h36_k1_short
BASE,btc_rb_z4_gap0.5_cd144_h36_k1_short_capnone,106519,106519,btc_rb_z4_gap0.5_cd144_h36_k1_short
EX_2025Q4,btc_rb_z4_gap0.5_cd144_h36_k1_short_capnone,96992,96992,btc_rb_z4_gap0.5_cd144_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap0.5_cd144_h36_k1_short_capnone,95669,95669,btc_rb_z4_gap0.5_cd144_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap0.5_cd144_h36_k1_short_capnone,9527,9527,btc_rb_z4_gap0.5_cd144_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0.5_cd144_h36_k1_short_capnone,1323,1323,btc_rb_z4_gap0.5_cd144_h36_k1_short
BASE,btc_rb_z4_gap0.5_cd144_h36_k1_short_cap20,106298,106519,btc_rb_z4_gap0.5_cd144_h36_k1_short
EX_2025Q4,btc_rb_z4_gap0.5_cd144_h36_k1_short_cap20,96874,96992,btc_rb_z4_gap0.5_cd144_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap0.5_cd144_h36_k1_short_cap20,95573,95669,btc_rb_z4_gap0.5_cd144_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap0.5_cd144_h36_k1_short_cap20,9426,9527,btc_rb_z4_gap0.5_cd144_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0.5_cd144_h36_k1_short_cap20,1301,1323,btc_rb_z4_gap0.5_cd144_h36_k1_short
BASE,btc_rb_z4_gap0.5_cd144_h36_k1_short_cap50,106519,106519,btc_rb_z4_gap0.5_cd144_h36_k1_short
EX_2025Q4,btc_rb_z4_gap0.5_cd144_h36_k1_short_cap50,96992,96992,btc_rb_z4_gap0.5_cd144_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap0.5_cd144_h36_k1_short_cap50,95669,95669,btc_rb_z4_gap0.5_cd144_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap0.5_cd144_h36_k1_short_cap50,9527,9527,btc_rb_z4_gap0.5_cd144_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0.5_cd144_h36_k1_short_cap50,1323,1323,btc_rb_z4_gap0.5_cd144_h36_k1_short
BASE,btc_rb_z4_gap1_cd36_h36_k1_short_capnone,118739,118739,btc_rb_z4_gap1_cd36_h36_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd36_h36_k1_short_capnone,108769,108769,btc_rb_z4_gap1_cd36_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd36_h36_k1_short_capnone,107371,107371,btc_rb_z4_gap1_cd36_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd36_h36_k1_short_capnone,9970,9970,btc_rb_z4_gap1_cd36_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd36_h36_k1_short_capnone,1398,1398,btc_rb_z4_gap1_cd36_h36_k1_short
BASE,btc_rb_z4_gap1_cd36_h36_k1_short_cap20,118464,118739,btc_rb_z4_gap1_cd36_h36_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd36_h36_k1_short_cap20,108613,108769,btc_rb_z4_gap1_cd36_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd36_h36_k1_short_cap20,107242,107371,btc_rb_z4_gap1_cd36_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd36_h36_k1_short_cap20,9853,9970,btc_rb_z4_gap1_cd36_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd36_h36_k1_short_cap20,1371,1398,btc_rb_z4_gap1_cd36_h36_k1_short
BASE,btc_rb_z4_gap1_cd36_h36_k1_short_cap50,118739,118739,btc_rb_z4_gap1_cd36_h36_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd36_h36_k1_short_cap50,108769,108769,btc_rb_z4_gap1_cd36_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd36_h36_k1_short_cap50,107371,107371,btc_rb_z4_gap1_cd36_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd36_h36_k1_short_cap50,9970,9970,btc_rb_z4_gap1_cd36_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd36_h36_k1_short_cap50,1398,1398,btc_rb_z4_gap1_cd36_h36_k1_short
BASE,btc_rb_z4_gap1_cd144_h36_k1_short_capnone,101247,101247,btc_rb_z4_gap1_cd144_h36_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd144_h36_k1_short_capnone,92478,92478,btc_rb_z4_gap1_cd144_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd144_h36_k1_short_capnone,91248,91248,btc_rb_z4_gap1_cd144_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd144_h36_k1_short_capnone,8769,8769,btc_rb_z4_gap1_cd144_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd144_h36_k1_short_capnone,1230,1230,btc_rb_z4_gap1_cd144_h36_k1_short
BASE,btc_rb_z4_gap1_cd144_h36_k1_short_cap20,101170,101247,btc_rb_z4_gap1_cd144_h36_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd144_h36_k1_short_cap20,92439,92478,btc_rb_z4_gap1_cd144_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd144_h36_k1_short_cap20,91216,91248,btc_rb_z4_gap1_cd144_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd144_h36_k1_short_cap20,8731,8769,btc_rb_z4_gap1_cd144_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd144_h36_k1_short_cap20,1223,1230,btc_rb_z4_gap1_cd144_h36_k1_short
BASE,btc_rb_z4_gap1_cd144_h36_k1_short_cap50,101247,101247,btc_rb_z4_gap1_cd144_h36_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd144_h36_k1_short_cap50,92478,92478,btc_rb_z4_gap1_cd144_h36_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd144_h36_k1_short_cap50,91248,91248,btc_rb_z4_gap1_cd144_h36_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd144_h36_k1_short_cap50,8769,8769,btc_rb_z4_gap1_cd144_h36_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd144_h36_k1_short_cap50,1230,1230,btc_rb_z4_gap1_cd144_h36_k1_short
BASE,btc_rb_z4_gap0_cd48_h48_k1_short_capnone,132864,132864,btc_rb_z4_gap0_cd48_h48_k1_short
EX_2025Q4,btc_rb_z4_gap0_cd48_h48_k1_short_capnone,120804,120804,btc_rb_z4_gap0_cd48_h48_k1_short
PRE_2025Q4,btc_rb_z4_gap0_cd48_h48_k1_short_capnone,119090,119090,btc_rb_z4_gap0_cd48_h48_k1_short
ONLY_2025Q4,btc_rb_z4_gap0_cd48_h48_k1_short_capnone,12060,12060,btc_rb_z4_gap0_cd48_h48_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0_cd48_h48_k1_short_capnone,1714,1714,btc_rb_z4_gap0_cd48_h48_k1_short
BASE,btc_rb_z4_gap0_cd48_h48_k1_short_cap20,125203,132864,btc_rb_z4_gap0_cd48_h48_k1_short
EX_2025Q4,btc_rb_z4_gap0_cd48_h48_k1_short_cap20,115689,120804,btc_rb_z4_gap0_cd48_h48_k1_short
PRE_2025Q4,btc_rb_z4_gap0_cd48_h48_k1_short_cap20,114425,119090,btc_rb_z4_gap0_cd48_h48_k1_short
ONLY_2025Q4,btc_rb_z4_gap0_cd48_h48_k1_short_cap20,9518,12060,btc_rb_z4_gap0_cd48_h48_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0_cd48_h48_k1_short_cap20,1264,1714,btc_rb_z4_gap0_cd48_h48_k1_short
BASE,btc_rb_z4_gap0_cd48_h48_k1_short_cap50,132864,132864,btc_rb_z4_gap0_cd48_h48_k1_short
EX_2025Q4,btc_rb_z4_gap0_cd48_h48_k1_short_cap50,120804,120804,btc_rb_z4_gap0_cd48_h48_k1_short
PRE_2025Q4,btc_rb_z4_gap0_cd48_h48_k1_short_cap50,119090,119090,btc_rb_z4_gap0_cd48_h48_k1_short
ONLY_2025Q4,btc_rb_z4_gap0_cd48_h48_k1_short_cap50,12060,12060,btc_rb_z4_gap0_cd48_h48_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0_cd48_h48_k1_short_cap50,1714,1714,btc_rb_z4_gap0_cd48_h48_k1_short
BASE,btc_rb_z4_gap0_cd144_h48_k1_short_capnone,114819,114819,btc_rb_z4_gap0_cd144_h48_k1_short
EX_2025Q4,btc_rb_z4_gap0_cd144_h48_k1_short_capnone,104201,104201,btc_rb_z4_gap0_cd144_h48_k1_short
