avg_trade_net_return_pct,bankrupt,cooldown_bars,entries,exits,final_equity,final_return_pct,flats,gap_min,horizon,losses,max_concurrent_cap,max_concurrent_positions,max_drawdown_pct,max_gross_exposure_pct,min_equity,mtm_mode,peak_equity,period,profit_factor_contribution,scenario,selected_after_cap,spec,win_rate_pct,wins,z_threshold
0.31011391052923964,False,72,1181,1181,103.70130689291392,3.701306892913925,0,1.0,72,524,0,43,-2.8099702699175166,43.0,98.14842081359131,bar_close_mtm,103.80960049661181,2026_ENTRY_ONLY,1.2388170013246091,btc_rb_z4.5_gap1_cd72_h72_k1_short_capnone,1181,btc_rb_z4.5_gap1_cd72_h72_k1_short,55.63082133784928,657,4.5
0.2806339896573267,False,72,88965,88965,1161.817817864983,1061.817817864983,0,1.0,72,39731,50,43,-15.778534517333808,43.0,85.2067457441121,bar_close_mtm,1163.031085490115,BASE,1.2465682426814209,btc_rb_z4.5_gap1_cd72_h72_k1_short_cap50,88965,btc_rb_z4.5_gap1_cd72_h72_k1_short,55.34086438487046,49234,4.5
0.2379810118953391,False,72,80995,80995,663.1163314244424,563.1163314244424,0,1.0,72,36545,50,43,-15.778534517333808,43.0,85.2067457441121,bar_close_mtm,663.8088131235886,EX_2025Q4,1.1859697302385386,btc_rb_z4.5_gap1_cd72_h72_k1_short_cap50,80995,btc_rb_z4.5_gap1_cd72_h72_k1_short,54.87993085992963,44450,4.5
0.2369136684056426,False,72,79814,79814,639.4483842997322,539.4483842997322,0,1.0,72,36021,50,41,-15.778534517333808,41.0,85.2067457441121,bar_close_mtm,642.9835925540965,PRE_2025Q4,1.1841815383722454,btc_rb_z4.5_gap1_cd72_h72_k1_short_cap50,79814,btc_rb_z4.5_gap1_cd72_h72_k1_short,54.86882000651515,43793,4.5
0.7140942072021431,False,72,7970,7970,175.20711979934472,75.20711979934474,0,1.0,72,3186,50,43,-11.35292433768129,43.0,95.0443840478978,bar_close_mtm,176.58121532925128,ONLY_2025Q4,1.399470897995393,btc_rb_z4.5_gap1_cd72_h72_k1_short_cap50,7970,btc_rb_z4.5_gap1_cd72_h72_k1_short,60.025094102885824,4784,4.5
0.31011391052923964,False,72,1181,1181,103.70130689291392,3.701306892913925,0,1.0,72,524,50,43,-2.8099702699175166,43.0,98.14842081359131,bar_close_mtm,103.80960049661181,2026_ENTRY_ONLY,1.2388170013246091,btc_rb_z4.5_gap1_cd72_h72_k1_short_cap50,1181,btc_rb_z4.5_gap1_cd72_h72_k1_short,55.63082133784928,657,4.5
0.3242804181210504,False,144,72861,72861,1011.2840968459121,911.2840968459121,0,1.0,96,32848,20,20,-17.657480475047127,20.0,85.01538911165109,bar_close_mtm,1014.0823304881153,BASE,1.265175617953724,btc_rb_z4.5_gap1_cd144_h96_k1_short_cap20,72861,btc_rb_z4.5_gap1_cd144_h96_k1_short,54.91689655645682,40013,4.5
0.2812700556326075,False,144,67961,67961,647.5537340379726,547.5537340379726,0,1.0,96,30885,20,20,-17.657480475047127,20.0,85.01538911165109,bar_close_mtm,649.3455219731044,EX_2025Q4,1.2038593452573139,btc_rb_z4.5_gap1_cd144_h96_k1_short_cap20,67961,btc_rb_z4.5_gap1_cd144_h96_k1_short,54.5548182045585,37076,4.5
0.27860672179205476,False,144,67309,67309,624.5959282711614,524.5959282711614,0,1.0,96,30606,20,20,-17.657480475047127,20.0,85.01538911165109,bar_close_mtm,628.6857677940313,PRE_2025Q4,1.199358738289815,btc_rb_z4.5_gap1_cd144_h96_k1_short_cap20,67309,btc_rb_z4.5_gap1_cd144_h96_k1_short,54.52911200582389,36703,4.5
0.9269294630784429,False,144,4903,4903,156.68017819690704,56.68017819690703,0,1.0,96,1964,20,20,-10.755220572926227,20.0,95.3181472405174,bar_close_mtm,158.65807150633643,ONLY_2025Q4,1.4945563793914245,btc_rb_z4.5_gap1_cd144_h96_k1_short_cap20,4903,btc_rb_z4.5_gap1_cd144_h96_k1_short,59.942892106873344,2939,4.5
