avg_trade_net_return_pct,bankrupt,cooldown_bars,entries,ex_q4_final_return_pct,ex_q4_mdd_pct,ex_q4_pf,exits,fee_per_side,final_equity,final_return_pct,flats,gap_min,horizon,leverage,losses,max_concurrent_cap,max_concurrent_positions,max_drawdown_pct,max_gross_exposure_pct,min_equity,mtm_mode,peak_equity,period,position_fraction,profit_factor_contribution,rank,robust_pass,scenario,selected_after_cap,selected_before_cap,slippage_bps,spec,win_rate_pct,wins,y2026_final_return_pct,y2026_mdd_pct,y2026_pf,z_threshold
0.10859357325074478,False,24,130557,182.73557345983744,-13.763464575995709,1.094989330694402,130557,0.0004,408.5383973388012,308.53839733880125,0,0.5,24,1.0,58904,50,1,-13.763464575995709,1.0,87.49320545082318,quick_exit_order,409.8182227697891,BASE,0.01,1.1254932454542905,181,True,btc_rb_z4_gap0.5_cd24_h24_k1_short_cap50,130557,130557,1.0,btc_rb_z4_gap0.5_cd24_h24_k1_short,54.882541725070276,71653,2.2473542892477605,-1.5331385144963683,1.1390750011497095,4.0
0.10857686974847108,False,24,130556,182.73557345983744,-13.763464575995709,1.094989330694402,130556,0.0004,408.4448905789453,308.4448905789453,0,0.5,24,1.0,58904,20,1,-13.763464575995709,1.0,87.49320545082318,quick_exit_order,409.7244230819491,BASE,0.01,1.1254594421777948,182,True,btc_rb_z4_gap0.5_cd24_h24_k1_short_cap20,130556,130557,1.0,btc_rb_z4_gap0.5_cd24_h24_k1_short,54.88219614571525,71652,2.2473542892477605,-1.5331385144963683,1.1390750011497095,4.0
0.09008826626120715,False,144,106520,95.4290236250346,-16.728616443541956,1.077404295989591,106520,0.0004,259.01148227161946,159.01148227161946,0,0.5,24,1.0,48185,0,1,-16.728616443541956,1.0,84.70621813512886,quick_exit_order,259.85835942989377,BASE,0.01,1.1053098899767402,183,True,btc_rb_z4_gap0.5_cd144_h24_k1_short_capnone,106520,106520,1.0,btc_rb_z4_gap0.5_cd144_h24_k1_short,54.76436349981224,58335,2.241008446698789,-1.17667498176649,1.1727620325560841,4.0
0.09008826626120715,False,144,106520,95.4290236250346,-16.728616443541956,1.077404295989591,106520,0.0004,259.01148227161946,159.01148227161946,0,0.5,24,1.0,48185,20,1,-16.728616443541956,1.0,84.70621813512886,quick_exit_order,259.85835942989377,BASE,0.01,1.1053098899767402,184,True,btc_rb_z4_gap0.5_cd144_h24_k1_short_cap20,106520,106520,1.0,btc_rb_z4_gap0.5_cd144_h24_k1_short,54.76436349981224,58335,2.241008446698789,-1.17667498176649,1.1727620325560841,4.0
0.09008826626120715,False,144,106520,95.4290236250346,-16.728616443541956,1.077404295989591,106520,0.0004,259.01148227161946,159.01148227161946,0,0.5,24,1.0,48185,50,1,-16.728616443541956,1.0,84.70621813512886,quick_exit_order,259.85835942989377,BASE,0.01,1.1053098899767402,185,True,btc_rb_z4_gap0.5_cd144_h24_k1_short_cap50,106520,106520,1.0,btc_rb_z4_gap0.5_cd144_h24_k1_short,54.76436349981224,58335,2.241008446698789,-1.17667498176649,1.1727620325560841,4.0
0.26598340631563755,False,144,82175,431.3364603078955,-14.808485104202907,1.175550254427717,82175,0.0004,878.4817006810168,778.4817006810168,0,0.5,72,1.0,36796,20,1,-14.808485104202907,1.0,86.08561053438699,quick_exit_order,879.6282443140949,BASE,0.01,1.2446056889938657,186,True,btc_rb_z4.5_gap0.5_cd144_h72_k1_short_cap20,82175,88480,1.0,btc_rb_z4.5_gap0.5_cd144_h72_k1_short,55.22239123821113,45379,2.230446697938171,-1.83535104446787,1.2066816929622004,4.5
0.2103880357644869,False,48,99293,367.2824234439278,-14.622098057597011,1.1582067108884158,99293,0.0004,795.6122425773553,695.6122425773553,0,0.5,48,1.0,44378,0,1,-14.622098057597011,1.0,85.42484873220707,quick_exit_order,796.2504778490079,BASE,0.01,1.213210768455055,187,True,btc_rb_z4.5_gap0.5_cd48_h48_k1_short_capnone,99293,99293,1.0,btc_rb_z4.5_gap0.5_cd48_h48_k1_short,55.30601351555497,54915,2.228107339247676,-2.276866050816806,1.1337754025043534,4.5
0.2103880357644869,False,48,99293,367.2824234439278,-14.622098057597011,1.1582067108884158,99293,0.0004,795.6122425773553,695.6122425773553,0,0.5,48,1.0,44378,50,1,-14.622098057597011,1.0,85.42484873220707,quick_exit_order,796.2504778490079,BASE,0.01,1.213210768455055,188,True,btc_rb_z4.5_gap0.5_cd48_h48_k1_short_cap50,99293,99293,1.0,btc_rb_z4.5_gap0.5_cd48_h48_k1_short,55.30601351555497,54915,2.228107339247676,-2.276866050816806,1.1337754025043534,4.5
0.3226290633852298,False,144,68537,471.98124022758,-16.089490166437457,1.196659170564509,68537,0.0004,899.2979737193059,799.2979737193059,0,0.0,96,1.0,30783,20,1,-16.089490166437457,1.0,84.71463724535657,quick_exit_order,900.9808683337324,BASE,0.01,1.2615227569263345,189,True,btc_rb_z5_gap0_cd144_h96_k1_short_cap20,68537,79401,1.0,btc_rb_z5_gap0_cd144_h96_k1_short,55.08557421538731,37754,2.1880414117321,-1.3005466546908262,1.2543586585710254,5.0
0.16452164802346833,False,36,109356,285.09728287185413,-12.909315575849678,1.1293093636143812,109356,0.0004,593.9624300638624,493.96243006386237,0,0.0,36,1.0,49109,20,1,-12.909315575849678,1.0,87.54120864061187,quick_exit_order,595.7568146092041,BASE,0.01,1.167492333024126,190,True,btc_rb_z4.5_gap0_cd36_h36_k1_short_cap20,109356,110292,1.0,btc_rb_z4.5_gap0_cd36_h36_k1_short,55.09254179011668,60247,2.1751352148693615,-1.9270268230830667,1.1297119652582037,4.5
0.18811623396881907,False,144,74903,193.00713259642896,-12.804288081633509,1.1522176629005705,74903,0.0004,403.29914202529505,303.29914202529505,0,0.5,36,1.0,32993,20,1,-12.804288081633509,1.0,87.7571681518226,quick_exit_order,403.9922172554425,BASE,0.01,1.1833354575189083,191,True,btc_rb_z5_gap0.5_cd144_h36_k1_short_cap20,74903,74960,1.0,btc_rb_z5_gap0.5_cd144_h36_k1_short,55.95236505880939,41910,2.1721937620714504,-1.9810608579727051,1.1764168572110647,5.0
0.2709069712490921,False,72,87495,531.2159383644255,-15.882710690168423,1.1842491579030254,87495,0.0004,1055.398109467684,955.3981094676839,0,0.5,72,1.0,39262,20,1,-15.882710690168423,1.0,84.27235551339146,quick_exit_order,1056.1972185992367,BASE,0.01,1.2510288972910344,192,True,btc_rb_z4.5_gap0.5_cd72_h72_k1_short_cap20,87495,95791,1.0,btc_rb_z4.5_gap0.5_cd72_h72_k1_short,55.1265786616378,48233,2.164743833395555,-1.8288927261610133,1.2052073652222113,4.5
