feature,bucket,feature_min,feature_max,trades,win_rate_pct,avg_net_ret_pct,med_net_ret_pct,p25_net_ret_pct,p75_net_ret_pct,p05_net_ret_pct,p95_net_ret_pct,profit_factor,avg_mae_pct,med_mae_pct,p75_mae_pct,p90_mae_pct,p95_mae_pct,p99_mae_pct,max_mae_pct,avg_mfe_pct,med_mfe_pct,p95_mfe_pct,mfe_mae_ratio,mae_gt_3_pct,mae_gt_5_pct,mae_gt_10_pct
break_slip_pct,"(0.368, 3.559]",0.37229091876080633,3.55871886120996,110,58.18181818181818,1.083545875706474,1.3656569015361297,-1.9117414245101831,4.821005643835182,-7.620117989594311,10.359477992292703,1.5572828377810857,5.793298785477506,3.6482882542084316,6.858052449128355,10.505768448553015,14.292594681896343,44.514279752250296,57.67472371530125,6.12347722817415,4.620112129411602,16.60413732114056,1.0569931665745131,60.0,38.18181818181819,10.909090909090908
break_slip_r_box,"(-0.000699, 0.0492]",0.00030102347983224976,0.049180327868845734,111,55.85585585585585,1.8017004433048096,0.32602099425630643,-1.9404487612911334,3.914901542858531,-5.00539541763512,13.544683076430678,2.2152121916661693,3.713832326661441,2.4004364429896397,4.415432574355993,6.928429098748912,9.353968321502837,21.392761873513496,48.44330983961376,6.254204362120092,3.6100482448843785,17.233144874674622,1.684029813952943,37.83783783783784,19.81981981981982,5.405405405405405
break_slip_r_box,"(0.0492, 0.105]",0.04939249867934288,0.10482119588822814,110,50.0,0.02936058039003221,0.020047250894963474,-1.679119539367144,2.221051828658729,-5.68016988884248,5.0345470383275215,1.0226719752644358,3.9752122938938035,2.398832386584804,4.975985910942304,10.437443656047616,11.819781773532553,18.914808125763905,19.640852974186316,3.3187229018524445,2.392430268237189,9.266785817715181,0.8348542559475952,43.63636363636363,24.545454545454547,11.818181818181818
break_slip_r_box,"(0.105, 0.177]",0.10508083140876094,0.1770428015564189,110,53.63636363636364,0.3385990380522798,0.2984035601924307,-2.1164096167806545,3.234995830635914,-10.171458049403677,10.050874510883911,1.1678184527435118,5.2475732439222496,3.115821903291238,6.602724308463448,12.261724059729193,14.544760542075249,33.12281988396203,57.67472371530125,4.451006157059599,3.104874210389752,14.194898503344998,0.8482027691971262,51.81818181818182,29.09090909090909,12.727272727272727
break_slip_r_box,"(0.177, 0.289]",0.17857142857142275,0.28947368421051195,110,50.90909090909091,0.31272508139327954,0.09513093822061344,-2.089577598528742,2.4222936241933137,-7.277272291260116,9.403517971860445,1.1855051846149511,4.349415606626229,2.8908538884941493,5.393855269070041,9.070803691581641,12.466897842057502,18.951167983866263,45.39085545722714,4.329073816954787,2.690129354673776,13.61353190199781,0.9953230982018706,47.27272727272727,30.0,8.181818181818182
break_slip_r_box,"(0.289, 154.0]",0.29268292682926367,153.9999999955591,110,61.81818181818181,1.0870469790207047,1.057757346791468,-0.893004563864711,3.1980912400664385,-6.252411037136719,6.12018557816168,2.0253012683132106,3.455857201793338,1.9248497004602516,4.732812571477885,7.769630160606013,9.886593288631934,14.829177820601132,35.65112540192927,4.233748486880438,2.9210767883191657,12.133795993917612,1.2250935845044264,37.27272727272727,22.727272727272727,4.545454545454546
break_bar_range_pct,"(0.0087, 0.3]",0.009699835102804626,0.30007501875468895,111,41.44144144144144,-0.39228291295471596,-0.2412903225806539,-1.2048741741950675,0.9587986507480184,-4.727909830276841,4.05539919786956,0.6753585008811543,2.8121239007799135,1.5323936376568037,2.9137858667695693,4.773652399161232,7.769848329923135,18.129028497595083,48.44330983961376,2.2095400775522034,1.5392828543464798,7.043855398944587,0.7857193194579408,24.324324324324326,9.90990990990991,3.6036036036036037
break_bar_range_pct,"(0.3, 0.46]",0.3009027081243725,0.46035805626598364,110,51.81818181818182,-0.23574360490395033,0.15490682664568664,-2.0477149080785635,1.9566769468931957,-8.09266443130708,5.678623332309835,0.8581966136020268,3.8006110833179347,2.4889464075922296,5.151643338333067,8.122260413301236,12.230005361803721,21.174080751331154,22.111913357400724,3.1808956297815123,2.3662021006847445,8.62779343468424,0.8369432073024924,38.18181818181819,26.36363636363636,8.181818181818182
break_bar_range_pct,"(0.46, 0.658]",0.46411662098179773,0.658436213991777,110,60.909090909090914,1.0426979912394236,0.43069886133369156,-1.7749985905121755,3.3735742982467585,-5.737773793151477,8.757466915721869,1.8558208754594288,3.387797597910417,2.36795811259376,4.382592315399824,7.0792542997648065,10.281636112405401,12.789598759718622,19.097413318657132,4.436154959880614,2.9590302218392206,13.587713274478554,1.3094510022135977,41.81818181818181,18.181818181818183,7.2727272727272725
break_bar_range_pct,"(0.658, 0.98]",0.6586169045005524,0.9798865394533223,110,56.36363636363636,0.8986129997849058,0.8180688493701593,-1.962655832743721,4.192542187099837,-7.403470286674118,10.140807662580942,1.5258627201165074,4.874787147376932,3.1471774628443194,6.3795349194458115,9.198559331061489,12.990659087770974,32.90632767137386,45.39085545722714,5.340308039257491,3.950750577534612,12.702831412134373,1.0954956345388434,54.54545454545454,33.63636363636363,7.2727272727272725
break_bar_range_pct,"(0.98, 8.077]",0.9836416123169082,8.07735302189526,110,61.81818181818181,2.276092952234166,1.919827430575696,-1.635580107618856,5.435024631556198,-8.175250287649254,12.333334646970151,2.3037640861651423,5.87476829283806,3.9424427575260546,7.234377219565314,12.219922128783448,15.601094276235854,34.21020088343235,57.67472371530125,7.456626693709792,4.880208301197609,18.72737157537452,1.2692631133725185,59.09090909090909,38.18181818181819,16.363636363636363
break_bar_body_pct,"(-0.001, 0.165]",0.0,0.16547861507128184,111,44.14414414414414,-0.05065963755732163,-0.11774439495736191,-1.3516210226771885,1.409085880542429,-5.937345513045626,6.263709418850752,0.9644187183195618,3.1722700097593144,1.6840019811787954,3.1357769113361633,7.047602970965561,9.883912161642883,21.31859114134885,48.44330983961376,2.9406945634713266,2.1505376344086002,8.825981620718471,0.9270000833549608,26.126126126126124,14.414414414414415,5.405405405405405
break_bar_body_pct,"(0.165, 0.304]",0.16643890816076362,0.3035083644983449,110,51.81818181818182,0.00699753459126241,0.12506785782941074,-1.9185431014300511,1.9033317358743942,-5.564559402250333,5.681769671053629,1.005361127791549,3.483174211376158,2.126446217619382,5.0824315187119,7.148562222449719,10.33063735276421,16.709265327684935,19.706444328643393,3.207637649202176,2.632302246607987,9.157506028246637,0.9208949809992074,39.09090909090909,25.454545454545453,6.363636363636363
