symbol,trades,win_rate_pct,avg_net_ret_pct,med_net_ret_pct,p25_net_ret_pct,p75_net_ret_pct,p05_net_ret_pct,p95_net_ret_pct,profit_factor,avg_mae_pct,med_mae_pct,p75_mae_pct,p90_mae_pct,p95_mae_pct,p99_mae_pct,max_mae_pct,avg_mfe_pct,med_mfe_pct,p95_mfe_pct,mfe_mae_ratio,mae_gt_3_pct,mae_gt_5_pct,mae_gt_10_pct
DYDX_5m,2,50.0,0.9325551488194994,0.9325551488194994,-0.6060884970188258,2.4711987946578247,-1.837003413689486,3.7021137113284843,1.8696238846657804,4.147157190635453,4.147157190635453,4.723151244890378,5.068747677443333,5.183946488294318,5.2761055369751055,5.2991452991453025,3.042514796495588,3.042514796495588,4.58562799786819,0.7336386485098229,50.0,50.0,0.0
FTM_5m,2,50.0,0.8652957695851082,0.8652957695851082,-0.056622051560870634,1.787213590731087,-0.7941563084776537,2.52474784764787,2.7685447342917486,1.6825652632947552,1.6825652632947552,2.0501983853307926,2.270778258552415,2.3443048829596225,2.4031261824853885,2.41783150736683,4.056244747950166,4.056244747950166,5.655087586793101,2.410750320618966,0.0,0.0,0.0
PHB_5m,2,50.0,0.7243862851566385,0.7243862851566385,-1.2838984878286448,2.732671058141922,-2.8905263062168713,4.3392988765301475,1.4400643753820364,2.763699717006951,2.763699717006951,4.099025582422561,4.900221101671927,5.167286274755048,5.380938413221546,5.4343514478381705,3.6448035912838517,3.6448035912838517,5.498666111552148,1.3188131723771799,50.0,50.0,0.0
ME_5m,2,100.0,0.7074716552727311,0.7074716552727311,0.4867462082592056,0.9281971022862567,0.31016585064838514,1.1047774598970772,14149433105.454624,1.3904411430648356,1.3904411430648356,1.6833628640225418,1.8591158965971655,1.9177002407887067,1.9645677161419397,1.976284584980248,4.02939019350862,4.02939019350862,5.646440662613487,2.8979221548543688,0.0,0.0,0.0
OM_5m,2,100.0,0.6284699346475153,0.6284699346475153,0.3768438087597271,0.8800960605353036,0.17554290804949643,1.0813969612455343,12569398692.950308,1.984156321204622,1.984156321204622,2.1401591560210544,2.2337608569109135,2.2649614238741997,2.289921877444829,2.2961619908374864,1.8445038068603536,1.8445038068603536,2.812618070604976,0.9296161734578037,0.0,0.0,0.0
AXL_5m,2,50.0,0.5655949908392321,0.5655949908392321,0.1557032753087712,0.9754867063696931,-0.1722100971155976,1.3034000787940618,5.450202301457534,3.0220834538390084,3.0220834538390084,4.128427513721533,4.792233949651048,5.013502761627553,5.190517811208757,5.234771573604058,2.123018323757564,2.123018323757564,3.139790566501117,0.7025015543699346,50.0,50.0,0.0
IOTX_5m,2,50.0,0.4802263628297522,0.4802263628297522,-0.6095234694539962,1.5699761951135005,-1.481323335280995,2.4417760609404993,1.5652138032636111,4.003143939772746,4.003143939772746,4.900741602152092,5.4393001995797,5.618819732055568,5.762435358036264,5.798339264531438,3.256710194263679,3.256710194263679,3.6237526721563085,0.813538119853007,50.0,50.0,0.0
GALA_5m,2,100.0,0.2689420360499262,0.2689420360499262,0.2236699844332358,0.3142140876666167,0.18745234313988343,0.35043172895996905,5378840720.998525,4.691062140207569,4.691062140207569,6.939943725775271,8.289272677115893,8.739048994229433,9.098870047920267,9.188825311342974,1.8307812690977587,1.8307812690977587,1.9750451711940287,0.39027009542379476,50.0,50.0,0.0
ALGO_5m,2,50.0,0.21825446431593343,0.21825446431593343,-0.9328547101454925,1.3693636387773593,-1.8537420497146333,2.2902509783465,1.209460889344636,1.6849143064257222,1.6849143064257222,1.8649290633252158,1.972937917464912,2.0089408688448107,2.0377432299487297,2.0449438202247094,4.842464840493255,4.842464840493255,6.366458598006709,2.874012537032684,0.0,0.0,0.0
COMP_5m,2,100.0,0.12452158161569091,0.12452158161569091,0.09829485406817835,0.15074830916320345,0.07731347203016832,0.17172969120121348,2490431632.313818,2.691237073681252,2.691237073681252,3.7028137034462674,4.309759681305277,4.51207500725828,4.673927268020682,4.714390333211282,1.3859894383171478,1.3859894383171478,2.236175078076595,0.5150008714844656,50.0,0.0,0.0
