trades,wins,losses,win_rate_pct,final_asset,final_return_pct,peak_asset,max_return_pct,max_drawdown_pct,official_cd_value,pf,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,gross_profit,gross_loss,axis,strategy,parent,family,description,raw_trades_generated,errors,initial_asset,position_fraction,fee_per_side,round_trip_fee,short_dev,short_rsi_min,short_wick_mult,score_min_short,dd_brake_trigger_pct,dd_brake_freeze_steps,atr_stop_mult,rr_mult,min_expected_tp,timeout_bars,fail_fast_bars,time_reduce_bars,time_reduce_to_risk_frac,elapsed_sec,parent_trades,parent_max_return_pct,parent_max_drawdown_pct,parent_official_cd_value,parent_trade_ratio,delta_max_return_pct,delta_max_drawdown_pct,delta_official_cd_value,sm24_trades,sm24_official_cd_value,sm24_trade_ratio,delta_vs_sm24_max_return_pct,delta_vs_sm24_max_drawdown_pct,delta_vs_sm24_official_cd_value,gate_mdd_under_5,gate_trades_over_20000,gate_active_leftover_zero,gate_candidate_pass,gate_beats_parent_cd,gate_beats_sm24_cd,gate_v15_strong_pass
28277,4497,23780,15.903384375994625,426.6341877527195,326.6341877527195,426.91049173859057,326.91049173859057,4.040604539304471,409.660727030634,1.4254325009366695,286,286,3358,0,1094.4038974800349,767.7697097273202,short_main,SM15_B07_rr57_tr12_f005,short_beh_dd_brake,rr_time_reduce,"RR 5.7, time_reduce_bars 12, risk_frac 0.05.",34027,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.7,0.003,200,10,12,0.05,305.1781017780304,28308,322.7577232826396,4.4066222161057595,404.12838752816384,0.9989049032075739,4.152768455950991,-0.36601767680128816,5.532339502470165,28311,408.3085802510934,0.998799053371481,-0.020393487318301595,-0.3212970281966765,1.3521467795405897,True,True,True,True,True,True,True
28270,4600,23670,16.271666077113547,427.26575594387845,327.2657559438785,427.54571242041646,327.54571242041646,4.3301535016953885,409.0323267826953,1.416404271088473,286,286,3357,0,1113.1985108803644,785.9327549364829,short_main,SM15_B16_rr585_tr12_f008,short_beh_dd_brake,rr_time_reduce,"RR 5.85, time_reduce_bars 12, risk_frac 0.08.",34016,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.85,0.003,200,10,12,0.08,318.7481665611267,28308,322.7577232826396,4.4066222161057595,404.12838752816384,0.9986576232867034,4.78798913777689,-0.07646871441037106,4.903939254531451,28311,408.3085802510934,0.9985517996538448,0.6148271945075976,-0.031748065805759396,0.7237465316018756,True,True,True,True,True,True,True
28311,4330,23981,15.294408533785456,426.6545680410138,326.65456804101376,426.93088522590887,326.93088522590887,4.361901567501148,408.3085802510934,1.4450129929307327,286,286,3357,0,1060.6883450994312,734.0337770584155,short_main,SM24_00_rr575_candidate,short_beh_dd_brake,sm24_candidate,v1.4에서 확인된 승격 후보. 기준선 진입 조건 유지 + rr_mult 5.75.,34045,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.75,0.003,200,10,10,0.05,347.569566488266,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.0001059771089444,4.173161943269292,-0.04472064860461167,4.180192722929576,28311,408.3085802510934,1.0,0.0,0.0,0.0,True,True,True,True,True,False,False
28311,4330,23981,15.294408533785456,426.6396096855965,326.63960968559655,426.91591718291056,326.91591718291056,4.361901567501148,408.2942650993973,1.4449946307362649,286,286,3357,0,1060.6700611208453,734.0304514352447,short_main,SM15_C06_rr575_ff12,short_beh_dd_brake,rr_failfast,"RR 5.75, fail_fast_bars 12.",34045,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.75,0.003,200,12,10,0.05,758.3817384243011,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.0001059771089444,4.158193900270987,-0.04472064860461167,4.165877571233466,28311,408.3085802510934,1.0,-0.014968042998305009,0.0,-0.014315151696109751,True,True,True,True,True,False,False
28374,4057,24317,14.298301261718475,426.71217228250816,326.7121722825082,426.9863645573366,326.9863645573365,4.397026726473197,408.21165998935413,1.4815462510525483,286,286,3360,0,1005.176954363952,678.464782081447,short_main,SM15_E01_defense_fast_rr57_tr8_f003_ff8_dd0025_3,short_beh_dd_brake,combo_narrow,"복합 후보 defense_fast: rr 5.7, tr 8/0.03, ff 8, dd 0.025/3.",34111,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.025,3,1.8975,5.7,0.003,200,8,8,0.03,369.59132862091064,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.0023314963967782,4.22864127469694,-0.009595489632562959,4.08327246119029,28311,408.3085802510934,1.0022252834587262,0.05547933142764805,0.03512515897204871,-0.09692026173928525,True,True,True,True,True,False,False
28270,4604,23666,16.285815351963212,426.9507948519284,326.9507948519283,427.2305449571475,327.2305449571475,4.521295749597954,407.91418848701585,1.415722331556277,286,286,3357,0,1113.4151486622552,786.4643538103257,short_main,SM15_B12_rr575_tr12_f008,short_beh_dd_brake,rr_time_reduce,"RR 5.75, time_reduce_bars 12, risk_frac 0.08.",34021,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.75,0.003,200,10,12,0.08,300.06598472595215,28308,322.7577232826396,4.4066222161057595,404.12838752816384,0.9986576232867034,4.472821674507941,0.11467353349219422,3.7858009588520076,28311,408.3085802510934,0.9985517996538448,0.2996597312386484,0.1593941820968059,-0.39439176407756804,True,True,True,True,True,False,False
28307,4327,23980,15.285971667785352,426.15163636636777,326.1516363663677,426.42762783421927,326.42762783421927,4.391785462673714,407.6998412661717,1.445295078036101,286,286,3357,0,1058.5909837869788,732.4393474206082,short_main,SM15_A11_rr5875,short_beh_dd_brake,rr_fine,SM24 주변 RR 단독 조정. rr_mult=5.875.,34040,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.875,0.003,200,10,10,0.05,588.4853718280792,28308,322.7577232826396,4.4066222161057595,404.12838752816384,0.9999646742970185,3.669904551579691,-0.01483675343204549,3.571453738007847,28311,408.3085802510934,0.9998587121613507,-0.5032573916896013,0.029883895172566177,-0.6087389849217288,True,True,True,True,True,False,False
28362,4336,24026,15.288061490727028,426.22476175522826,326.22476175522826,426.50080058177,326.50080058177,4.50261918935968,407.2970936920026,1.4435607305159655,286,286,3357,0,1061.692848336636,735.4680865814075,short_main,SM15_D06_rr575_dd0035_f3,short_beh_dd_brake,rr_dd_brake,"RR 5.75, dd_brake 0.035, freeze 3.",34045,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.035,3,1.8975,5.75,0.003,200,10,10,0.05,338.63087940216064,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.0019075879610004,3.743077299130448,0.09599697325392054,3.168706163838749,28311,408.3085802510934,1.0018014199427785,-0.4300846441388444,0.1407176218585322,-1.0114865590908266,True,True,True,True,True,False,False
28333,4331,24002,15.286062188966929,426.70853782828186,326.7085378282818,426.9848899659954,326.9848899659954,4.655433271261167,407.1068933352606,1.4454429609243642,286,286,3357,0,1060.1549417187168,733.4464038904346,short_main,SM15_D05_rr575_dd0025_f3,short_beh_dd_brake,rr_dd_brake,"RR 5.75, dd_brake 0.025, freeze 3.",34045,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.025,3,1.8975,5.75,0.003,200,10,10,0.05,341.23615431785583,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.0008831425745373,4.227166683355847,0.24881105515540725,2.9785058070967807,28311,408.3085802510934,1.000777083112571,0.05400474008655465,0.2935317037600189,-1.201686915832795,True,True,True,True,True,False,False
28331,4328,24003,15.276552186650665,426.0086081450139,326.0086081450139,426.2845069825305,326.2845069825305,4.56521019187236,406.8237232233912,1.4445797502974516,286,286,3357,0,1059.3047331414787,733.2961249964625,short_main,SM15_D07_rr58_dd003_f3,short_beh_dd_brake,rr_dd_brake,"RR 5.8, dd_brake 0.03, freeze 3.",34042,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,3,1.8975,5.8,0.003,200,10,10,0.05,339.2934465408325,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.0008124911685743,3.5267836998909274,0.15858797576660066,2.6953356952273566,28311,408.3085802510934,1.0007064391932465,-0.6463782433783649,0.20330862437121233,-1.484857027702219,True,True,True,True,True,False,False
