axis,baseline_version,strategy,symbol,side,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,exit_reason,score,same_bar,side_trade_id
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,SOPH,long,1994,1995,2002,1767824100000000000,1767826200000000000,0.013347,0.013367838546871352,0.0007612906923916369,stop,0.5895324696027198,False,190
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,币安人生,long,2004,2005,2007,1767827100000000000,1767827700000000000,0.1603,0.16155956514024572,0.007057549221744975,stop,1.805146814047618,False,191
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,RVV,long,2009,2010,2011,1767828600000000000,1767828900000000000,0.003856,0.00386463632743466,0.0014397114716441458,stop,3.161065882059673,False,192
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,RIVER,long,2012,2013,2016,1767829500000000000,1767830400000000000,16.787,16.852483852694615,0.00310086690263991,stop,1.1077540036975346,False,193
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,STABLE,long,2017,2018,2019,1767831000000000000,1767831300000000000,0.01477,0.014800314988316127,0.001252470434402709,stop,1.1063834051408052,False,194
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,BROCCOLI714,long,2022,2023,2023,1767832500000000000,1767832500000000000,0.03114,0.030362159606983106,-0.025778818015956804,stop,4.061244476836256,True,195
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,SONIC,long,2022,2023,2025,1767832500000000000,1767833100000000000,0.0826,0.08277623700373027,0.0013336198998820333,stop,1.803537244008595,False,196
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,FHE,long,2038,2039,2039,1767837300000000000,1767837300000000000,0.03899,0.03819031714294253,-0.021309947603423172,stop,2.0808248986640563,True,197
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,PIPPIN,long,2065,2066,2067,1767845400000000000,1767845700000000000,0.25924,0.2600865037954454,0.002465328635416509,stop,1.3084406779502087,False,198
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,PTB,long,2066,2067,2068,1767845700000000000,1767846000000000000,0.002795,0.0028001385526817304,0.001038480387023278,stop,3.1876680097564596,False,199
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,SHELL,long,2070,2071,2072,1767846900000000000,1767847200000000000,0.04679,0.046227093403478255,-0.012830489346478768,stop,1.9399310769274751,False,200
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,CROSS,long,2078,2079,2081,1767849300000000000,1767849900000000000,0.12471,0.12494011225509555,0.0010451788557096727,stop,1.3219634907045166,False,201
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,ICNT,long,2095,2096,2097,1767854400000000000,1767854700000000000,0.4068,0.4079958582616834,0.0021396712430762584,stop,1.4512589456520806,False,202
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,OG,long,2112,2113,2113,1767859500000000000,1767859500000000000,4.081,4.038817710155574,-0.011136263132669999,stop,2.650401398604306,True,203
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,LIGHT,long,2118,2119,2136,1767861300000000000,1767866400000000000,0.5494,0.5777,0.05071073898798697,time,7.662402630676652,False,204
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,UB,long,2123,2124,2125,1767862800000000000,1767863100000000000,0.04218,0.04133387616790014,-0.020859834805591924,stop,4.22514987094472,False,205
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,ZBT,long,2126,2127,2131,1767863700000000000,1767864900000000000,0.1223,0.12249205427855579,0.0007703538720832632,stop,3.553682870969005,False,206
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,TRADOOR,long,2146,2147,2147,1767869700000000000,1767869700000000000,1.723,1.6979021713572902,-0.015366354406680193,stop,3.574014361041343,True,207
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,币安人生,long,2157,2158,2159,1767873000000000000,1767873300000000000,0.13948,0.13988890405186108,0.0021316321469823326,stop,1.4211157785186426,False,208
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,4,long,2168,2169,2186,1767876300000000000,1767881400000000000,0.02051,0.02222,0.08257396392003905,time,8.168935571193433,False,209
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,GIGGLE,long,2170,2171,2172,1767876900000000000,1767877200000000000,59.97,60.072344379312526,0.0009065929516846267,stop,1.066985805508081,False,210
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,NAORIS,long,2175,2176,2177,1767878400000000000,1767878700000000000,0.03564,0.035738780312887235,0.001971613717374777,stop,1.04626111194828,False,211
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,BEAT,long,2177,2178,2178,1767879000000000000,1767879000000000000,0.5098,0.496509176088804,-0.02687066283090631,stop,1.8779874119748121,True,212
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,PIEVERSE,long,2189,2190,2190,1767882600000000000,1767882600000000000,0.7365,0.7250491731547882,-0.01634762640218843,stop,4.461686539375414,True,213
