run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,old_n,mid_n,recent_n,old_ret_max,old_dd_min,mid_absret_max,mid_atrp_slope_max,mid_range_contract_max,recent_ret_min,recent_close_reclaim_min,cur_ret1_min,cur_close_pos_min,cur_upper_wick_max,ret20_min,ret60_min,ret20_max,ret60_max,atrp_min,atrp_max,range20_max,range60_max,rsi_min,rsi_max,ema20_pos_min,ema50_pos_min,ema100_pos_min,volr_min,volr_max,body_atr_max,fail_bars,fail_pnl,verdict,note
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_C_021,weak_contract_recovery,weak_state_range_contract_then_recovery,long,392203,120784,271419,30.796296815679636,-97.87575667421503,0.0,99.99999966123607,3.38763928020569e-07,597,0,0.01,0.0004,0.08,SMG_C_021,0.95,2.8,14,20,48,12,6,-0.025,-0.18,0.006,0.003,0.08,0.004,0.015,-0.002,0.55,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,2.8,2.2,5,-0.42,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_C_022,weak_contract_recovery,weak_state_range_contract_then_recovery,long,397317,152157,245160,38.2961212331715,-98.21080406275506,0.0,99.99999847899433,1.5210056769632274e-06,597,0,0.01,0.0004,0.08,SMG_C_022,0.95,1.5,14,20,48,12,6,-0.025,-0.18,0.006,0.003,0.12,0.004,0.015,-0.002,0.55,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,2.8,2.2,5,-0.42,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_C_023,weak_contract_recovery,weak_state_range_contract_then_recovery,long,393786,128452,265334,32.61974778179011,-98.05888965095319,0.0,99.99999952753326,4.7246673240408654e-07,597,0,0.01,0.0004,0.08,SMG_C_023,0.95,2.2,14,20,48,12,6,-0.025,-0.18,0.006,0.003,0.12,0.004,0.015,-0.002,0.55,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,2.8,2.2,5,-0.42,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_C_024,weak_contract_recovery,weak_state_range_contract_then_recovery,long,392241,120791,271450,30.795097911743035,-97.88105060491105,0.0,99.9999996626792,3.3732079351977973e-07,597,0,0.01,0.0004,0.08,SMG_C_024,0.95,2.8,14,20,48,12,6,-0.025,-0.18,0.006,0.003,0.12,0.004,0.015,-0.002,0.55,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,2.8,2.2,5,-0.42,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_C_025,weak_contract_recovery,weak_state_range_contract_then_recovery,long,397318,152158,245160,38.29627653416156,-98.21075232798127,0.0,99.99999847922085,1.520779147057283e-06,597,0,0.01,0.0004,0.08,SMG_C_025,0.95,1.5,14,20,48,12,6,-0.025,-0.18,0.006,0.003,0.18,0.004,0.015,-0.002,0.55,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,2.8,2.2,5,-0.42,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_C_026,weak_contract_recovery,weak_state_range_contract_then_recovery,long,393787,128453,265334,32.61991889016143,-98.05883352355943,0.0,99.99999952760363,4.723963664687858e-07,597,0,0.01,0.0004,0.08,SMG_C_026,0.95,2.2,14,20,48,12,6,-0.025,-0.18,0.006,0.003,0.18,0.004,0.015,-0.002,0.55,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,2.8,2.2,5,-0.42,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_C_027,weak_contract_recovery,weak_state_range_contract_then_recovery,long,392242,120792,271450,30.795274345939493,-97.88098933528401,0.0,99.99999966272945,3.372705448256852e-07,597,0,0.01,0.0004,0.08,SMG_C_027,0.95,2.8,14,20,48,12,6,-0.025,-0.18,0.006,0.003,0.18,0.004,0.015,-0.002,0.55,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,2.8,2.2,5,-0.42,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_D_028,strict_multistage_migration,selloff_to_calm_to_reclaim_to_confirm,long,84938,31098,53840,36.61258800536862,-48.59287796796624,0.0,98.21286004355153,1.7871399564484691,597,0,0.01,0.0004,0.08,SMG_D_028,0.9,2.2,8,20,48,12,6,-0.05,-0.18,0.005,0.002,0.12,0.004,0.018,0,0.6,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,3.5,2.2,4,-0.38,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_D_029,strict_multistage_migration,selloff_to_calm_to_reclaim_to_confirm,long,84720,26919,57801,31.774079320113312,-51.17326890154925,0.0,98.84971754021298,1.150282459787022,597,0,0.01,0.0004,0.08,SMG_D_029,0.9,2.2,16,20,48,12,6,-0.05,-0.18,0.005,0.002,0.12,0.004,0.018,0,0.6,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,3.5,2.2,4,-0.38,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_D_030,strict_multistage_migration,selloff_to_calm_to_reclaim_to_confirm,long,84680,25426,59254,30.025980160604632,-53.69949009376951,0.0,99.00657248319077,0.993427516809231,597,0,0.01,0.0004,0.08,SMG_D_030,0.9,2.2,24,20,48,12,6,-0.05,-0.18,0.005,0.002,0.12,0.004,0.018,0,0.6,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,3.5,2.2,4,-0.38,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_D_031,strict_multistage_migration,selloff_to_calm_to_reclaim_to_confirm,long,72835,26669,46166,36.615638086084985,-41.9542734432965,0.0,96.88041547262647,3.119584527373531,597,0,0.01,0.0004,0.08,SMG_D_031,0.9,2.2,8,20,48,12,6,-0.05,-0.18,0.005,0.002,0.12,0.008,0.018,0,0.6,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,3.5,2.2,4,-0.38,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_D_032,strict_multistage_migration,selloff_to_calm_to_reclaim_to_confirm,long,72700,23138,49562,31.826685006877582,-45.12048961264426,0.0,97.86332592596489,2.1366740740351164,597,0,0.01,0.0004,0.08,SMG_D_032,0.9,2.2,16,20,48,12,6,-0.05,-0.18,0.005,0.002,0.12,0.008,0.018,0,0.6,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,3.5,2.2,4,-0.38,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_D_033,strict_multistage_migration,selloff_to_calm_to_reclaim_to_confirm,long,72682,21901,50781,30.132632563770944,-47.70919339081288,0.0,98.11020590662639,1.889794093373609,597,0,0.01,0.0004,0.08,SMG_D_033,0.9,2.2,24,20,48,12,6,-0.05,-0.18,0.005,0.002,0.12,0.008,0.018,0,0.6,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,3.5,2.2,4,-0.38,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_D_034,strict_multistage_migration,selloff_to_calm_to_reclaim_to_confirm,long,46654,16691,29963,35.77613923779312,-31.739077507277447,0.0,90.05781506359462,9.942184936405384,597,0,0.01,0.0004,0.08,SMG_D_034,0.9,2.2,8,20,48,12,6,-0.05,-0.18,0.005,0.002,0.12,0.014,0.018,0,0.6,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,3.5,2.2,4,-0.38,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_D_035,strict_multistage_migration,selloff_to_calm_to_reclaim_to_confirm,long,46613,14572,32041,31.26166520069508,-34.10136780848294,0.0,92.17039635883437,7.829603641165628,597,0,0.01,0.0004,0.08,SMG_D_035,0.9,2.2,16,20,48,12,6,-0.05,-0.18,0.005,0.002,0.12,0.014,0.018,0,0.6,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,3.5,2.2,4,-0.38,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_D_036,strict_multistage_migration,selloff_to_calm_to_reclaim_to_confirm,long,46610,13818,32792,29.645998712722594,-36.304065076992266,0.0,92.73001362640031,7.269986373599691,597,0,0.01,0.0004,0.08,SMG_D_036,0.9,2.2,24,20,48,12,6,-0.05,-0.18,0.005,0.002,0.12,0.014,0.018,0,0.6,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,3.5,2.2,4,-0.38,invalid_no_peak,max_return <= 0
