entry_ts,entry_dt,candidate_count,long_count,short_count,selected_count_top200,rejected_count_top200
1584097200000000,1970-01-19 08:01:37.200000,2,2,0,2,0
1584097500000000,1970-01-19 08:01:37.500000,10,10,0,10,0
1584097800000000,1970-01-19 08:01:37.800000,1,1,0,1,0
1584098400000000,1970-01-19 08:01:38.400000,9,9,0,9,0
1584098700000000,1970-01-19 08:01:38.700000,1,1,0,1,0
1584118800000000,1970-01-19 08:01:58.800000,1,0,1,1,0
1584126000000000,1970-01-19 08:02:06,1,0,1,1,0
1584139200000000,1970-01-19 08:02:19.200000,1,0,1,1,0
1584170700000000,1970-01-19 08:02:50.700000,1,0,1,1,0
1584173100000000,1970-01-19 08:02:53.100000,1,0,1,1,0
1584173700000000,1970-01-19 08:02:53.700000,1,0,1,1,0
1584257400000000,1970-01-19 08:04:17.400000,1,1,0,1,0
1584297900000000,1970-01-19 08:04:57.900000,1,0,1,1,0
1584300300000000,1970-01-19 08:05:00.300000,1,0,1,1,0
1584301500000000,1970-01-19 08:05:01.500000,1,0,1,1,0
1584336300000000,1970-01-19 08:05:36.300000,1,1,0,1,0
1584341400000000,1970-01-19 08:05:41.400000,3,0,3,3,0
1584370800000000,1970-01-19 08:06:10.800000,1,1,0,1,0
1584371400000000,1970-01-19 08:06:11.400000,21,21,0,21,0
1584375000000000,1970-01-19 08:06:15,1,1,0,1,0
1584376200000000,1970-01-19 08:06:16.200000,1,1,0,1,0
1584376800000000,1970-01-19 08:06:16.800000,9,9,0,9,0
1584379800000000,1970-01-19 08:06:19.800000,1,1,0,1,0
1584385800000000,1970-01-19 08:06:25.800000,10,10,0,10,0
1584386100000000,1970-01-19 08:06:26.100000,4,4,0,4,0
1584441300000000,1970-01-19 08:07:21.300000,6,0,6,6,0
1584546300000000,1970-01-19 08:09:06.300000,1,1,0,1,0
1584595500000000,1970-01-19 08:09:55.500000,1,0,1,1,0
1584609000000000,1970-01-19 08:10:09,1,0,1,1,0
1584644700000000,1970-01-19 08:10:44.700000,1,0,1,1,0
1584653100000000,1970-01-19 08:10:53.100000,1,0,1,1,0
1584666900000000,1970-01-19 08:11:06.900000,3,0,3,3,0
1584667200000000,1970-01-19 08:11:07.200000,1,0,1,1,0
1584667800000000,1970-01-19 08:11:07.800000,11,0,11,11,0
1584690900000000,1970-01-19 08:11:30.900000,1,0,1,1,0
1584699300000000,1970-01-19 08:11:39.300000,1,0,1,1,0
1584739800000000,1970-01-19 08:12:19.800000,1,0,1,1,0
1584762300000000,1970-01-19 08:12:42.300000,6,6,0,6,0
1584762600000000,1970-01-19 08:12:42.600000,1,1,0,1,0
1584763500000000,1970-01-19 08:12:43.500000,3,3,0,3,0
1584767400000000,1970-01-19 08:12:47.400000,3,3,0,3,0
1584768000000000,1970-01-19 08:12:48,2,2,0,2,0
1584768900000000,1970-01-19 08:12:48.900000,22,22,0,22,0
1584788100000000,1970-01-19 08:13:08.100000,1,0,1,1,0
1584789000000000,1970-01-19 08:13:09,1,0,1,1,0
1584789900000000,1970-01-19 08:13:09.900000,1,0,1,1,0
1584840000000000,1970-01-19 08:14:00,1,0,1,1,0
1584911400000000,1970-01-19 08:15:11.400000,10,10,0,10,0
1584912000000000,1970-01-19 08:15:12,2,2,0,2,0
1584912300000000,1970-01-19 08:15:12.300000,3,3,0,3,0
1584966600000000,1970-01-19 08:16:06.600000,1,0,1,1,0
1584998400000000,1970-01-19 08:16:38.400000,1,0,1,1,0
1584998700000000,1970-01-19 08:16:38.700000,19,0,19,19,0
1584999300000000,1970-01-19 08:16:39.300000,1,0,1,1,0
1585001400000000,1970-01-19 08:16:41.400000,16,0,16,16,0
1585101300000000,1970-01-19 08:18:21.300000,1,0,1,1,0
1585169100000000,1970-01-19 08:19:29.100000,1,1,0,1,0
1585307400000000,1970-01-19 08:21:47.400000,1,0,1,1,0
1585359300000000,1970-01-19 08:22:39.300000,1,0,1,1,0
1585385400000000,1970-01-19 08:23:05.400000,20,20,0,20,0
1585386600000000,1970-01-19 08:23:06.600000,1,1,0,1,0
1585386900000000,1970-01-19 08:23:06.900000,4,4,0,4,0
1585387200000000,1970-01-19 08:23:07.200000,3,3,0,3,0
1585387500000000,1970-01-19 08:23:07.500000,3,3,0,3,0
1585388100000000,1970-01-19 08:23:08.100000,2,2,0,2,0
1585733100000000,1970-01-19 08:28:53.100000,1,1,0,1,0
1586126400000000,1970-01-19 08:35:26.400000,1,0,1,1,0
1586180700000000,1970-01-19 08:36:20.700000,1,0,1,1,0
1586251200000000,1970-01-19 08:37:31.200000,1,0,1,1,0
1586251800000000,1970-01-19 08:37:31.800000,1,0,1,1,0
1586274600000000,1970-01-19 08:37:54.600000,1,0,1,1,0
1586274900000000,1970-01-19 08:37:54.900000,1,0,1,1,0
1586289000000000,1970-01-19 08:38:09,1,0,1,1,0
1586323200000000,1970-01-19 08:38:43.200000,11,11,0,11,0
1586347800000000,1970-01-19 08:39:07.800000,1,0,1,1,0
1586349300000000,1970-01-19 08:39:09.300000,1,0,1,1,0
1586454000000000,1970-01-19 08:40:54,1,0,1,1,0
1586454600000000,1970-01-19 08:40:54.600000,1,0,1,1,0
1586466300000000,1970-01-19 08:41:06.300000,2,2,0,2,0
1586522700000000,1970-01-19 08:42:02.700000,1,1,0,1,0
1586524200000000,1970-01-19 08:42:04.200000,3,3,0,3,0
1586769000000000,1970-01-19 08:46:09,1,1,0,1,0
1586770500000000,1970-01-19 08:46:10.500000,18,18,0,18,0
1586770800000000,1970-01-19 08:46:10.800000,2,2,0,2,0
1587029400000000,1970-01-19 08:50:29.400000,1,1,0,1,0
1587054300000000,1970-01-19 08:50:54.300000,1,0,1,1,0
1587054600000000,1970-01-19 08:50:54.600000,1,0,1,1,0
1587054900000000,1970-01-19 08:50:54.900000,1,0,1,1,0
1587058200000000,1970-01-19 08:50:58.200000,1,0,1,1,0
1587058800000000,1970-01-19 08:50:58.800000,2,0,2,2,0
1587416700000000,1970-01-19 08:56:56.700000,1,1,0,1,0
1587444300000000,1970-01-19 08:57:24.300000,1,1,0,1,0
1587445200000000,1970-01-19 08:57:25.200000,1,1,0,1,0
1587684300000000,1970-01-19 09:01:24.300000,1,0,1,1,0
1587684600000000,1970-01-19 09:01:24.600000,1,0,1,1,0
1587777000000000,1970-01-19 09:02:57,1,0,1,1,0
1587777900000000,1970-01-19 09:02:57.900000,1,0,1,1,0
1587782700000000,1970-01-19 09:03:02.700000,1,0,1,1,0
1587946500000000,1970-01-19 09:05:46.500000,1,1,0,1,0
1588058100000000,1970-01-19 09:07:38.100000,1,0,1,1,0
1588060200000000,1970-01-19 09:07:40.200000,1,0,1,1,0
1588263900000000,1970-01-19 09:11:03.900000,1,1,0,1,0
1588270200000000,1970-01-19 09:11:10.200000,4,4,0,4,0
1588270500000000,1970-01-19 09:11:10.500000,4,4,0,4,0
1588273500000000,1970-01-19 09:11:13.500000,9,9,0,9,0
1588342800000000,1970-01-19 09:12:22.800000,1,0,1,1,0
1588588200000000,1970-01-19 09:16:28.200000,1,1,0,1,0
1588630200000000,1970-01-19 09:17:10.200000,1,0,1,1,0
1588631100000000,1970-01-19 09:17:11.100000,1,0,1,1,0
1588634100000000,1970-01-19 09:17:14.100000,1,0,1,1,0
1588705800000000,1970-01-19 09:18:25.800000,1,1,0,1,0
1588842300000000,1970-01-19 09:20:42.300000,1,1,0,1,0
1588907400000000,1970-01-19 09:21:47.400000,1,0,1,1,0
1588983300000000,1970-01-19 09:23:03.300000,1,0,1,1,0
1588991700000000,1970-01-19 09:23:11.700000,1,0,1,1,0
1589009700000000,1970-01-19 09:23:29.700000,2,0,2,2,0
1589049600000000,1970-01-19 09:24:09.600000,1,0,1,1,0
1589102700000000,1970-01-19 09:25:02.700000,19,19,0,19,0
1589103900000000,1970-01-19 09:25:03.900000,1,1,0,1,0
1589161500000000,1970-01-19 09:26:01.500000,10,10,0,10,0
1589232300000000,1970-01-19 09:27:12.300000,1,0,1,1,0
1589247900000000,1970-01-19 09:27:27.900000,1,1,0,1,0
1589253600000000,1970-01-19 09:27:33.600000,2,2,0,2,0
1589517300000000,1970-01-19 09:31:57.300000,1,0,1,1,0
1590022800000000,1970-01-19 09:40:22.800000,1,1,0,1,0
1590166200000000,1970-01-19 09:42:46.200000,1,0,1,1,0
1590167700000000,1970-01-19 09:42:47.700000,1,0,1,1,0
1590197100000000,1970-01-19 09:43:17.100000,1,0,1,1,0
1590406200000000,1970-01-19 09:46:46.200000,1,0,1,1,0
1590424800000000,1970-01-19 09:47:04.800000,1,0,1,1,0
1590543000000000,1970-01-19 09:49:03,1,0,1,1,0
1590608100000000,1970-01-19 09:50:08.100000,1,0,1,1,0
1590688500000000,1970-01-19 09:51:28.500000,1,0,1,1,0
1590740700000000,1970-01-19 09:52:20.700000,1,0,1,1,0
1590833400000000,1970-01-19 09:53:53.400000,1,1,0,1,0
1590878700000000,1970-01-19 09:54:38.700000,1,0,1,1,0
1590895500000000,1970-01-19 09:54:55.500000,1,0,1,1,0
1590942000000000,1970-01-19 09:55:42,1,0,1,1,0
1590943800000000,1970-01-19 09:55:43.800000,1,0,1,1,0
1590956100000000,1970-01-19 09:55:56.100000,2,0,2,2,0
1590992700000000,1970-01-19 09:56:32.700000,1,1,0,1,0
1591013400000000,1970-01-19 09:56:53.400000,1,0,1,1,0
1591029900000000,1970-01-19 09:57:09.900000,1,0,1,1,0
1591085700000000,1970-01-19 09:58:05.700000,1,0,1,1,0
1591098600000000,1970-01-19 09:58:18.600000,1,0,1,1,0
1591141800000000,1970-01-19 09:59:01.800000,1,1,0,1,0
1591142100000000,1970-01-19 09:59:02.100000,20,20,0,20,0
1591144500000000,1970-01-19 09:59:04.500000,1,1,0,1,0
1591235700000000,1970-01-19 10:00:35.700000,1,0,1,1,0
1591236600000000,1970-01-19 10:00:36.600000,1,0,1,1,0
1591266600000000,1970-01-19 10:01:06.600000,1,0,1,1,0
1591352400000000,1970-01-19 10:02:32.400000,1,0,1,1,0
1591859100000000,1970-01-19 10:10:59.100000,1,0,1,1,0
1591859700000000,1970-01-19 10:10:59.700000,1,0,1,1,0
1591860900000000,1970-01-19 10:11:00.900000,1,0,1,1,0
1591926600000000,1970-01-19 10:12:06.600000,3,3,0,3,0
1591926900000000,1970-01-19 10:12:06.900000,2,2,0,2,0
1591953000000000,1970-01-19 10:12:33,1,1,0,1,0
1591989600000000,1970-01-19 10:13:09.600000,1,0,1,1,0
1592040900000000,1970-01-19 10:14:00.900000,1,0,1,1,0
1592223900000000,1970-01-19 10:17:03.900000,1,1,0,1,0
1592602500000000,1970-01-19 10:23:22.500000,1,1,0,1,0
1592785800000000,1970-01-19 10:26:25.800000,1,0,1,1,0
1592964900000000,1970-01-19 10:29:24.900000,1,0,1,1,0
1593044400000000,1970-01-19 10:30:44.400000,1,1,0,1,0
1593258300000000,1970-01-19 10:34:18.300000,1,1,0,1,0
1593312900000000,1970-01-19 10:35:12.900000,1,1,0,1,0
1593320100000000,1970-01-19 10:35:20.100000,19,19,0,19,0
1593320700000000,1970-01-19 10:35:20.700000,2,2,0,2,0
1593713100000000,1970-01-19 10:41:53.100000,1,1,0,1,0
1593735600000000,1970-01-19 10:42:15.600000,1,1,0,1,0
1593771900000000,1970-01-19 10:42:51.900000,1,0,1,1,0
1593772500000000,1970-01-19 10:42:52.500000,1,0,1,1,0
1593775500000000,1970-01-19 10:42:55.500000,1,0,1,1,0
1593861600000000,1970-01-19 10:44:21.600000,1,0,1,1,0
1593897900000000,1970-01-19 10:44:57.900000,1,0,1,1,0
1593901800000000,1970-01-19 10:45:01.800000,1,0,1,1,0
1593918900000000,1970-01-19 10:45:18.900000,1,0,1,1,0
1593953400000000,1970-01-19 10:45:53.400000,1,0,1,1,0
1593954900000000,1970-01-19 10:45:54.900000,1,0,1,1,0
1593957300000000,1970-01-19 10:45:57.300000,1,0,1,1,0
1593958200000000,1970-01-19 10:45:58.200000,1,0,1,1,0
1593960300000000,1970-01-19 10:46:00.300000,1,0,1,1,0
1593962400000000,1970-01-19 10:46:02.400000,1,0,1,1,0
1593989700000000,1970-01-19 10:46:29.700000,1,1,0,1,0
1594024200000000,1970-01-19 10:47:04.200000,1,0,1,1,0
1594026000000000,1970-01-19 10:47:06,1,0,1,1,0
1594098900000000,1970-01-19 10:48:18.900000,1,0,1,1,0
1594100400000000,1970-01-19 10:48:20.400000,1,0,1,1,0
1594103100000000,1970-01-19 10:48:23.100000,1,0,1,1,0
1594158900000000,1970-01-19 10:49:18.900000,1,0,1,1,0
1594201800000000,1970-01-19 10:50:01.800000,1,0,1,1,0
1594203600000000,1970-01-19 10:50:03.600000,1,0,1,1,0
1594210500000000,1970-01-19 10:50:10.500000,1,0,1,1,0
1594244400000000,1970-01-19 10:50:44.400000,1,0,1,1,0
1594245000000000,1970-01-19 10:50:45,1,1,0,1,0
1594256700000000,1970-01-19 10:50:56.700000,1,0,1,1,0
1594257900000000,1970-01-19 10:50:57.900000,1,0,1,1,0
1594292100000000,1970-01-19 10:51:32.100000,1,1,0,1,0
1594292400000000,1970-01-19 10:51:32.400000,1,1,0,1,0
1594295400000000,1970-01-19 10:51:35.400000,1,1,0,1,0
1594295700000000,1970-01-19 10:51:35.700000,1,1,0,1,0
1594307400000000,1970-01-19 10:51:47.400000,1,0,1,1,0
1594329300000000,1970-01-19 10:52:09.300000,1,0,1,1,0
1594339800000000,1970-01-19 10:52:19.800000,4,4,0,4,0
1594341000000000,1970-01-19 10:52:21,3,3,0,3,0
1594397100000000,1970-01-19 10:53:17.100000,1,1,0,1,0
1594461900000000,1970-01-19 10:54:21.900000,1,0,1,1,0
1594462200000000,1970-01-19 10:54:22.200000,1,0,1,1,0
1594518900000000,1970-01-19 10:55:18.900000,1,0,1,1,0
1594602600000000,1970-01-19 10:56:42.600000,1,0,1,1,0
1594626900000000,1970-01-19 10:57:06.900000,1,0,1,1,0
1594634100000000,1970-01-19 10:57:14.100000,1,0,1,1,0
1594635000000000,1970-01-19 10:57:15,1,0,1,1,0
1594638300000000,1970-01-19 10:57:18.300000,1,0,1,1,0
1594679700000000,1970-01-19 10:57:59.700000,1,1,0,1,0
1594701300000000,1970-01-19 10:58:21.300000,1,1,0,1,0
1594701600000000,1970-01-19 10:58:21.600000,3,3,0,3,0
1594702200000000,1970-01-19 10:58:22.200000,1,1,0,1,0
1594702500000000,1970-01-19 10:58:22.500000,1,1,0,1,0
1594759200000000,1970-01-19 10:59:19.200000,1,0,1,1,0
1594764300000000,1970-01-19 10:59:24.300000,1,0,1,1,0
1594781400000000,1970-01-19 10:59:41.400000,1,0,1,1,0
1594866900000000,1970-01-19 11:01:06.900000,1,0,1,1,0
1594916400000000,1970-01-19 11:01:56.400000,6,6,0,6,0
