combo,run_label,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,max_conc,same_bar_trades,active_leftover,blocked_by_cap,cap_removed,ruined,leverage,position_fraction,effective_notional_fraction,fee_per_side,split_n,rank_metric,rank_by_final_return
short_max_v12_L25_SPLIT400,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,53.9089760020238,54.169029215695595,10.353365218863075,138.20734656661892,25,62,0,0,True,False,25.0,0.0025,0.0625,0.0004,400,53.9089760020238,47
short_max_v12_L3_SPLIT50,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,51.36025652527743,51.6057612115812,9.959987016188393,136.50584707911415,25,62,0,0,True,False,3.0,0.02,0.06,0.0004,50,51.36025652527743,48
short_max_v12_L12_SPLIT200,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,51.36025652527743,51.6057612115812,9.959987016188393,136.50584707911415,25,62,0,0,True,False,12.0,0.005,0.06,0.0004,200,51.36025652527743,49
short_max_v12_L15_SPLIT250,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,51.36025652527743,51.6057612115812,9.959987016188393,136.50584707911415,25,62,0,0,True,False,15.0,0.004,0.06,0.0004,250,51.36025652527743,50
short_max_v12_L30_SPLIT500,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,51.36025652527743,51.6057612115812,9.959987016188393,136.50584707911415,25,62,0,0,True,False,30.0,0.002,0.06,0.0004,500,51.36025652527743,51
short_max_v12_L7_SPLIT125,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,47.35659027642034,47.57964927545542,9.327094153430863,133.81475643623065,25,62,0,0,True,False,7.0,0.008,0.056,0.0004,125,47.35659027642034,52
short_max_v12_L5_SPLIT100,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,41.51912267438422,41.71037006149887,8.369650682164277,129.8497071069491,25,62,0,0,True,False,5.0,0.01,0.05,0.0004,100,41.51912267438422,53
short_max_v12_L10_SPLIT200,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,41.51912267438422,41.71037006149887,8.369650682164277,129.8497071069491,25,62,0,0,True,False,10.0,0.005,0.05,0.0004,200,41.51912267438422,54
short_max_v12_L15_SPLIT300,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,41.51912267438422,41.71037006149887,8.369650682164277,129.8497071069491,25,62,0,0,True,False,15.0,0.0033333333333333335,0.05,0.0004,300,41.51912267438422,55
short_max_v12_L20_SPLIT400,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,41.51912267438422,41.71037006149887,8.369650682164277,129.8497071069491,25,62,0,0,True,False,20.0,0.0025,0.05,0.0004,400,41.51912267438422,56
short_max_v12_L25_SPLIT500,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,41.51912267438422,41.71037006149887,8.369650682164277,129.8497071069491,25,62,0,0,True,False,25.0,0.002,0.05,0.0004,500,41.51912267438422,57
short_max_v12_L12_SPLIT250,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,39.61725189945042,39.79837483258088,8.048327440946423,128.54694386893314,25,62,0,0,True,False,12.0,0.004,0.048,0.0004,250,39.61725189945042,58
short_max_v12_L7_SPLIT150,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,38.361364218286845,38.535867352082455,7.8335045573677595,127.68365386946812,25,62,0,0,True,False,7.0,0.006666666666666667,0.04666666666666667,0.0004,150,38.361364218286845,59
short_max_v12_L30_SPLIT700,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,34.82551884657084,34.98166959052406,7.217036881853005,125.23999271243498,25,62,0,0,True,False,30.0,0.0014285714285714286,0.04285714285714286,0.0004,700,34.82551884657084,60
short_max_v12_L2_SPLIT50,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,32.22392862340029,32.36684899561275,6.752061265026627,123.4293582568437,25,62,0,0,True,False,2.0,0.02,0.04,0.0004,50,32.22392862340029,61
short_max_v12_L3_SPLIT75,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,32.22392862340029,32.36684899561275,6.752061265026627,123.4293582568437,25,62,0,0,True,False,3.0,0.013333333333333334,0.04,0.0004,75,32.22392862340029,62
short_max_v12_L5_SPLIT125,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,32.22392862340029,32.36684899561275,6.752061265026627,123.4293582568437,25,62,0,0,True,False,5.0,0.008,0.04,0.0004,125,32.22392862340029,63
short_max_v12_L10_SPLIT250,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,32.22392862340029,32.36684899561275,6.752061265026627,123.4293582568437,25,62,0,0,True,False,10.0,0.004,0.04,0.0004,250,32.22392862340029,64
