batch=8V5_LONG300_REVIEWED
timeframe=5m

8V5_V51C_V047_prevhigh_refire40 | verdict=baseline_fail | final_return_pct=0.2743 | max_return_pct=0.2904 | max_drawdown_pct=0.0733 | cd_value=100.2008 | trades=8
8V5_V51E_V021_lowanchor_base | verdict=baseline_fail | final_return_pct=0.6000 | max_return_pct=0.6000 | max_drawdown_pct=0.4031 | cd_value=100.1944 | trades=72
8V5_V51C_V057_extreme_refire40 | verdict=baseline_fail | final_return_pct=0.2527 | max_return_pct=0.2675 | max_drawdown_pct=0.0669 | cd_value=100.1856 | trades=8
8V5_V51C_V059_extreme_microguard | verdict=baseline_fail | final_return_pct=0.2408 | max_return_pct=0.2841 | max_drawdown_pct=0.0669 | cd_value=100.1738 | trades=9
8V5_V51E_V008_core_softscore | verdict=baseline_fail | final_return_pct=0.5464 | max_return_pct=0.5464 | max_drawdown_pct=0.3751 | cd_value=100.1692 | trades=70
8V5_V51C_V044_prevhigh_vol18 | verdict=baseline_fail | final_return_pct=0.1683 | max_return_pct=0.1683 | max_drawdown_pct=0.0000 | cd_value=100.1683 | trades=1
8V5_V51C_V004_core_vol18 | verdict=baseline_fail | final_return_pct=0.1532 | max_return_pct=0.1532 | max_drawdown_pct=0.0000 | cd_value=100.1532 | trades=1
8V5_V51C_V031_shocklow_base | verdict=baseline_fail | final_return_pct=0.1515 | max_return_pct=0.1515 | max_drawdown_pct=0.0000 | cd_value=100.1515 | trades=1
8V5_V51C_V051_extreme_base | verdict=baseline_fail | final_return_pct=0.1879 | max_return_pct=0.2164 | max_drawdown_pct=0.0447 | cd_value=100.1432 | trades=5
8V5_V51E_V011_strict_base | verdict=baseline_fail | final_return_pct=0.5529 | max_return_pct=0.5529 | max_drawdown_pct=0.4089 | cd_value=100.1418 | trades=72
8V5_V51P_V064_spring_vol18 | verdict=baseline_fail | final_return_pct=0.2440 | max_return_pct=0.2845 | max_drawdown_pct=0.1229 | cd_value=100.1208 | trades=17
8V5_V51E_V047_prevhigh_refire40 | verdict=baseline_fail | final_return_pct=0.1556 | max_return_pct=0.1739 | max_drawdown_pct=0.0558 | cd_value=100.0997 | trades=6
8V5_V51E_V057_extreme_refire40 | verdict=baseline_fail | final_return_pct=0.1508 | max_return_pct=0.1677 | max_drawdown_pct=0.0516 | cd_value=100.0992 | trades=6
8V5_V51C_V034_shocklow_vol18 | verdict=baseline_fail | final_return_pct=0.1208 | max_return_pct=0.1208 | max_drawdown_pct=0.0437 | cd_value=100.0771 | trades=2
8V5_V51E_V058_extreme_softscore | verdict=baseline_fail | final_return_pct=0.1218 | max_return_pct=0.1716 | max_drawdown_pct=0.0516 | cd_value=100.0701 | trades=7
8V5_V51E_V052_extreme_rare22_c1 | verdict=baseline_fail | final_return_pct=0.1180 | max_return_pct=0.1677 | max_drawdown_pct=0.0516 | cd_value=100.0663 | trades=7
8V5_V51P_V050_prevhigh_shortgap | verdict=baseline_fail | final_return_pct=0.1120 | max_return_pct=0.1594 | max_drawdown_pct=0.0521 | cd_value=100.0599 | trades=7
8V5_V51C_V081_hammer_outside_base | verdict=baseline_fail | final_return_pct=0.2164 | max_return_pct=0.3880 | max_drawdown_pct=0.1709 | cd_value=100.0451 | trades=19
8V5_V51E_V060_extreme_shortgap | verdict=baseline_fail | final_return_pct=0.0626 | max_return_pct=0.0954 | max_drawdown_pct=0.0516 | cd_value=100.0109 | trades=4
8V5_V51P_V005_core_vol16_quiet | verdict=baseline_fail | final_return_pct=0.0000 | max_return_pct=0.0000 | max_drawdown_pct=0.0000 | cd_value=100.0000 | trades=0
8V5_V51P_V006_core_noshock14 | verdict=baseline_fail | final_return_pct=0.0000 | max_return_pct=0.0000 | max_drawdown_pct=0.0000 | cd_value=100.0000 | trades=0
8V5_V51P_V015_strict_vol16_quiet | verdict=baseline_fail | final_return_pct=0.0000 | max_return_pct=0.0000 | max_drawdown_pct=0.0000 | cd_value=100.0000 | trades=0
8V5_V51P_V016_strict_noshock14 | verdict=baseline_fail | final_return_pct=0.0000 | max_return_pct=0.0000 | max_drawdown_pct=0.0000 | cd_value=100.0000 | trades=0
8V5_V51P_V025_lowanchor_vol16_quiet | verdict=baseline_fail | final_return_pct=0.0000 | max_return_pct=0.0000 | max_drawdown_pct=0.0000 | cd_value=100.0000 | trades=0
8V5_V51P_V026_lowanchor_noshock14 | verdict=baseline_fail | final_return_pct=0.0000 | max_return_pct=0.0000 | max_drawdown_pct=0.0000 | cd_value=100.0000 | trades=0
8V5_V51P_V035_shocklow_vol16_quiet | verdict=baseline_fail | final_return_pct=0.0000 | max_return_pct=0.0000 | max_drawdown_pct=0.0000 | cd_value=100.0000 | trades=0
8V5_V51P_V036_shocklow_noshock14 | verdict=baseline_fail | final_return_pct=0.0000 | max_return_pct=0.0000 | max_drawdown_pct=0.0000 | cd_value=100.0000 | trades=0
8V5_V51P_V045_prevhigh_vol16_quiet | verdict=baseline_fail | final_return_pct=0.0000 | max_return_pct=0.0000 | max_drawdown_pct=0.0000 | cd_value=100.0000 | trades=0
