position_fraction,leverage,effective_notional_per_trade_pct,trades,wins,losses,win_rate_pct,avg_trade_net_ret_on_margin_pct,med_trade_net_ret_on_margin_pct,profit_factor,final_asset,final_return_pct,max_return_pct,exit_mdd_pct,official_cd_value,max_concurrent,max_notional_exposure_pct,avg_mae_underlying_pct,p95_mae_underlying_pct,p99_mae_underlying_pct,max_mae_underlying_pct,p95_worst_trade_account_loss_pct,p99_worst_trade_account_loss_pct,max_worst_trade_account_loss_pct,account_trade_loss_gt_10_pct,account_trade_loss_gt_20_pct,account_trade_loss_gt_50_pct,approx_liq_risk_pct
0.01,1.0,1.0,348,190,158,54.59770114942529,0.6204781295421318,0.3303331841430387,1.3967302361425549,102.17640929423607,2.176409294236059,2.684127393979252,0.8216057781220313,101.84046867009613,15,15.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,0.12491404333414485,0.20540906541747406,0.4844330983961376,0.0,0.0,0.0,0.0
1.0,20.0,2000.0,348,190,158,54.59770114942529,12.409562590842636,6.606663682860773,1.396730236142555,0.3317905307468068,-99.66820946925318,195724.12113573315,110233.2515888304,-215667472.002033,15,30000.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,249.82808666828973,410.8181308349481,968.8661967922751,92.81609195402298,81.03448275862068,52.58620689655172,27.873563218390807
0.75,20.0,1500.0,348,190,158,54.59770114942529,12.409562590842636,6.606663682860773,1.396730236142555,0.0017245258753553234,-99.99827547412464,15.364417177914081,160.61281893141037,-69.92562529532594,15,22500.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,187.3710650012173,308.11359812621106,726.6496475942064,88.2183908045977,72.70114942528735,41.09195402298851,27.873563218390807
0.75,10.0,750.0,348,190,158,54.59770114942529,6.204781295421318,3.3033318414303867,1.396730236142555,0.0003778990930850726,-99.99962210090692,7.682208588957029,105.97891609778944,-6.4382289037803595,15,11250.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,93.68553250060864,154.05679906310553,363.3248237971032,72.70114942528735,50.86206896551724,20.114942528735632,9.195402298850574
0.5,20.0,1000.0,348,190,158,54.59770114942529,12.409562590842636,6.606663682860773,1.396730236142555,-0.0014166003173074703,-100.00141660031731,10.242944785276054,131.71789354788442,-34.96673987104685,15,15000.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,124.91404333414486,205.40906541747404,484.43309839613755,81.03448275862068,60.63218390804598,27.873563218390807,27.873563218390807
1.0,10.0,1000.0,348,190,158,54.59770114942529,6.204781295421318,3.3033318414303867,1.396730236142555,-0.0014166003173074703,-100.00141660031731,10.242944785276054,131.71789354788442,-34.96673987104685,15,15000.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,124.91404333414486,205.40906541747404,484.43309839613755,81.03448275862068,60.63218390804598,27.873563218390807,9.195402298850574
0.3,20.0,600.0,348,190,158,54.59770114942529,12.409562590842636,6.606663682860773,1.396730236142555,-0.0036837356750560836,-100.00368373567505,6.145766871165637,100.65158562241123,-0.6916305557306606,15,9000.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,74.9484260004869,123.2454392504844,290.65985903768257,67.52873563218391,41.09195402298851,13.218390804597702,27.873563218390807
0.5,10.0,500.0,348,190,158,54.59770114942529,6.204781295421318,3.3033318414303867,1.396730236142555,-7.186815528136482,-107.18681552813649,216.87858609409946,111.06870555690772,-35.074357667648165,15,7500.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,62.45702166707243,102.70453270873702,242.21654919806878,60.63218390804598,35.63218390804598,9.195402298850574,9.195402298850574
1.0,5.0,500.0,348,190,158,54.59770114942529,3.102390647710659,1.6516659207151934,1.396730236142555,-7.186815528136482,-107.18681552813649,216.87858609409946,111.06870555690772,-35.074357667648165,15,7500.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,62.45702166707243,102.70453270873702,242.21654919806878,60.63218390804598,35.63218390804598,9.195402298850574,1.1494252873563218
0.3,10.0,300.0,348,190,158,54.59770114942529,6.204781295421318,3.3033318414303867,1.396730236142555,-145.48436088374547,-245.48436088374547,3726.2747427609825,107.72604233911558,-295.61960663659926,15,4500.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,37.47421300024345,61.6227196252422,145.32992951884128,41.09195402298851,20.114942528735632,2.586206896551724,9.195402298850574
