id,symbol,side,strategy,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,exit_reason,equity_after_exit,position_fraction,fee_per_side
17223,SNX,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,211676,211677,211677,1660923900,1660923900,2.947,2.9159185449048475,-0.011346812044503806,stop,111.08058887363066,0.01,0.0004
17224,ZRX,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,226340,226341,226341,1660923900,1660923900,0.3082,0.3060968718503608,-0.007623907039711919,stop,111.07212019279577,0.01,0.0004
17122,AXS,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,183451,183452,183455,1660923600,1660924500,14.7,14.518456828217364,-0.01314987563147183,stop,111.05751434712917,0.01,0.0004
17144,DOGE,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,221731,221732,221735,1660923600,1660924500,0.07019,0.06945700880614261,-0.011242957598766123,stop,111.04502819788088,0.01,0.0004
17145,DOT,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,209371,209372,209375,1660923600,1660924500,7.456,7.384831325402431,-0.010345154854824212,stop,111.03354041775522,0.01,0.0004
17154,FLOW,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,54757,54758,54761,1660923600,1660924500,2.292,2.263958612913842,-0.013034462079475428,stop,111.01906779303397,0.01,0.0004
17164,IMX,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,54469,54470,54473,1660923600,1660924500,0.8349,0.8251375158731763,-0.01249299811573088,stop,111.00519818298648,0.01,0.0004
17168,IOTX,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,107173,107174,107177,1660923600,1660924500,0.03037,0.030082346441393334,-0.010271635120403943,stop,110.99379613406444,0.01,0.0004
17181,MKR,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,211963,211964,211967,1660923600,1660924500,843.9,835.416649394727,-0.010852554337330322,stop,110.98175047202793,0.01,0.0004
17196,REN,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,194395,194396,194399,1660923600,1660924500,0.133,0.1316594545876889,-0.010879288814369148,stop,110.96967644686283,0.01,0.0004
17197,RLC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,215707,215708,215711,1660923600,1660924500,1.2455,1.2300468877628827,-0.013207155549672644,stop,110.95502050908152,0.01,0.0004
17198,ROSE,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,66565,66566,66569,1660923600,1660924500,0.0705,0.06967035006145358,-0.012568084234700882,stop,110.94107558864131,0.01,0.0004
17199,RSR,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,192666,192667,192672,1660923600,1660925100,0.00592,0.006152529914026453,0.038478701693657545,target,110.98376427417281,0.01,0.0004
17151,ETC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,272431,272432,272439,1660923600,1660925700,35.681,35.17785794300037,-0.01490111983968021,stop,110.96722645045573,0.01,0.0004
17216,XMR,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,267247,267248,267256,1660923600,1660926000,151.8,150.31606042650745,-0.010575623013784985,stop,110.95549097491747,0.01,0.0004
17158,GMT,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,45247,45248,45257,1660923600,1660926300,0.8261,0.8168735102251531,-0.01196873232640947,stop,110.94221100920123,0.01,0.0004
17114,ANKR,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,164155,164156,164176,1660923600,1660929600,0.04,0.03955276056855416,-0.011980985786146014,stop,110.92891903866939,0.01,0.0004
17184,NEO,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,263206,263207,263227,1660923600,1660929600,9.648,9.56764792343869,-0.009128366144414346,stop,110.91879304077949,0.01,0.0004
17212,VET,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,264079,264080,264100,1660923600,1660929600,0.02624,0.026004268725723922,-0.009783661367228502,stop,110.90794112167576,0.01,0.0004
17213,WAVES,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,212251,212252,212272,1660923600,1660929600,4.937,4.890516461777185,-0.010215340940412187,stop,110.8966114973602,0.01,0.0004
17109,1INCH,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,173335,173336,173357,1660923600,1660929900,0.6708,0.6788,0.011126058437686348,time,110.90894991916082,0.01,0.0004
17110,ADA,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,268111,268112,268133,1660923600,1660929900,0.4667,0.4696,0.005413841868438097,time,110.91495435432738,0.01,0.0004
17111,ALGO,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,228643,228644,228665,1660923600,1660929900,0.3069,0.3064,-0.00242919517758231,time,110.91226001360499,0.01,0.0004
17112,ALICE,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,150091,150092,150113,1660923600,1660929900,2.176,2.183,0.002416911764705621,time,110.91494066506576,0.01,0.0004
17113,ALPHA,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,182587,182588,182609,1660923600,1660929900,0.1258,0.1252,-0.005569475357710551,time,110.9087632847774,0.01,0.0004
