run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,fail_bars,fail_pnl,use_fail_exit,verdict,note
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_025,tight_stop_big_rr,short_stop_long_tp,long,431,138,293,32.01856148491879,0.5784374693631245,0.5784374693631245,3.4692431170745275,97.08912695019613,597,0,0.01,0.0004,0.08,A016_TS_025,0.75,3.5,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_RR_004,rr_expand,same_stop_bigger_tp,long,431,145,286,33.64269141531322,0.6663478444991933,0.6663478444991933,3.64643095332855,96.99561897711199,597,0,0.01,0.0004,0.08,A016_RR_004,0.85,3.5,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_030,tight_stop_big_rr,short_stop_long_tp,long,431,145,286,33.64269141531322,0.6663478444991933,0.6663478444991933,3.64643095332855,96.99561897711199,597,0,0.01,0.0004,0.08,A016_TS_030,0.85,3.5,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_RR_005,rr_expand,same_stop_bigger_tp,long,431,142,289,32.94663573085847,0.6904882304408888,0.6904882304408888,3.676254912472099,96.98884921047716,597,0,0.01,0.0004,0.08,A016_RR_005,0.85,4.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_HOLD_036,hold_expand,longer_fixed_hold,long,431,142,289,32.94663573085847,0.6904882304408888,0.6904882304408888,3.676254912472099,96.98884921047716,597,0,0.01,0.0004,0.08,A016_HOLD_036,0.85,4.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_016,tight_stop_big_rr,short_stop_long_tp,long,431,107,324,24.825986078886313,0.03587671656331004,0.03587671656331004,3.073782772745748,96.96099117148441,597,0,0.01,0.0004,0.08,A016_TS_016,0.55,5.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_FAIL_069,fail_exit_relax,relax_fail_exit,long,431,81,350,18.793503480278424,1.197135071398625,1.197135071398625,4.21634203733392,96.93031772480566,597,0,0.01,0.0004,0.08,A016_FAIL_069,0.85,7.0,60,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_RR_003,rr_expand,same_stop_bigger_tp,long,431,147,284,34.106728538283065,0.5410372284997633,0.5410372284997633,3.6135365309295286,96.90795011967248,597,0,0.01,0.0004,0.08,A016_RR_003,0.85,3.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_HOLD_035,hold_expand,longer_fixed_hold,long,431,147,284,34.106728538283065,0.5410372284997633,0.5410372284997633,3.6135365309295286,96.90795011967248,597,0,0.01,0.0004,0.08,A016_HOLD_035,0.85,3.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_EXIT_ANCHOR,anchor,a016_fixed_entry_baseline,long,431,164,267,38.05104408352668,0.3045038460493421,0.3045038460493421,3.4139471116967246,96.8801611340954,597,0,0.01,0.0004,0.08,A016_EXIT_ANCHOR,0.85,2.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_RR_001,rr_expand,same_stop_bigger_tp,long,431,164,267,38.05104408352668,0.3045038460493421,0.3045038460493421,3.4139471116967246,96.8801611340954,597,0,0.01,0.0004,0.08,A016_RR_001,0.85,2.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_HOLD_034,hold_expand,longer_fixed_hold,long,431,164,267,38.05104408352668,0.3045038460493421,0.3045038460493421,3.4139471116967246,96.8801611340954,597,0,0.01,0.0004,0.08,A016_HOLD_034,0.85,2.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_HOLD_038,hold_expand,longer_fixed_hold,long,431,155,276,35.96287703016242,0.2798917272121004,0.2798917272121004,3.5021724948249067,96.76791694130148,597,0,0.01,0.0004,0.08,A016_HOLD_038,0.85,2.0,24,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_RR_002,rr_expand,same_stop_bigger_tp,long,431,151,280,35.03480278422274,0.3299815878563317,0.3299815878563317,3.5581852953969872,96.76005493612273,597,0,0.01,0.0004,0.08,A016_RR_002,0.85,2.5,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_029,tight_stop_big_rr,short_stop_long_tp,long,431,151,280,35.03480278422274,0.3299815878563317,0.3299815878563317,3.5581852953969872,96.76005493612273,597,0,0.01,0.0004,0.08,A016_TS_029,0.85,2.5,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_024,tight_stop_big_rr,short_stop_long_tp,long,431,146,285,33.874709976798144,0.14621607851725837,0.14621607851725837,3.3869631669561473,96.75430062683756,597,0,0.01,0.0004,0.08,A016_TS_024,0.75,2.5,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_023,tight_stop_big_rr,short_stop_long_tp,long,431,113,318,26.218097447795824,0.17293337224095762,0.17293337224095762,3.419194348119825,96.74782609603145,597,0,0.01,0.0004,0.08,A016_TS_023,0.65,9.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
