month,trades,avg_pnl_pct,sum_pnl_pct,wins,losses,win_rate_pct,max_trade_pct,min_trade_pct
2021-05,2054,-0.1795357795721018,-368.76649124109707,901,1153,43.865628042843234,18.92777489818586,-5.461063602152947
2021-06,649,0.09175450995604831,59.54867696147535,328,321,50.53929121725732,17.926189477166837,-2.9865354681061196
2021-07,330,0.13896233710925454,45.857571246054,232,98,70.3030303030303,5.368580801597491,-2.436748842882439
2021-08,405,0.630459149729043,255.33595564026245,282,123,69.62962962962963,8.161272646928843,-2.2446106857185266
2021-09,992,1.1976033186229709,1188.022492073987,627,365,63.20564516129033,22.332552180797453,-6.03433649720497
2021-10,235,-0.23214156599296357,-54.553268008346436,92,143,39.148936170212764,9.902666081907986,-3.431860757678049
2021-11,527,-0.017589807503106968,-9.269828554137373,215,312,40.79696394686907,19.049760635720517,-3.8502498391400386
2021-12,523,0.4888419566277657,255.66434331632146,286,237,54.684512428298284,9.241401938851604,-3.4225346366957154
2022-01,543,0.7961485074234623,432.30863953094,323,220,59.48434622467772,12.344911119284054,-2.879578178976092
2022-02,362,-0.44710479117585555,-161.8519344056597,130,232,35.91160220994475,3.294760994263859,-1.933507254987863
2022-03,133,0.08385226413944527,11.15235113054622,90,43,67.66917293233082,3.9238458897053707,-2.4922370216194345
2022-04,454,0.4160035817671354,188.86562612227948,277,177,61.013215859030836,14.741976726758223,-3.741708182935519
2022-05,1226,0.31969043481637816,391.9404730848796,637,589,51.95758564437194,14.983593004769494,-6.569039391237128
2022-06,760,0.3196767780760296,242.95435133778253,461,299,60.65789473684211,12.106673602027987,-4.73151328499519
2022-07,309,-0.29124949143430895,-89.99609285320146,128,181,41.42394822006473,12.53923353445551,-2.391295998174434
2022-08,357,0.3307245244246252,118.0686552195912,253,104,70.86834733893558,6.1554312354312435,-2.4499052404124955
2022-09,435,-0.13957460802842608,-60.714954492365344,188,247,43.2183908045977,8.759627805145046,-2.81370346111258
2022-10,93,0.5106716777416861,47.492466029976804,66,27,70.96774193548387,3.7523353293413297,-2.7237679196779974
2022-11,836,0.0795799596579256,66.5288462740258,437,399,52.27272727272727,19.97844759744333,-6.072696672117736
2022-12,254,0.5091221363017763,129.3170226206512,180,74,70.86614173228347,13.478728212314964,-2.351778782120415
2023-01,645,-0.005875017077023664,-3.7893860146802636,367,278,56.89922480620155,7.927766533301952,-3.1497000542471043
2023-02,449,0.7072730956522849,317.5656199478759,309,140,68.8195991091314,13.699264214046826,-3.4503122238551653
2023-03,542,0.025415697846117125,13.775308232595481,213,329,39.29889298892989,11.324718582091933,-4.576576938560793
2023-04,350,-0.03133382201914111,-10.966837706699389,127,223,36.285714285714285,6.176665481692147,-2.1085524131081312
2023-05,484,0.5746043390606841,278.1085001053711,257,227,53.099173553719005,11.100065820404316,-3.9987111512318685
2023-06,712,-0.7972066457133192,-567.6111317478833,203,509,28.51123595505618,7.637520858164484,-4.483293588043022
2023-07,231,0.49976348576046437,115.44536521066726,133,98,57.57575757575758,14.78450058283455,-3.493947265488282
2023-08,495,5.498138478146989,2721.578546682759,433,62,87.47474747474747,33.16675324675324,-5.352590341979977
2023-09,203,-0.02777962585555169,-5.639264048676993,86,117,42.364532019704434,10.331140583554367,-4.514633601202142
2023-10,433,0.8521391674377651,368.97625950055226,284,149,65.58891454965358,16.04479470397719,-5.680108651178215
2023-11,692,0.8062435466947488,557.9205343127662,501,191,72.39884393063583,13.880833859759948,-5.558280337310348
2023-12,892,2.420860355410196,2159.407437025895,730,162,81.83856502242153,20.961291488011085,-6.373672727611566
2024-01,549,-0.2851142088031244,-156.52770063291527,225,324,40.98360655737705,19.005365853658546,-14.598192036306399
2024-02,462,0.39322321811929817,181.66912677111574,309,153,66.88311688311688,17.02374789695004,-4.988971289449871
2024-03,1117,0.32611307887147784,364.2683090994407,676,441,60.51924798567592,30.4536141829033,-6.056148988606167
2024-04,1320,1.0570284120386786,1395.2775038910556,869,451,65.83333333333333,23.502903910275844,-3.5188909692989467
2024-05,171,0.39074827392501343,66.8179548411773,103,68,60.23391812865497,18.939928534028454,-3.4423971300599687
2024-06,884,0.6811345001590017,602.1228981405575,558,326,63.12217194570135,13.363280595039585,-3.940183310622689
2024-07,655,0.2388006489618108,156.41442506998607,424,231,64.73282442748092,21.081191749427056,-2.8953047106052376
2024-08,752,-0.3748443105439945,-281.88292152908383,393,359,52.26063829787234,11.440360139144682,-3.5736899971978686
2024-09,403,2.5993693135606426,1047.545833364939,338,65,83.87096774193549,11.376859971711463,-3.14667098269785
2024-10,653,0.33158367611659495,216.5241405041365,314,339,48.085758039816234,13.559427790281378,-3.5711429964373465
2024-11,1497,0.6684494951151426,1000.6688941873686,977,520,65.26386105544421,14.092915550100074,-5.342750861532561
2024-12,1759,0.3204452297378606,563.6631591088968,971,788,55.20181921546333,17.119856931134596,-3.8709536006671352
2025-01,1245,0.06527105738616741,81.26246644577843,591,654,47.46987951807229,17.690108674333974,-5.826934655691572
2025-02,2188,0.04868739524160366,106.52802078862881,1178,1010,53.83912248628885,21.917272659619172,-6.099762000140072
2025-03,1603,0.463562503411531,743.0906929686842,828,775,51.65315034310668,31.70712924604903,-8.26292724609444
2025-04,1382,0.5391958870948016,745.1687159650157,792,590,57.3082489146165,29.77877605917957,-10.963861044263387
2025-05,1866,0.38114161510070205,711.21025377791,1166,700,62.486602357985,23.91822575365951,-6.666646259919182
2025-06,1163,0.35950506577092783,418.10439149158907,810,353,69.64746345657782,17.154421703608428,-8.327337128717714
2025-07,1259,0.7031968473168422,885.3248307719043,782,477,62.112787926926124,22.56851485148516,-7.628313932904627
2025-08,1197,0.06251866233190177,74.83483881128642,603,594,50.37593984962406,27.69519739897816,-12.751117795416787
2025-09,1585,0.9874883457627559,1565.169028033968,1085,500,68.45425867507886,33.484678086237444,-12.317412466167918
2025-10,3003,0.5776639817841219,1734.724937297718,1851,1152,61.63836163836164,70.40548367666547,-20.64974265975183
2025-11,2275,0.6916199764349039,1573.4354463894065,1365,910,60.0,38.59799309795592,-17.609257540622288
2025-12,1555,0.07876571396627224,122.48068521755333,828,727,53.247588424437296,36.78524982088921,-11.694284885820203
