symbol,side,strategy,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,return,score,same_bar,exit_reason,id,equity_after_exit,position_fraction,fee_per_side
GMT,short,short_max_v7_devw120,87818,87819,87863,1673694900,1673708100,0.3957,0.3962962960880384,-0.002304672372476423,-0.002304672372476423,2.5881049007994195,False,stop,11473,140.66436013647515,0.01,0.0004
BAND,short,short_max_v7_devw120,258901,258902,258905,1673709000,1673709900,1.9695,2.017018455648906,-0.024358760960180945,-0.024358760960180945,3.0205269649686737,False,stop,11477,140.63009604123334,0.01,0.0004
WAVES,short,short_max_v7_devw120,254830,254831,254874,1673697300,1673710200,2.0882,2.0914824147875635,-0.0023694202180976945,-0.0023694202180976945,3.96811585622286,False,stop,11474,140.6267629366274,0.01,0.0004
SOL,short,short_max_v7_devw120,245361,245362,245372,1673707800,1673710800,23.691,23.729424485807783,-0.002419275926003416,-0.002419275926003416,2.4673892162129523,False,stop,11476,140.62335979919266,0.01,0.0004
YFI,short,short_max_v7_devw120,249407,249408,249408,1673712000,1673712000,7371.0,7488.6473091044345,-0.01651008811716945,-0.01651008811716945,3.7582909158873306,True,stop,11481,140.60014275857648,0.01,0.0004
FTM,short,short_max_v7_devw120,242487,242488,242500,1673709600,1673713200,0.3215,0.3218793135163645,-0.0019784339671310206,-0.0019784339671310206,2.377687333549832,False,stop,11478,140.55065918966753,0.01,0.0004
COMP,short,short_max_v7_devw120,267238,267239,267244,1673711700,1673713200,52.14,53.88644431865781,-0.03320971529556114,-0.03320971529556114,5.044338771575467,False,stop,11479,140.5534421411481,0.01,0.0004
KSM,short,short_max_v7_devw120,236734,236735,236743,1673711700,1673714100,32.58,32.606771889385755,-0.001621053046176301,-0.001621053046176301,2.746931645974816,False,stop,11480,140.54837961040985,0.01,0.0004
YFI,short,short_max_v7_devw120,249410,249411,249419,1673712900,1673715300,7390.0,7397.8452937427555,-0.0018604836180327925,-0.0018604836180327925,2.682871584273024,False,stop,11483,140.5457637677869,0.01,0.0004
KNC,short,short_max_v7_devw120,269556,269557,269557,1673715300,1673715300,0.7211,0.7399377687718601,-0.026258585257956078,-0.026258585257956078,2.9073427041417217,True,stop,11486,140.50885843858148,0.01,0.0004
ALICE,short,short_max_v7_devw120,192605,192606,192736,1673677800,1673716800,1.527,1.5294433142617128,-0.002397518678155274,-0.002397518678155274,4.457288913527558,False,stop,11459,140.50548125245334,0.01,0.0004
DOT,short,short_max_v7_devw120,251999,252000,252016,1673712000,1673716800,6.345,6.353887206264131,-0.0021987038132137197,-0.0021987038132137197,3.184089374002847,False,stop,11482,140.50238936127917,0.01,0.0004
WAVES,short,short_max_v7_devw120,254886,254887,254896,1673714100,1673716800,2.2112,2.2151502878618627,-0.0025833046739577085,-0.0025833046739577085,2.560741938125884,False,stop,11484,140.49875856841953,0.01,0.0004
ETH,short,short_max_v7_devw120,329387,329388,329480,1673689500,1673717100,1565.2,1566.8997199195321,-0.0018847662412112324,-0.0018847662412112324,4.7129447302028264,False,stop,11464,140.49610469981903,0.01,0.0004
COMP,short,short_max_v7_devw120,267247,267248,267258,1673714400,1673717400,54.07,54.18032154838561,-0.0028361922047119618,-0.0028361922047119618,3.8645791793749322,False,stop,11485,140.49211847763266,0.01,0.0004
RUNE,short,short_max_v7_devw120,248178,248179,248275,1673689500,1673718300,1.805,1.8067798326102182,-0.0017850854974660094,-0.0017850854974660094,4.13527102862366,False,stop,11465,140.48960496574597,0.01,0.0004
KNC,short,short_max_v7_devw120,269560,269561,269569,1673716500,1673718900,0.7314,0.7324639269752748,-0.002252531566528248,-0.002252531566528248,2.8604335595283263,False,stop,11488,140.48643995935586,0.01,0.0004
LUNA2,short,short_max_v7_devw120,36287,36288,36364,1673697600,1673720400,2.0048,1.5593998965707971,0.2848227606585464,0.2848227606585464,3.976037997761279,False,target,11475,141.31406522429268,0.01,0.0004
JASMY,short,short_max_v7_devw120,77527,77528,77542,1673716200,1673720400,0.005117,0.004439623210358028,0.1517752879347042,0.1517752879347042,4.020843605595513,False,target,11487,140.91341187647078,0.01,0.0004
FLOW,short,short_max_v7_devw120,97401,97402,97414,1673716800,1673720400,1.075,0.9324222913823448,0.1521110896804915,0.1521110896804915,2.6610671244535284,False,target,11489,140.70015415200186,0.01,0.0004
SAND,short,short_max_v7_devw120,207090,207091,207100,1673717700,1673720400,0.6975,0.6094022381929768,0.14376422422775162,0.14376422422775162,2.4417042236979816,False,target,11491,141.67327840805282,0.01,0.0004
ONE,short,short_max_v7_devw120,192116,192117,192124,1673718300,1673720400,0.01781,0.016005825475449483,0.11191986735815954,0.11191986735815954,2.425127180342793,False,target,11492,141.47130100382233,0.01,0.0004
MANA,short,short_max_v7_devw120,192978,192979,193010,1673717700,1673727000,0.6196,0.6204935039865292,-0.002239989267878916,-0.002239989267878916,3.103461299741633,False,stop,11490,141.6701313996767,0.01,0.0004
GMT,short,short_max_v7_devw120,87928,87929,87935,1673727900,1673729700,0.4826,0.5064840023004261,-0.04795647916211796,-0.04795647916211796,3.161664904642004,False,stop,11493,141.60219139263307,0.01,0.0004
OP,short,short_max_v7_devw120,65358,65359,65372,1673732100,1673736000,1.7231,1.7257650305377235,-0.0023442603660204,-0.0023442603660204,2.542578826949041,False,stop,11494,141.59887186858285,0.01,0.0004
NEAR,short,short_max_v7_devw120,236522,236523,236525,1673738100,1673738700,2.293,2.3470998796811773,-0.023849670851044478,-0.023849670851044478,2.4470953453266753,False,stop,11496,141.5651010037134,0.01,0.0004
BTC,short,short_max_v7_devw120,352305,352306,352471,1673689500,1673739000,21084.0,21101.57597764267,-0.0016329225106832316,-0.0016329225106832316,3.9974416062922007,False,stop,11466,141.56280174681703,0.01,0.0004
AR,short,short_max_v7_devw120,136463,136464,136467,1673771400,1673772300,9.387,9.53894503937861,-0.016728914439841234,-0.016728914439841234,2.7321399902800008,False,stop,11498,141.53911982683417,0.01,0.0004
FLOW,short,short_max_v7_devw120,97591,97592,97592,1673773800,1673773800,1.07,1.0903470469579195,-0.01946107402655692,-0.01946107402655692,3.4865240669038533,True,stop,11499,141.51157479394814,0.01,0.0004
FIL,short,short_max_v7_devw120,236369,236370,236380,1673771400,1673774400,4.773,4.778840711999242,-0.0020222026954313846,-0.0020222026954313846,3.36189794002981,False,stop,11497,141.5087121071555,0.01,0.0004
FLOW,short,short_max_v7_devw120,97595,97596,97601,1673775000,1673776500,1.084,1.112005458550217,-0.025984641257723016,-0.025984641257723016,2.692544815954969,False,stop,11501,141.47194157596604,0.01,0.0004
FLOW,short,short_max_v7_devw120,97602,97603,97610,1673777100,1673779200,1.105,1.1428507289610266,-0.03391957371321528,-0.03391957371321528,2.654991844331306,False,stop,11502,141.42395489645966,0.01,0.0004
WAVES,short,short_max_v7_devw120,255099,255100,255108,1673778000,1673780400,2.4717,2.478685992318394,-0.003618425706218708,-0.003618425706218708,3.214223317771049,False,stop,11503,141.4188358393586,0.01,0.0004
KNC,short,short_max_v7_devw120,269771,269772,269780,1673779800,1673782200,0.7969,0.7983865785789269,-0.002661978418491006,-0.002661978418491006,3.459367699390504,False,stop,11504,141.41507116420067,0.01,0.0004
COMP,short,short_max_v7_devw120,267310,267311,267511,1673733300,1673793300,54.84,50.89,0.07681839261151505,0.07681839261151505,2.532485895812069,False,fail_fast_or_timeout,11495,141.52384769153116,0.01,0.0004
APT,short,short_max_v7_devw120,25460,25461,25463,1673815500,1673816100,7.8934,8.06007437250857,-0.021479011731835394,-0.021479011731835394,3.6331563221861116,False,stop,11506,141.49344976768214,0.01,0.0004
APT,short,short_max_v7_devw120,25465,25466,25474,1673817000,1673819400,8.2844,8.295552671776228,-0.00214441576318034,-0.00214441576318034,4.237546875563381,False,stop,11507,141.49041555984144,0.01,0.0004
LDO,short,short_max_v7_devw120,33042,33043,33143,1673793300,1673823300,2.3513,2.353976947332944,-0.0019372020171976915,-0.0019372020171976915,3.053751986459895,False,stop,11505,141.48767395700915,0.01,0.0004
OP,short,short_max_v7_devw120,65654,65655,65664,1673820900,1673823600,1.776,1.7779893189082003,-0.001918858750749907,-0.001918858750749907,2.4757526526988136,False,stop,11508,141.48227876994295,0.01,0.0004
GRT,short,short_max_v7_devw120,218091,218092,218100,1673821200,1673823600,0.08588,0.08597407735587223,-0.001894252578981658,-0.001894252578981658,2.4798506499324047,False,stop,11510,141.4849937711634,0.01,0.0004
APT,short,short_max_v7_devw120,25481,25482,25494,1673821800,1673825400,8.5967,8.609843390306262,-0.002326553934890318,-0.002326553934890318,2.662907336571405,False,stop,11511,141.47898691911226,0.01,0.0004
AAVE,short,short_max_v7_devw120,236541,236542,236542,1673826600,1673826600,79.29,80.78166004311078,-0.01926533040190945,-0.01926533040190945,3.6502237644652737,True,stop,11512,141.451730524833,0.01,0.0004
