candidate_id,profile,trend_state,slippage_bps,disaster_stop_atr,stop_mode,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct,eligible_symbols,positive_symbols,positive_symbol_pct,eligible_quarters,positive_quarter_pct,ex_q4_trades,ex_q4_avg_net_return_pct,ex_q4_profit_factor,ex_q4_win_rate_pct,q4_2025_trades,q4_2025_avg_net_return_pct,q4_2025_profit_factor,q4_2025_win_rate_pct,y2026_trades,y2026_avg_net_return_pct,y2026_profit_factor,y2026_win_rate_pct
bear_body20_range22_vol20_cp20__all__slip1bps__ds3atr__time6,bear_body20_range22_vol20_cp20,all,1.0,3.0,3atr,6,260728,260728,100.0,125523,135205,0,48.1432757509742,-0.0463387511982337,0.033674718689241975,2.565885376521873,0.9136436348478904,21.426544137952195,78.57345586204781,5.300853763308889,0.00753563568439598,1.7256257285557357,-52.05836583294825,248.01097944791496,-0.000463387511982337,597,180,30.15075376884422,26,26.923076923076923,233239.0,-0.07674995080843032,0.8534239595371809,48.27151548411715,27489.0,0.21169456343244208,1.3273276256309599,47.0551857106479,3965.0,-0.08221148872662974,0.7864225284112271,47.08701134930643
bear_body20_range22_vol20_cp20__all__slip1bps__ds3atr__time12,bear_body20_range22_vol20_cp20,all,1.0,3.0,3atr,12,260728,260728,100.0,121274,139454,0,46.513608051302505,-0.04993272301636427,0.03007930870711862,2.7316287788222873,0.9231964923910202,30.333911202479214,69.66608879752079,9.776752017428125,0.00753563568439598,1.7256257285557357,-52.05836583294825,236.34811794682605,-0.0004993272301636427,597,186,31.155778894472363,26,23.076923076923077,233239.0,-0.08092872206742242,0.8725226206736508,46.60712831044551,27489.0,0.21306250499010254,1.2732081917888267,45.720106224307905,3965.0,-0.04282847642504588,0.9103669977767158,51.727616645649434
bear_body20_range22_vol20_cp20__all__slip1bps__ds3atr__time24,bear_body20_range22_vol20_cp20,all,1.0,3.0,3atr,24,260728,260728,100.0,114496,146232,0,43.91396397778528,-0.04384744488889796,0.03616702191987002,3.165751354775177,0.9437165492697804,40.33168666196189,59.668313338038104,17.528343714522414,0.00753563568439598,1.7256257285557357,-52.05836583294825,285.96712035692985,-0.00043847444888897965,597,201,33.66834170854271,26,23.076923076923077,233239.0,-0.07998926207853718,0.8950123406282867,43.90818002135149,27489.0,0.2628090831584758,1.2842401778664896,43.96303976135909,3965.0,-0.006970468693455212,0.9877778592219637,50.51702395964691
bear_body20_range22_vol20_cp20__all__slip1bps__ds3atr__time36,bear_body20_range22_vol20_cp20,all,1.0,3.0,3atr,36,260728,260728,100.0,107814,152914,0,41.35113988524439,-0.05252393783738666,0.02748705698540759,3.3448442354286407,0.9393358000908268,47.047114233990975,52.95288576600902,24.29499708508484,0.00753563568439598,1.7256257285557357,-52.05836583294825,263.7582292460409,-0.0005252393783738666,597,209,35.00837520938023,26,34.61538461538461,233239.0,-0.09248254694017627,0.8908566657582802,41.35071750436248,27489.0,0.2865173524432918,1.2802164556207334,41.35472370766489,3965.0,0.12105894410848864,1.1980002843820818,52.55989911727617
bear_body20_range22_vol20_cp20__all__slip1bps__ds3atr__time72,bear_body20_range22_vol20_cp20,all,1.0,3.0,3atr,72,260728,260728,100.0,91825,168903,0,35.21869534534074,-0.048528211965897315,0.03148438178681739,3.818538344506301,0.9525988788585132,58.15370807891749,41.8462919210825,41.22250391212298,0.00753563568439598,1.7256257285557357,-52.05836583294825,263.9496852038934,-0.0004852821196589732,597,221,37.018425460636514,26,38.46153846153847,233239.0,-0.09153574441538422,0.9087820552381567,35.090615205861795,27489.0,0.31638262003911805,1.2645413708854247,36.305431263414455,3965.0,0.1673592103162289,1.2226837336114125,45.49810844892812
bear_body20_range22_vol20_cp20__all__slip1bps__ds5atr__time6,bear_body20_range22_vol20_cp20,all,1.0,5.0,5atr,6,260702,260702,100.0,129875,130827,0,49.81741605357842,-0.0508853129795383,0.029126337555483873,2.3881431763244114,0.9076012271503368,9.19287155449517,90.80712844550483,5.7058864143734995,0.0075112694806862045,2.8640219074372104,-65.1624329017058,194.0565933010223,-0.000508853129795383,597,187,31.32328308207705,26,30.76923076923077,233238.0,-0.07414278781234789,0.8619385599255833,49.999142506795636,27464.0,0.1466287751013977,1.21985029124767,48.27410428196912,3965.0,-0.07374702684949466,0.805164265018482,47.540983606557376
bear_body20_range22_vol20_cp20__all__slip1bps__ds5atr__time12,bear_body20_range22_vol20_cp20,all,1.0,5.0,5atr,12,260702,260702,100.0,128753,131949,0,49.387039608441825,-0.050604459479088024,0.029407303442288906,2.635899913843648,0.9249987787904269,14.05896387446203,85.94103612553798,11.034100237052266,0.0075112694806862045,2.8640219074372104,-65.1624329017058,234.5902654915125,-0.0005060445947908803,597,192,32.1608040201005,26,26.923076923076923,233238.0,-0.07439578938209779,0.8871055603752536,49.58668827549542,27464.0,0.15144339239675653,1.187360422536654,47.691523448878534,3965.0,-0.06053052907862955,0.879364755747978,53.3921815889029
bear_body20_range22_vol20_cp20__all__slip1bps__ds5atr__time24,bear_body20_range22_vol20_cp20,all,1.0,5.0,5atr,24,260702,260702,100.0,127817,132885,0,49.02800899110862,-0.04017210754877988,0.03984382998321341,3.0802321570073286,0.9514860333231348,21.20275256806622,78.79724743193378,20.927380687528288,0.0075112694806862045,2.8640219074372104,-65.1624329017058,235.5001451713859,-0.0004017210754877988,597,222,37.185929648241206,26,38.46153846153847,233238.0,-0.067023417587735,0.9171498352261008,49.13650434320308,27464.0,0.18786262340322335,1.1897415224400656,48.10661229245558,3965.0,-0.016247201375892986,0.9730103669125446,53.46784363177805
bear_body20_range22_vol20_cp20__all__slip1bps__ds5atr__time36,bear_body20_range22_vol20_cp20,all,1.0,5.0,5atr,36,260702,260702,100.0,124914,135788,0,47.91447706576858,-0.051024644534889446,0.028986950245208695,3.346591151595272,0.9459652169515861,26.956064778943006,73.04393522105698,30.059692675928837,0.0075112694806862045,2.8640219074372104,-65.1624329017058,232.56504942985873,-0.0005102464453488945,597,211,35.34338358458962,26,34.61538461538461,233238.0,-0.08081720854531795,0.9123941343520762,48.05006045327091,27464.0,0.20198868362795427,1.178863634415484,46.7630352461404,3965.0,0.11073655943348741,1.1656535084791673,57.553593947036575
bear_body20_range22_vol20_cp20__all__slip1bps__ds5atr__time72,bear_body20_range22_vol20_cp20,all,1.0,5.0,5atr,72,260702,260702,100.0,115555,145147,0,44.324554472155945,-0.034256675721710705,0.04576162892986118,3.929743654845578,0.9708619648188753,38.243665180934556,61.75633481906545,54.277059631303175,0.0075112694806862045,2.8640219074372104,-65.1624329017058,229.95281421989958,-0.00034256675721710704,597,241,40.36850921273032,26,46.15384615384615,233238.0,-0.06459014703213378,0.9438819573819871,44.32811119971875,27464.0,0.22335030729243252,1.1612139591419732,44.29434896591902,3965.0,0.16092721095692294,1.1909612481468512,52.43379571248423
bear_body20_range22_vol20_cp20__all__slip2bps__dsno_stop__time6,bear_body20_range22_vol20_cp20,all,2.0,0.0,no_stop,6,260736,260736,100.0,128105,132631,0,49.13207228767796,-0.053080318177396064,0.026930454004205597,3.454248682419622,0.9064176129729808,0.0,100.0,6.0,0.0075326690353270526,0.0,-87.37471448279614,371.8045577551157,-0.0005308031817739606,597,201,33.66834170854271,26,30.76923076923077,233240.0,-0.06407734835634572,0.8769361935164213,49.28871548619448,27496.0,0.04020406205748233,1.0417999622939635,47.8033168460867,3966.0,-0.08196164983913005,0.7832471273135555,46.394351991931416
bear_body20_range22_vol20_cp20__all__slip2bps__dsno_stop__time12,bear_body20_range22_vol20_cp20,all,2.0,0.0,no_stop,12,260736,260736,100.0,128564,132172,0,49.308112420225825,-0.02298560947334095,0.057037205408822574,3.3584046694178573,0.9654704262401669,0.0,100.0,12.0,0.0075326690353270526,0.0,-82.71623616816298,336.362839842288,-0.0002298560947334095,597,235,39.36348408710218,26,30.76923076923077,233240.0,-0.053540805117375606,0.9158638230504161,49.464928828674324,27496.0,0.23620459390222795,1.2583188773423086,47.97788769275531,3966.0,-0.05884385059285773,0.8802061953011263,52.54664649520928
