symbol,file,bars,raw_duration_events,kept_failure_rows,first_ts,last_ts
ANIME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ANIME_5m.csv,99982,164,795,2025-01-24 02:00:00,2026-01-12 07:15:00
ANKR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ANKR_5m.csv,521815,778,3840,2021-01-26 16:00:00,2026-01-12 12:30:00
APE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APE_5m.csv,402178,811,4020,2022-03-18 00:00:00,2026-01-12 10:45:00
API3,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\API3_5m.csv,408941,659,3240,2022-02-22 12:30:00,2026-01-12 10:50:00
APR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APR_5m.csv,21425,92,450,2025-10-23 19:30:00,2026-01-12 06:35:00
APT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APT_5m.csv,340122,730,3600,2022-10-19 11:00:00,2026-01-12 10:25:00
AR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AR_5m.csv,451281,681,3360,2021-09-28 12:30:00,2026-01-12 11:10:00
ARB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARB_5m.csv,293607,733,3620,2023-03-24 00:00:00,2026-01-12 09:50:00
ARC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARC_5m.csv,101758,207,1020,2025-01-17 22:00:00,2026-01-12 07:15:00
ARIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARIA_5m.csv,35819,79,380,2025-09-03 20:00:00,2026-01-12 06:40:00
ARK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARK_5m.csv,241755,513,2500,2023-09-19 23:30:00,2026-01-12 09:05:00
ARKM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARKM_5m.csv,257165,457,2235,2023-07-28 11:45:00,2026-01-12 09:20:00
ARPA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARPA_5m.csv,445232,765,3775,2021-10-19 12:30:00,2026-01-12 11:05:00
ASR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASR_5m.csv,70403,87,430,2025-05-06 18:30:00,2026-01-12 07:00:00
ASTER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASTER_5m.csv,31200,92,460,2025-09-19 21:00:00,2026-01-12 06:40:00
ASTR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASTR_5m.csv,306129,361,1780,2023-02-14 11:30:00,2026-01-12 10:10:00
AT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AT_5m.csv,15649,55,265,2025-11-18 22:35:00,2026-01-12 06:35:00
ATA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATA_5m.csv,459347,590,2940,2021-08-31 12:30:00,2026-01-12 11:20:00
ATH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATH_5m.csv,80122,125,615,2025-04-03 00:45:00,2026-01-12 07:05:00
ATOM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATOM_5m.csv,623733,1135,5620,2020-02-07 21:10:00,2026-01-12 14:50:00
AUCTION,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AUCTION_5m.csv,216702,536,2660,2023-12-15 22:00:00,2026-01-12 08:30:00
AVA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVA_5m.csv,111842,130,640,2024-12-13 22:00:00,2026-01-12 07:25:00
AVAAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVAAI_5m.csv,101755,196,975,2025-01-17 22:15:00,2026-01-12 07:15:00
AVAX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVAX_5m.csv,557824,1362,6735,2020-09-23 16:00:00,2026-01-12 13:15:00
AVNT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVNT_5m.csv,34044,101,505,2025-09-10 00:00:00,2026-01-12 06:40:00
AWE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AWE_5m.csv,66100,63,310,2025-05-21 17:00:00,2026-01-12 06:55:00
AXL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AXL_5m.csv,194489,216,1055,2024-03-02 00:30:00,2026-01-12 08:15:00
AXS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AXS_5m.csv,541115,1047,5155,2020-11-20 16:00:00,2026-01-12 12:50:00
B2,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B2_5m.csv,70355,123,595,2025-05-06 22:30:00,2026-01-12 07:00:00
B3,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B3_5m.csv,93999,108,515,2025-02-13 20:30:00,2026-01-12 07:15:00
B,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B_5m.csv,65710,135,630,2025-05-23 01:30:00,2026-01-12 06:55:00
BABY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BABY_5m.csv,79285,110,535,2025-04-05 22:30:00,2026-01-12 07:05:00
BADGER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BADGER_5m.csv,227080,223,1090,2023-11-09 21:30:00,2026-01-12 08:40:00
BAKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAKE_5m.csv,489260,918,4510,2021-05-19 16:00:00,2026-01-12 11:35:00
BAL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAL_5m.csv,564165,606,2965,2020-09-01 16:00:00,2026-01-12 13:40:00
BAN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAN_5m.csv,119063,187,925,2024-11-18 20:30:00,2026-01-12 07:30:00
BANANA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANANA_5m.csv,146549,304,1485,2024-08-15 11:00:00,2026-01-12 08:00:00
BANANAS31,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANANAS31_5m.csv,83369,175,840,2025-03-22 18:15:00,2026-01-12 07:10:00
BAND,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAND_5m.csv,573961,747,3655,2020-07-29 16:00:00,2026-01-12 14:00:00
BANK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANK_5m.csv,75479,171,830,2025-04-19 03:30:00,2026-01-12 07:00:00
BARD,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BARD_5m.csv,31500,57,285,2025-09-18 20:00:00,2026-01-12 06:40:00
BAS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAS_5m.csv,38095,97,475,2025-08-26 22:30:00,2026-01-12 06:45:00
BAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAT_5m.csv,622053,727,3575,2020-02-13 17:05:00,2026-01-12 14:45:00
BB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BB_5m.csv,173497,338,1665,2024-05-13 21:30:00,2026-01-12 08:05:00
BCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BCH_5m.csv,638181,1296,6375,2019-12-19 17:55:00,2026-01-12 15:35:00
BDXN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BDXN_5m.csv,62325,117,570,2025-06-03 19:30:00,2026-01-12 06:55:00
BEAMX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEAMX_5m.csv,224764,360,1770,2023-11-17 22:30:00,2026-01-12 08:40:00
BEAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEAT_5m.csv,15649,72,350,2025-11-18 22:35:00,2026-01-12 06:35:00
BEL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEL_5m.csv,541691,855,4215,2020-11-18 16:00:00,2026-01-12 12:50:00
BERA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BERA_5m.csv,95974,176,870,2025-02-07 00:00:00,2026-01-12 07:15:00
BICO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BICO_5m.csv,239186,236,1160,2023-09-28 21:30:00,2026-01-12 09:05:00
BID,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BID_5m.csv,83942,144,690,2025-03-20 18:30:00,2026-01-12 07:10:00
BIGTIME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BIGTIME_5m.csv,235129,501,2485,2023-10-12 23:30:00,2026-01-12 09:00:00
BIO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BIO_5m.csv,105800,183,910,2025-01-03 21:15:00,2026-01-12 07:20:00
BLESS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLESS_5m.csv,30078,63,310,2025-09-23 18:30:00,2026-01-12 06:40:00
BLUAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLUAI_5m.csv,21989,28,135,2025-10-21 20:30:00,2026-01-12 06:35:00
BLUR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLUR_5m.csv,283270,502,2490,2023-04-28 21:00:00,2026-01-12 09:40:00
BLZ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLZ_5m.csv,559553,790,3815,2020-09-17 16:00:00,2026-01-12 13:20:00
BMT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BMT_5m.csv,84758,138,675,2025-03-17 22:30:00,2026-01-12 07:10:00
BNB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNB_5m.csv,622920,1481,7300,2020-02-10 17:00:00,2026-01-12 14:55:00
BNT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNT_5m.csv,253307,233,1145,2023-08-10 21:00:00,2026-01-12 09:15:00
BNX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNX_5m.csv,303676,485,2365,2023-02-22 23:45:00,2026-01-12 10:00:00
BOB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOB_5m.csv,14819,43,215,2025-11-21 19:45:00,2026-01-12 06:35:00
BOME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOME_5m.csv,190203,450,2215,2024-03-16 21:30:00,2026-01-12 08:10:00
BOND,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOND_5m.csv,234264,239,1150,2023-10-15 23:30:00,2026-01-12 09:00:00
BR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BR_5m.csv,83615,118,575,2025-03-21 21:45:00,2026-01-12 07:10:00
BRETT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BRETT_5m.csv,145003,234,1160,2024-08-20 19:35:00,2026-01-12 07:55:00
BROCCOLI714,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BROCCOLI714_5m.csv,83660,135,645,2025-03-21 18:00:00,2026-01-12 07:10:00
BROCCOLIF3B,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BROCCOLIF3B_5m.csv,83657,137,650,2025-03-21 18:15:00,2026-01-12 07:10:00
BSV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BSV_5m.csv,232846,412,2030,2023-10-20 21:30:00,2026-01-12 08:55:00
BSW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BSW_5m.csv,140448,153,715,2024-09-05 15:00:00,2026-01-12 07:50:00
BTC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTC_5m.csv,667450,2195,10740,2019-09-09 02:55:00,2026-01-12 15:40:00
BTCDOM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTCDOM_5m.csv,479797,414,2035,2021-06-21 12:30:00,2026-01-12 11:30:00
BTR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTR_5m.csv,37843,54,260,2025-08-27 19:30:00,2026-01-12 06:45:00
BULLA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BULLA_5m.csv,53414,92,445,2025-07-04 18:00:00,2026-01-12 06:50:00
C98,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\C98_5m.csv,461364,698,3440,2021-08-24 12:30:00,2026-01-12 11:25:00
C,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\C_5m.csv,50246,98,485,2025-07-15 18:00:00,2026-01-12 06:50:00
CAKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CAKE_5m.csv,229097,424,2090,2023-11-02 21:45:00,2026-01-12 08:50:00
CARV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CARV_5m.csv,43528,62,305,2025-08-08 01:45:00,2026-01-12 06:45:00
CATI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CATI_5m.csv,136060,257,1260,2024-09-20 20:30:00,2026-01-12 07:45:00
CC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CC_5m.csv,15649,37,180,2025-11-18 22:35:00,2026-01-12 06:35:00
CELO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CELO_5m.csv,451569,451,2225,2021-09-27 12:30:00,2026-01-12 11:10:00
CELR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CELR_5m.csv,503952,596,2950,2021-03-29 16:00:00,2026-01-12 11:55:00
CETUS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CETUS_5m.csv,122490,191,945,2024-11-06 23:00:00,2026-01-12 07:35:00
CFX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CFX_5m.csv,304256,674,3310,2023-02-20 23:30:00,2026-01-12 10:05:00
CGPT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CGPT_5m.csv,109749,123,605,2024-12-21 04:15:00,2026-01-12 07:20:00
CHESS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHESS_5m.csv,142446,183,910,2024-08-29 16:30:00,2026-01-12 07:50:00
CHILLGUY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHILLGUY_5m.csv,116430,166,810,2024-11-27 23:45:00,2026-01-12 07:30:00
CHR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHR_5m.csv,508852,715,3545,2021-03-12 16:00:00,2026-01-12 12:15:00
CHZ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHZ_5m.csv,523256,993,4860,2021-01-21 16:00:00,2026-01-12 12:35:00
CKB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CKB_5m.csv,301981,435,2160,2023-02-28 21:00:00,2026-01-12 10:00:00
CLANKER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CLANKER_5m.csv,15649,29,140,2025-11-18 22:35:00,2026-01-12 06:35:00
CLO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CLO_5m.csv,24005,64,310,2025-10-14 20:30:00,2026-01-12 06:35:00
COAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COAI_5m.csv,29526,87,430,2025-09-25 16:30:00,2026-01-12 06:40:00
COMBO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMBO_5m.csv,273184,274,1340,2023-06-02 21:00:00,2026-01-12 09:25:00
COMMON,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMMON_5m.csv,15649,21,100,2025-11-18 22:35:00,2026-01-12 06:35:00
COMP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMP_5m.csv,582292,909,4470,2020-06-30 18:00:00,2026-01-12 14:15:00
COOKIE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COOKIE_5m.csv,104657,196,970,2025-01-07 20:30:00,2026-01-12 07:20:00
COS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COS_5m.csv,133160,104,510,2024-09-30 22:00:00,2026-01-12 07:40:00
COTI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COTI_5m.csv,509428,778,3825,2021-03-10 16:00:00,2026-01-12 12:15:00
COW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COW_5m.csv,122497,207,1025,2024-11-06 22:30:00,2026-01-12 07:35:00
CROSS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CROSS_5m.csv,51668,112,545,2025-07-10 19:30:00,2026-01-12 06:50:00
CRV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CRV_5m.csv,564165,722,3550,2020-09-01 16:00:00,2026-01-12 13:40:00
CTK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CTK_5m.csv,72122,66,325,2025-04-30 19:15:00,2026-01-12 07:00:00
CTSI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CTSI_5m.csv,443216,551,2705,2021-10-26 12:30:00,2026-01-12 11:05:00
CUDIS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CUDIS_5m.csv,39850,80,390,2025-08-20 20:15:00,2026-01-12 06:45:00
CVC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CVC_5m.csv,67533,72,340,2025-05-16 17:30:00,2026-01-12 06:55:00
CVX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CVX_5m.csv,47912,54,260,2025-07-23 20:30:00,2026-01-12 06:50:00
CYBER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CYBER_5m.csv,250137,450,2220,2023-08-21 21:00:00,2026-01-12 09:10:00
D,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\D_5m.csv,104099,123,600,2025-01-09 19:00:00,2026-01-12 07:20:00
DAM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DAM_5m.csv,40411,85,410,2025-08-18 21:30:00,2026-01-12 06:45:00
