strategy,axis,baseline_version,engine,data_scope,end_date,holdout_start,trades,wins,losses,win_rate_pct,final_asset,final_return_pct,peak_asset,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,pending_leftover,blocked_by_guard,generated_entry_candidates,executed_entries,fee_per_side,position_fraction,score_dev_weight,score_rsi_weight,score_wick_weight,short_dev,short_wick_mult,score_min_short,atr_stop_mult,rr_mult,min_expected_tp,timeout_bars,time_reduce_bars,fail_fast_bars,atr_pct_min,atr_pct_max,close_position_min,dd_brake_trigger_pct,dd_brake_freeze_steps,dd_brake_mode,better_than_baseline_cd,mdd_under_10,cd_delta_vs_baseline,mdd_delta_vs_baseline,trades_delta_vs_baseline,load_errors
smv8_mix2_13_all_timereduce5,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,63105,7297,55808,11.563267569923145,2843.319336054713,2743.319336054713,2843.3304850694603,2743.3304850694603,5.686879318598392,2681.6337117546423,1.5925867541542813,307,307,4197,0,0,363,63468,63105,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,2.0,5.5,0.003,200,5,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,1250.262189229023,-0.41770498816631196,17605,0
smv8_mix2_14_all_timereduce7,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,61207,7757,53450,12.673387030895158,2226.6611180518416,2126.6611180518416,2227.2794340849573,2127.2794340849573,6.72614318299064,2077.469430263099,1.4908014803359488,306,306,4152,0,0,1127,62334,61207,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,2.0,5.5,0.003,200,7,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,646.09790773748,0.6215588762259356,15707,0
smv8_mix2_15_all_timereduce8,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,60692,7996,52696,13.174718249522178,2088.6448993920876,1988.6448993920876,2089.2248898917555,1989.2248898917553,7.245857335271477,1937.8426349572162,1.468791593201674,306,306,4137,0,0,1155,61847,60692,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,2.0,5.5,0.003,200,8,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,506.471112431597,1.141273028506773,15192,0
smv8_mix2_16_dev031_all_timereduce6,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66636,7907,58729,11.865958340836785,2345.2276835148814,2245.2276835148814,2345.236875588983,2245.236875588983,6.262286241265369,2198.3714294038923,1.499986893301381,308,308,4418,0,0,1069,67705,66636,0.0004,0.01,1.3,0.8,0.7,0.031,1.3,2.35,2.0,5.5,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,766.9999068782731,0.15770193450066472,21136,0
smv8_mix2_17_dev033_all_timereduce6,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,57965,7147,50818,12.329854222375571,2370.8325295647846,2270.8325295647846,2370.8418219940586,2270.8418219940586,5.353635620797248,2243.9155896990264,1.5499064877075122,295,295,3945,0,0,299,58264,57965,0.0004,0.01,1.3,0.8,0.7,0.033,1.3,2.35,2.0,5.5,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,812.5440671734073,-0.7509486859674563,12465,0
smv8_mix2_18_dev034_all_timereduce6,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,54026,6752,47274,12.49768629918928,2212.498903678305,2112.498903678305,2212.5075783480556,2112.5075783480556,5.40515862567581,2092.918034133245,1.5536189700238974,304,304,3729,0,0,245,54271,54026,0.0004,0.01,1.3,0.8,0.7,0.034,1.3,2.35,2.0,5.5,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,661.5465116076257,-0.6994256810888944,8526,0
smv8_mix2_19_all_timereduce6_devw1p25,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,59031,7143,51888,12.10042181226813,2073.2455584116183,1973.245558411618,2073.2536844545925,1973.2536844545925,5.483027749254621,1959.5766096235036,1.5239181051096007,298,298,4056,0,0,874,59905,59031,0.0004,0.01,1.25,0.8,0.7,0.032,1.3,2.35,2.0,5.5,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,528.2050870978844,-0.6215565575100834,13531,0
smv8_mix2_20_all_timereduce6_devw1p35,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,64703,7712,56991,11.919076395221241,2359.597156719147,2259.597156719147,2359.6064050905425,2259.6064050905425,6.320762053472984,2210.4612988262616,1.513791823279893,307,307,4291,0,0,1022,65725,64703,0.0004,0.01,1.35,0.8,0.7,0.032,1.3,2.35,2.0,5.5,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,779.0897763006424,0.21617774670827927,19203,0
smv8_mix2_21_mix18_dev033,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,57965,7147,50818,12.329854222375571,2370.8325295647846,2270.8325295647846,2370.8418219940586,2270.8418219940586,5.353635620797248,2243.9155896990264,1.5499064877075122,295,295,3945,0,0,299,58264,57965,0.0004,0.01,1.3,0.8,0.7,0.033,1.3,2.35,2.0,5.5,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,812.5440671734073,-0.7509486859674563,12465,0
smv8_mix2_22_mix18_dev034,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,54026,6752,47274,12.49768629918928,2212.498903678305,2112.498903678305,2212.5075783480556,2112.5075783480556,5.40515862567581,2092.918034133245,1.5536189700238974,304,304,3729,0,0,245,54271,54026,0.0004,0.01,1.3,0.8,0.7,0.034,1.3,2.35,2.0,5.5,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,661.5465116076257,-0.6994256810888944,8526,0
smv8_mix2_23_stop2p05_rr5p35_timereduce6,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,61650,7464,54186,12.107055961070559,2495.763165938239,2395.763165938239,2495.772948016218,2395.772948016218,5.590287104187874,2356.2520747534577,1.5423022064936887,306,306,3877,0,0,932,62582,61650,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,2.05,5.35,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,924.8805522278385,-0.51429720257683,16150,0
smv8_mix2_24_stop2p05_rr5p60_timereduce6,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,61858,7589,54269,12.268421222800608,2793.7480980320024,2693.7480980320024,2793.7590480540707,2693.7590480540707,5.590623962631424,2637.5704852553763,1.552887049851573,306,306,3873,0,0,345,62203,61858,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,2.05,5.6,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,1206.198962729757,-0.5139603441332801,16358,0
smv8_mix2_25_stop1p95_rr5p35_timereduce6,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,62542,7636,54906,12.209395286367561,2547.6885864812507,2447.6885864812507,2547.698560422004,2447.698560422004,6.439272895786874,2383.6452975543975,1.5268154356548287,313,313,4438,0,0,353,62895,62542,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,1.95,5.35,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,952.2737750287783,0.3346885890221696,17042,0
smv8_mix2_26_stop1p95_rr5p60_timereduce6,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,62477,7598,54879,12.161275349328553,2500.959277595025,2400.959277595025,2500.9690685953024,2400.9690685953024,6.438144604607676,2339.9530634426274,1.522670140569882,313,313,4435,0,0,366,62843,62477,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,1.95,5.6,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,908.5815409170082,0.3335602978429719,16977,0
