run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,comp_n,atr_ratio_max,range_ratio_max,body_ratio_max,vol_ratio_max,release_range_min,release_body_min,release_vol_min,close_pos_min,upper_wick_max,ret1_min,ret20_min,ret60_min,ret20_max,ret60_max,atrp_min,atrp_max,range20_max,range60_max,rsi_min,rsi_max,ema20_min,ema50_min,ema100_min,stop_atr,rr,hold,cooldown,fail_bars,fail_pnl,verdict,note
LONG_COMPRESSION_RELEASE_V21_1H,CR21_C_026,range_body_compression,range_body_release,long,5163,1748,3415,33.85628510555878,-3.8453616741304097,0.0,16.641597864748757,83.35840213525124,597,0,0.01,0.0004,0.08,CR21_C_026,48,0.82,0.72,0.8,0.92,1.1,0.45,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_C_027,range_body_compression,range_body_release,long,5829,1959,3870,33.607822954194546,-4.611787821220292,0.0,18.368370601417684,81.63162939858232,597,0,0.01,0.0004,0.08,CR21_C_027,48,0.82,0.72,0.95,0.92,1.1,0.45,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_C_028,range_body_compression,range_body_release,long,6226,2096,4130,33.66527465467395,-4.758297529310173,0.0,19.017269395013514,80.98273060498649,597,0,0.01,0.0004,0.08,CR21_C_028,48,0.82,0.84,0.65,0.92,1.1,0.45,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_C_029,range_body_compression,range_body_release,long,19348,6451,12897,33.34194748811247,-15.9752238317584,0.0,46.5320417949817,53.467958205018306,597,0,0.01,0.0004,0.08,CR21_C_029,48,0.82,0.84,0.8,0.92,1.1,0.45,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_C_030,range_body_compression,range_body_release,long,29781,9945,19836,33.393774554246,-23.68100069002127,0.0,61.02681166021912,38.97318833978088,597,0,0.01,0.0004,0.08,CR21_C_030,48,0.82,0.84,0.95,0.92,1.1,0.45,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_D_031,volume_contraction_release,volume_quiet_then_release,long,11968,3889,8079,32.49498663101604,-11.443671151515144,0.0,32.48727377579004,67.51272622420996,597,0,0.01,0.0004,0.08,CR21_D_031,48,0.9,0.95,0.85,0.6,1.15,0.55,1.0,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_D_032,volume_contraction_release,volume_quiet_then_release,long,7446,2333,5113,31.332258930969648,-8.00714393549381,0.0,22.017063020760176,77.98293697923982,597,0,0.01,0.0004,0.08,CR21_D_032,48,0.9,0.95,0.85,0.6,1.15,0.55,1.25,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_D_033,volume_contraction_release,volume_quiet_then_release,long,3665,1126,2539,30.723055934515692,-4.358667731904864,0.0,11.734037644770524,88.26596235522948,597,0,0.01,0.0004,0.08,CR21_D_033,48,0.9,0.95,0.85,0.6,1.15,0.55,1.6,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_D_034,volume_contraction_release,volume_quiet_then_release,long,44052,14303,29749,32.46844638154908,-34.366261595943435,0.0,75.36559846890165,24.634401531098348,597,0,0.01,0.0004,0.08,CR21_D_034,48,0.9,0.95,0.85,0.75,1.15,0.55,1.0,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_D_035,volume_contraction_release,volume_quiet_then_release,long,29234,9401,19833,32.157761510569884,-24.990828013752587,0.0,60.60142023271771,39.39857976728229,597,0,0.01,0.0004,0.08,CR21_D_035,48,0.9,0.95,0.85,0.75,1.15,0.55,1.25,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
