symbol,file,bars,kept_event_horizon_rows,first_ts,last_ts
ANKR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ANKR_5m.csv,521815,226588,2021-01-26 16:00:00,2026-01-12 12:30:00
APE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APE_5m.csv,402178,156544,2022-03-18 00:00:00,2026-01-12 10:45:00
API3,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\API3_5m.csv,408941,179036,2022-02-22 12:30:00,2026-01-12 10:50:00
APR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APR_5m.csv,21425,9004,2025-10-23 19:30:00,2026-01-12 06:35:00
APT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APT_5m.csv,340122,134292,2022-10-19 11:00:00,2026-01-12 10:25:00
AR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AR_5m.csv,451281,200412,2021-09-28 12:30:00,2026-01-12 11:10:00
ARB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARB_5m.csv,293607,121404,2023-03-24 00:00:00,2026-01-12 09:50:00
ARC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARC_5m.csv,101758,42408,2025-01-17 22:00:00,2026-01-12 07:15:00
ARIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARIA_5m.csv,35819,16756,2025-09-03 20:00:00,2026-01-12 06:40:00
ARK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARK_5m.csv,241755,105064,2023-09-19 23:30:00,2026-01-12 09:05:00
ARKM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARKM_5m.csv,257165,107964,2023-07-28 11:45:00,2026-01-12 09:20:00
ARPA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARPA_5m.csv,445232,191748,2021-10-19 12:30:00,2026-01-12 11:05:00
ASR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASR_5m.csv,70403,29840,2025-05-06 18:30:00,2026-01-12 07:00:00
ASTER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASTER_5m.csv,31200,12364,2025-09-19 21:00:00,2026-01-12 06:40:00
ASTR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASTR_5m.csv,306129,132880,2023-02-14 11:30:00,2026-01-12 10:10:00
AT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AT_5m.csv,15649,6356,2025-11-18 22:35:00,2026-01-12 06:35:00
ATA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATA_5m.csv,459347,163672,2021-08-31 12:30:00,2026-01-12 11:20:00
ATH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATH_5m.csv,80122,35412,2025-04-03 00:45:00,2026-01-12 07:05:00
ATOM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATOM_5m.csv,623733,273332,2020-02-07 21:10:00,2026-01-12 14:50:00
AUCTION,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AUCTION_5m.csv,216702,90352,2023-12-15 22:00:00,2026-01-12 08:30:00
AVA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVA_5m.csv,111842,45484,2024-12-13 22:00:00,2026-01-12 07:25:00
AVAAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVAAI_5m.csv,101755,41680,2025-01-17 22:15:00,2026-01-12 07:15:00
AVAX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVAX_5m.csv,557824,236980,2020-09-23 16:00:00,2026-01-12 13:15:00
AVNT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVNT_5m.csv,34044,14332,2025-09-10 00:00:00,2026-01-12 06:40:00
AWE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AWE_5m.csv,66100,31300,2025-05-21 17:00:00,2026-01-12 06:55:00
AXL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AXL_5m.csv,194489,84524,2024-03-02 00:30:00,2026-01-12 08:15:00
AXS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AXS_5m.csv,541115,230796,2020-11-20 16:00:00,2026-01-12 12:50:00
B2,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B2_5m.csv,70355,34868,2025-05-06 22:30:00,2026-01-12 07:00:00
B3,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B3_5m.csv,93999,43104,2025-02-13 20:30:00,2026-01-12 07:15:00
B,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B_5m.csv,65710,30624,2025-05-23 01:30:00,2026-01-12 06:55:00
BABY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BABY_5m.csv,79285,32464,2025-04-05 22:30:00,2026-01-12 07:05:00
BADGER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BADGER_5m.csv,227080,63388,2023-11-09 21:30:00,2026-01-12 08:40:00
BAKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAKE_5m.csv,489260,188008,2021-05-19 16:00:00,2026-01-12 11:35:00
BAL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAL_5m.csv,564165,213388,2020-09-01 16:00:00,2026-01-12 13:40:00
BAN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAN_5m.csv,119063,51136,2024-11-18 20:30:00,2026-01-12 07:30:00
BANANA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANANA_5m.csv,146549,61676,2024-08-15 11:00:00,2026-01-12 08:00:00
