symbol,side,strategy,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,return,score,same_bar,exit_reason,id,equity_after_exit,position_fraction,fee_per_side
IP,short,short_max_v7_devw120,422,423,426,1767352500,1767353400,2.11,2.17657958079792,-0.031389086374462895,-0.031389086374462895,2.4617533504869598,False,stop,122,102.10809447341312,0.01,0.0004
1000000BOB,short,short_max_v7_devw120,227,228,428,1767294000,1767354000,0.02036,0.01878,0.08333205537806157,0.08333205537806157,2.874426367924963,False,fail_fast_or_timeout,72,102.19056224996669,0.01,0.0004
BULLA,short,short_max_v7_devw120,330,331,438,1767324900,1767357000,0.04886,0.04892458865202466,-0.002120167502767311,-0.002120167502767311,3.411201242474273,False,stop,111,102.1884019452782,0.01,0.0004
PIEVERSE,short,short_max_v7_devw120,306,307,439,1767317700,1767357300,0.5382,0.5388622047639292,-0.002028894433632277,-0.002028894433632277,2.863381381808205,False,stop,93,102.18632860872171,0.01,0.0004
IP,short,short_max_v7_devw120,428,429,441,1767354300,1767357900,2.223,2.226531279286709,-0.0023860003044019243,-0.0023860003044019243,3.426708701438744,False,stop,123,102.18389034159536,0.01,0.0004
WCT,short,short_max_v7_devw120,263,264,464,1767304800,1767364800,0.08971,0.08262,0.08501457274267735,0.08501457274267735,2.5833998447143802,False,fail_fast_or_timeout,79,102.26839470741508,0.01,0.0004
MON,short,short_max_v7_devw120,459,460,465,1767363600,1767365100,0.02558,0.02608315963569472,-0.020090593728765514,-0.020090593728765514,2.505293801063731,False,stop,125,102.2478653571503,0.01,0.0004
TRADOOR,short,short_max_v7_devw120,465,466,473,1767365400,1767367500,1.855,1.9258050417830634,-0.037566464022498615,-0.037566464022498615,3.5903712198258115,False,stop,127,102.18402872809817,0.01,0.0004
MON,short,short_max_v7_devw120,471,472,473,1767367200,1767367500,0.02689,0.0275531139162067,-0.024866750430580484,-0.024866750430580484,2.6902654290983112,False,stop,128,102.22243963565134,0.01,0.0004
M,short,short_max_v7_devw120,273,274,474,1767307800,1767367800,1.7429,1.5582,0.11773420613528432,0.11773420613528432,3.6963089685950155,False,fail_fast_or_timeout,84,102.30431488857938,0.01,0.0004
TRUTH,short,short_max_v7_devw120,282,283,483,1767310500,1767370500,0.01013,0.009923,0.020060626826564534,0.020060626826564534,4.117881396121722,False,fail_fast_or_timeout,89,102.3248006581799,0.01,0.0004
PIEVERSE,short,short_max_v7_devw120,451,452,484,1767361200,1767370800,0.5825,0.5833370410136215,-0.002234918331548074,-0.002234918331548074,2.998877715436831,False,stop,124,102.32251693168276,0.01,0.0004
COS,short,short_max_v7_devw120,301,302,487,1767316200,1767371700,0.001531,0.0015342612260163821,-0.0029256002309656407,-0.0029256002309656407,4.527851339035511,False,stop,92,102.3195272473463,0.01,0.0004
LIGHT,short,short_max_v7_devw120,391,392,494,1767343200,1767373800,0.7404,0.7431840060748894,-0.004546052191829552,-0.004546052191829552,4.013108873796068,False,stop,119,102.31489402456994,0.01,0.0004
HOLO,short,short_max_v7_devw120,491,492,500,1767373200,1767375600,0.08385,0.08400258667026045,-0.0026164520440234754,-0.0026164520440234754,4.214291911731241,False,stop,132,102.31221688320784,0.01,0.0004
DAM,short,short_max_v7_devw120,478,479,507,1767369300,1767377700,0.02512,0.025145985952625932,-0.001833403608627137,-0.001833403608627137,3.5516697468820446,False,stop,131,102.3103412322069,0.01,0.0004
TRUTH,short,short_max_v7_devw120,515,516,518,1767380400,1767381000,0.01133,0.011665296013442893,-0.02954303515800225,-0.02954303515800225,4.208788950807586,False,stop,134,102.2801156521264,0.01,0.0004
H,short,short_max_v7_devw120,320,321,521,1767321900,1767381900,0.19915,0.17205,0.15671235106073814,0.15671235106073814,2.415344737733801,False,fail_fast_or_timeout,104,102.4400383847207,0.01,0.0004
RIVER,short,short_max_v7_devw120,476,477,528,1767368700,1767384000,12.588,12.621596674364527,-0.0034618402751503733,-0.0034618402751503733,2.485799327095343,False,stop,130,102.43649677274466,0.01,0.0004
UAI,short,short_max_v7_devw120,521,522,530,1767382200,1767384600,0.147,0.14731129002093668,-0.0029131443550079786,-0.0029131443550079786,3.856778133369199,False,stop,136,102.4335125465492,0.01,0.0004
Q,short,short_max_v7_devw120,358,359,534,1767333300,1767385800,0.019931,0.020010775014159505,-0.004786602922828153,-0.004786602922828153,2.7212209000785466,False,stop,114,102.4286320295215,0.01,0.0004
UAI,short,short_max_v7_devw120,531,532,540,1767385200,1767387600,0.1509,0.15114357026203135,-0.0024115158693755793,-0.0024115158693755793,2.594863853764313,False,stop,137,102.42616182911088,0.01,0.0004
CLO,short,short_max_v7_devw120,537,538,541,1767387000,1767387900,0.3797,0.40279370295658556,-0.058133823212908366,-0.058133823212908366,3.2369584338149315,False,stop,138,102.36661614924743,0.01,0.0004
POPCAT,short,short_max_v7_devw120,514,515,549,1767380100,1767390300,0.094,0.09411329894219142,-0.002003856877453724,-0.002003856877453724,3.72872170903029,False,stop,133,102.3645659964383,0.01,0.0004
TRUTH,short,short_max_v7_devw120,519,520,550,1767381600,1767390600,0.011692,0.008961776971322638,0.3038519721941281,0.3038519721941281,3.8437820816483574,False,target,135,102.67534614500973,0.01,0.0004
CLO,short,short_max_v7_devw120,542,543,551,1767388500,1767390900,0.4046,0.40569104907956505,-0.0034893595065515807,-0.0034893595065515807,3.127230701359303,False,stop,139,102.67177420575759,0.01,0.0004
RIVER,short,short_max_v7_devw120,548,549,555,1767390300,1767392100,13.248,13.752726236378649,-0.03750008605592323,-0.03750008605592323,2.570932084066734,False,stop,142,102.63338740541815,0.01,0.0004
