strategy,side,axis,parent,group,entry,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,name,stop_atr,rr,hold,cooldown,atrp_min,atrp_max,range20_max,vol_min,body_min,close_pos_long_min,close_pos_short_max,wick_min,ret3_floor,ret5_floor,ret10_floor,ret20_floor,ret3_ceil,ret5_ceil,ret10_ceil,ret20_ceil,trend_required,reclaim_required,anchor_required,breakout_bonus,absorb_bonus,be_r,trail_r,trail_atr,fail_bars,fail_pnl,post_loss_after,post_loss_bars,sym_dd_pct,sym_dd_bars,shock_lb,shock_ret5,shock_range,shock_close_pos
8V14_short_main_v1_045_sm_edge_preserve,short,short_main,short_beh_dd_brake,sm_edge_preserve,short_edge_preserve,531136,193049,338087,36.34643481142306,-99.99603891204039,0.0,99.99999954669563,4.533043718168983e-07,8V14_short_main_v1_045_sm_edge_preserve,1.3,2.3499999999999996,21,12,0.0028,0.055999999999999994,0.246,1.1300000000000001,0.195,0.6399999999999999,0.37,0.5,-0.2,-0.26,-0.32,-0.42,0.05,0.078,0.12,0.23,True,False,True,0.38,0.41000000000000003,1.14,1.55,1.32,7,-0.79,2,30,0.22799999999999998,36,7,0.05,0.10800000000000001,0.72
8V14_short_main_v1_015_sm_edge_preserve,short,short_main,short_beh_dd_brake,sm_edge_preserve,short_edge_preserve,457485,171017,286468,37.38199066636065,-99.99421302759927,0.0,99.99999960359013,3.964098715947273e-07,8V14_short_main_v1_015_sm_edge_preserve,1.3,2.25,21,8,0.0034,0.064,0.246,1.1300000000000001,0.23,0.6399999999999999,0.37,0.5,-0.2,-0.26,-0.32,-0.42,0.062,0.094,0.13999999999999999,0.23,False,False,True,0.38,0.36,1.14,1.44,1.4200000000000002,7,-0.79,2,22,0.22799999999999998,20,5,0.05,0.078,0.72
8V14_short_main_v1_035_sm_edge_preserve,short,short_main,short_beh_dd_brake,sm_edge_preserve,short_edge_preserve,464346,148210,316136,31.918009415392834,-99.9917496684329,0.0,99.9999996322555,3.677445015171088e-07,8V14_short_main_v1_035_sm_edge_preserve,1.3,2.15,27,20,0.0034,0.064,0.20400000000000001,1.02,0.30000000000000004,0.57,0.43,0.7,-0.2,-0.26,-0.32,-0.42,0.062,0.094,0.13999999999999999,0.21,False,False,True,0.38,0.31,1.14,1.33,1.7200000000000002,9,-0.55,2,18,0.18,32,11,0.038,0.098,0.72
8V14_short_main_v1_002_sm_edge_preserve,short,short_main,short_beh_dd_brake,sm_edge_preserve,short_edge_preserve,612389,158130,454259,25.821822403733574,-99.9998216471056,0.0,99.99999966528604,3.347139565512691e-07,8V14_short_main_v1_002_sm_edge_preserve,1.1500000000000001,2.05,18,10,0.0031,0.052,0.19,1.02,0.16,0.57,0.43,0.4,-0.2,-0.26,-0.32,-0.42,0.056,0.086,0.13,0.21,True,False,True,0.26,0.26,0.8999999999999999,1.22,1.32,6,-0.55,3,10,0.18,16,6,0.038,0.068,0.72
8V14_short_main_v1_005_sm_edge_preserve,short,short_main,short_beh_dd_brake,sm_edge_preserve,short_edge_preserve,696260,286722,409538,41.18030620745124,-99.99986152120259,0.0,99.99999999849385,1.5061507596669799e-09,8V14_short_main_v1_005_sm_edge_preserve,1.3,2.05,27,16,0.0028,0.055999999999999994,0.20400000000000001,1.02,0.16,0.57,0.43,0.7,-0.2,-0.26,-0.32,-0.42,0.05,0.078,0.12,0.21,True,False,True,0.38,0.26,1.14,1.22,1.32,9,-0.55,2,14,0.18,16,9,0.038,0.068,0.72
8V14_long_main_v1_001_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,1928559,352881,1575678,18.297651251530286,-100.0,0.0,100.0,0.0,8V14_long_main_v1_001_lm_return_lift,1.05,2.05,18,8,0.0028,0.052,0.19,1.02,0.16,0.57,0.43,0.3,-0.05,-0.078,-0.12,-0.19,0.2,0.26,0.32,0.42,True,True,False,0.22,0.26,0.82,1.22,1.32,5,-0.55,2,10,0.18,16,5,-0.038,0.068,0.28
8V14_long_main_v1_003_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,1835065,537924,1297141,29.31362104339628,-100.0,0.0,100.0,0.0,8V14_long_main_v1_003_lm_return_lift,1.1500000000000001,2.05,24,12,0.0034,0.052,0.19,1.02,0.16,0.57,0.43,0.5,-0.062,-0.094,-0.13999999999999999,-0.23,0.2,0.26,0.32,0.42,False,False,False,0.3,0.26,0.98,1.22,1.32,7,-0.55,2,10,0.18,16,7,-0.038,0.068,0.28
8V14_long_main_v1_004_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,1332989,459669,873320,34.484080513792684,-100.0,0.0,100.0,0.0,8V14_long_main_v1_004_lm_return_lift,1.2000000000000002,2.05,27,14,0.0037,0.052,0.20400000000000001,1.02,0.16,0.57,0.43,0.6000000000000001,-0.068,-0.10200000000000001,-0.15,-0.19,0.2,0.26,0.32,0.42,True,True,False,0.33999999999999997,0.26,1.06,1.22,1.32,8,-0.55,3,10,0.18,16,8,-0.038,0.068,0.28
8V14_long_main_v1_006_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,1791091,335551,1455540,18.734447328471866,-100.0,0.0,100.0,0.0,8V14_long_main_v1_006_lm_return_lift,1.05,2.15,33,18,0.0031,0.055999999999999994,0.20400000000000001,1.075,0.16,0.57,0.43,0.8,-0.056,-0.086,-0.13,-0.23,0.2,0.26,0.32,0.42,True,False,False,0.22,0.31,0.82,1.33,1.32,10,-0.55,3,14,0.18,16,10,-0.038,0.068,0.28
8V14_long_main_v1_008_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,1430984,415996,1014988,29.070625527608975,-100.0,0.0,100.0,0.0,8V14_long_main_v1_008_lm_return_lift,1.1500000000000001,2.15,21,8,0.0037,0.055999999999999994,0.218,1.075,0.195,0.605,0.4,0.4,-0.068,-0.10200000000000001,-0.15,-0.21,0.2,0.26,0.32,0.42,True,False,False,0.3,0.31,0.98,1.33,1.32,6,-0.67,3,14,0.204,16,5,-0.044,0.068,0.28
8V14_long_main_v1_009_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,1791894,537842,1254052,30.015279921691796,-100.0,0.0,100.0,0.0,8V14_long_main_v1_009_lm_return_lift,1.2000000000000002,2.15,24,10,0.0028,0.06,0.218,1.075,0.195,0.605,0.4,0.5,-0.05,-0.078,-0.12,-0.23,0.2,0.26,0.32,0.42,True,False,False,0.33999999999999997,0.31,1.06,1.33,1.4200000000000002,7,-0.67,2,18,0.204,20,6,-0.044,0.068,0.28
8V14_long_main_v1_011_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,1606410,271470,1334940,16.89917268941304,-100.0,0.0,100.0,0.0,8V14_long_main_v1_011_lm_return_lift,1.05,2.25,30,14,0.0034,0.06,0.232,1.1300000000000001,0.195,0.605,0.4,0.7,-0.062,-0.094,-0.13999999999999999,-0.21,0.2,0.26,0.32,0.42,False,False,False,0.22,0.36,0.82,1.44,1.4200000000000002,9,-0.67,2,18,0.204,20,8,-0.044,0.078,0.28
8V14_long_main_v1_013_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,1624507,400217,1224290,24.636212709455855,-100.0,0.0,100.0,0.0,8V14_long_main_v1_013_lm_return_lift,1.1500000000000001,2.25,18,18,0.0028,0.064,0.246,1.1300000000000001,0.195,0.6399999999999999,0.37,0.3,-0.05,-0.078,-0.12,-0.19,0.2,0.26,0.32,0.42,True,True,False,0.3,0.36,0.98,1.44,1.4200000000000002,5,-0.79,2,22,0.22799999999999998,20,10,-0.05,0.078,0.28
8V14_long_main_v1_014_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,1550571,460759,1089812,29.715440311988296,-100.0,0.0,100.0,0.0,8V14_long_main_v1_014_lm_return_lift,1.2000000000000002,2.25,21,20,0.0031,0.064,0.246,1.1300000000000001,0.195,0.6399999999999999,0.37,0.4,-0.056,-0.086,-0.13,-0.21,0.2,0.26,0.32,0.42,True,False,False,0.33999999999999997,0.36,1.06,1.44,1.4200000000000002,6,-0.79,3,22,0.22799999999999998,20,11,-0.05,0.078,0.28
8V14_long_main_v1_016_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,1149234,196318,952916,17.082508871126333,-100.0,0.0,100.0,0.0,8V14_long_main_v1_016_lm_return_lift,1.05,2.3499999999999996,27,10,0.0037,0.064,0.19,1.185,0.23,0.6399999999999999,0.37,0.6000000000000001,-0.068,-0.10200000000000001,-0.15,-0.19,0.2,0.26,0.32,0.42,True,True,False,0.22,0.41000000000000003,0.82,1.55,1.4200000000000002,8,-0.79,3,22,0.22799999999999998,20,6,-0.05,0.078,0.28
