acceptance_rate_pct,final_asset,final_return_pct,max_drawdown_pct,max_gross_exposure_pct,max_open_positions,max_return_pct,model,official_cd_value,peak_asset,profit_factor,trades,trades_accepted,trades_requested,trades_skipped,window
93.4791692670035,61.49723796413336,-38.50276203586663,42.87745101322813,50.80202143803204,50,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_MAXPOS_50,35.12878988157375,102.08776833623187,,,172255,184271,12016,PREQ4_ALL_BEFORE_2025_10_01
97.16016085005236,54.5043545035778,-45.4956454964222,49.372886263138405,101.05025380264534,100,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_MAXPOS_100,27.59398154606858,102.08776833623187,,,179038,184271,5233,PREQ4_ALL_BEFORE_2025_10_01
99.50996087284489,48.278245573416655,-51.721754426583345,55.15609253750422,203.15351980575983,200,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_MAXPOS_200,21.64985176945943,102.08776833623187,,,183368,184271,903,PREQ4_ALL_BEFORE_2025_10_01
99.98968909920714,48.62195198500056,-51.37804801499944,54.83683614505905,302.3368718197146,300,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_MAXPOS_300,21.95921184445651,102.08776833623187,,,184252,184271,19,PREQ4_ALL_BEFORE_2025_10_01
,401273.8751967264,401173.8751967264,6.035556309029067,,,401180.295655775,CURRENT_INVERSE_EXIT_COMPOUND,377054.764505805,401280.295655775,1.9977284935138309,214226,,,,TRAIN_2025_FULL
,21392.17633968133,21292.17633968133,6.152159250344836,,,21292.518618610105,LINEAR_FIXED_FEE_EXIT_COMPOUND,20076.095584149545,21392.518618610105,1.6261791263463443,214226,,,,TRAIN_2025_FULL
,21452.74372458199,21352.74372458199,6.154295268930243,,,21353.08697260055,LINEAR_EXACT_FEE_EXIT_COMPOUND,20132.47853248431,21453.08697260055,1.6263057087343211,214226,,,,TRAIN_2025_FULL
,41.60948915148165,-58.39051084851835,62.30076774335258,,,2.1042112179027406,LINEAR_GAPSTOP_EXACT_FEE_EXIT_COMPOUND,15.686457956021579,102.10421121790274,0.9416821894423932,214226,,,,TRAIN_2025_FULL
100.0,337139.4982392217,337039.4982392217,6.1568679102626644,320.2188978834664,319,337044.8802130576,CURRENT_INVERSE_ENTRY_STAKE_UNBOUNDED,316382.2646593105,337144.8802130576,,,214226,214226,0,TRAIN_2025_FULL
100.0,19395.5354332117,19295.5354332117,6.280674308077749,320.2800181697518,319,19295.845134835068,LINEAR_EXACT_ENTRY_STAKE_UNBOUNDED,18177.365022343856,19395.845134835068,,,214226,214226,0,TRAIN_2025_FULL
100.0,39.489955337231855,-60.510044662768145,64.1085769385522,321.33687181971493,319,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_UNBOUNDED,14.173506936862665,102.08776833623187,,,214226,214226,0,TRAIN_2025_FULL
96.74689346764632,47.16439477545272,-52.83560522454728,57.7053665909018,99.99806376738839,100,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_GROSS_CAP_100PCT,19.948007869897594,102.08776833623187,,,207257,214226,6969,TRAIN_2025_FULL
99.41136930157872,39.43316415248414,-60.566835847515854,64.21148885262369,199.9922196307483,200,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_GROSS_CAP_200PCT,14.112542348474989,102.08776833623187,,,212965,214226,1261,TRAIN_2025_FULL
99.98599609757919,39.12837048580067,-60.871629514199334,64.43721227795555,299.33687181971453,299,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_GROSS_CAP_300PCT,13.915139334960381,102.08776833623187,,,214196,214226,30,TRAIN_2025_FULL
92.70630082249586,56.823791817782116,-43.17620818221788,49.572730736785196,51.17817277308795,50,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_MAXPOS_50,28.654686505521614,102.08776833623187,,,198601,214226,15625,TRAIN_2025_FULL
96.79123915864555,46.91364785349404,-53.086352146505966,57.91729213480077,101.09709966969469,100,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_MAXPOS_100,19.742533375094204,102.08776833623187,,,207352,214226,6874,TRAIN_2025_FULL
99.43004117147312,39.36288069588808,-60.63711930411192,64.26895924785082,203.15351980575983,200,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_MAXPOS_200,14.064766942667632,102.08776833623187,,,213005,214226,1221,TRAIN_2025_FULL
99.98786328456863,39.257501656474915,-60.742498343525085,64.31984821822238,302.3368718197146,300,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_MAXPOS_300,14.007136176764114,102.08776833623187,,,214200,214226,26,TRAIN_2025_FULL
