run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,min_market_count,breadth20_min,breadth60_min,market_ret20_median_min,market_ret60_median_min,xrank_ret5_max,xrank_ret20_max,xrank_ret60_max,xrank_dd20_max,xrank_dd60_max,xrank_ret120_min,xsafe_atrp_min,xsafe_range20_min,ret5_min,ret5_max,ret20_min,ret20_max,ret60_min,ret60_max,ret120_min,atrp_min,atrp_max,range20_max,range60_max,volr_min,volr_max,rsi_min,rsi_max,ema20_pos_min,ema50_pos_min,ema100_pos_min,close_pos_min,upper_wick_max,body_atr_max,rebound_ret1_min,fail_bars,fail_pnl,verdict,note
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_011_X2025_RR140_H10,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,9594,2395,7199,24.96351886595789,-20.731722368713523,0.0,29.76474498908319,70.2352550109168,597,0,0.01,0.0004,0.08,XOR_A_011_X2025_RR140_H10,0.9,1.4,10,26,80,0.4,0.32,-0.03,-0.08,0.25,0.25,0.45,0.25,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_012_X2025_RR140_H14,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,9594,2395,7199,24.96351886595789,-20.731722368713523,0.0,29.76474498908319,70.2352550109168,597,0,0.01,0.0004,0.08,XOR_A_012_X2025_RR140_H14,0.9,1.4,14,26,80,0.4,0.32,-0.03,-0.08,0.25,0.25,0.45,0.25,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_013_X2025_RR180_H6,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,9585,2265,7320,23.630672926447573,-18.748343552746526,0.0,30.192219055336146,69.80778094466386,597,0,0.01,0.0004,0.08,XOR_A_013_X2025_RR180_H6,0.9,1.8,6,26,80,0.4,0.32,-0.03,-0.08,0.25,0.25,0.45,0.25,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_014_X2025_RR180_H10,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,9585,2262,7323,23.599374021909235,-18.787826449230703,0.0,30.222629281382364,69.77737071861763,597,0,0.01,0.0004,0.08,XOR_A_014_X2025_RR180_H10,0.9,1.8,10,26,80,0.4,0.32,-0.03,-0.08,0.25,0.25,0.45,0.25,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_015_X2025_RR180_H14,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,9585,2262,7323,23.599374021909235,-18.787826449230703,0.0,30.222629281382364,69.77737071861763,597,0,0.01,0.0004,0.08,XOR_A_015_X2025_RR180_H14,0.9,1.8,14,26,80,0.4,0.32,-0.03,-0.08,0.25,0.25,0.45,0.25,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_016_X2025_RR240_H6,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,9571,2103,7468,21.97262563995403,-15.987198321295748,0.0,30.70355881256348,69.29644118743651,597,0,0.01,0.0004,0.08,XOR_A_016_X2025_RR240_H6,0.9,2.4,6,26,80,0.4,0.32,-0.03,-0.08,0.25,0.25,0.45,0.25,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_017_X2025_RR240_H10,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,9571,2104,7467,21.983073868979208,-15.94552540595573,0.0,30.71535439197429,69.28464560802571,597,0,0.01,0.0004,0.08,XOR_A_017_X2025_RR240_H10,0.9,2.4,10,26,80,0.4,0.32,-0.03,-0.08,0.25,0.25,0.45,0.25,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_018_X2025_RR240_H14,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,9571,2104,7467,21.983073868979208,-15.94552540595573,0.0,30.71535439197429,69.28464560802571,597,0,0.01,0.0004,0.08,XOR_A_018_X2025_RR240_H14,0.9,2.4,14,26,80,0.4,0.32,-0.03,-0.08,0.25,0.25,0.45,0.25,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_019_X2035_RR140_H6,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,13317,3170,10147,23.804160096117744,-27.99217364933434,0.0,38.24858057093387,61.75141942906613,597,0,0.01,0.0004,0.08,XOR_A_019_X2035_RR140_H6,0.9,1.4,6,26,80,0.4,0.32,-0.03,-0.08,0.25,0.35,0.45,0.35,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_020_X2035_RR140_H10,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,13317,3174,10143,23.83419689119171,-27.964024760516004,0.0,38.24511364088019,61.75488635911981,597,0,0.01,0.0004,0.08,XOR_A_020_X2035_RR140_H10,0.9,1.4,10,26,80,0.4,0.32,-0.03,-0.08,0.25,0.35,0.45,0.35,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
