run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,rsi_max,ema20_min,ret20_min,ret60_min,block_ret3_max,block_ret12_max,block_atr_spike_max,block_vol_spike_max,block_range_atr_max,block_upper_max,atrp_max,range20_max,stop_atr,rr,hold,cooldown,verdict,note
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_C_024,volume_wick_block,volume_upper_block,long,4746616,1581086,3165530,33.30975162094427,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_C_024,72,0.84,-0.16,-0.32,0.07,0.16,2.0,3.2,4.0,0.88,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_C_025,volume_wick_block,volume_upper_block,long,4756943,1584587,3172356,33.31103610028541,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_C_025,72,0.84,-0.16,-0.32,0.07,0.16,2.0,4.5,4.0,0.62,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_C_026,volume_wick_block,volume_upper_block,long,4756943,1584587,3172356,33.31103610028541,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_C_026,72,0.84,-0.16,-0.32,0.07,0.16,2.0,4.5,4.0,0.75,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_C_027,volume_wick_block,volume_upper_block,long,4756943,1584587,3172356,33.31103610028541,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_C_027,72,0.84,-0.16,-0.32,0.07,0.16,2.0,4.5,4.0,0.88,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_D_028,base_state,state_filter,long,4487101,1500344,2986757,33.436822572079386,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_D_028,62,0.8,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_D_029,base_state,state_filter,long,4487101,1500344,2986757,33.436822572079386,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_D_029,62,0.84,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_D_030,base_state,state_filter,long,4487100,1500342,2986758,33.436785451628,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_D_030,62,0.88,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_D_031,base_state,state_filter,long,4694001,1564831,3129170,33.33682715448931,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_D_031,68,0.8,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_D_032,base_state,state_filter,long,4694001,1564831,3129170,33.33682715448931,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_D_032,68,0.84,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_D_033,base_state,state_filter,long,4694001,1564831,3129170,33.33682715448931,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_D_033,68,0.88,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
