strategy,quarter,trades,wins,losses,win_rate_pct,sum_trade_pnl_pct,quarter_trade_mdd_proxy_pct,worst_trade_pnl_pct,best_trade_pnl_pct
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q21,13,4,9,30.76923076923077,-3.208529445536738,12.978669365974794,-4.15233439094008,6.406132343306394
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q22,4,3,1,75.0,13.53333210434162,2.1547791592647396,-2.154779159264739,8.126734534064196
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q23,1,1,0,100.0,2.137138243111383,0.0,2.137138243111383,2.137138243111383
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q24,3,2,1,66.66666666666666,8.150970591060808,1.0992462741681504,-1.0992462741681508,8.379046737621477
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q25,68,1,67,1.4705882352941175,-111.82332709097626,111.82332709097626,-4.988971289449871,13.713345078185526
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q26,87,1,86,1.1494252873563218,-206.48291099668575,206.48291099668575,-4.390185620735629,1.8664192821224246
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q27,95,89,6,93.6842105263158,269.65713437285854,3.730829170523549,-3.7308291705235397,12.0886266693243
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q28,29,6,23,20.689655172413794,-24.707742783351918,35.43249791489209,-3.1286245163905635,8.381281019046707
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q29,139,8,131,5.755395683453238,-210.69001101310826,223.97762015679908,-4.309651761740683,10.967230260571283
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q3,8,5,3,62.5,11.676490146269721,5.406098569166822,-3.291670378131415,5.878298366793624
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q30,194,191,3,98.4536082474227,679.8959996054053,2.2465444284309797,-2.2465444284310276,10.487729083665345
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q31,18,9,9,50.0,3.383317587551888,7.688822604435996,-4.661529403340978,4.9066790223560774
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q32,4,3,1,75.0,14.019718738198861,1.4643109282512423,-1.4643109282512423,9.624195593118015
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q33,2,1,1,50.0,-1.6709525952656024,1.9049726679212209,-1.9049726679212209,0.23402007265561858
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q4,2,2,0,100.0,14.688560807625311,0.0,6.192527654638105,8.496033152987206
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q5,5,4,1,80.0,34.867115745987206,2.221200884818117,-2.2212008848181175,12.765864384269179
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q6,1,1,0,100.0,0.13159542953872455,0.0,0.13159542953872455,0.13159542953872455
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q7,4,0,4,0.0,-10.020981566231548,10.020981566231548,-3.1770085047537955,-2.260955307153354
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q8,4,1,3,25.0,-7.330275298233747,8.370275190269123,-5.682663803476915,2.692963604852685
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q9,7,2,5,28.57142857142857,-2.69989042145214,5.425408329371953,-2.1238727719523043,3.031457204767065
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q1,6,3,3,50.0,7.068950729555947,3.088896783660784,-1.566446563893773,5.698166511780469
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q10,5,2,3,40.0,22.28184226282171,2.2533595362656946,-2.2533595362656955,20.025585431196607
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q11,11,8,3,72.72727272727273,34.08994612492164,4.2791739341225,-4.279173934122502,7.227692307692304
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q14,3,1,2,33.33333333333333,-1.116606786262646,5.4325449914353685,-4.383980893882353,4.315938205172722
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q15,6,0,6,0.0,-12.387167403369578,12.387167403369578,-2.45409360333275,-1.352367345221781
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q16,1,0,1,0.0,-3.1005817116588985,3.1005817116588985,-3.1005817116588985,-3.1005817116588985
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q17,7,3,4,42.857142857142854,4.264371109098156,6.625402791575746,-3.272865448835347,6.9617551309271075
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q18,3,3,0,100.0,9.068683115929762,0.0,2.149859335038342,4.647446605036656
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q19,1,0,1,0.0,-1.8000856102722707,1.8000856102722707,-1.8000856102722707,-1.8000856102722707
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q2,2,0,2,0.0,-4.776651088672407,4.776651088672407,-3.223439398200254,-1.5532116904721538
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q20,2,1,1,50.0,0.8830359673895161,3.050856367018826,-3.050856367018826,3.933892334408342
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q21,2,0,2,0.0,-2.846172088439365,2.846172088439365,-1.896907506032084,-0.9492645824072808
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q22,8,0,8,0.0,-13.615960863084435,13.615960863084435,-2.2424214392985786,-1.3962011169274624
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q23,2,2,0,100.0,12.08866032129459,0.0,6.001692960297391,6.0869673609972
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q24,16,15,1,93.75,34.48851395451087,2.3714531613439362,-2.371453161343937,8.041424465551685
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q25,3,1,2,33.33333333333333,-0.8647745609403779,2.087476787857019,-1.5781527990890587,1.222702226916641
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q26,1,0,1,0.0,-2.276365172913928,2.276365172913928,-2.276365172913928,-2.276365172913928
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q28,3,1,2,33.33333333333333,0.38624163053912586,1.4763547595139848,-1.4763547595139848,3.257987054194702
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q29,2,0,2,0.0,-4.440264973914028,4.440264973914028,-2.2435796544648423,-2.1966853194491853
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q3,3,2,1,66.66666666666666,3.4861348102925027,1.4557345882295603,-1.4557345882295603,3.129420457169254
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q30,7,2,5,28.57142857142857,-2.919084679105717,10.37989653450925,-4.017049252333846,5.072730638691749
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q31,4,2,2,50.0,1.8844092519596267,1.8235218388894392,-1.8235218388894392,4.085472437183526
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q32,6,1,5,16.666666666666664,1.6866601814093505,9.95949269287998,-3.2966239304563194,11.64615287428933
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q33,4,2,2,50.0,8.307073130368689,1.9073121836536178,-1.9073121836536178,8.041468926553677
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q4,128,78,50,60.9375,42.71679800212058,5.4838683016885685,-2.8703401035991427,6.3913681419281465
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q5,6,2,4,33.33333333333333,-2.1897835317200887,8.952864877767443,-4.745218740875687,4.432496455624415
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q6,3,1,2,33.33333333333333,-2.3214112541828635,2.850862747838563,-2.3169004464470544,0.5294514936556994
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q7,5,1,4,20.0,-4.2031305870513735,6.40623560988244,-1.681046374188686,2.2031050228310667
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q8,7,5,2,71.42857142857143,11.751140803577215,2.5072433074718603,-2.5072433074718603,6.8122528940338345
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1710-Q9,39,1,38,2.564102564102564,-59.38132233932559,59.38132233932559,-2.591569007244985,5.182324501213977
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1711-Q0,1,1,0,100.0,0.7063599617843775,0.0,0.7063599617843775,0.7063599617843775
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1711-Q1,2,2,0,100.0,4.406102858028298,0.0,1.006956521739113,3.399146336289185
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1711-Q10,3,0,3,0.0,-5.507756287633319,5.507756287633319,-2.281460101029773,-1.4792754221295423
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1711-Q11,1,0,1,0.0,-1.963039544962173,1.963039544962173,-1.963039544962173,-1.963039544962173
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1711-Q12,1,1,0,100.0,9.503380939661733,0.0,9.503380939661733,9.503380939661733
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1711-Q13,1,0,1,0.0,-1.7272984653074008,1.7272984653074008,-1.7272984653074008,-1.7272984653074008
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1711-Q14,1,0,1,0.0,-2.4975008603502635,2.4975008603502635,-2.4975008603502635,-2.4975008603502635
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1711-Q16,1,0,1,0.0,-3.472581526762162,3.472581526762162,-3.472581526762162,-3.472581526762162
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1711-Q17,2,1,1,50.0,1.3086761492911814,1.4823447545165935,-1.4823447545165935,2.791020903807775
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1711-Q18,2,0,2,0.0,-2.6659837533528807,2.6659837533528807,-2.650101730430696,-0.015882022922184477
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1711-Q19,5,1,4,20.0,-0.4067179357018058,4.712142060725282,-2.044993003068083,6.350417128091559
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1711-Q2,1,1,0,100.0,1.1164385086254969,0.0,1.1164385086254969,1.1164385086254969
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1711-Q20,1,0,1,0.0,-2.5274665796446194,2.5274665796446194,-2.5274665796446194,-2.5274665796446194
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1711-Q21,4,0,4,0.0,-6.140767094776824,6.140767094776824,-2.415451868405325,-0.5160056258790323
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1711-Q22,1,1,0,100.0,2.2608996302553885,0.0,2.2608996302553885,2.2608996302553885
