events,reason,symbol,usable_bars
493,,BAN,118845
148,,BARD,31282
168,,BAS,37877
1819,,BAT,621836
612,,BB,173279
2642,,BCH,637964
338,,BDXN,62107
663,,BEAMX,224546
66,,BEAT,15432
2013,,BEL,541474
250,,BERA,95756
657,,BICO,238968
355,,BID,83724
701,,BIGTIME,234911
346,,BIO,105582
133,,BLESS,29860
66,,BLUAI,21771
824,,BLUR,283052
1780,,BLZ,559336
288,,BMT,84540
1967,,BNB,622703
579,,BNT,253089
754,,BNX,303459
49,,BOB,14602
495,,BOME,189985
468,,BOND,123701
424,,BRETT,144785
346,,BROCCOLI714,83442
418,,BROCCOLIF3B,83439
327,,BR,83397
878,,BSV,232628
395,,BSW,140230
1346,,BTCDOM,479580
0,,BTC,0
174,,BTR,37625
239,,BULLA,53196
301,,B,65492
1196,,C98,461147
694,,CAKE,228879
168,,CARV,43310
426,,CATI,135842
54,,CC,15432
854,,CELO,451352
1377,,CELR,503735
335,,CETUS,122272
960,,CFX,304039
331,,CGPT,109531
442,,CHESS,142228
339,,CHILLGUY,116212
1555,,CHR,508635
1888,,CHZ,523039
894,,CKB,301764
60,,CLANKER,15432
97,,CLO,23787
125,,COAI,29308
620,,COMBO,272966
62,,COMMON,15432
1705,,COMP,582075
261,,COOKIE,104439
424,,COS,132942
1523,,COTI,509211
415,,COW,122279
219,,CROSS,51450
1293,,CRV,563948
265,,CTK,71904
1365,,CTSI,442999
201,,CUDIS,39632
195,,CVC,67315
135,,CVX,47694
847,,CYBER,249919
197,,C,50028
176,,DAM,40193
954,,DAR,280506
1818,,DASH,624432
279,,DEEP,74229
867,,DEFI,521519
404,,DEGEN,119709
418,,DEGO,111621
1265,,DENT,505211
393,,DEXE,108472
292,,DF,106741
796,,DGB,310458
449,,DIA,132372
287,,DMC,56028
742,,DODOX,253665
2433,,DOGE,579194
388,,DOGS,143033
324,,DOLO,71702
320,,DOOD,69272
1678,,DOT,566829
478,,DRIFT,121675
1402,,DUSK,421973
1204,,DYDX,456250
570,,DYM,200999
378,,D,103881
98,,EDEN,27826
905,,EDU,282475
1551,,EGLD,560202
385,,EIGEN,132737
568,,ENA,185089
1637,,ENJ,555878
116,,ENSO,23817
1452,,ENS,432918
334,,EPIC,85758
315,,EPT,74463
194,,ERA,49374
207,,ESPORTS,45983
2414,,ETC,629908
549,,ETHFI,189373
756,,ETHW,221388
2284,,ETH,644314
90,,EUL,24039
106,,EVAA,26968
333,,FARTCOIN,109537
889,,FET,313978
124,,FF,28085
345,,FHE,77032
441,,FIDA,136118
1933,,FIL,550992
392,,FIO,135842
287,,FIS,73377
1367,,FLM,555878
151,,FLOCK,33925
858,,FLOW,412180
116,,FLUID,29563
394,,FLUX,140794
60,,FOLKS,15432
394,,FORM,84030
209,,FORTH,78262
1466,,FTM,557319
220,,FTT,393746
280,,FUN,80567
939,,FXS,312191
246,,F,57759
1370,,GALA,453945
834,,GAS,231305
402,,GHST,134959
104,,GIGGLE,25248
181,,GLMR,67410
703,,GLM,196642
1234,,GMT,402669
797,,GMX,304903
316,,GOAT,126024
359,,GPS,92563
353,,GRASS,121678
280,,GRIFFAIN,105856
1617,,GRT,532544
1311,,GTC,482461
276,,GUN,80513
421,,G,146203
211,,HAEDAL,71699
114,,HANA,28972
1466,,HBAR,507193
337,,HEI,93811
166,,HEMI,37120
807,,HFT,289389
800,,HIFI,215862
909,,HIGH,307929
429,,HIPPO,120273
341,,HIVE,108760
384,,HMSTR,134101
123,,HOLO,33286
274,,HOME,60078
956,,HOOK,312243
1586,,HOT,503446
192,,HUMA,64382
238,,HYPER,74175
140,,HYPE,63259
269,,H,55782
207,,ICNT,53436
834,,ICP,346235
1694,,ICX,559914
340,,IDEX,281611
225,,IDOL,53193
870,,ID,293394
572,,ILV,226526
1207,,IMX,411892
234,,INIT,75982
1036,,INJ,358042
191,,IN,43385
1884,,IOST,619529
1696,,IOTA,622125
1574,,IOTX,464604
496,,IO,164907
392,,IP,93716
57,,IRYS,13099
1288,,JASMY,392306
49,,JCT,15432
385,,JELLYJELLY,81916
794,,JOE,291694
211,,JST,72489
614,,JTO,218538
547,,JUP,202878
286,,KAIA,114206
257,,KAITO,91746
649,,KAS,224684
1951,,KAVA,574032
365,,KDA,136394
229,,KERNEL,76492
616,,KEY,161459
85,,KGEN,25768
70,,KITE,15432
701,,KLAY,319097
351,,KMNO,109535
1882,,KNC,584382
433,,KOMA,112497
1602,,KSM,551557
94,,LAB,22887
251,,LAYER,94306
189,,LA,61548
1055,,LDO,347561
880,,LEVER,256208
141,,LIGHT,28685
1300,,LINA,506616
111,,LINEA,36208
1825,,LINK,629620
573,,LISTA,162332
1307,,LIT,510868
206,,LOKA,134689
448,,LOOM,122837
1405,,LPT,438390
936,,LQTY,297170
1844,,LRC,550114
610,,LSK,204658
2143,,LTC,631924
303,,LUMIA,110201
1478,,LUNA2,351126
92,,LYN,26140
1023,,MAGIC,311667
1628,,MANA,507770
545,,MANTA,206677
1565,,MASK,460283
310,,MAVIA,81904
869,,MAV,265190
443,,MBOX,142493
362,,MDT,92916
360,,MELANIA,100718
108,,MEMEFI,31629
669,,MEME,228599
297,,MERL,63571
551,,METIS,191186
102,,MET,24639
509,,MEW,163178
356,,ME,112439
240,,MILK,70134
822,,MINA,307826
95,,MIRA,28966
161,,MITO,37265
1613,,MKR,533902
285,,MLN,80564
66,,MMT,15432
424,,MOCA,110778
96,,MON,24990
437,,MOODENG,125778
330,,MORPHO,116215
342,,MOVE,112764
654,,MOVR,213322
1978,,MTL,503158
274,,MUBARAK,84537
513,,MYRO,178280
261,,MYX,57762
267,,M,52326
182,,NAORIS,45376
1854,,NEAR,551257
477,,NEIROETH,111324
392,,NEIRO,136995
2120,,NEO,620674
198,,NEWT,57450
649,,NFP,213022
313,,NIL,82530
1751,,NKN,500565
919,,NMR,267206
136,,NOM,27574
486,,NOT,172396
609,,NTRN,225429
199,,NULS,67038
187,,NXPC,67627
219,,OBOL,69885
1269,,OCEAN,545795
1600,,OGN,502869
304,,OG,68461
206,,OL,55758
1642,,OMG,482615
463,,OMNI,180748
678,,OM,199187
503,,ONDO,206113
1308,,ONE,506905
729,,ONG,221670
1947,,ONT,622413
66,,ON,15431
126,,OPEN,34138
1165,,OP,380083
431,,ORBS,121211
348,,ORCA,113617
130,,ORDER,28957
692,,ORDI,227440
729,,OXT,252800
298,,PARTI,82241
281,,PAXG,81694
714,,PENDLE,256949
346,,PENGU,110432
1385,,PEOPLE,426000
762,,PERP,300035
334,,PHA,106744
979,,PHB,305191
63,,PIEVERSE,15432
416,,PIPPIN,99557
569,,PIXEL,197446
236,,PLAY,45412
210,,PLUME,83394
360,,PNUT,120849
814,,POLYX,231308
296,,POL,137850
324,,PONKE,122866
391,,POPCAT,144180
219,,PORT3,61840
601,,PORTAL,194565
734,,POWR,230731
278,,PROMPT,77422
352,,PROM,102122
171,,PROVE,43883
163,,PTB,35584
221,,PUFFER,61843
302,,PUMPBTC,59232
259,,PUMP,74588
251,,PUNDIX,71907
598,,PYTH,223092
905,,QNT,339610
2120,,QTUM,619818
308,,QUICK,127835
150,,Q,35931
412,,RAD,279592
492,,RARE,146198
325,,RAYSOL,112500
360,,RAY,462299
751,,RDNT,289677
101,,RECALL,23487
324,,RED,87678
1317,,REEF,412366
401,,REI,133831
328,,RENDER,151994
1371,,REN,551846
206,,RESOLV,60055
631,,REZ,177005
667,,RIF,232341
112,,RIVER,22884
2190,,RLC,573167
42,,RLS,11443
487,,RONIN,201317
1144,,ROSE,423989
422,,RPL,138999
1738,,RSR,550115
1720,,RUNE,563081
1582,,RVN,513533
82,,RVV,22611
403,,SAFE,125747
488,,SAGA,183095
201,,SAHARA,55464
1929,,SAND,521887
558,,SANTOS,124865
185,,SAPIEN,39557
305,,SCRT,117980
375,,SCR,126642
451,,SC,499700
749,,SEI,251186
63,,SENT,15432
1602,,SFP,513244
316,,SHELL,92560
250,,SIGN,72471
381,,SIREN,83154
235,,SKATE,51727
2083,,SKL,535706
302,,SKYAI,68164
136,,SKY,33922
224,,SLERF,96378
112,,SLP,47690
193,,SNT,56045
1642,,SNX,569134
357,,SOLV,101549
1895,,SOL,560201
167,,SOMI,38213
339,,SONIC,104206
322,,SOON,65300
236,,SOPH,63805
1353,,SPELL,352170
251,,SPK,58092
340,,SPX,112491
297,,SQD,59775
963,,SSV,302916
66,,STABLE,15432
121,,STBL,31633
691,,STEEM,227128
1039,,STG,355626
1286,,STMX,412944
2070,,STORJ,559625
289,,STO,77035
207,,STPT,60341
233,,STRAX,235344
412,,STRK,197134
1026,,STX,303751
819,,SUI,281562
372,,SUN,144179
625,,SUPER,221958
1625,,SUSHI,563082
287,,SWARMS,104431
394,,SWELL,121672
1960,,SXP,565848
264,,SXT,71349
507,,SYN,145915
204,,SYRUP,69909
385,,SYS,145051
270,,S,101864
223,,TAC,50010
211,,TAG,47120
199,,TAIKO,59779
196,,TAKE,35599
245,,TANSSI,51725
454,,TAO,182471
225,,TA,48318
1714,,THETA,591882
395,,THE,116243
611,,TIA,229392
899,,TLM,291401
533,,TNSR,183306
672,,TOKEN,228562
460,,TON,194307
114,,TOSHI,31636
182,,TOWNS,43912
139,,TRADOOR,30976
1943,,TRB,563371
167,,TREE,45935
180,,TROY,124013
308,,TRUMP,101252
81,,TRUST,15432
119,,TRUTH,27526
913,,TRU,298034
1788,,TRX,630196
403,,TST,94915
557,,TURBO,168346
88,,TURTLE,21441
387,,TUT,83729
650,,TWT,228569
1113,,T,309531
63,,UAI,15432
131,,UB,33016
989,,UMA,279587
1471,,UNFI,389040
1661,,UNI,559048
2556,,USDC,296533
164,,USELESS,41060
932,,USTC,221676
320,,USUAL,110183
429,,UXLINK,137240
375,,VANA,110754
596,,VANRY,190789
312,,VELODROME,111585
216,,VELVET,50025
1780,,VET,621548
97,,VFY,27815
252,,VIC,85938
226,,VIDT,143933
310,,VINE,99560
328,,VIRTUAL,112494
447,,VOXEL,136122
243,,VTHO,100142
336,,VVV,98141
291,,WAL,81634
1802,,WAVES,569711
649,,WAXP,233177
198,,WCT,76216
636,,WIF,206675
783,,WLD,257988
149,,WLFI,38801
1112,,WOO,395763
516,,W,184764
626,,XAI,209270
122,,XAN,28121
275,,XCN,77314
780,,XEM,511228
1983,,XLM,628755
1563,,XMR,624722
161,,XNY,41642
159,,XPIN,33046
159,,XPL,39077
2411,,XRP,632786
1548,,XTZ,623856
875,,XVG,263460
971,,XVS,287486
186,,YALA,43313
114,,YB,24900
1567,,YFI,564236
736,,YGG,254632
95,,ZBT,22923
2100,,ZEC,624144
1848,,ZEN,539745
324,,ZEREBRO,105849
632,,ZETA,202422
1750,,ZIL,585532
137,,ZKC,32110
263,,ZKJ,68167
453,,ZK,163214
184,,ZORA,47123
155,,ZRC,45986
464,,ZRO,162308
1909,,ZRX,583803
91,,币安人生,22065
