spec,scenario,period,bucket,start_equity,end_equity,return_pct,peak_equity,min_equity,max_drawdown_pct,marks
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,EX_2025Q4,2023Q2,73.61959732346382,78.407898911469,6.504112711954568,82.43704681906071,70.12493349053963,-6.887817397384222,26208
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,EX_2025Q4,2023Q3,78.37604639055125,74.86664170261596,-4.477649549261232,81.28287362512748,74.5926370288134,-8.230807177375532,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,EX_2025Q4,2023Q4,74.90965581308201,59.20273058831199,-20.9678245805356,75.51069377297587,57.953359525218644,-23.25145402655634,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,EX_2025Q4,2024Q1,59.16529413173551,48.40863629745599,-18.180688513656495,63.359166009704246,47.23449685976423,-25.449623417502565,26208
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,EX_2025Q4,2024Q2,48.43104430147205,53.976524387760406,11.450259159742714,54.27709539089209,48.05904339820916,-7.8528207326989286,26208
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,EX_2025Q4,2024Q3,53.96744580673964,50.82304477996689,-5.826477387929419,57.85200258018378,49.86594744016918,-13.804284698607972,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,EX_2025Q4,2024Q4,50.76396191367776,48.13331611941476,-5.1821128515073696,53.814224195432736,45.42668036141743,-15.586109359404576,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,EX_2025Q4,2025Q1,48.1221909369453,59.47269039393886,23.586830183742393,60.14758698467682,45.50898292338476,-7.93944514292122,25920
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,EX_2025Q4,2025Q2,59.4222013308636,54.49297406649986,-8.295261962642108,65.28768641585508,48.16511532489539,-26.226340725104148,26208
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,EX_2025Q4,2025Q3,54.45514953173052,43.55452631263437,-20.017616906449685,54.67971614638455,41.371919061026944,-24.337721596306285,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,EX_2025Q4,2025Q4,43.65390900894365,42.95729409462271,-1.5957675501138247,43.85752975139758,42.928066590735654,-2.119278413377368,143
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,EX_2025Q4,2026Q1,42.95785968762888,42.544762412343545,-0.9616337459296243,43.17025888015429,40.7001057507217,-5.721886302072066,3343
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2019Q4,99.99633108560754,99.96392281746405,-0.032409457218729454,100.05123753625381,99.90137683732058,-0.14978395332583272,3203
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2020Q1,99.98973959671889,102.13953130042279,2.15001230363685,103.85554871930557,97.62550720377239,-3.251201485914701,21862
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2020Q2,102.14502387400363,98.67216266569092,-3.3999318582533133,102.46078137517125,98.0340453695932,-4.320419916932972,25489
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2020Q3,98.67002415297328,92.48148053355213,-6.2719591614031955,98.73598617583828,88.83737872731452,-10.025328992911863,26274
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2020Q4,92.46109693504843,91.33314619535805,-1.219919271001868,94.0815556671428,87.17426653981131,-7.341810069307552,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2021Q1,91.24709467551946,57.880568978344556,-36.567219828563765,91.26198109201985,57.83662996998055,-36.625712834719614,25920
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2021Q2,57.85727848187879,58.43989358378347,1.0069867045114478,61.432212682036436,49.89697103376367,-13.758523831376424,26208
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2021Q3,58.53552241931687,52.310346631178945,-10.63486841980179,60.42965663360877,48.91053163840777,-19.062039463574386,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2021Q4,52.326382130881534,53.22928980143258,1.7255304757983092,55.48787073524655,47.18860965121716,-10.04206971346192,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2022Q1,53.23042793801557,58.11752074572041,9.181013561257934,64.73542803019025,52.678688980917954,-11.071478084091524,25920
