duration_threshold,horizon,first_break_dir,events,up_rate_pct,avg_ret_pct,med_ret_pct,avg_abs_ret_pct,med_abs_ret_pct,avg_mfe_pct,avg_mae_pct,avg_max_abs_excursion_pct,avg_realized_vol_pct,p75_max_abs_excursion_pct,p90_max_abs_excursion_pct,up_first_break_rate_pct,down_first_break_rate_pct,both_same_bar_rate_pct,none_rate_pct,avg_first_break_bars,med_first_break_bars,avg_box_width_pct,med_box_width_pct,avg_dir_ret_follow_first_break_pct,med_dir_ret_follow_first_break_pct,win_rate_follow_first_break_pct
5,72,none,39,12.82051282051282,1.025180255729798e-05,0.0,6.156660235241873e-05,0.0,8.97817275630066e-05,-0.00010005926312435129,0.00018984099068735787,0.0009416541016529855,0.0001000739546563878,0.00028015888497101826,0.0,0.0,0.0,100.0,,,0.017812539587884302,0.0001000739546563878,,,
5,72,up,93606,51.12279127406363,0.1517827202065205,0.048728993660207554,1.7858158664269743,1.1507998139132225,2.171274598920248,-1.7603967559720657,3.1205659012264944,2.449122849593493,3.7765538945712054,5.9218682918028565,100.0,0.0,0.0,0.0,2.084011708651155,1.0,0.5342675225422174,0.4686249857126512,0.1517827202065205,0.048728993660207554,51.12279127406363
5,288,both_same_bar,2837,45.858301022206554,-0.26761518237147797,-0.31777889279144267,4.155886361897092,2.8548978522786816,4.455827220803757,-4.588098780416807,7.2289442146381875,5.71173171409401,8.813559322033893,13.350208725873172,0.0,0.0,100.0,0.0,1.62460345435319,1.0,0.4078172898831553,0.3610108303249149,,,
5,288,down,89584,44.75352741560993,-0.37594372311351626,-0.4535147392290162,4.144521995303494,2.7659898251753248,4.311694755096665,-4.728109885823566,7.221912203138705,5.718280913173642,8.628811100807631,13.148542302183746,0.0,100.0,0.0,0.0,2.1514332916592247,1.0,0.5390465252573191,0.4707407345607151,0.37594372311351626,0.4535147392290162,54.99084657974639
5,288,none,13,15.384615384615385,1.539599302405966e-05,0.0,1.539599302405966e-05,0.0,3.079198604811932e-05,-6.157590280911981e-05,9.236788885723913e-05,0.0009313042323028487,0.0001000739546563878,0.0001000739546563878,0.0,0.0,0.0,100.0,,,0.05296046205567852,0.0001000739546563878,,,
5,288,up,93623,48.52333294169168,0.02635667172954267,-0.11049723756906271,4.068546592664257,2.681151045880048,4.68942097166505,-4.25612189680439,7.130793423874029,5.634027248852969,8.466137092523734,13.111533689159698,100.0,0.0,0.0,0.0,2.106159811157515,1.0,0.5341705384010383,0.4685794980422209,0.02635667172954267,-0.11049723756906271,48.52333294169168
10,12,both_same_bar,84,45.23809523809524,-0.32858354939580586,-0.10008879547416805,0.7412270958556455,0.3944643288198435,0.7499926005215194,-1.0565527099220322,1.401968672921517,1.134594644018605,1.3991008959367695,2.2190799939543226,0.0,0.0,100.0,0.0,2.392857142857143,2.0,0.6403737276586927,0.5699244859797781,,,
10,12,down,9262,33.92355862664651,-0.3179322133377794,-0.2610528999817452,0.7241433232303454,0.5008823904114501,0.49031799810968324,-1.0151569346132507,1.200427094026847,0.8882035964634208,1.4846794961024368,2.233988551679452,0.0,100.0,0.0,0.0,2.8144029367307275,2.0,0.8241128637387262,0.7166355198114149,0.3179322133377794,0.2610528999817452,64.97516735046426
10,12,none,474,44.303797468354425,-0.031356657699280095,0.0,0.2932017498132581,0.18551306352853625,0.35076988643417983,-0.3716692970033677,0.5609836655550787,0.5648821189868252,0.6957780420248194,1.0248663464074323,0.0,0.0,0.0,100.0,,,0.9617520057807882,0.8642700902085854,,,
10,12,up,9597,62.52995727831614,0.2829656055232863,0.19896538002388553,0.7174104947008492,0.48058006857399915,1.0044452323440367,-0.49515437372106536,1.1984603793631825,0.8808594262772137,1.4598540145985162,2.242849652936054,100.0,0.0,0.0,0.0,2.7248098364072106,2.0,0.8255471152271397,0.7177795143411325,0.2829656055232863,0.19896538002388553,62.52995727831614
