profile,role,scenario,date,equity
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-09-30,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-10-04,99.97147056506888
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-10-04,99.97147056506888
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-10-04,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-10-13,99.97967231374864
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-10-13,99.97967231374864
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-10-13,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-10-15,99.98567283819389
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-10-15,99.98567283819389
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-10-15,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-10-16,99.98154745016828
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-10-16,99.98154745016828
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-10-16,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-10-18,99.98788120152494
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-10-18,99.98788120152494
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-10-18,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-10-19,100.00144361469287
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-10-19,100.00144361469287
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-10-19,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-10-20,99.99807536482027
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-10-20,99.99807536482027
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-10-20,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-10-22,99.9970826753386
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-10-22,99.9970826753386
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-10-22,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-10-23,99.93826397615169
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-10-23,99.93826397615169
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-10-23,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-10-24,99.93725788325489
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-10-24,99.93725788325489
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-10-24,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-10-28,99.92877091278052
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-10-28,99.92877091278052
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-10-28,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-11-02,99.9463770534006
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-11-02,99.9463770534006
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-11-02,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-11-04,99.95025421117685
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-11-04,99.95025421117685
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-11-04,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-11-05,99.94532747527488
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-11-05,99.94532747527488
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-11-05,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-11-08,99.91381674743587
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-11-08,99.91381674743587
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-11-08,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-11-09,99.91858441078215
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-11-09,99.91858441078215
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-11-09,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-11-10,99.91222626789227
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-11-10,99.91222626789227
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-11-10,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-11-15,99.90138167670514
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-11-15,99.90138167670514
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-11-15,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-11-16,99.90287522387766
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-11-16,99.90287522387766
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-11-16,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-11-19,99.90253837503649
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-11-19,99.90253837503649
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-11-19,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-11-21,99.87915783637449
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-11-21,99.87915783637449
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-11-21,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-11-22,99.89313936186026
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-11-22,99.89313936186026
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-11-22,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-11-24,99.88527567616065
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-11-24,99.88527567616065
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-11-24,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-11-25,99.86161035668664
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-11-25,99.86161035668664
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-11-25,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-01,99.85283053372953
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-01,99.85283053372953
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-01,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-02,99.85582584877197
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-02,99.85582584877197
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-02,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-03,99.85409743113428
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-03,99.85409743113428
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-03,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-04,99.81991809600599
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-04,99.81991809600599
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-04,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-06,99.82376268179709
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-06,99.82376268179709
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-06,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-07,99.82397827302547
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-07,99.82397827302547
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-07,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-08,99.82133676010176
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-08,99.82133676010176
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-08,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-09,99.81827069117975
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-09,99.81827069117975
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-09,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-10,99.82170789734198
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-10,99.82170789734198
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-10,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-11,99.82935112903813
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-11,99.82935112903813
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-11,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-12,99.80202047228258
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-12,99.80202047228258
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-12,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-13,99.8060940848713
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-13,99.8060940848713
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-13,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-15,99.82092411485041
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-15,99.82092411485041
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-15,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-17,99.76146925701532
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-17,99.76146925701532
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-17,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-18,99.76710076975749
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-18,99.76710076975749
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-18,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-19,99.8236158190675
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-19,99.8236158190675
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-19,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-20,99.82511275471386
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-20,99.82511275471386
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-20,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-21,99.82922799185569
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-21,99.82922799185569
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-21,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-22,99.83129102216076
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-22,99.83129102216076
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-22,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-23,99.85053118029612
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-23,99.85053118029612
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-23,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-24,99.84203124230979
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-24,99.84203124230979
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-24,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-25,99.83626997303797
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-25,99.83626997303797
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-25,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-26,99.84387374450128
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-26,99.84387374450128
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-26,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-27,99.8680074276916
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-27,99.8680074276916
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-27,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-28,99.8731377927724
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-28,99.8731377927724
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-28,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-30,99.86016652458713
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-30,99.86016652458713
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-30,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-12-31,99.84808651124692
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-12-31,99.84808651124692
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-12-31,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-01,99.81613171222925
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-01,99.81613171222925
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-01,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-02,99.80695034852532
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-02,99.80695034852532
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-02,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-03,99.7915306440787
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-03,99.7915306440787
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-03,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-04,99.79091574259114
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-04,99.79091574259114
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-04,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-05,99.79684771283513
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-05,99.79684771283513
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-05,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-08,99.80958447886746
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-08,99.80958447886746
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-08,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-09,99.77507975224675
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-09,99.77507975224675
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-09,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-10,99.87700190387946
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-10,99.87700190387946
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-10,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-11,99.90510617069478
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-11,99.90510617069478
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-11,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-12,99.91059153210894
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-12,99.91059153210894
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-12,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-13,99.91445847526893
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-13,99.91445847526893
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-13,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-14,99.91965130616185
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-14,99.91965130616185
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-14,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-15,99.94600423008578
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-15,99.94600423008578
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-15,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-16,99.93018398231932
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-16,99.93018398231932
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-16,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-17,99.94340102256086
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-17,99.94340102256086
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-17,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-18,99.95846194727626
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-18,99.95846194727626
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-18,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-19,99.8423449767452
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-19,99.8423449767452
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-19,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-20,99.8492437136758
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-20,99.8492437136758
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-20,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-21,99.84763432156589
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-21,99.84763432156589
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-21,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-22,99.84770515574591
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-22,99.84770515574591
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-22,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-23,99.74228009071695
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-23,99.74228009071695
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-23,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-24,99.86313983579527
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-24,99.86313983579527
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-24,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-25,99.8050909004675
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-25,99.8050909004675
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-25,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-26,99.80571747120027
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-26,99.80571747120027
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-26,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-27,99.82994703158012
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-27,99.82994703158012
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-27,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-28,99.85059388437801
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-28,99.85059388437801
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-28,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-29,99.83693068734674
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-29,99.83693068734674
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-29,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-30,99.80240111264986
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-30,99.80240111264986
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-30,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-01-31,99.80157097569557
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-01-31,99.80157097569557
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-01-31,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-01,99.8301281528065
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-01,99.8301281528065
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-01,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-02,99.83448279649907
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-02,99.83448279649907
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-02,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-03,99.87731937297589
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-03,99.87731937297589
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-03,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-04,99.95238164332585
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-04,99.95238164332585
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-04,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-05,99.98082611981818
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-05,99.98082611981818
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-05,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-06,100.04238115741846
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-06,100.04238115741846
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-06,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-07,100.03660080288553
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-07,100.03660080288553
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-07,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-08,100.27454700811877
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-08,100.27454700811877
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-08,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-09,100.29598297702643
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-09,100.29598297702643
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-09,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-10,100.31333330093555
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-10,100.31333330093555
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-10,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-11,100.32390844380555
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-11,100.32390844380555
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-11,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-12,100.37179245392271
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-12,100.37179245392271
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-12,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-13,100.8214131498593
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-13,100.8214131498593
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-13,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-14,100.87416048945543
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-14,100.87416048945543
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-14,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-15,100.9020284276958
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-15,100.9020284276958
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-15,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-16,100.41152493670681
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-16,100.41152493670681
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-16,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-17,100.35478867317252
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-17,100.35478867317252
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-17,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-18,100.51063574770785
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-18,100.51063574770785
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-18,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-19,100.89953605608932
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-19,100.89953605608932
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-19,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2020-02-20,100.84360942002192
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2020-02-20,100.84360942002192
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2020-02-20,100.0
