run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,compress_n,pre_range_atr_max,pre_body_atr_max,pre_volr_max,pre_ret_abs_max,expand_range_atr_min,expand_body_atr_min,expand_volr_min,close_pos_min,upper_wick_max,ret1_min,ret5_min,ret20_min,ret60_min,ret20_max,ret60_max,atrp_min,atrp_max,rsi_min,rsi_max,ema20_pos_min,ema50_pos_min,ema100_pos_min,fail_bars,fail_pnl,verdict,note
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_C_034_PB70_EB35,body_compression_directional_expansion,small_body_compression_then_directional_body_expansion,long,1602527,553626,1048901,34.54706223358483,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,CEM_C_034_PB70_EB35,0.8,1.8,8,20,12,0.95,0.7,0.95,0.006,0.95,0.35,1.1,0.62,0.45,0.0,-0.03,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,4,-0.36,invalid_ruin,MDD >= 100
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_C_035_PB70_EB55,body_compression_directional_expansion,small_body_compression_then_directional_body_expansion,long,1478480,510010,968470,34.495563010659595,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,CEM_C_035_PB70_EB55,0.8,1.8,8,20,12,0.95,0.7,0.95,0.006,0.95,0.55,1.1,0.62,0.45,0.0,-0.03,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,4,-0.36,invalid_ruin,MDD >= 100
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_C_036_PB70_EB80,body_compression_directional_expansion,small_body_compression_then_directional_body_expansion,long,1216403,417982,798421,34.36213162907359,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,CEM_C_036_PB70_EB80,0.8,1.8,8,20,12,0.95,0.7,0.95,0.006,0.95,0.8,1.1,0.62,0.45,0.0,-0.03,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,4,-0.36,invalid_ruin,MDD >= 100
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_D_037_CN6_RR160,longer_compression_release,multi_window_compression_then_expansion,long,356082,130362,225720,36.610106660825316,-97.12157077389115,0.0,99.99783332845848,0.002166671541514731,597,0,0.01,0.0004,0.08,CEM_D_037_CN6_RR160,0.95,1.6,14,20,6,0.75,0.55,1.0,0.006,1.25,0.35,1.2,0.58,0.55,0.0,-0.02,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_D_038_CN6_RR229,longer_compression_release,multi_window_compression_then_expansion,long,355062,107547,247515,30.289639555908543,-96.871887162856,0.0,99.99911781309191,0.0008821869080910538,597,0,0.01,0.0004,0.08,CEM_D_038_CN6_RR229,0.95,2.3,14,20,6,0.75,0.55,1.0,0.006,1.25,0.35,1.2,0.58,0.55,0.0,-0.02,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_D_039_CN6_RR300,longer_compression_release,multi_window_compression_then_expansion,long,354312,96897,257415,27.34793063740432,-96.66289746014107,0.0,99.99940008149301,0.0005999185069938129,597,0,0.01,0.0004,0.08,CEM_D_039_CN6_RR300,0.95,3.0,14,20,6,0.75,0.55,1.0,0.006,1.25,0.35,1.2,0.58,0.55,0.0,-0.02,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_D_040_CN12_RR160,longer_compression_release,multi_window_compression_then_expansion,long,235141,87180,147961,37.075626964246986,-89.68324700979795,0.0,99.91748994004556,0.08251005995444372,597,0,0.01,0.0004,0.08,CEM_D_040_CN12_RR160,0.95,1.6,14,20,12,0.75,0.55,1.0,0.006,1.25,0.35,1.2,0.58,0.55,0.0,-0.02,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_D_041_CN12_RR229,longer_compression_release,multi_window_compression_then_expansion,long,234691,72243,162448,30.782177416262236,-88.75985366092367,0.0,99.95425576727621,0.0457442327237878,597,0,0.01,0.0004,0.08,CEM_D_041_CN12_RR229,0.95,2.3,14,20,12,0.75,0.55,1.0,0.006,1.25,0.35,1.2,0.58,0.55,0.0,-0.02,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_D_042_CN12_RR300,longer_compression_release,multi_window_compression_then_expansion,long,234374,65268,169106,27.847798817274956,-88.13651981276554,0.0,99.96471564830861,0.035284351691389215,597,0,0.01,0.0004,0.08,CEM_D_042_CN12_RR300,0.95,3.0,14,20,12,0.75,0.55,1.0,0.006,1.25,0.35,1.2,0.58,0.55,0.0,-0.02,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_D_043_CN24_RR160,longer_compression_release,multi_window_compression_then_expansion,long,720723,264969,455754,36.76433248279852,-99.90657148113013,0.0,99.9999999688136,3.118639790855582e-08,597,0,0.01,0.0004,0.08,CEM_D_043_CN24_RR160,0.95,1.6,20,20,24,0.9,0.55,1.0,0.006,1.25,0.35,1.2,0.58,0.55,0.0,-0.02,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_D_044_CN24_RR229,longer_compression_release,multi_window_compression_then_expansion,long,716331,212275,504056,29.633647015136855,-99.89395097801463,0.0,99.99999999635412,3.645883595027044e-09,597,0,0.01,0.0004,0.08,CEM_D_044_CN24_RR229,0.95,2.3,20,20,24,0.9,0.55,1.0,0.006,1.25,0.35,1.2,0.58,0.55,0.0,-0.02,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_D_045_CN24_RR300,longer_compression_release,multi_window_compression_then_expansion,long,713027,183940,529087,25.797059578389035,-99.88509738881554,0.0,99.9999999987249,1.2751022460122385e-09,597,0,0.01,0.0004,0.08,CEM_D_045_CN24_RR300,0.95,3.0,20,20,24,0.9,0.55,1.0,0.006,1.25,0.35,1.2,0.58,0.55,0.0,-0.02,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,5,-0.42,invalid_no_peak,max_return <= 0
