symbol,file,rows,valid_returns,market_group,is_btc_candidate,elapsed_seconds
HOOK,HOOK_5m.csv,312460,312459,0,False,0.7160525321960449
HOT,HOT_5m.csv,503663,503662,8,False,1.3499085903167725
HUMA,HUMA_5m.csv,64600,64598,12,False,0.2086167335510254
HYPE,HYPE_5m.csv,63477,63475,5,False,0.18293333053588867
HYPER,HYPER_5m.csv,74393,74391,14,False,0.19879674911499023
ICNT,ICNT_5m.csv,53654,53652,9,False,0.13666558265686035
ICP,ICP_5m.csv,346452,346451,6,False,0.8198883533477783
ICX,ICX_5m.csv,560131,560130,8,False,1.3335273265838623
ID,ID_5m.csv,293612,293610,10,False,0.7529828548431396
IDEX,IDEX_5m.csv,281829,281827,7,False,0.6732861995697021
IDOL,IDOL_5m.csv,53411,53409,10,False,0.1552731990814209
ILV,ILV_5m.csv,226744,226742,4,False,0.5587904453277588
IMX,IMX_5m.csv,412109,412108,0,False,1.0368552207946777
IN,IN_5m.csv,43603,43601,1,False,0.13466525077819824
INIT,INIT_5m.csv,76200,76198,6,False,0.18024063110351562
INJ,INJ_5m.csv,358259,358258,7,False,0.8869500160217285
IO,IO_5m.csv,165125,165123,4,False,0.4060325622558594
IOST,IOST_5m.csv,619746,619745,6,False,1.612990379333496
IOTA,IOTA_5m.csv,622342,622341,0,False,1.5148956775665283
IOTX,IOTX_5m.csv,464821,464820,5,False,1.121934413909912
IP,IP_5m.csv,93934,93932,4,False,0.2254171371459961
IRYS,IRYS_5m.csv,13316,13315,2,False,0.05780649185180664
JASMY,JASMY_5m.csv,392523,392522,3,False,0.8516781330108643
JCT,JCT_5m.csv,15649,15648,8,False,0.07430553436279297
JELLYJELLY,JELLYJELLY_5m.csv,82134,82132,0,False,0.20298480987548828
JOE,JOE_5m.csv,291912,291910,9,False,0.6300952434539795
JST,JST_5m.csv,72707,72705,7,False,0.1849370002746582
JTO,JTO_5m.csv,218756,218754,0,False,0.48992395401000977
JUP,JUP_5m.csv,203096,203094,7,False,0.47592806816101074
KAIA,KAIA_5m.csv,114424,114422,0,False,0.2775092124938965
KAITO,KAITO_5m.csv,91964,91962,6,False,0.22150158882141113
KAS,KAS_5m.csv,224902,224900,8,False,0.5107326507568359
KAVA,KAVA_5m.csv,574249,574248,13,False,1.322925090789795
KDA,KDA_5m.csv,136612,136610,7,False,0.33465075492858887
KERNEL,KERNEL_5m.csv,76710,76708,8,False,0.19428324699401855
KEY,KEY_5m.csv,275778,275776,6,False,0.6436073780059814
KGEN,KGEN_5m.csv,25986,25984,1,False,0.09894347190856934
KITE,KITE_5m.csv,15649,15648,2,False,0.05382251739501953
KLAY,KLAY_5m.csv,447249,447248,14,False,1.1536221504211426
KMNO,KMNO_5m.csv,109753,109751,9,False,0.2697792053222656
KNC,KNC_5m.csv,584599,584598,0,False,1.3714354038238525
KOMA,KOMA_5m.csv,112715,112713,12,False,0.29085469245910645
KSM,KSM_5m.csv,551774,551773,11,False,1.282475471496582
LA,LA_5m.csv,61766,61764,3,False,0.1593918800354004
LAB,LAB_5m.csv,23105,23103,6,False,0.06833672523498535
LAYER,LAYER_5m.csv,94524,94522,4,False,0.21942138671875
LDO,LDO_5m.csv,347778,347777,12,False,0.741877555847168
LEVER,LEVER_5m.csv,291621,291619,1,False,0.69150710105896
LIGHT,LIGHT_5m.csv,28903,28901,13,False,0.09658098220825195
LINA,LINA_5m.csv,506833,506832,3,False,1.2681806087493896
LINEA,LINEA_5m.csv,36426,36424,4,False,0.11273550987243652
LINK,LINK_5m.csv,629837,629836,2,False,1.5371878147125244
LISTA,LISTA_5m.csv,162550,162548,7,False,0.4416224956512451
LIT,LIT_5m.csv,511086,511084,14,False,1.3564367294311523
LOKA,LOKA_5m.csv,134907,134905,8,False,0.3496725559234619
LOOM,LOOM_5m.csv,235418,235416,0,False,0.5674698352813721
LPT,LPT_5m.csv,438607,438606,5,False,1.0945866107940674
LQTY,LQTY_5m.csv,297388,297386,6,False,0.7089509963989258
LRC,LRC_5m.csv,550331,550330,12,False,1.2886714935302734
LSK,LSK_5m.csv,204876,204874,1,False,0.4946103096008301
LTC,LTC_5m.csv,632141,632140,4,False,1.4611432552337646
LUMIA,LUMIA_5m.csv,110419,110417,4,False,0.28774499893188477
LUNA2,LUNA2_5m.csv,351343,351342,2,False,0.7729003429412842
LYN,LYN_5m.csv,26358,26356,8,False,0.0909888744354248
M,M_5m.csv,52544,52542,9,False,0.14421725273132324
MAGIC,MAGIC_5m.csv,311884,311883,12,False,0.7488620281219482
