spec,scenario,rank,symbol,net_pnl,contribution_pct_of_total_pnl,cumulative_contribution_pct,positive
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,60,ANKR,2.3662863919192945,0.6878042339869993,62.84601007099093,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,61,NAORIS,2.3452180507374516,0.6816803369314952,63.527690407922435,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,62,BAN,2.278715801071825,0.6623502469449748,64.1900406548674,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,63,NEO,2.2763201413739598,0.6616539048246759,64.85169455969209,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,64,ARKM,2.263868448948965,0.6580345936544549,65.50972915334653,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,65,SCR,2.2577146645533053,0.6562458841487789,66.16597503749531,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,66,CHILLGUY,2.251953717748685,0.6545713600431917,66.82054639753851,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,67,WLD,2.246234929503165,0.6529090900905875,67.47345548762908,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,68,ALGO,2.2398386984503222,0.6510499090486275,68.12450539667772,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,69,ZRX,2.1937758238683465,0.6376608956666092,68.76216629234433,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,70,KNC,2.186825296145464,0.6356405982027993,69.39780689054712,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,71,BIGTIME,2.181651566626244,0.6341367594954581,70.03194365004258,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,72,BLUAI,2.169874671158703,0.630713590350143,70.66265724039272,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,73,HOT,2.1607774899671934,0.628069328961397,71.29072656935412,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,74,RIF,2.1453538072586307,0.623586154690164,71.91431272404428,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,75,STMX,2.1453375985926937,0.6235814433462215,72.53789416739052,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,76,ARPA,2.140778067632477,0.6222561326356747,73.16015030002619,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,77,AKT,2.128033438271842,0.6185516740102208,73.77870197403641,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,78,A2Z,2.127352376582739,0.6183537110269693,74.39705568506338,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,79,BAKE,2.1260912743398217,0.6179871486932084,75.01504283375658,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,80,ID,2.1017218539012013,0.6109037328333481,75.62594656658995,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,81,POLYX,2.079649926105586,0.6044881250514996,76.23043469164143,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,82,XAI,2.0577476105239203,0.598121818148568,76.82855650978999,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,83,W,2.0433744440993853,0.5939439955670095,77.42250050535702,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,84,PIPPIN,2.0387086125816025,0.5925877866634888,78.01508829202051,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,85,DAR,2.0226573026608583,0.587922181112856,78.60301047313335,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,86,PONKE,2.0048775075758067,0.5827541598705073,79.18576463300386,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,87,GRASS,2.003055091472564,0.5822244414407445,79.76798907444461,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,88,BANANAS31,2.001781199141588,0.5818541614349595,80.34984323587958,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,89,DEGO,1.9843362149017199,0.5767834590622489,80.92662669494182,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,90,AKE,1.9758434169623,0.5743148726725892,81.50094156761439,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,91,BROCCOLIF3B,1.953519581865677,0.5678260434460344,82.06876761106044,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,92,HMSTR,1.9524834616322326,0.5675248762306389,82.63629248729109,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,93,CELO,1.9487058482812036,0.5664268441132772,83.20271933140435,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,94,GPS,1.9470553496885212,0.5659470966388744,83.76866642804323,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,95,API3,1.9456306917008142,0.5655329938492567,84.33419942189249,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,96,PROMPT,1.9412950182269086,0.564272751393939,84.89847217328644,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,97,XCN,1.9065913050131489,0.5541854851336052,85.45265765842004,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,98,MEMEFI,1.8904336804810171,0.5494889773049993,86.00214663572503,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,99,IO,1.8899155182268788,0.5493383640092014,86.55148499973423,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,100,EDEN,1.8851767681762739,0.5479609600061431,87.09944595974038,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,101,MORPHO,1.8593016225403878,0.5404398776958326,87.63988583743621,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,102,FLOW,1.8395264147985233,0.5346918534248589,88.17457769086107,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,103,TNSR,1.8227280693492809,0.5298091083930566,88.70438679925414,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,104,IOST,1.8138737576436126,0.5272354414434447,89.23162224069756,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,105,TAC,1.8094485230816093,0.5259491664268087,89.75757140712437,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,106,XTZ,1.8020613214801298,0.5238019417475964,90.28137334887198,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,107,RIVER,1.797593261427202,0.5225032187220969,90.80387656759406,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,108,ZIL,1.792154513749663,0.5209223476606004,91.32479891525466,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,109,ATH,1.774368585542541,0.515752543714627,91.8405514589693,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,110,SPELL,1.773503539623639,0.5155011023643129,92.35605256133361,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,111,FARTCOIN,1.7516611266794073,0.5091522072538823,92.86520476858749,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,112,TWT,1.734249740314364,0.5040912707153652,93.36929603930284,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,113,ESPORTS,1.7177648434264425,0.4992996352163523,93.8685956745192,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,114,HFT,1.7127254704773789,0.497834849692993,94.36643052421219,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,115,LYN,1.7102104754686818,0.49710382059129793,94.86353434480348,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,116,LAB,1.7039992470908412,0.49529841394604657,95.35883275874953,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,117,TOWNS,1.6968002066339045,0.4932058817302363,95.85203864047976,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,118,ONT,1.695843840899501,0.49292789661245456,96.34496653709222,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,119,Q,1.689531159186138,0.4910930007075926,96.8360595377998,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,120,CHZ,1.6770504845332939,0.48746526532503065,97.32352480312484,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,121,LIT,1.6671987297725668,0.4846016733862994,97.80812647651113,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,122,SC,1.655244265740854,0.4811268907039765,98.28925336721512,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,123,CARV,1.6524726897921698,0.4803212816792906,98.7695746488944,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,124,YALA,1.642266444595168,0.477354650639371,99.24692929953378,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,125,1MBABYDOGE,1.6413400357867713,0.4770853730477007,99.72401467258148,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,126,APE,1.633145266660913,0.47470341416032374,100.19871808674179,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,127,SONIC,1.6272885712539675,0.47300105897972283,100.67171914572153,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,128,S,1.6259139378340342,0.47260149674176255,101.14432064246328,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,129,SOMI,1.6160965854105178,0.4697479044688677,101.61406854693213,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,130,SFP,1.6074520378819057,0.46723520929748635,102.08130375622963,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,131,BULLA,1.606891352755141,0.4670722359543444,102.54837599218398,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,132,TAKE,1.5858514763932652,0.4609566127171573,103.00933260490113,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,133,F,1.5846675634907992,0.4606124868709501,103.4699450917721,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,134,MASK,1.5804428388347838,0.45938449371012224,103.9293295854822,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,135,ZRC,1.5740674079184398,0.4575313586066422,104.38686094408884,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,136,SUSHI,1.5457999416027652,0.44931490472244595,104.83617584881128,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,137,STABLE,1.5434829952636102,0.44864144207336276,105.28481729088466,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,138,PLUME,1.5391525919613684,0.4473827314894181,105.73220002237407,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,139,INJ,1.5247915786873394,0.4432084414423841,106.17540846381644,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,140,ENSO,1.517954619317414,0.44122115468863765,106.61662961850509,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,141,DOLO,1.5043277956108074,0.4372602702102392,107.05388988871533,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,142,DOGS,1.4912611720103057,0.43346221809489494,107.48735210681022,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,143,KSM,1.487022281738392,0.43223010743982593,107.91958221425004,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,144,B3,1.4839289268857097,0.43133096751654154,108.3509131817666,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,145,PHB,1.4615481307358889,0.4248255815225153,108.7757387632891,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,146,SSV,1.458047201312015,0.42380797262747494,109.19954673591658,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,147,SAHARA,1.4342613888431348,0.41689419305253217,109.61644092896911,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,148,SUPER,1.428724379785655,0.41528476053144586,110.03172568950055,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,149,ARK,1.3901324802048307,0.40406732209291324,110.43579301159347,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,150,LRC,1.387736869835622,0.4033709943108867,110.83916400590437,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,151,ALT,1.3874995482131676,0.4033020124592823,111.24246601836364,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,152,DEGEN,1.3821974289300254,0.401760854928857,111.6442268732925,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,153,CATI,1.3755132980517348,0.3998179905594758,112.04404486385195,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,154,ON,1.3751039539301397,0.3996990072356685,112.44374387108762,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,155,DGB,1.3681332030083255,0.3976728315307895,112.84141670261843,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,156,COS,1.3590052955217542,0.39501963898480474,113.23643634160321,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,157,AIA,1.3518112632628931,0.39292856249297303,113.62936490409619,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,158,CLO,1.3377515059650698,0.3888418379818166,114.01820674207801,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,159,REEF,1.335289217285312,0.38812612893450127,114.40633287101252,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,160,DMC,1.326511556968192,0.3855747421069255,114.79190761311943,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,161,CYBER,1.3151135400178293,0.38226170090266265,115.1741693140221,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,162,FLUX,1.308579272250658,0.38036239697579527,115.55453171099788,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,163,ENJ,1.3026977742406425,0.3786528324669136,115.93318454346479,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,164,AI,1.2910710901428308,0.37527332499181976,116.30845786845663,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,165,GHST,1.281577893794104,0.37251395458550635,116.68097182304213,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,166,BROCCOLI714,1.2739744190765272,0.3703038661863922,117.05127568922853,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,167,IDOL,1.2720410169847216,0.3697418876578065,117.42101757688633,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,168,PTB,1.2597208236363893,0.3661607990890436,117.78717837597537,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,169,WAVES,1.257685978471604,0.36556933428384214,118.1527477102592,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,170,HEI,1.2294673781466465,0.3573670841897823,118.510114794449,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,171,42,1.2283050901139312,0.3570292440057944,118.86714403845477,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,172,VANRY,1.222884085740158,0.3554535303586737,119.22259756881344,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,173,TAG,1.2070569705022318,0.3508530910755757,119.573450659889,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,174,LSK,1.1881336846074295,0.34535269340442376,119.91880335329344,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,175,ORCA,1.1872658493185433,0.3451004412729245,120.26390379456635,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,176,1000LUNC,1.1871245666822399,0.34505937490168126,120.60896316946803,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,177,SOLV,1.1868997051498296,0.34499401480216807,120.9539571842702,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,178,STBL,1.1745960777413875,0.3414177414255287,121.29537492569573,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,179,PORTAL,1.1637746036648031,0.3382722829073744,121.63364720860311,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,180,BERA,1.1541928343909367,0.3354871671673027,121.96913437577041,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,181,KAIA,1.149662416252055,0.3341703186284718,122.30330469439888,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,182,GIGGLE,1.1360876134198779,0.3302245549646166,122.6335292493635,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,183,JOE,1.1238230756755614,0.3266596437107459,122.96018889307423,True
