spec,factor,profile,horizon,scenario,top_k,max_concurrent_cap,period,raw_selected_before_cap,selected_after_cap
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K1_cap20_BASE,1,20,BASE,214735,138579
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K1_cap20_EX_2025Q4,1,20,EX_2025Q4,197314,131384
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K1_cap20_PRE_2025Q4,1,20,PRE_2025Q4,194998,130482
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K1_cap20_ONLY_2025Q4,1,20,ONLY_2025Q4,17421,7205
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K1_cap20_2026_ENTRY_ONLY,1,20,2026_ENTRY_ONLY,2316,902
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K1_cap50_BASE,1,50,BASE,214735,212241
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K1_cap50_EX_2025Q4,1,50,EX_2025Q4,197314,195894
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K1_cap50_PRE_2025Q4,1,50,PRE_2025Q4,194998,193750
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K1_cap50_ONLY_2025Q4,1,50,ONLY_2025Q4,17421,16352
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K1_cap50_2026_ENTRY_ONLY,1,50,2026_ENTRY_ONLY,2316,2144
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K3_nocap_BASE,3,0,BASE,313921,313921
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K3_nocap_EX_2025Q4,3,0,EX_2025Q4,282312,282312
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K3_nocap_PRE_2025Q4,3,0,PRE_2025Q4,277964,277964
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K3_nocap_ONLY_2025Q4,3,0,ONLY_2025Q4,31609,31609
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K3_nocap_2026_ENTRY_ONLY,3,0,2026_ENTRY_ONLY,4348,4348
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K3_cap20_BASE,3,20,BASE,313921,141908
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K3_cap20_EX_2025Q4,3,20,EX_2025Q4,282312,134667
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K3_cap20_PRE_2025Q4,3,20,PRE_2025Q4,277964,133765
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K3_cap20_ONLY_2025Q4,3,20,ONLY_2025Q4,31609,7247
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K3_cap20_2026_ENTRY_ONLY,3,20,2026_ENTRY_ONLY,4348,902
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K3_cap50_BASE,3,50,BASE,313921,258361
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K3_cap50_EX_2025Q4,3,50,EX_2025Q4,282312,241046
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K3_cap50_PRE_2025Q4,3,50,PRE_2025Q4,277964,238825
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K3_cap50_ONLY_2025Q4,3,50,ONLY_2025Q4,31609,17321
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K3_cap50_2026_ENTRY_ONLY,3,50,2026_ENTRY_ONLY,4348,2221
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K5_nocap_BASE,5,0,BASE,335199,335199
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K5_nocap_EX_2025Q4,5,0,EX_2025Q4,299332,299332
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K5_nocap_PRE_2025Q4,5,0,PRE_2025Q4,294360,294360
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K5_nocap_ONLY_2025Q4,5,0,ONLY_2025Q4,35867,35867
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K5_nocap_2026_ENTRY_ONLY,5,0,2026_ENTRY_ONLY,4972,4972
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K5_cap20_BASE,5,20,BASE,335199,141807
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K5_cap20_EX_2025Q4,5,20,EX_2025Q4,299332,134562
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K5_cap20_PRE_2025Q4,5,20,PRE_2025Q4,294360,133660
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K5_cap20_ONLY_2025Q4,5,20,ONLY_2025Q4,35867,7251
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K5_cap20_2026_ENTRY_ONLY,5,20,2026_ENTRY_ONLY,4972,902
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K5_cap50_BASE,5,50,BASE,335199,261373
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K5_cap50_EX_2025Q4,5,50,EX_2025Q4,299332,244054
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K5_cap50_PRE_2025Q4,5,50,PRE_2025Q4,294360,241834
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K5_cap50_ONLY_2025Q4,5,50,ONLY_2025Q4,35867,17326
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K5_cap50_2026_ENTRY_ONLY,5,50,2026_ENTRY_ONLY,4972,2220
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K10_nocap_BASE,10,0,BASE,346530,346530
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K10_nocap_EX_2025Q4,10,0,EX_2025Q4,308375,308375
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K10_nocap_PRE_2025Q4,10,0,PRE_2025Q4,303093,303093
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K10_nocap_ONLY_2025Q4,10,0,ONLY_2025Q4,38155,38155
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K10_nocap_2026_ENTRY_ONLY,10,0,2026_ENTRY_ONLY,5282,5282
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K10_cap20_BASE,10,20,BASE,346530,141694
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K10_cap20_EX_2025Q4,10,20,EX_2025Q4,308375,134452
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K10_cap20_PRE_2025Q4,10,20,PRE_2025Q4,303093,133550
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K10_cap20_ONLY_2025Q4,10,20,ONLY_2025Q4,38155,7247
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K10_cap20_2026_ENTRY_ONLY,10,20,2026_ENTRY_ONLY,5282,902
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K10_cap50_BASE,10,50,BASE,346530,262274
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K10_cap50_EX_2025Q4,10,50,EX_2025Q4,308375,244989
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K10_cap50_PRE_2025Q4,10,50,PRE_2025Q4,303093,242772
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K10_cap50_ONLY_2025Q4,10,50,ONLY_2025Q4,38155,17291
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K10_cap50_2026_ENTRY_ONLY,10,50,2026_ENTRY_ONLY,5282,2217
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K1_nocap_BASE,1,0,BASE,130088,130088
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K1_nocap_EX_2025Q4,1,0,EX_2025Q4,117849,117849
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K1_nocap_PRE_2025Q4,1,0,PRE_2025Q4,116071,116071
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K1_nocap_ONLY_2025Q4,1,0,ONLY_2025Q4,12239,12239
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K1_nocap_2026_ENTRY_ONLY,1,0,2026_ENTRY_ONLY,1778,1778
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K1_cap20_BASE,1,20,BASE,130088,107543
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K1_cap20_EX_2025Q4,1,20,EX_2025Q4,117849,100756
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K1_cap20_PRE_2025Q4,1,20,PRE_2025Q4,116071,99870
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K1_cap20_ONLY_2025Q4,1,20,ONLY_2025Q4,12239,6789
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K1_cap20_2026_ENTRY_ONLY,1,20,2026_ENTRY_ONLY,1778,886
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K1_cap50_BASE,1,50,BASE,130088,130013
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K1_cap50_EX_2025Q4,1,50,EX_2025Q4,117849,117818
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K1_cap50_PRE_2025Q4,1,50,PRE_2025Q4,116071,116060
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K1_cap50_ONLY_2025Q4,1,50,ONLY_2025Q4,12239,12195
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K1_cap50_2026_ENTRY_ONLY,1,50,2026_ENTRY_ONLY,1778,1758
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K3_nocap_BASE,3,0,BASE,177644,177644
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K3_nocap_EX_2025Q4,3,0,EX_2025Q4,158399,158399
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K3_nocap_PRE_2025Q4,3,0,PRE_2025Q4,155489,155489
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K3_nocap_ONLY_2025Q4,3,0,ONLY_2025Q4,19245,19245
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K3_nocap_2026_ENTRY_ONLY,3,0,2026_ENTRY_ONLY,2910,2910
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K3_cap20_BASE,3,20,BASE,177644,117185
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K3_cap20_EX_2025Q4,3,20,EX_2025Q4,158399,110311
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K3_cap20_PRE_2025Q4,3,20,PRE_2025Q4,155489,109419
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K3_cap20_ONLY_2025Q4,3,20,ONLY_2025Q4,19245,6880
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K3_cap20_2026_ENTRY_ONLY,3,20,2026_ENTRY_ONLY,2910,892
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K3_cap50_BASE,3,50,BASE,177644,168200
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K3_cap50_EX_2025Q4,3,50,EX_2025Q4,158399,153048
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K3_cap50_PRE_2025Q4,3,50,PRE_2025Q4,155489,150948
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K3_cap50_ONLY_2025Q4,3,50,ONLY_2025Q4,19245,15155
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K3_cap50_2026_ENTRY_ONLY,3,50,2026_ENTRY_ONLY,2910,2100
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K5_nocap_BASE,5,0,BASE,189464,189464
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K5_nocap_EX_2025Q4,5,0,EX_2025Q4,168514,168514
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K5_nocap_PRE_2025Q4,5,0,PRE_2025Q4,165313,165313
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K5_nocap_ONLY_2025Q4,5,0,ONLY_2025Q4,20950,20950
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K5_nocap_2026_ENTRY_ONLY,5,0,2026_ENTRY_ONLY,3201,3201
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K5_cap20_BASE,5,20,BASE,189464,118191
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K5_cap20_EX_2025Q4,5,20,EX_2025Q4,168514,111309
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K5_cap20_PRE_2025Q4,5,20,PRE_2025Q4,165313,110418
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K5_cap20_ONLY_2025Q4,5,20,ONLY_2025Q4,20950,6888
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K5_cap20_2026_ENTRY_ONLY,5,20,2026_ENTRY_ONLY,3201,891
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K5_cap50_BASE,5,50,BASE,189464,174921
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K5_cap50_EX_2025Q4,5,50,EX_2025Q4,168514,159639
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K5_cap50_PRE_2025Q4,5,50,PRE_2025Q4,165313,157539
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K5_cap50_ONLY_2025Q4,5,50,ONLY_2025Q4,20950,15286
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K5_cap50_2026_ENTRY_ONLY,5,50,2026_ENTRY_ONLY,3201,2100
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K10_nocap_BASE,10,0,BASE,201230,201230
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K10_nocap_EX_2025Q4,10,0,EX_2025Q4,178858,178858
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K10_nocap_PRE_2025Q4,10,0,PRE_2025Q4,175469,175469
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K10_nocap_ONLY_2025Q4,10,0,ONLY_2025Q4,22372,22372
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K10_nocap_2026_ENTRY_ONLY,10,0,2026_ENTRY_ONLY,3389,3389
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K10_cap20_BASE,10,20,BASE,201230,118703
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K10_cap20_EX_2025Q4,10,20,EX_2025Q4,178858,111810
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K10_cap20_PRE_2025Q4,10,20,PRE_2025Q4,175469,110921
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K10_cap20_ONLY_2025Q4,10,20,ONLY_2025Q4,22372,6898
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K10_cap20_2026_ENTRY_ONLY,10,20,2026_ENTRY_ONLY,3389,889
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K10_cap50_BASE,10,50,BASE,201230,180789
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K10_cap50_EX_2025Q4,10,50,EX_2025Q4,178858,165469
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K10_cap50_PRE_2025Q4,10,50,PRE_2025Q4,175469,163372
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K10_cap50_ONLY_2025Q4,10,50,ONLY_2025Q4,22372,15325
