profile,confirmation,horizon,trend_alignment,events,long_win_rate_pct,avg_long_ret_pct,avg_abs_ret_pct,avg_mfe_long_pct,avg_mae_long_pct,target_before_stop_rate_pct,stop_before_target_rate_pct,both_same_bar_rate_pct,none_hit_rate_pct,avg_first_hit_bars,avg_confirm_bars,avg_body_atr,avg_range_atr,avg_vol_ratio,avg_close_pos,avg_reclaim_strength_atr,avg_sweep_depth_atr
bear_range25_body08_vol15_cp20,base_no_confirm,288,above_ema_slope_down,3345,48.639760837070256,0.1026259493487823,4.478239158497007,5.591678135243526,-4.703593641273527,48.191330343796714,48.96860986547085,2.8400597907324365,0.0,2.564424514200299,0.0,1.8918862423256448,3.0137423438168174,8.2373682563047,0.08819879274547116,0.0,0.0
bear_range25_body08_vol15_cp20,base_no_confirm,288,below_ema_slope_up,59806,49.93980537069859,0.13640725813551347,4.112675046489589,4.702593069926066,-4.420419353525754,50.600274219977926,43.92535865966625,5.471022974283517,0.003344146072300438,2.0235602969701025,0.0,2.713518403997746,3.2463727886368856,5.397469801644777,0.09439178838667402,0.0,0.0
bear_range25_body08_vol15_cp20,base_no_confirm,288,long_counter_trend,140719,51.47989965818404,0.30760535554137136,4.731345683178815,5.035704131650893,-5.36192526246614,50.003908498497005,44.357194124460804,5.637476104861461,0.0014212721807289705,1.886403206435612,0.0,2.64737643944295,3.234079976951961,6.042889398554275,0.09935886615975276,0.0,0.0
bear_range25_body08_vol15_cp20,base_no_confirm,288,long_trend_aligned,73673,47.21132572312788,0.10586743600035951,4.5155615514338185,5.561344123010062,-4.5980905869153155,49.34779362860206,48.031164741492816,2.6183269311688138,0.0027146987363077385,2.5299371530181483,0.0,2.242698811791083,3.017785175150284,5.794627417380204,0.09407296105950691,0.0,0.0
bear_range25_body08_vol15_cp20,body_mid_reclaim,12,above_ema_slope_down,4165,42.25690276110444,0.018209550375036694,1.1307924328367422,1.2272364935155688,-1.1989635945840156,43.43337334933974,52.10084033613446,1.7767106842737093,2.689075630252101,2.5667406859116704,2.3217286914765904,2.2233927856321087,3.1404634698531333,5.945443458608802,0.08382844450691779,2.3805896070748243,0.6087396696155558
bear_range25_body08_vol15_cp20,body_mid_reclaim,12,below_ema_slope_up,9688,52.188274153592076,-0.019833324629206648,0.8891920092181621,0.898574422005053,-1.0560925785430093,47.10982658959538,49.267134599504544,0.47481420313790257,3.1482246077621805,3.193328359799638,2.199731626754748,2.5792814671648117,3.1202408634819307,5.071832779114199,0.09492257682333423,1.632488909038869,0.37489465016963563
bear_range25_body08_vol15_cp20,body_mid_reclaim,12,long_counter_trend,59297,53.00605426918731,0.059052699558073435,1.0547489336087845,1.0878361571401278,-1.1743798598100474,49.18461304956406,46.67521122485117,0.5969947889437914,3.5431809366409763,3.089044688439751,2.45219825623556,2.5536926843586047,3.15525088234606,5.771841689863143,0.10115740125666581,1.7616822376112118,0.4686419108623842
bear_range25_body08_vol15_cp20,body_mid_reclaim,12,long_trend_aligned,40666,48.468007672256924,0.015268704228307815,1.0845423798705518,1.2170937622280504,-1.1274369533653887,47.184380071804455,49.51556582894801,1.0180494762209216,2.282004623026607,2.91131914036942,2.4575812718241283,2.235973846975327,3.007612439660303,5.31188818162974,0.09423797702237097,1.6928900400723788,0.38549722910691253
bear_range25_body08_vol15_cp20,body_mid_reclaim,36,above_ema_slope_down,4165,47.73109243697479,0.12958613837817431,1.6285746752188397,2.0375983442305015,-1.7306894929907857,44.585834333733494,53.34933973589436,1.7767106842737093,0.28811524609843936,2.965567059956658,2.3217286914765904,2.2233927856321087,3.1404634698531333,5.945443458608802,0.08382844450691779,2.3805896070748243,0.6087396696155558
bear_range25_body08_vol15_cp20,body_mid_reclaim,36,below_ema_slope_up,9688,51.971511147811725,0.03186155239379379,1.4252830060232793,1.5185369012344367,-1.6486563232974032,48.64781172584641,50.66061106523534,0.47481420313790257,0.2167630057803468,3.6322540602048203,2.199731626754748,2.5792814671648117,3.1202408634819307,5.071832779114199,0.09492257682333423,1.632488909038869,0.37489465016963563
bear_range25_body08_vol15_cp20,body_mid_reclaim,36,long_counter_trend,59297,52.18139197598529,-0.09907038806138642,1.7886055424189231,1.7022643269906785,-2.253733079070925,50.74118420830733,48.36669646019192,0.6020540668161964,0.290065264684554,3.567340380549683,2.45219825623556,2.5536926843586047,3.15525088234606,5.771841689863143,0.10115740125666581,1.7616822376112118,0.4686419108623842
bear_range25_body08_vol15_cp20,body_mid_reclaim,36,long_trend_aligned,40666,48.25898785225987,0.046580191020900164,1.7463387282791338,2.0338757626106503,-1.7872280985579587,48.2860374760242,50.61476417646191,1.022967589632617,0.07623075788127674,3.2315245478036174,2.4575812718241283,2.235973846975327,3.007612439660303,5.31188818162974,0.09423797702237097,1.6928900400723788,0.38549722910691253
bear_range25_body08_vol15_cp20,body_mid_reclaim,72,above_ema_slope_down,4165,52.72509003601441,0.5532516266852847,2.5125546577110476,2.9576984125095587,-2.2571178589425895,44.585834333733494,53.61344537815126,1.7767106842737093,0.024009603841536616,3.0854947166186357,2.3217286914765904,2.2233927856321087,3.1404634698531333,5.945443458608802,0.08382844450691779,2.3805896070748243,0.6087396696155558
bear_range25_body08_vol15_cp20,body_mid_reclaim,72,below_ema_slope_up,9688,50.79479768786127,0.07532397563014723,1.9895778130654689,2.156757169974423,-2.2283246414168554,48.709744013212216,50.79479768786127,0.47481420313790257,0.020644095788604457,3.716704521990502,2.199731626754748,2.5792814671648117,3.1202408634819307,5.071832779114199,0.09492257682333423,1.632488909038869,0.37489465016963563
bear_range25_body08_vol15_cp20,body_mid_reclaim,72,long_counter_trend,59297,51.18471423512151,-0.1185724118425195,2.377384983072981,2.3077518807546897,-2.969139599788145,50.84911546958531,48.47968699934229,0.6020540668161964,0.06914346425620184,3.6661603888213854,2.45219825623556,2.5536926843586047,3.15525088234606,5.771841689863143,0.10115740125666581,1.7616822376112118,0.4686419108623842
bear_range25_body08_vol15_cp20,body_mid_reclaim,72,long_trend_aligned,40666,47.60733782521025,0.08291649281793062,2.330267752873045,2.7866676320998236,-2.3820328040849867,48.305709929670975,50.65410908375547,1.022967589632617,0.01721339694093346,3.2571140460906562,2.4575812718241283,2.235973846975327,3.007612439660303,5.31188818162974,0.09423797702237097,1.6928900400723788,0.38549722910691253
bear_range25_body08_vol15_cp20,body_mid_reclaim,288,above_ema_slope_down,4165,50.61224489795918,0.3969643611249062,4.346823624291263,5.221720536031729,-4.243733498947072,44.585834333733494,53.637454981992796,1.7767106842737093,0.0,3.1082833133253303,2.3217286914765904,2.2233927856321087,3.1404634698531333,5.945443458608802,0.08382844450691779,2.3805896070748243,0.6087396696155558
bear_range25_body08_vol15_cp20,body_mid_reclaim,288,below_ema_slope_up,9688,47.027250206440954,0.1008693833354098,3.8975728944419945,4.390598541117642,-4.251166624514313,48.72006606110653,50.805119735755575,0.47481420313790257,0.0,3.7510322047894302,2.199731626754748,2.5792814671648117,3.1202408634819307,5.071832779114199,0.09492257682333423,1.632488909038869,0.37489465016963563
bear_range25_body08_vol15_cp20,body_mid_reclaim,288,long_counter_trend,59297,49.940131878509874,0.01834257653641541,4.465592468971891,4.614778466367921,-5.231390526253609,50.87272543298986,48.5167883704066,0.6037404927736647,0.006745703829873349,3.7393284198809305,2.45219825623556,2.5536926843586047,3.15525088234606,5.771841689863143,0.10115740125666581,1.7616822376112118,0.4686419108623842
bear_range25_body08_vol15_cp20,body_mid_reclaim,288,long_trend_aligned,40666,46.47125362710864,0.047826198470294595,4.379584924027755,5.301815865304997,-4.544184863150209,48.31308709978852,50.66148625387301,1.022967589632617,0.0024590567058476367,3.2755194885036274,2.4575812718241283,2.235973846975327,3.007612439660303,5.31188818162974,0.09423797702237097,1.6928900400723788,0.38549722910691253
bear_range25_body08_vol15_cp20,bull_close_above_disp_close,12,above_ema_slope_down,4145,41.59227985524729,0.04832543975618738,1.1853600770238644,1.3132141318384718,-1.245076542862959,41.206272617611575,53.8962605548854,1.95416164053076,2.9433051869722555,2.6147153865274673,1.53751507840772,2.111543137163841,3.100498271256504,6.5902533043126486,0.08214459642070512,1.5691929300159557,0.5581450300042167
bear_range25_body08_vol15_cp20,bull_close_above_disp_close,12,below_ema_slope_up,31307,54.01667358737663,0.048941662673176164,0.9448575675765638,0.995125998363327,-1.0911509468645373,49.37234484300635,47.551665761650746,0.66119398217651,2.4147954131663845,2.800693921639226,1.4498355000479126,2.7199388412304235,3.2397479402006475,5.45014479520659,0.09510147253584368,0.7122515212246937,0.514532530786798
bear_range25_body08_vol15_cp20,bull_close_above_disp_close,12,long_counter_trend,110537,53.51873128454726,0.11171055773828258,1.1700687668811676,1.188839046274518,-1.3278203668009527,49.618679718103444,47.3253299800067,0.7581171915286284,2.297873110361236,2.7055658953489448,1.565819589820603,2.649086544484779,3.229546520399099,6.079891425187294,0.10051844473004305,0.8295067718540388,0.6037500920786252
bear_range25_body08_vol15_cp20,bull_close_above_disp_close,12,long_trend_aligned,65058,49.005502782132865,0.0177108411627766,1.0791218958334112,1.2025190134569554,-1.1467066879407861,47.396169571766734,49.1715085001076,0.8131206000799286,2.619201328045744,2.9014111184771285,1.572934919610194,2.275418450521004,3.0146712491305556,5.5104250277154385,0.09401354100704747,0.8124629335714094,0.42750972766988404
bear_range25_body08_vol15_cp20,bull_close_above_disp_close,36,above_ema_slope_down,4145,46.20024125452352,0.14937570450547286,1.764561883643545,2.1783063593294543,-1.791855668658565,42.388419782870926,55.39203860072376,1.95416164053076,0.26537997587454765,3.0621673923560717,1.53751507840772,2.111543137163841,3.100498271256504,6.5902533043126486,0.08214459642070512,1.5691929300159557,0.5581450300042167
bear_range25_body08_vol15_cp20,bull_close_above_disp_close,36,below_ema_slope_up,31307,52.7102564921583,0.07934624650279669,1.5015192442796637,1.641648408738067,-1.6883858502018985,50.54780081132015,48.57380138627144,0.6643881560034497,0.21400964640495737,3.136683738796415,1.4498355000479126,2.7199388412304235,3.2397479402006475,5.45014479520659,0.09510147253584368,0.7122515212246937,0.514532530786798
bear_range25_body08_vol15_cp20,bull_close_above_disp_close,36,long_counter_trend,110537,53.21204664501479,0.05479550752979715,1.8429373188034706,1.8300446798372108,-2.2088835020228554,50.674434804635546,48.34489808842288,0.7608312148873227,0.21983589205424428,3.0239450922080984,1.565819589820603,2.649086544484779,3.229546520399099,6.079891425187294,0.10051844473004305,0.8295067718540388,0.6037500920786252
bear_range25_body08_vol15_cp20,bull_close_above_disp_close,36,long_trend_aligned,65058,48.69654769590212,0.055236527396132204,1.7566018276061965,2.034905103700585,-1.8098669347861942,48.539764517814874,50.4565157244305,0.8146576900611762,0.18906206769344278,3.26966966966967,1.572934919610194,2.275418450521004,3.0146712491305556,5.5104250277154385,0.09401354100704747,0.8124629335714094,0.42750972766988404
bear_range25_body08_vol15_cp20,bull_close_above_disp_close,72,above_ema_slope_down,4145,53.46200241254524,0.6113542088182039,2.628316534875369,3.0614438094654965,-2.317445461834039,42.436670687575386,55.56091676718938,1.95416164053076,0.04825090470446321,3.1646150132754043,1.53751507840772,2.111543137163841,3.100498271256504,6.5902533043126486,0.08214459642070512,1.5691929300159557,0.5581450300042167
bear_range25_body08_vol15_cp20,bull_close_above_disp_close,72,below_ema_slope_up,31307,51.95323729517361,0.14345890958619192,2.057978628723986,2.3020351570196858,-2.2508394023026304,50.64362602612834,48.647267384291055,0.6643881560034497,0.04471843357715527,3.2112613044450837,1.4498355000479126,2.7199388412304235,3.2397479402006475,5.45014479520659,0.09510147253584368,0.7122515212246937,0.514532530786798
bear_range25_body08_vol15_cp20,bull_close_above_disp_close,72,long_counter_trend,110537,51.89484064159512,0.048457474737441504,2.446759021672932,2.4611468547537774,-2.894618062255524,50.76671159883116,48.4290328125424,0.7608312148873227,0.04342437373910998,3.106399732100028,1.565819589820603,2.649086544484779,3.229546520399099,6.079891425187294,0.10051844473004305,0.8295067718540388,0.6037500920786252
bear_range25_body08_vol15_cp20,bull_close_above_disp_close,72,long_trend_aligned,65058,48.28614467090904,0.10500502528839042,2.3536146291854356,2.8161406967510647,-2.4038651646646336,48.615081926895996,50.53337022349288,0.8146576900611762,0.03689015954994005,3.3368699449518715,1.572934919610194,2.275418450521004,3.0146712491305556,5.5104250277154385,0.09401354100704747,0.8124629335714094,0.42750972766988404
bear_range25_body08_vol15_cp20,bull_close_above_disp_close,288,above_ema_slope_down,4145,52.27985524728589,0.5693119247401046,4.293145615049076,5.445407109874623,-4.18596709514198,42.436670687575386,55.60916767189384,1.95416164053076,0.0,3.2142340168878167,1.53751507840772,2.111543137163841,3.100498271256504,6.5902533043126486,0.08214459642070512,1.5691929300159557,0.5581450300042167
