symbol,file,bars,raw_bear_displacements,confirmed_events_before_horizon_expand,kept_event_horizon_rows,first_ts,last_ts
AR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AR_5m.csv,451281,25661,127004,508016,2021-09-28 12:30:00,2026-01-12 11:10:00
ARB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARB_5m.csv,293607,15286,77215,308860,2023-03-24 00:00:00,2026-01-12 09:50:00
ARC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARC_5m.csv,101758,5082,25317,101268,2025-01-17 22:00:00,2026-01-12 07:15:00
ARIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARIA_5m.csv,35819,2020,10083,40332,2025-09-03 20:00:00,2026-01-12 06:40:00
ARK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARK_5m.csv,241755,13379,66308,265232,2023-09-19 23:30:00,2026-01-12 09:05:00
ARKM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARKM_5m.csv,257165,12755,64245,256980,2023-07-28 11:45:00,2026-01-12 09:20:00
ARPA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARPA_5m.csv,445232,24195,122265,489060,2021-10-19 12:30:00,2026-01-12 11:05:00
ASR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASR_5m.csv,70403,3471,16965,67860,2025-05-06 18:30:00,2026-01-12 07:00:00
ASTER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASTER_5m.csv,31200,1541,7295,29180,2025-09-19 21:00:00,2026-01-12 06:40:00
ASTR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASTR_5m.csv,306129,17211,85680,342720,2023-02-14 11:30:00,2026-01-12 10:10:00
AT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AT_5m.csv,15649,788,3693,14772,2025-11-18 22:35:00,2026-01-12 06:35:00
ATA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATA_5m.csv,459347,21409,105868,423472,2021-08-31 12:30:00,2026-01-12 11:20:00
ATH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATH_5m.csv,80122,4256,20570,82280,2025-04-03 00:45:00,2026-01-12 07:05:00
ATOM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATOM_5m.csv,623733,35032,178218,712872,2020-02-07 21:10:00,2026-01-12 14:50:00
AUCTION,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AUCTION_5m.csv,216702,11841,59384,237536,2023-12-15 22:00:00,2026-01-12 08:30:00
AVA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVA_5m.csv,111842,5791,28976,115904,2024-12-13 22:00:00,2026-01-12 07:25:00
AVAAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVAAI_5m.csv,101755,4860,23747,94988,2025-01-17 22:15:00,2026-01-12 07:15:00
AVAX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVAX_5m.csv,557824,29443,146705,586820,2020-09-23 16:00:00,2026-01-12 13:15:00
AVNT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVNT_5m.csv,34044,1730,8410,33640,2025-09-10 00:00:00,2026-01-12 06:40:00
AWE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AWE_5m.csv,66100,3820,18847,75388,2025-05-21 17:00:00,2026-01-12 06:55:00
AXL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AXL_5m.csv,194489,10619,51835,207340,2024-03-02 00:30:00,2026-01-12 08:15:00
AXS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AXS_5m.csv,541115,29109,145618,582472,2020-11-20 16:00:00,2026-01-12 12:50:00
B2,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B2_5m.csv,70355,4311,20968,83872,2025-05-06 22:30:00,2026-01-12 07:00:00
B3,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B3_5m.csv,93999,5193,26077,104308,2025-02-13 20:30:00,2026-01-12 07:15:00
B,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B_5m.csv,65710,3950,18871,75484,2025-05-23 01:30:00,2026-01-12 06:55:00
BABY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BABY_5m.csv,79285,4181,20275,81100,2025-04-05 22:30:00,2026-01-12 07:05:00
BADGER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BADGER_5m.csv,227080,8155,42069,168276,2023-11-09 21:30:00,2026-01-12 08:40:00
BAKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAKE_5m.csv,489260,24743,122027,488108,2021-05-19 16:00:00,2026-01-12 11:35:00
BAL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAL_5m.csv,564165,28973,146171,584684,2020-09-01 16:00:00,2026-01-12 13:40:00
BAN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAN_5m.csv,119063,6069,30351,121404,2024-11-18 20:30:00,2026-01-12 07:30:00
BANANA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANANA_5m.csv,146549,7710,38094,152376,2024-08-15 11:00:00,2026-01-12 08:00:00
BANANAS31,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANANAS31_5m.csv,83369,3665,18493,73972,2025-03-22 18:15:00,2026-01-12 07:10:00
BAND,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAND_5m.csv,573961,32094,162550,650200,2020-07-29 16:00:00,2026-01-12 14:00:00
BANK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANK_5m.csv,75479,3990,19935,79740,2025-04-19 03:30:00,2026-01-12 07:00:00
BARD,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BARD_5m.csv,31500,1601,7909,31636,2025-09-18 20:00:00,2026-01-12 06:40:00
BAS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAS_5m.csv,38095,1817,9594,38376,2025-08-26 22:30:00,2026-01-12 06:45:00
BAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAT_5m.csv,622053,36378,181811,727244,2020-02-13 17:05:00,2026-01-12 14:45:00
BB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BB_5m.csv,173497,8692,43275,173100,2024-05-13 21:30:00,2026-01-12 08:05:00
BCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BCH_5m.csv,638181,33954,171213,684852,2019-12-19 17:55:00,2026-01-12 15:35:00
BDXN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BDXN_5m.csv,62325,3188,15760,63040,2025-06-03 19:30:00,2026-01-12 06:55:00
BEAMX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEAMX_5m.csv,224764,12079,58533,234132,2023-11-17 22:30:00,2026-01-12 08:40:00
BEAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEAT_5m.csv,15649,666,3398,13592,2025-11-18 22:35:00,2026-01-12 06:35:00
BEL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEL_5m.csv,541691,29134,146871,587484,2020-11-18 16:00:00,2026-01-12 12:50:00
BERA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BERA_5m.csv,95974,4910,23620,94480,2025-02-07 00:00:00,2026-01-12 07:15:00
BICO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BICO_5m.csv,239186,12729,62779,251116,2023-09-28 21:30:00,2026-01-12 09:05:00
BID,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BID_5m.csv,83942,4080,20180,80720,2025-03-20 18:30:00,2026-01-12 07:10:00
BIGTIME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BIGTIME_5m.csv,235129,12538,62618,250472,2023-10-12 23:30:00,2026-01-12 09:00:00
BIO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BIO_5m.csv,105800,4821,23695,94780,2025-01-03 21:15:00,2026-01-12 07:20:00
BLESS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLESS_5m.csv,30078,1392,6780,27120,2025-09-23 18:30:00,2026-01-12 06:40:00
BLUAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLUAI_5m.csv,21989,1167,5824,23296,2025-10-21 20:30:00,2026-01-12 06:35:00
BLUR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLUR_5m.csv,283270,14883,73344,293376,2023-04-28 21:00:00,2026-01-12 09:40:00
BLZ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLZ_5m.csv,559553,26552,132586,530344,2020-09-17 16:00:00,2026-01-12 13:20:00
BMT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BMT_5m.csv,84758,4488,22402,89608,2025-03-17 22:30:00,2026-01-12 07:10:00
BNB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNB_5m.csv,622920,36131,184893,739572,2020-02-10 17:00:00,2026-01-12 14:55:00
BNT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNT_5m.csv,253307,13138,67895,271580,2023-08-10 21:00:00,2026-01-12 09:15:00
BNX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNX_5m.csv,303676,11101,55054,220216,2023-02-22 23:45:00,2026-01-12 10:00:00
BOB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOB_5m.csv,14819,721,3654,14616,2025-11-21 19:45:00,2026-01-12 06:35:00
BOME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOME_5m.csv,190203,9008,44387,177548,2024-03-16 21:30:00,2026-01-12 08:10:00
BOND,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOND_5m.csv,234264,6429,32346,129384,2023-10-15 23:30:00,2026-01-12 09:00:00
BR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BR_5m.csv,83615,4048,20170,80680,2025-03-21 21:45:00,2026-01-12 07:10:00
BRETT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BRETT_5m.csv,145003,7618,37716,150864,2024-08-20 19:35:00,2026-01-12 07:55:00
BROCCOLI714,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BROCCOLI714_5m.csv,83660,3748,18691,74764,2025-03-21 18:00:00,2026-01-12 07:10:00
BROCCOLIF3B,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BROCCOLIF3B_5m.csv,83657,3524,17944,71776,2025-03-21 18:15:00,2026-01-12 07:10:00
BSV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BSV_5m.csv,232846,13801,70452,281808,2023-10-20 21:30:00,2026-01-12 08:55:00
BSW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BSW_5m.csv,140448,5912,29613,118452,2024-09-05 15:00:00,2026-01-12 07:50:00
BTC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTC_5m.csv,667450,35400,180815,723260,2019-09-09 02:55:00,2026-01-12 15:40:00
BTCDOM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTCDOM_5m.csv,479797,24681,121464,485856,2021-06-21 12:30:00,2026-01-12 11:30:00
BTR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTR_5m.csv,37843,2009,9889,39556,2025-08-27 19:30:00,2026-01-12 06:45:00
BULLA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BULLA_5m.csv,53414,2717,12877,51508,2025-07-04 18:00:00,2026-01-12 06:50:00
C98,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\C98_5m.csv,461364,23372,117252,469008,2021-08-24 12:30:00,2026-01-12 11:25:00
C,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\C_5m.csv,50246,2564,12849,51396,2025-07-15 18:00:00,2026-01-12 06:50:00
CAKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CAKE_5m.csv,229097,12271,61653,246612,2023-11-02 21:45:00,2026-01-12 08:50:00
CARV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CARV_5m.csv,43528,2205,10670,42680,2025-08-08 01:45:00,2026-01-12 06:45:00
CATI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CATI_5m.csv,136060,6684,32840,131360,2024-09-20 20:30:00,2026-01-12 07:45:00
CC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CC_5m.csv,15649,785,3907,15628,2025-11-18 22:35:00,2026-01-12 06:35:00
CELO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CELO_5m.csv,451569,17737,87878,351512,2021-09-27 12:30:00,2026-01-12 11:10:00
CELR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CELR_5m.csv,503952,26504,131611,526444,2021-03-29 16:00:00,2026-01-12 11:55:00
CETUS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CETUS_5m.csv,122490,5914,28917,115668,2024-11-06 23:00:00,2026-01-12 07:35:00
CFX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CFX_5m.csv,304256,14681,73781,295124,2023-02-20 23:30:00,2026-01-12 10:05:00
CGPT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CGPT_5m.csv,109749,5664,28318,113272,2024-12-21 04:15:00,2026-01-12 07:20:00
CHESS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHESS_5m.csv,142446,7491,37297,149188,2024-08-29 16:30:00,2026-01-12 07:50:00
CHILLGUY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHILLGUY_5m.csv,116430,5303,25850,103400,2024-11-27 23:45:00,2026-01-12 07:30:00
CHR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHR_5m.csv,508852,26822,133795,535180,2021-03-12 16:00:00,2026-01-12 12:15:00
CHZ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHZ_5m.csv,523256,28455,143841,575364,2021-01-21 16:00:00,2026-01-12 12:35:00
CKB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CKB_5m.csv,301981,16942,83939,335756,2023-02-28 21:00:00,2026-01-12 10:00:00
CLANKER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CLANKER_5m.csv,15649,879,4296,17184,2025-11-18 22:35:00,2026-01-12 06:35:00
CLO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CLO_5m.csv,24005,1247,6369,25476,2025-10-14 20:30:00,2026-01-12 06:35:00
COAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COAI_5m.csv,29526,1268,6493,25972,2025-09-25 16:30:00,2026-01-12 06:40:00
COMBO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMBO_5m.csv,273184,10704,53890,215560,2023-06-02 21:00:00,2026-01-12 09:25:00
COMMON,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMMON_5m.csv,15649,803,4052,16208,2025-11-18 22:35:00,2026-01-12 06:35:00
COMP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMP_5m.csv,582292,33926,170890,683560,2020-06-30 18:00:00,2026-01-12 14:15:00
COOKIE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COOKIE_5m.csv,104657,4932,23995,95980,2025-01-07 20:30:00,2026-01-12 07:20:00
COS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COS_5m.csv,133160,7624,38078,152312,2024-09-30 22:00:00,2026-01-12 07:40:00
COTI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COTI_5m.csv,509428,28020,141296,565184,2021-03-10 16:00:00,2026-01-12 12:15:00
COW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COW_5m.csv,122497,6334,30720,122880,2024-11-06 22:30:00,2026-01-12 07:35:00
CROSS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CROSS_5m.csv,51668,3110,15521,62084,2025-07-10 19:30:00,2026-01-12 06:50:00
CRV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CRV_5m.csv,564165,22062,109436,437744,2020-09-01 16:00:00,2026-01-12 13:40:00
CTK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CTK_5m.csv,72122,3719,18696,74784,2025-04-30 19:15:00,2026-01-12 07:00:00
CTSI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CTSI_5m.csv,443216,22310,110006,440024,2021-10-26 12:30:00,2026-01-12 11:05:00
CUDIS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CUDIS_5m.csv,39850,2072,10154,40616,2025-08-20 20:15:00,2026-01-12 06:45:00
CVC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CVC_5m.csv,67533,3856,19077,76308,2025-05-16 17:30:00,2026-01-12 06:55:00
CVX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CVX_5m.csv,47912,2310,11384,45536,2025-07-23 20:30:00,2026-01-12 06:50:00
CYBER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CYBER_5m.csv,250137,12477,61124,244496,2023-08-21 21:00:00,2026-01-12 09:10:00
D,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\D_5m.csv,104099,4842,24342,97368,2025-01-09 19:00:00,2026-01-12 07:20:00
DAM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DAM_5m.csv,40411,1765,8886,35544,2025-08-18 21:30:00,2026-01-12 06:45:00
DAR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DAR_5m.csv,389930,14787,72964,291856,2022-04-29 12:30:00,2026-01-12 10:35:00
DASH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DASH_5m.csv,624649,35616,179425,717700,2020-02-04 17:05:00,2026-01-12 15:05:00
DEEP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEEP_5m.csv,74447,3988,18913,75652,2025-04-22 17:30:00,2026-01-12 07:00:00
DEFI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEFI_5m.csv,565318,30185,151497,605988,2020-08-28 16:00:00,2026-01-12 13:45:00
DEGEN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEGEN_5m.csv,119927,6453,31797,127188,2024-11-15 20:30:00,2026-01-12 07:30:00
DEGO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEGO_5m.csv,111839,5651,28369,113476,2024-12-13 22:15:00,2026-01-12 07:25:00
DENT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DENT_5m.csv,505428,23252,115829,463316,2021-03-24 13:00:00,2026-01-12 11:55:00
DEXE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEXE_5m.csv,108690,5579,27909,111636,2024-12-24 20:30:00,2026-01-12 07:20:00
DF,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DF_5m.csv,106959,5294,26158,104632,2024-12-30 20:45:00,2026-01-12 07:20:00
DGB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DGB_5m.csv,497367,17061,83828,335312,2021-04-21 12:30:00,2026-01-12 11:40:00
DIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DIA_5m.csv,132590,7249,36029,144116,2024-10-02 21:30:00,2026-01-12 07:40:00
DMC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DMC_5m.csv,56246,2830,13978,55912,2025-06-24 22:00:00,2026-01-12 06:50:00
DODOX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DODOX_5m.csv,253883,12893,65638,262552,2023-08-08 21:00:00,2026-01-12 09:15:00
DOGE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DOGE_5m.csv,579411,30077,152230,608920,2020-07-10 18:00:00,2026-01-12 14:10:00
DOGS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DOGS_5m.csv,143251,6618,32824,131296,2024-08-26 21:30:00,2026-01-12 07:50:00
DOLO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DOLO_5m.csv,71920,3515,17389,69556,2025-05-01 12:00:00,2026-01-12 07:00:00
DOOD,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DOOD_5m.csv,69490,3506,17049,68196,2025-05-09 22:30:00,2026-01-12 07:00:00
DOT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DOT_5m.csv,567046,30163,153411,613644,2020-08-22 16:00:00,2026-01-12 13:45:00
DRIFT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DRIFT_5m.csv,121893,6813,33143,132572,2024-11-09 00:45:00,2026-01-12 07:35:00
DUSK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DUSK_5m.csv,422190,24337,121885,487540,2022-01-07 12:30:00,2026-01-12 10:55:00
DYDX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DYDX_5m.csv,456467,19658,98917,395668,2021-09-10 12:30:00,2026-01-12 11:20:00
DYM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DYM_5m.csv,201217,10539,52203,208812,2024-02-07 16:00:00,2026-01-12 08:20:00
EDEN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\EDEN_5m.csv,28044,1315,6721,26884,2025-09-30 20:00:00,2026-01-12 06:35:00
EDU,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\EDU_5m.csv,282693,14903,74183,296732,2023-04-30 21:00:00,2026-01-12 09:35:00
EGLD,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\EGLD_5m.csv,560419,31118,155594,622376,2020-09-14 16:00:00,2026-01-12 13:30:00
EIGEN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\EIGEN_5m.csv,132955,6332,30862,123448,2024-10-01 15:00:00,2026-01-12 07:40:00
ENA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ENA_5m.csv,185307,9091,44336,177344,2024-04-02 21:30:00,2026-01-12 08:10:00
ENJ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ENJ_5m.csv,556095,31410,156774,627096,2020-09-29 16:00:00,2026-01-12 13:10:00
ENS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ENS_5m.csv,433135,23545,119120,476480,2021-11-30 12:30:00,2026-01-12 11:00:00
ENSO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ENSO_5m.csv,24035,1234,6045,24180,2025-10-14 18:00:00,2026-01-12 06:35:00
EPIC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\EPIC_5m.csv,85976,4086,20573,82292,2025-03-13 17:00:00,2026-01-12 07:10:00
EPT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\EPT_5m.csv,74681,3902,19718,78872,2025-04-21 22:00:00,2026-01-12 07:00:00
ERA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ERA_5m.csv,49592,2694,13206,52824,2025-07-18 00:30:00,2026-01-12 06:50:00
ESPORTS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ESPORTS_5m.csv,46201,2330,11866,47464,2025-07-29 19:00:00,2026-01-12 06:45:00
ETC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ETC_5m.csv,630125,32815,168313,673252,2020-01-16 17:00:00,2026-01-12 15:20:00
ETH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ETH_5m.csv,644531,33036,167341,669364,2019-11-27 16:45:00,2026-01-12 15:35:00
ETHFI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ETHFI_5m.csv,189591,8736,43811,175244,2024-03-19 00:30:00,2026-01-12 08:10:00
ETHW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ETHW_5m.csv,221606,12173,62440,249760,2023-11-28 21:30:00,2026-01-12 08:35:00
EUL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\EUL_5m.csv,24257,1355,6325,25300,2025-10-13 23:30:00,2026-01-12 06:35:00
EVAA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\EVAA_5m.csv,27186,1338,6646,26584,2025-10-03 19:30:00,2026-01-12 06:35:00
F,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\F_5m.csv,57977,3118,15007,60028,2025-06-18 21:45:00,2026-01-12 06:50:00
FARTCOIN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FARTCOIN_5m.csv,109755,4917,24304,97216,2024-12-21 03:45:00,2026-01-12 07:20:00
FET,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FET_5m.csv,314195,15237,76505,306020,2023-01-17 11:30:00,2026-01-12 10:20:00
FF,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FF_5m.csv,28303,1385,6715,26860,2025-09-29 22:30:00,2026-01-12 06:40:00
FHE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FHE_5m.csv,77250,3720,19039,76156,2025-04-13 00:00:00,2026-01-12 07:05:00
FIDA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FIDA_5m.csv,136336,6815,34268,137072,2024-09-19 21:30:00,2026-01-12 07:45:00
FIL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FIL_5m.csv,551209,27583,141084,564336,2020-10-16 15:00:00,2026-01-12 13:00:00
FIO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FIO_5m.csv,136060,6997,34959,139836,2024-09-20 20:30:00,2026-01-12 07:45:00
FIS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FIS_5m.csv,73595,3237,16155,64620,2025-04-25 16:30:00,2026-01-12 07:00:00
FLM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FLM_5m.csv,556095,25407,127145,508580,2020-09-29 16:00:00,2026-01-12 13:10:00
FLOCK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FLOCK_5m.csv,34143,1746,7936,31744,2025-09-09 15:45:00,2026-01-12 06:40:00
FLOW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FLOW_5m.csv,412397,16650,82731,330924,2022-02-10 12:30:00,2026-01-12 10:50:00
FLUID,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FLUID_5m.csv,29781,1434,7175,28700,2025-09-24 19:15:00,2026-01-12 06:40:00
FLUX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FLUX_5m.csv,141012,7593,37271,149084,2024-09-03 16:00:00,2026-01-12 07:50:00
FOLKS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FOLKS_5m.csv,15649,676,3471,13884,2025-11-18 22:35:00,2026-01-12 06:35:00
FORM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FORM_5m.csv,84248,3925,19426,77704,2025-03-19 17:00:00,2026-01-12 07:10:00
FORTH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FORTH_5m.csv,78480,3778,19208,76832,2025-04-08 17:30:00,2026-01-12 07:05:00
FTM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FTM_5m.csv,557536,23362,116331,465324,2020-09-24 16:00:00,2026-01-12 13:15:00
FTT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FTT_5m.csv,393963,3698,18580,74320,2022-04-15 12:30:00,2026-01-12 10:40:00
FUN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FUN_5m.csv,80785,4046,20049,80196,2025-03-31 17:30:00,2026-01-12 07:05:00
FXS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FXS_5m.csv,313325,17367,86115,344460,2023-01-20 12:00:00,2026-01-12 10:20:00
G,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\G_5m.csv,146421,8316,40631,162524,2024-08-15 21:30:00,2026-01-12 07:55:00
GALA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\GALA_5m.csv,454162,21193,106268,425072,2021-09-18 12:30:00,2026-01-12 11:15:00
