symbol,file,bars,raw_bear_displacements,confirmed_events_before_horizon_expand,kept_event_horizon_rows,first_ts,last_ts
H,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\H_5m.csv,56000,2555,12653,50612,2025-06-25 18:30:00,2026-01-12 06:50:00
HAEDAL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HAEDAL_5m.csv,71917,3875,19103,76412,2025-05-01 12:15:00,2026-01-12 07:00:00
HANA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HANA_5m.csv,29190,1395,7024,28096,2025-09-26 20:30:00,2026-01-12 06:40:00
HBAR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HBAR_5m.csv,507410,28260,141465,565860,2021-03-17 16:00:00,2026-01-12 12:05:00
HEI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HEI_5m.csv,94029,4613,22862,91448,2025-02-13 18:00:00,2026-01-12 07:15:00
HEMI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HEMI_5m.csv,37338,1660,8341,33364,2025-08-29 13:30:00,2026-01-12 06:40:00
HFT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HFT_5m.csv,289607,15898,78941,315764,2023-04-06 21:00:00,2026-01-12 09:40:00
HIFI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HIFI_5m.csv,242619,11554,57611,230444,2023-09-16 23:30:00,2026-01-12 09:10:00
HIGH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HIGH_5m.csv,308146,15753,79569,318276,2023-02-07 11:30:00,2026-01-12 10:15:00
HIPPO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HIPPO_5m.csv,120491,5641,27975,111900,2024-11-13 21:30:00,2026-01-12 07:35:00
HIVE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HIVE_5m.csv,108978,6201,31119,124476,2024-12-23 20:30:00,2026-01-12 07:20:00
HMSTR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HMSTR_5m.csv,134319,6464,32096,128384,2024-09-26 21:30:00,2026-01-12 07:45:00
HOLO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HOLO_5m.csv,33504,1690,8045,32180,2025-09-11 21:00:00,2026-01-12 06:40:00
HOME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HOME_5m.csv,60296,3194,15225,60900,2025-06-10 20:30:00,2026-01-12 06:50:00
HOOK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HOOK_5m.csv,312460,15389,76843,307372,2023-01-23 12:00:00,2026-01-12 10:15:00
HOT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HOT_5m.csv,503663,24921,124880,499520,2021-03-30 16:00:00,2026-01-12 11:50:00
HUMA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HUMA_5m.csv,64600,3195,15526,62104,2025-05-26 22:00:00,2026-01-12 06:55:00
HYPE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HYPE_5m.csv,63477,3697,18369,73476,2025-05-30 19:30:00,2026-01-12 06:55:00
HYPER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HYPER_5m.csv,74393,3726,18483,73932,2025-04-22 22:00:00,2026-01-12 07:00:00
ICNT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ICNT_5m.csv,53654,2834,14134,56536,2025-07-03 22:00:00,2026-01-12 06:50:00
ICP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ICP_5m.csv,346452,18936,97376,389504,2022-09-27 11:30:00,2026-01-12 10:25:00
ICX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ICX_5m.csv,560131,31658,155572,622288,2020-09-15 15:55:00,2026-01-12 13:25:00
ID,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ID_5m.csv,293612,15591,77744,310976,2023-03-23 23:30:00,2026-01-12 09:50:00
IDEX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IDEX_5m.csv,281829,6149,30621,122484,2023-05-03 21:00:00,2026-01-12 09:35:00
IDOL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IDOL_5m.csv,53411,2762,13982,55928,2025-07-04 18:15:00,2026-01-12 06:50:00
ILV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ILV_5m.csv,226744,12579,62973,251892,2023-11-11 01:30:00,2026-01-12 08:40:00
IMX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IMX_5m.csv,412109,22845,113060,452240,2022-02-11 12:30:00,2026-01-12 10:50:00
IN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IN_5m.csv,43603,2302,11237,44948,2025-08-07 19:30:00,2026-01-12 06:45:00
INIT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\INIT_5m.csv,76200,3681,17554,70216,2025-04-16 15:30:00,2026-01-12 07:05:00
INJ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\INJ_5m.csv,358259,18063,90413,361652,2022-08-17 11:45:00,2026-01-12 10:35:00
IO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IO_5m.csv,165125,8154,40480,161920,2024-06-11 23:00:00,2026-01-12 08:00:00
IOST,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IOST_5m.csv,619746,36842,183890,735560,2020-02-21 17:05:00,2026-01-12 14:30:00
IOTA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IOTA_5m.csv,622342,35690,176584,706336,2020-02-12 17:00:00,2026-01-12 14:45:00
IOTX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IOTX_5m.csv,464821,26521,131284,525136,2021-08-12 12:30:00,2026-01-12 11:30:00
IP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IP_5m.csv,93934,4507,22557,90228,2025-02-14 02:00:00,2026-01-12 07:15:00
IRYS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IRYS_5m.csv,13316,602,2914,11656,2025-11-27 01:00:00,2026-01-12 06:35:00
JASMY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\JASMY_5m.csv,392523,20251,102216,408864,2022-04-20 12:30:00,2026-01-12 10:40:00
JCT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\JCT_5m.csv,15649,796,4071,16284,2025-11-18 22:35:00,2026-01-12 06:35:00
JELLYJELLY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\JELLYJELLY_5m.csv,82134,3783,18351,73404,2025-03-27 01:00:00,2026-01-12 07:05:00
JOE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\JOE_5m.csv,291912,15388,76950,307800,2023-03-29 21:10:00,2026-01-12 09:50:00
JST,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\JST_5m.csv,72707,4505,22845,91380,2025-04-28 18:30:00,2026-01-12 07:00:00
JTO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\JTO_5m.csv,218756,10932,54330,217320,2023-12-08 19:00:00,2026-01-12 08:35:00
JUP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\JUP_5m.csv,203096,10051,49559,198236,2024-02-01 03:30:00,2026-01-12 08:20:00
KAIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KAIA_5m.csv,114424,6260,30296,121184,2024-12-04 23:00:00,2026-01-12 07:30:00
KAITO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KAITO_5m.csv,91964,4506,21727,86908,2025-02-20 22:00:00,2026-01-12 07:10:00
KAS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KAS_5m.csv,224902,13814,70683,282732,2023-11-17 11:00:00,2026-01-12 08:40:00
KAVA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KAVA_5m.csv,574249,34379,169795,679180,2020-07-28 16:05:00,2026-01-12 14:05:00
KDA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KDA_5m.csv,136612,6243,31401,125604,2024-09-18 22:30:00,2026-01-12 07:45:00
KERNEL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KERNEL_5m.csv,76710,3611,17748,70992,2025-04-14 21:00:00,2026-01-12 07:05:00
KEY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KEY_5m.csv,275778,8274,41881,167524,2023-05-24 21:00:00,2026-01-12 09:30:00
KGEN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KGEN_5m.csv,25986,1208,5905,23620,2025-10-07 23:30:00,2026-01-12 06:35:00
KITE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KITE_5m.csv,15649,797,3931,15724,2025-11-18 22:35:00,2026-01-12 06:35:00
