period_label,strategy,candidate_key,audit_mode,slippage_per_side,slippage_per_side_pct,total_round_trip_cost_pct,environment_lock_pass,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,target_expected_trades,delta_vs_target_expected_trades,target_expected_max_return_pct,delta_vs_target_expected_max_return_pct,target_expected_max_drawdown_pct,delta_vs_target_expected_max_drawdown_pct,target_expected_official_cd_value,delta_vs_target_expected_official_cd_value,target_expected_profit_factor,delta_vs_target_expected_profit_factor,mtm_close_max_return_pct,mtm_close_max_drawdown_pct,mtm_close_cd_value,mtm_worstbar_max_return_pct,mtm_worstbar_max_drawdown_pct,mtm_worstbar_cd_value,generated_signals,executed_entries,blocked_entries,filter_raw_candidates,filter_rejected_candidates,filter_passed_candidates,filter_rejection_rate_pct,filter_triggered_timestamps,filter_rejected_timestamps,filter_rejected_density_maturity,filter_rejected_density_rank,filter_rejected_breakout_failure,filter_rejected_near_high_rejection,filter_rejected_entry_gapup,same_bar_trades,max_conc,max_conc_unique_symbols,active_leftover,pending_leftover,climax_score_min,atr_stop_mult,rr_mult,timeout_bars,dd_brake_trigger_pct,delta_vs_same_period_baseline_official_cd_value,delta_vs_same_period_baseline_max_drawdown_pct,delta_vs_same_period_baseline_profit_factor,delta_vs_same_period_baseline_mtm_worstbar_cd_value,delta_vs_same_period_baseline_mtm_worstbar_max_drawdown_pct,gate_realized_mdd10_pass,gate_mtm_close_mdd_under_10,gate_mtm_worstbar_mdd_under_10,gate_mtm_worstbar_mdd_under_15,gate_mtm_audit_pass,gate_improve_vs_same_period_baseline,gate_mtm_worstbar_improve_vs_same_period_baseline,gate_baseline_exact_retest_pass,gate_target_exact_retest_pass,gate_run_valid_for_development,gate_beats_v6_cd,gate_beats_v6_mtm_worstbar_cd,gate_realized_mdd_better_or_equal_v6,gate_mtm_worstbar_mdd_better_or_equal_v6,full_cd_value,exq4_cd_value,q4_only_cd_value,exq4_to_full_cd_ratio,q4_to_full_cd_ratio,full_mtm_worstbar_cd_value,exq4_mtm_worstbar_cd_value,q4_only_mtm_worstbar_cd_value,exq4_to_full_mtm_worstbar_cd_ratio,q4_to_full_mtm_worstbar_cd_ratio,q4_dependency_flag,period_loaded_symbols,period_timeline_count,strategy_elapsed_seconds,strategy_elapsed_minutes,load_elapsed_seconds,load_elapsed_minutes,total_elapsed_seconds,total_elapsed_minutes
2025_Q4_ONLY,SM2V6NEWAXIS_V6N01_density_maturity_slip000000,V6N01_density_maturity,realism_audit_no_position_limit,0.0,0.0,0.08,True,22821,1760,21061,7.7121949081985885,367.3544405745002,367.3544405745002,5.673219934069939,440.84039528906663,2.071240482828869,,,139926.24497527332,-139558.89053469882,5.673964657377228,-0.0007447233072888082,132081.20532432388,-131640.3649290348,,,367.9540161349785,7.219527210039356,434.1699486096417,367.3544405745002,7.312974789031202,433.1769281598692,43579,22821,0,22828,7,22821,0.030664096723322234,14,6,7,0,0,0,0,1163,200,200,0,0,2.7,2.65,6.15,390,0.092,0.0241450573438442,-0.0007447233072888082,6.636356882161465e-05,0.020305492298177796,0.0,True,True,True,True,True,True,True,False,False,True,False,False,True,False,130384.84746237319,28240.876284916532,440.84039528906663,0.21659630574071392,0.0033810707599001145,118786.08965228764,25636.061347050403,433.1769281598692,0.2158170322980801,0.00364669743256867,GENERAL_EDGE_CONFIRMED,597,26496,9.52902229999927,0.15881703833332114,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2025_Q4_ONLY,SM2V6_OFFICIAL_V5M01_BASELINE_slip000000,V5M01_D02_D03_rr615_stop265_t390,realism_audit_no_position_limit,0.0,0.0,0.08,True,22827,1760,21067,7.71016778376484,367.33253298576057,367.33253298576057,5.673964657377228,440.8162502317228,2.0711741192600472,,,139926.24497527332,-139558.91244228758,5.673964657377228,0.0,132081.20532432388,-131640.38907409215,,,367.93208044068615,7.220260830003689,434.1461637256059,367.33253298576057,7.312974789031202,433.156622667571,43579,22827,0,22827,0,22827,0.0,0,0,0,0,0,0,0,1163,200,200,0,0,2.7,2.65,6.15,390,0.092,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,False,False,False,False,True,False,False,True,False,132081.20532432388,28599.657911071103,440.8162502317228,0.21653086705898067,0.003337463866636465,120332.49318069416,25971.018978214248,433.156622667571,0.21582714935703645,0.003599664655972287,GENERAL_EDGE_CONFIRMED,597,26496,16.233114200000273,0.2705519033333379,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2025_Q4_ONLY,SM2V6NEWAXIS_V6N05_entry_gapup_exclusion_slip000000,V6N05_entry_gapup_exclusion,realism_audit_no_position_limit,0.0,0.0,0.08,True,22807,1759,21048,7.712544394264918,367.26042273852346,367.26042273852346,5.615643114780699,441.02074498091235,2.0729189746377132,,,139926.24497527332,-139558.9845525348,5.673964657377228,-0.058321542596528886,132081.20532432388,-131640.18457934295,,,367.8598776822427,7.219536279040028,434.08256407790094,367.26042273852346,7.303372971979716,433.1346513154799,43579,22807,0,22833,26,22807,0.11387027547847413,13074,26,0,0,0,0,26,1161,199,199,0,0,2.7,2.65,6.15,390,0.092,0.20449474918956412,-0.058321542596528886,0.0017448553776659992,-0.021971352091100016,-0.009601817051485995,True,True,True,True,True,True,False,False,False,True,False,False,True,False,132657.35725836744,28711.093506723395,441.02074498091235,0.21643046492178197,0.003324510257821337,120782.71414956963,26072.211875518708,433.1346513154799,0.21586045701235476,0.0035860648964976356,GENERAL_EDGE_CONFIRMED,597,26496,9.549028900000849,0.1591504816666808,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2025_Q4_ONLY,SM2V6NEWAXIS_V6N04_near_high_rejection20_slip000000,V6N04_near_high_rejection20,realism_audit_no_position_limit,0.0,0.0,0.08,True,12746,917,11829,7.194413933783148,155.8608002034382,155.8608002034382,2.8636376867349655,248.5338739032309,2.335264852072816,,,139926.24497527332,-139770.3841750699,5.673964657377228,-2.8103269706422624,132081.20532432388,-131832.67145042063,,,156.47494048488716,4.4915422008399375,244.95526029842932,156.17721235327588,4.399545608255872,244.906579057835,43579,12746,0,32598,19852,12746,60.89944168353887,16166,12140,0,0,0,19852,0,402,130,130,0,0,2.7,2.65,6.15,390,0.092,-192.2823763284919,-2.8103269706422624,0.2640907328127686,-188.25004360973603,-2.9134291807753296,True,True,True,True,True,False,False,False,False,True,False,False,True,False,8999.803373619407,3536.1450933150127,248.5338739032309,0.39291359449922053,0.027615478203862055,8490.03142420148,3329.4936580292833,244.906579057835,0.3921650570736769,0.02884636897334799,GENERAL_EDGE_CONFIRMED,597,26496,7.157314599999154,0.11928857666665256,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2025_Q4_ONLY,SM2V6NEWAXIS_V6N03_breakout_failure20_slip000000,V6N03_breakout_failure20,realism_audit_no_position_limit,0.0,0.0,0.08,True,10865,797,10068,7.335480901978832,139.15701745845212,139.15701745845212,2.1422466591014877,234.03368424194167,2.435500826571419,,,139926.24497527332,-139787.08795781486,5.673964657377228,-3.5317179982757403,132081.20532432388,-131847.17164008194,,,139.7531788898073,3.9651439604357352,230.24662019710541,139.45908335121962,3.8473126763807652,230.24634368270296,43579,10865,0,34194,23329,10865,68.22541966426859,16565,13417,0,0,23329,0,0,331,110,110,0,0,2.7,2.65,6.15,390,0.092,-206.78256598978112,-3.5317179982757403,0.36432670731137184,-202.91027898486806,-3.4656621126504366,True,True,True,True,True,False,False,False,False,True,False,False,True,False,4971.971287877131,2085.9870248404145,234.03368424194167,0.4195492902234886,0.04707060252189558,4745.8654405247435,1988.669482180031,230.24634368270296,0.4190319989266587,0.04851514366940099,GENERAL_EDGE_CONFIRMED,597,26496,6.753753200000574,0.1125625533333429,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2026_Q1_ONLY,SM2V6_OFFICIAL_V5M01_BASELINE_slip000000,V5M01_D02_D03_rr615_stop265_t390,realism_audit_no_position_limit,0.0,0.0,0.08,True,1924,190,1734,9.875259875259875,11.779047583268841,11.779047583268841,2.041264882266336,109.4973411392198,2.0164811867731087,,,139926.24497527332,-139914.46592769006,5.673964657377228,-3.632699775110892,132081.20532432388,-131971.70798318466,,,11.961306259975846,1.5999098085407337,110.17002633935216,11.909602278018316,1.5440683731855143,110.18164150268575,3526,1924,0,1924,0,1924,0.0,0,0,0,0,0,0,0,128,54,54,0,0,2.7,2.65,6.15,390,0.092,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,False,False,False,False,True,False,False,True,False,132081.20532432388,28599.657911071103,440.8162502317228,0.21653086705898067,0.003337463866636465,120332.49318069416,25971.018978214248,433.156622667571,0.21582714935703645,0.003599664655972287,GENERAL_EDGE_CONFIRMED,597,3357,2.0767656000007264,0.03461276000001211,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2026_Q1_ONLY,SM2V6NEWAXIS_V6N01_density_maturity_slip000000,V6N01_density_maturity,realism_audit_no_position_limit,0.0,0.0,0.08,True,1924,190,1734,9.875259875259875,11.779047583268841,11.779047583268841,2.041264882266336,109.4973411392198,2.0164811867731087,,,139926.24497527332,-139914.46592769006,5.673964657377228,-3.632699775110892,132081.20532432388,-131971.70798318466,,,11.961306259975846,1.5999098085407337,110.17002633935216,11.909602278018316,1.5440683731855143,110.18164150268575,3526,1924,0,1924,0,1924,0.0,0,0,0,0,0,0,0,128,54,54,0,0,2.7,2.65,6.15,390,0.092,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,False,False,False,False,True,False,False,True,False,130384.84746237319,28240.876284916532,440.84039528906663,0.21659630574071392,0.0033810707599001145,118786.08965228764,25636.061347050403,433.1769281598692,0.2158170322980801,0.00364669743256867,GENERAL_EDGE_CONFIRMED,597,3357,1.137937299999976,0.018965621666666266,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2026_Q1_ONLY,SM2V6NEWAXIS_V6N02_density_topscore_slip000000,V6N02_density_topscore,realism_audit_no_position_limit,0.0,0.0,0.08,True,1924,190,1734,9.875259875259875,11.779047583268841,11.779047583268841,2.041264882266336,109.4973411392198,2.0164811867731087,,,139926.24497527332,-139914.46592769006,5.673964657377228,-3.632699775110892,132081.20532432388,-131971.70798318466,,,11.961306259975846,1.5999098085407337,110.17002633935216,11.909602278018316,1.5440683731855143,110.18164150268575,3526,1924,0,1924,0,1924,0.0,0,0,0,0,0,0,0,128,54,54,0,0,2.7,2.65,6.15,390,0.092,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,False,False,False,False,True,False,False,True,False,129210.37802343821,27980.28728631143,442.30872937259534,0.21654829677253887,0.003423167211014292,118765.76738966137,25569.787406792828,435.33495637278116,0.21529593896278476,0.0036654918832333275,GENERAL_EDGE_CONFIRMED,597,3357,1.1783464000000095,0.019639106666666826,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2026_Q1_ONLY,SM2V6NEWAXIS_V6N05_entry_gapup_exclusion_slip000000,V6N05_entry_gapup_exclusion,realism_audit_no_position_limit,0.0,0.0,0.08,True,1922,189,1733,9.833506763787721,11.76221682454992,11.76221682454992,2.041264882266336,109.48085394086803,2.0152286009356786,,,139926.24497527332,-139914.48275844878,5.673964657377228,-3.632699775110892,132081.20532432388,-131971.72447038302,,,11.944448058262314,1.5776027025227957,110.17840942037094,11.89275186146006,1.5330544278829294,110.17737507456789,3526,1922,0,1928,6,1922,0.3112033195020747,1354,6,0,0,0,0,6,128,54,54,0,0,2.7,2.65,6.15,390,0.092,-0.016487198351768484,0.0,-0.0012525858374301535,-0.004266428117858823,-0.011013945302584816,True,True,True,True,True,False,False,False,False,True,False,False,True,False,132657.35725836744,28711.093506723395,441.02074498091235,0.21643046492178197,0.003324510257821337,120782.71414956963,26072.211875518708,433.1346513154799,0.21586045701235476,0.0035860648964976356,GENERAL_EDGE_CONFIRMED,597,3357,1.2254833999995753,0.020424723333326254,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2026_Q1_ONLY,SM2V6NEWAXIS_V6N04_near_high_rejection20_slip000000,V6N04_near_high_rejection20,realism_audit_no_position_limit,0.0,0.0,0.08,True,1041,103,938,9.894332372718539,6.7627382603672626,6.7627382603672626,1.0912370424214446,105.59770371296669,2.098652611362192,,,139926.24497527332,-139919.48223701297,5.673964657377228,-4.582727614955783,132081.20532432388,-131975.6076206109,,,6.8083860272194485,0.9388624176141613,105.80560223194963,6.784204676860761,0.7915811937699191,105.93892099472195,3526,1041,0,2720,1679,1041,61.727941176470594,1684,1222,0,0,0,1679,0,54,31,31,0,0,2.7,2.65,6.15,390,0.092,-3.8996374262531077,-0.9500278398448914,0.08217142458908322,-4.242720507963796,-0.7524871794155952,True,True,True,True,True,False,False,False,False,True,False,False,True,False,8999.803373619407,3536.1450933150127,248.5338739032309,0.39291359449922053,0.027615478203862055,8490.03142420148,3329.4936580292833,244.906579057835,0.3921650570736769,0.02884636897334799,GENERAL_EDGE_CONFIRMED,597,3357,0.9195385000002716,0.015325641666671193,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2026_Q1_ONLY,SM2V6NEWAXIS_V6N03_breakout_failure20_slip000000,V6N03_breakout_failure20,realism_audit_no_position_limit,0.0,0.0,0.08,True,891,84,807,9.427609427609427,4.992629247892255,4.992629247892255,0.8081121645140188,104.14417103909693,2.013631681237016,,,139926.24497527332,-139921.25234602543,5.673964657377228,-4.865852492863209,132081.20532432388,-131977.06115328477,,,5.037566604506782,0.8515184454131686,104.14315235025627,5.017925432337389,0.8276148615793288,104.14878147413707,3526,891,0,2847,1956,891,68.70389884088515,1729,1371,0,0,1956,0,0,39,29,29,0,0,2.7,2.65,6.15,390,0.092,-5.353170100122867,-1.2331527177523172,-0.0028495055360928667,-6.032860028548683,-0.7164535116061854,True,True,True,True,True,False,False,False,False,True,False,False,True,False,4971.971287877131,2085.9870248404145,234.03368424194167,0.4195492902234886,0.04707060252189558,4745.8654405247435,1988.669482180031,230.24634368270296,0.4190319989266587,0.04851514366940099,GENERAL_EDGE_CONFIRMED,597,3357,0.8158330000005662,0.013597216666676104,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
