batch_label,strategy_name,side,description,timeframe,processed_symbols,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,baseline_cd_value,ruined,verdict
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V51_V010_core_shortgap,long,l09 v51 microbase pop + core + shortgap,5m,597,28,10,18,35.714285714285715,-0.3304249401199,0.16878630915633241,0.498370068831111,99.17285173005051,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V040_shocklow_shortgap,long,l09 v09 cluster pressure + shocklow + shortgap,5m,597,425,151,274,35.529411764705884,0.5093332222427582,1.8551356618944137,1.3470305952296924,99.15544175267779,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V084_hammer_outside_vol18,long,l09 v28 refire block + hammer_outside + vol18,5m,597,69,19,50,27.536231884057973,-0.3126977386895824,0.06642719830229904,0.5372718471698623,99.15171045105727,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V064_spring_vol18,long,l09 v28 refire block + spring + vol18,5m,597,204,62,142,30.392156862745097,-0.4180069697314437,0.03266790033045197,0.632904140102386,98.95173447358351,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V040_shocklow_shortgap,long,l09 v28 refire block + shocklow + shortgap,5m,597,263,89,174,33.840304182509506,-0.1728369595651702,0.624697338829372,0.8849880022623768,98.94370462452808,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V044_prevhigh_vol18,long,l09 v28 refire block + prevhigh + vol18,5m,597,76,16,60,21.052631578947366,-0.5598244970836053,0.049196840486098736,0.6087218656444571,98.83486141139493,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V004_core_vol18,long,l09 v27 failed break pivot + core + vol18,5m,597,1382,478,904,34.58755426917511,1.4967598130191773,2.452748455965792,2.704688279803291,98.75158884597634,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V043_prevhigh_rare28_first,long,l09 v28 refire block + prevhigh + rare28_first,5m,597,67,12,55,17.91044776119403,-0.635980476020348,0.0,0.635980476020348,98.73208375961809,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V010_core_shortgap,long,l09 v09 cluster pressure + core + shortgap,5m,597,578,197,381,34.083044982698965,0.2981015835402667,1.8764486980109352,1.5749561716127403,98.71845044263988,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V010_core_shortgap,long,l09 v27 failed break pivot + core + shortgap,5m,597,531,178,353,33.52165725047081,0.24504856770932726,1.7776509492912318,1.5326027761427108,98.70869017041501,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V084_hammer_outside_vol18,long,l09 v09 cluster pressure + hammer_outside + vol18,5m,597,132,37,95,28.030303030303028,-0.6041269886642997,0.030875472464941822,0.7067204244794789,98.6934220756749,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V004_core_vol18,long,l09 v09 cluster pressure + core + vol18,5m,597,1406,481,925,34.21052631578947,1.4259715002017392,2.438440440475498,2.705888191812844,98.68149811394632,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V043_prevhigh_rare28_first,long,l09 v27 failed break pivot + prevhigh + rare28_first,5m,597,69,14,55,20.28985507246377,-0.6731307541548714,0.0,0.6731307541548714,98.65826954181215,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V034_shocklow_vol18,long,l09 v09 cluster pressure + shocklow + vol18,5m,597,1364,459,905,33.651026392961874,1.3567921174840514,2.3384235098176553,2.726078550169997,98.59372634842892,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V034_shocklow_vol18,long,l09 v27 failed break pivot + shocklow + vol18,5m,597,1382,467,915,33.79160636758321,1.3426830427300418,2.3646527886477697,2.7497139995113717,98.55604909962366,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V030_lowanchor_shortgap,long,l09 v09 cluster pressure + lowanchor + shortgap,5m,597,383,126,257,32.89817232375979,-0.45629322824881635,0.74764353713348,1.2346677732936184,98.31467270389847,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V51_V083_hammer_outside_rare28_first,long,l09 v51 microbase pop + hammer_outside + rare28_first,5m,597,281,87,194,30.96085409252669,-0.308011953804499,1.1822103946646623,1.487664414510459,98.20890581591422,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V028_lowanchor_softscore,long,l09 v09 cluster pressure + lowanchor + softscore,5m,597,158,34,124,21.518987341772153,-0.9506049498613334,0.0,0.9506049498613334,98.10782659798434,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V063_spring_rare28_first,long,l09 v27 failed break pivot + spring + rare28_first,5m,597,318,96,222,30.18867924528302,-0.3623851373553255,1.1622739727481735,1.5590245204876063,98.08424001530703,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V053_extreme_rare28_first,long,l09 v09 cluster pressure + extreme + rare28_first,5m,597,318,101,217,31.761006289308174,-0.3481898255944249,1.2456853076987073,1.6220012378075022,98.03545657987914,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V050_prevhigh_shortgap,long,l09 v27 failed break pivot + prevhigh + shortgap,5m,597,191,46,145,24.083769633507853,-0.9629737988616771,0.08456648046712978,1.0466551598974583,98.00045005619512,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V050_prevhigh_shortgap,long,l09 v28 refire block + prevhigh + shortgap,5m,597,188,45,143,23.93617021276596,-0.9506125124536857,0.11554549603598474,1.0649275326895968,97.99458328923103,121.53,False,baseline_fail
