run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,old_ret_max,reclaim_ret_min,reclaim_gain_min,calm_abs_max,calm_range_max,calm_slope_max,test_break_max,test_recover_min,close_pos_min,atrp_max,volr_max,upper_max,cooldown,stop_atr,rr,hold,fail_bars,fail_pnl,green,verdict,note
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_029,calm_local,calm_abs_and_range_grid,long,103,40,63,38.83495145631068,0.1347065195157704,0.1347065195157704,0.76141393249608,99.37226691281211,597,0,0.01,0.0004,0.08,SCR18_B_029,-0.15,0.022,0.015,0.0045,0.14,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_030,calm_local,calm_abs_and_range_grid,long,171,64,107,37.42690058479532,0.13639651993317958,0.13639651993317958,1.2760710713608625,98.85858493203911,597,0,0.01,0.0004,0.08,SCR18_B_030,-0.15,0.022,0.015,0.005,0.08,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_031,calm_local,calm_abs_and_range_grid,long,171,64,107,37.42690058479532,0.13639651993317958,0.13639651993317958,1.2760710713608625,98.85858493203911,597,0,0.01,0.0004,0.08,SCR18_B_031,-0.15,0.022,0.015,0.005,0.1,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_032,calm_local,calm_abs_and_range_grid,long,171,64,107,37.42690058479532,0.13639651993317958,0.13639651993317958,1.2760710713608625,98.85858493203911,597,0,0.01,0.0004,0.08,SCR18_B_032,-0.15,0.022,0.015,0.005,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_033,calm_local,calm_abs_and_range_grid,long,171,64,107,37.42690058479532,0.13639651993317958,0.13639651993317958,1.2760710713608625,98.85858493203911,597,0,0.01,0.0004,0.08,SCR18_B_033,-0.15,0.022,0.015,0.005,0.14,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_034,calm_local,calm_abs_and_range_grid,long,277,110,167,39.71119133574007,0.5359254056865659,0.5359254056865659,2.017987142693256,98.50712335721212,597,0,0.01,0.0004,0.08,SCR18_B_034,-0.15,0.022,0.015,0.0055,0.08,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_035,calm_local,calm_abs_and_range_grid,long,277,110,167,39.71119133574007,0.5359254056865659,0.5359254056865659,2.017987142693256,98.50712335721212,597,0,0.01,0.0004,0.08,SCR18_B_035,-0.15,0.022,0.015,0.0055,0.1,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_036,calm_local,calm_abs_and_range_grid,long,277,110,167,39.71119133574007,0.5359254056865659,0.5359254056865659,2.017987142693256,98.50712335721212,597,0,0.01,0.0004,0.08,SCR18_B_036,-0.15,0.022,0.015,0.0055,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_037,calm_local,calm_abs_and_range_grid,long,277,110,167,39.71119133574007,0.5359254056865659,0.5359254056865659,2.017987142693256,98.50712335721212,597,0,0.01,0.0004,0.08,SCR18_B_037,-0.15,0.022,0.015,0.0055,0.14,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_038,calm_local,calm_abs_and_range_grid,long,394,152,242,38.578680203045685,0.45018056857020206,0.45018056857020206,3.0682198125497884,97.36814822662329,597,0,0.01,0.0004,0.08,SCR18_B_038,-0.15,0.022,0.015,0.006,0.08,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_039,calm_local,calm_abs_and_range_grid,long,395,152,243,38.48101265822785,0.42483133119506356,0.42483133119506356,3.092681159371269,97.31901149328482,597,0,0.01,0.0004,0.08,SCR18_B_039,-0.15,0.022,0.015,0.006,0.1,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_040,calm_local,calm_abs_and_range_grid,long,395,152,243,38.48101265822785,0.42483133119506356,0.42483133119506356,3.092681159371269,97.31901149328482,597,0,0.01,0.0004,0.08,SCR18_B_040,-0.15,0.022,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_041,calm_local,calm_abs_and_range_grid,long,395,152,243,38.48101265822785,0.42483133119506356,0.42483133119506356,3.092681159371269,97.31901149328482,597,0,0.01,0.0004,0.08,SCR18_B_041,-0.15,0.022,0.015,0.006,0.14,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_042,calm_local,calm_abs_and_range_grid,long,676,244,432,36.09467455621302,0.2198126703796932,0.2198126703796932,5.609071656192843,94.59841156399587,597,0,0.01,0.0004,0.08,SCR18_B_042,-0.15,0.022,0.015,0.007,0.08,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,valid_any_mdd,research only; MDD >= 5
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_043,calm_local,calm_abs_and_range_grid,long,682,245,437,35.92375366568915,0.12704278808124414,0.12704278808124414,5.712968432808885,94.40681644089312,597,0,0.01,0.0004,0.08,SCR18_B_043,-0.15,0.022,0.015,0.007,0.1,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,valid_any_mdd,research only; MDD >= 5
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_044,calm_local,calm_abs_and_range_grid,long,682,245,437,35.92375366568915,0.12704278808124414,0.12704278808124414,5.712968432808885,94.40681644089312,597,0,0.01,0.0004,0.08,SCR18_B_044,-0.15,0.022,0.015,0.007,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,valid_any_mdd,research only; MDD >= 5
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_045,calm_local,calm_abs_and_range_grid,long,682,245,437,35.92375366568915,0.12704278808124414,0.12704278808124414,5.712968432808885,94.40681644089312,597,0,0.01,0.0004,0.08,SCR18_B_045,-0.15,0.022,0.015,0.007,0.14,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,valid_any_mdd,research only; MDD >= 5
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_C_046,failuretest_local,break_recover_grid,long,383,148,235,38.642297650130544,0.4568496242327802,0.4568496242327802,2.9883952788737234,97.45480187275693,597,0,0.01,0.0004,0.08,SCR18_C_046,-0.15,0.022,0.015,0.006,0.12,0.003,-0.004,0.006,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_C_047,failuretest_local,break_recover_grid,long,383,148,235,38.642297650130544,0.4568496242327802,0.4568496242327802,2.9883952788737234,97.45480187275693,597,0,0.01,0.0004,0.08,SCR18_C_047,-0.15,0.022,0.015,0.006,0.12,0.003,-0.004,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_C_048,failuretest_local,break_recover_grid,long,383,148,235,38.642297650130544,0.4568496242327802,0.4568496242327802,2.9883952788737234,97.45480187275693,597,0,0.01,0.0004,0.08,SCR18_C_048,-0.15,0.022,0.015,0.006,0.12,0.003,-0.004,0.01,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_C_049,failuretest_local,break_recover_grid,long,383,148,235,38.642297650130544,0.4568496242327802,0.4568496242327802,2.9883952788737234,97.45480187275693,597,0,0.01,0.0004,0.08,SCR18_C_049,-0.15,0.022,0.015,0.006,0.12,0.003,-0.004,0.014,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
