period,candidate_id,profile,trend_state,slippage_bps,stop_atr,target_atr,rr,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,tp_exit_rate_pct,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_tp_distance_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct
ALL,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp2atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,2.0,4.0,12,192255,192254,99.99947985748095,43570,148684,0,22.662727433499434,-0.050357531172455686,0.029654330559768217,1.0073239161795742,0.8251745207304118,20.991500827030908,77.05483370957171,1.9536654633973805,2.2248587805715356,0.0071510769809148035,1.1447971453471493,0.2861992863367874,-18.034790218598953,137.81894697322699,-0.0005035753117245569
EX_2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp2atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,2.0,4.0,12,171186,171185,99.99941584008039,38007,133178,0,22.202295761895023,-0.05747411318473934,0.02253490077557087,0.7280978972586213,0.7966692865017013,20.527499488857085,77.51847416537665,1.9540263457662763,2.212582878172737,0.006295833487580162,1.1081347816840337,0.2770336954210084,-11.70133139287057,28.88315096372816,-0.0005747411318473934
PRE_2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp2atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,2.0,4.0,12,168618,168617,99.99940694350545,37500,131117,0,22.23975044034706,-0.056855368130956735,0.023153893426413826,0.7272580548363549,0.7991911583398709,20.57384486736213,77.48151135413393,1.9446437785039468,2.208923180936679,0.006191701165278061,1.1112420706739665,0.2778105176684917,-11.70133139287057,27.761869563921255,-0.0005685536813095673
2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp2atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,2.0,4.0,12,21069,21069,100.0,5563,15506,0,26.403721106839434,0.007464486567958138,0.08749948636250315,2.2244332930057555,1.0224991168452333,24.761497935355262,73.28776875978926,1.950733304855475,2.3246001234040534,0.014099904993942989,1.442677762541628,0.36066944063540696,-18.034790218598953,137.81894697322699,7.464486567958139e-05
2026,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp2atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,2.0,4.0,12,2568,2568,100.0,507,2061,0,19.74299065420561,-0.09810142421809742,-0.018108667685171505,0.7801961721817122,0.6105475273561518,17.48442367601246,79.94548286604362,2.570093457943925,2.4528816199376946,0.013133247735872051,0.9041076213976206,0.22602690534940537,-4.365428870331389,28.88315096372816,-0.0009810142421809742
ALL,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp2atr__h72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,2.0,4.0,72,192255,192254,99.99947985748095,42280,149974,0,21.991740093834196,-0.05086053855321033,0.02915112189554789,1.0155980598060725,0.8255607154881979,21.97873646322053,78.00669947049215,0.014564066287307416,2.3807671101771612,0.0071510769809148035,1.1447971453471493,0.2861992863367874,-18.034790218598953,137.81894697322699,-0.0005086053855321033
EX_2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp2atr__h72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,2.0,4.0,72,171186,171185,99.99941584008039,36836,134349,0,21.518240500043813,-0.05828276121667829,0.021725929154983697,0.7383207814188364,0.7963465831449017,21.505973070070393,78.48000700995999,0.014019919969623505,2.368659637234571,0.006295833487580162,1.1081347816840337,0.2770336954210084,-11.70133139287057,28.88315096372816,-0.0005828276121667829
PRE_2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp2atr__h72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,2.0,4.0,72,168618,168617,99.99940694350545,36343,132274,0,21.553580006760882,-0.057693633398599675,0.02231529271848772,0.7375259539727264,0.7987383328603164,21.541718806526035,78.44464081320389,0.013640380270079529,2.3638126642034907,0.006191701165278061,1.1112420706739665,0.2778105176684917,-11.70133139287057,27.761869563921255,-0.0005769363339859967
2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp2atr__h72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,2.0,4.0,72,21069,21069,100.0,5444,15625,0,25.838910247282737,0.009444800411418397,0.08948059264847787,2.2313013314798744,1.0281701571951214,25.819925008306043,74.16108975271726,0.018985238976695618,2.479139968674356,0.014099904993942989,1.442677762541628,0.36066944063540696,-18.034790218598953,137.81894697322699,9.444800411418397e-05
2026,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp2atr__h72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,2.0,4.0,72,2568,2568,100.0,493,2075,0,19.197819314641745,-0.09696538010334577,-0.01697216897093419,0.7877953073731254,0.619856916059857,19.158878504672895,80.80218068535827,0.03894080996884735,2.6869158878504673,0.013133247735872051,0.9041076213976206,0.22602690534940537,-4.365428870331389,28.88315096372816,-0.0009696538010334577
