symbol,file,bars,first_ts,last_ts,raw_profile_events,eligible_scenario_events
ASR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASR_5m.csv,70403,2025-05-06 18:30:00,2026-01-12 07:00:00,304,52272
ASTER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASTER_5m.csv,31200,2025-09-19 21:00:00,2026-01-12 06:40:00,95,18684
ASTR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASTR_5m.csv,306129,2023-02-14 11:30:00,2026-01-12 10:10:00,1341,217494
AT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AT_5m.csv,15649,2025-11-18 22:35:00,2026-01-12 06:35:00,68,12150
ATA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATA_5m.csv,459347,2021-08-31 12:30:00,2026-01-12 11:20:00,1769,324324
ATH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATH_5m.csv,80122,2025-04-03 00:45:00,2026-01-12 07:05:00,402,70308
ATOM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATOM_5m.csv,623733,2020-02-07 21:10:00,2026-01-12 14:50:00,2944,509895
AUCTION,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AUCTION_5m.csv,216702,2023-12-15 22:00:00,2026-01-12 08:30:00,947,162729
AVA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVA_5m.csv,111842,2024-12-13 22:00:00,2026-01-12 07:25:00,458,81243
AVAAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVAAI_5m.csv,101755,2025-01-17 22:15:00,2026-01-12 07:15:00,348,65124
AVAX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVAX_5m.csv,557824,2020-09-23 16:00:00,2026-01-12 13:15:00,2175,387774
AVNT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVNT_5m.csv,34044,2025-09-10 00:00:00,2026-01-12 06:40:00,132,24462
AWE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AWE_5m.csv,66100,2025-05-21 17:00:00,2026-01-12 06:55:00,399,65205
AXL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AXL_5m.csv,194489,2024-03-02 00:30:00,2026-01-12 08:15:00,739,133596
AXS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AXS_5m.csv,541115,2020-11-20 16:00:00,2026-01-12 12:50:00,2480,446553
B2,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B2_5m.csv,70355,2025-05-06 22:30:00,2026-01-12 07:00:00,490,86238
B3,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B3_5m.csv,93999,2025-02-13 20:30:00,2026-01-12 07:15:00,507,92313
B,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B_5m.csv,65710,2025-05-23 01:30:00,2026-01-12 06:55:00,496,87588
BABY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BABY_5m.csv,79285,2025-04-05 22:30:00,2026-01-12 07:05:00,307,53136
BADGER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BADGER_5m.csv,227080,2023-11-09 21:30:00,2026-01-12 08:40:00,585,104490
BAKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAKE_5m.csv,489260,2021-05-19 16:00:00,2026-01-12 11:35:00,2153,398826
BAL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAL_5m.csv,564165,2020-09-01 16:00:00,2026-01-12 13:40:00,2661,449784
BAN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAN_5m.csv,119063,2024-11-18 20:30:00,2026-01-12 07:30:00,651,112131
BANANA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANANA_5m.csv,146549,2024-08-15 11:00:00,2026-01-12 08:00:00,592,107028
BANANAS31,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANANAS31_5m.csv,83369,2025-03-22 18:15:00,2026-01-12 07:10:00,337,59184
BAND,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAND_5m.csv,573961,2020-07-29 16:00:00,2026-01-12 14:00:00,2657,476928
BANK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANK_5m.csv,75479,2025-04-19 03:30:00,2026-01-12 07:00:00,465,81918
BARD,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BARD_5m.csv,31500,2025-09-18 20:00:00,2026-01-12 06:40:00,150,24678
BAS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAS_5m.csv,38095,2025-08-26 22:30:00,2026-01-12 06:45:00,171,29646
BAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAT_5m.csv,622053,2020-02-13 17:05:00,2026-01-12 14:45:00,3277,553311
BB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BB_5m.csv,173497,2024-05-13 21:30:00,2026-01-12 08:05:00,593,111213
BCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BCH_5m.csv,638181,2019-12-19 17:55:00,2026-01-12 15:35:00,3187,512487
BDXN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BDXN_5m.csv,62325,2025-06-03 19:30:00,2026-01-12 06:55:00,329,59832
