period,candidate_id,profile,trend_state,slippage_bps,stop_atr,target_atr,rr,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,tp_exit_rate_pct,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_tp_distance_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct
2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp2atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,2.0,4.0,12,26746,26746,100.0,6942,19804,0,25.955283032976894,0.00016499537656605037,0.08019707420624843,1.9348696039266662,1.0004734581077883,23.984894937560757,73.71569580498019,2.2994092574590597,2.445561953189262,0.013592196352235329,1.5532246727973646,0.3883061681993408,-33.28372547820872,104.45401956642218,1.6499537656605038e-06
2026,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp2atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,2.0,4.0,12,3811,3811,100.0,786,3025,0,20.62450800314878,-0.10279481858740422,-0.022803940163469583,0.8755309327646286,0.6283439775346357,17.816845972185778,79.11309367620048,3.07006035161375,2.5413277355024926,0.013724764045029644,1.0711122176840604,0.2677780544210153,-24.298403123421686,28.886047278824524,-0.0010279481858740422
ALL,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp2atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,2.0,4.0,36,251285,251285,100.0,56557,194728,0,22.50711343693416,-0.041999436519627634,0.038015769788287676,0.9592180838947963,0.8562556919232185,22.391308673418628,77.47736633702768,0.131324989553694,2.5228803947708776,0.007720264349148888,1.1914152863443983,0.2978538215860995,-33.28372547820872,104.45401956642218,-0.00041999436519627635
EX_2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp2atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,2.0,4.0,36,224539,224539,100.0,49806,174733,0,22.18144732095538,-0.04716069633787312,0.03285244463998288,0.7598504079518199,0.8344738489180628,22.06654523267673,77.80251982951737,0.13093493780590454,2.511862081865511,0.0070208282006199016,1.148318301633185,0.28707957540829626,-24.298403123421686,28.886047278824524,-0.00047160696337873124
PRE_2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp2atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,2.0,4.0,36,220728,220728,100.0,49051,171677,0,22.222373237649958,-0.04622700428596834,0.03378651031815893,0.7574044531390224,0.837789444242433,22.109111666847888,77.76131709615454,0.12957123699757167,2.507651951723388,0.006905080767113298,1.1496513105216366,0.28741282763040915,-11.693657892199072,27.76465375087765,-0.00046227004285968344
2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp2atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,2.0,4.0,36,26746,26746,100.0,6751,19995,0,25.241157556270092,0.0013305611745704166,0.08136310641713718,1.9481452416164207,1.0037672081241853,25.117774620504,74.74762581320572,0.13459956629028638,2.6153817393255068,0.013592196352235329,1.5532246727973646,0.3883061681993408,-33.28372547820872,104.45401956642218,1.3305611745704166e-05
2026,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp2atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,2.0,4.0,36,3811,3811,100.0,755,3056,0,19.81107320913146,-0.10123888558815852,-0.021247384541975334,0.8884490750055883,0.6397166963744311,19.601154552610865,80.18892679086854,0.20991865652059827,2.755707163474154,0.013724764045029644,1.0711122176840604,0.2677780544210153,-24.298403123421686,28.886047278824524,-0.0010123888558815851
ALL,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp2atr__h72,bear_body20_range22_vol20_cp20,all,0.0,0.5,2.0,4.0,72,251285,251285,100.0,56457,194828,0,22.46731798555425,-0.041854302063851205,0.03816096232107722,0.9608013288571434,0.8568922001809921,22.45139980500229,77.53148815090435,0.01711204409336013,2.541249975127843,0.007720264349148888,1.1914152863443983,0.2978538215860995,-33.28372547820872,104.45401956642218,-0.00041854302063851207
EX_2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp2atr__h72,bear_body20_range22_vol20_cp20,all,0.0,0.5,2.0,4.0,72,224539,224539,100.0,49720,174819,0,22.143146624862496,-0.04704488176665378,0.03296830555556846,0.7615620794382453,0.835042282213271,22.12844984612918,77.85551730434356,0.016032849527253618,2.529890130445045,0.0070208282006199016,1.148318301633185,0.28707957540829626,-24.298403123421686,28.886047278824524,-0.0004704488176665378
PRE_2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp2atr__h72,bear_body20_range22_vol20_cp20,all,0.0,0.5,2.0,4.0,72,220728,220728,100.0,48968,171760,0,22.18477039614367,-0.04610018384981367,0.03391338150278747,0.7591213658331396,0.8383909014527026,22.17117900764742,77.8138704650067,0.014950527345873656,2.5252482693631984,0.006905080767113298,1.1496513105216366,0.28741282763040915,-11.693657892199072,27.76465375087765,-0.0004610018384981367
