rank,candidate_id,profile,trend_state,slippage_bps,stop_atr,target_atr,rr,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,tp_exit_rate_pct,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_tp_distance_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct,eligible_symbols,positive_symbols,positive_symbol_pct,eligible_quarters,positive_quarter_pct,ex_q4_trades,ex_q4_avg_net_return_pct,ex_q4_profit_factor,ex_q4_win_rate_pct,q4_2025_trades,q4_2025_avg_net_return_pct,q4_2025_profit_factor,q4_2025_win_rate_pct,y2026_trades,y2026_avg_net_return_pct,y2026_profit_factor,y2026_win_rate_pct,robust_pass
66,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.75atr__tp1.5atr__h12,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.75,1.5,2.0,12,184360,184360,100.0,62795,121565,0,34.06107615534823,-0.07487921966246361,0.005122829469324123,0.9538545949883879,0.7847214887565148,33.269689737470166,65.54512909524843,1.185181167281406,2.1421132566717294,0.008090534957653439,0.8850827640121628,0.4425413820060812,-27.007187327898443,78.3126754072759,-0.0007487921966246361,595,90,15.126050420168067,26,11.538461538461538,164383.0,-0.07813226781784566,0.7705686901729889,33.58011473205867,19977.0,-0.048111145631018835,0.8819958375734486,38.018721529759226,2441.0,-0.1220004794328457,0.606036943748468,31.21671446128636,False
67,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.75atr__tp1.5atr__h36,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.75,1.5,2.0,36,184360,184360,100.0,62476,121884,0,33.888045129095254,-0.07500710956112866,0.004994888394229069,0.958293911225102,0.7858988312301498,33.85441527446301,66.09839444564982,0.047190279887177264,2.217346495986114,0.008090534957653439,0.8850827640121628,0.4425413820060812,-27.007187327898443,78.3126754072759,-0.0007500710956112866,595,91,15.294117647058824,26,11.538461538461538,164383.0,-0.07846444191420308,0.7712627771810575,33.403089127221186,19977.0,-0.046558059944297396,0.8865595158172991,37.87856034439606,2441.0,-0.11962704289812344,0.6174688089468497,31.052847193773044,False
68,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.75atr__tp1.5atr__h72,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.75,1.5,2.0,72,184360,184360,100.0,62461,121899,0,33.87990887394229,-0.07503682112657227,0.0049651649394035265,0.9586431358583393,0.7859099740991086,33.87502712085051,66.11900629203731,0.0059665871121718375,2.224376220438273,0.008090534957653439,0.8850827640121628,0.4425413820060812,-27.007187327898443,78.3126754072759,-0.0007503682112657228,595,90,15.126050420168067,26,11.538461538461538,164383.0,-0.07848125643557796,0.7712959813289769,33.397005773103054,19977.0,-0.04669389629299932,0.8863487945840535,37.85353156129549,2441.0,-0.11942038001613464,0.6181296544921246,31.052847193773044,False
69,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl1atr__tp2atr__h12,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,1.0,2.0,2.0,12,191754,191754,100.0,66445,125309,0,34.65116764187449,-0.07383747483128433,0.006164991165181723,1.2468603025822607,0.8254738507824085,30.663767118286973,63.73530669503636,5.60092618667668,3.3583393306006655,0.00800152817863508,1.1483244622373778,0.5741622311186889,-31.811559701375636,104.4435672097012,-0.0007383747483128433,596,113,18.959731543624162,26,15.384615384615385,171109.0,-0.07889347687740399,0.8094345314486212,34.32139747178699,20645.0,-0.03193253639052466,0.9359180669364461,37.38435456527004,2579.0,-0.11539764764395304,0.6819472410413396,33.8891043039938,False
70,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.75atr__tp1.5atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.75,1.5,2.0,12,184439,184439,100.0,63083,121356,0,34.202636101909036,-0.07552410560061253,0.004477685473576896,0.9776106932084188,0.7825902544264746,33.37580446651739,65.39560505099247,1.228590482490146,2.1326129506232414,0.007243983303355881,0.8836803159434073,0.4418401579717035,-27.007187327898443,103.34421022992026,-0.0007552410560061253,594,85,14.309764309764308,26,11.538461538461538,164105.0,-0.07947660425367718,0.7661590912880859,33.698546662197984,20334.0,-0.04362557154626122,0.8930652313158337,38.27087636470935,2409.0,-0.1161497152141219,0.616612936179278,31.008717310087174,False
71,bear_body20_range22_vol20_cp20__all__slip1bps__sl1atr__tp3atr__h72,bear_body20_range22_vol20_cp20,all,1.0,1.0,3.0,3.0,72,255412,255412,100.0,65036,190376,0,25.463173226003477,-0.07209201672576342,0.007911147733329982,1.605217883612846,0.8560579144581173,24.969852630260128,74.42289320783675,0.6072541619031212,7.0333265469124395,0.007672701423624212,1.7643447381856687,0.5881149127285558,-51.63362230546446,156.70535081455185,-0.0007209201672576342,596,119,19.966442953020135,26,15.384615384615385,228342.0,-0.07948642663450704,0.836878233099538,25.247216893957308,27070.0,-0.00971837995508192,0.9842029604095472,27.284817140746213,3883.0,-0.10748253977848839,0.7631819901427306,26.47437548287407,False
72,bear_range25_body08_vol15_cp20__all__slip1bps__sl1atr__tp3atr__h12,bear_range25_body08_vol15_cp20,all,1.0,1.0,3.0,3.0,12,270420,270420,100.0,81365,189055,0,30.088381036905552,-0.07160948059841482,0.008393876952366172,1.5513797860842304,0.8432339743559163,17.405147548258267,67.02758671695881,15.567265734782932,4.681672953183936,0.0066278250433498215,1.767939531088854,0.5893131770296174,-47.82806176605786,206.76842045984057,-0.0007160948059841483,596,110,18.456375838926174,26,7.6923076923076925,240974.0,-0.07980567174951074,0.8201491508355081,29.900736179006866,29446.0,-0.0045352101900672315,0.9919540854070245,31.623989676017118,4073.0,-0.11194805618407537,0.724298332540652,30.027007120058926,False
73,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl1atr__tp2atr__h36,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,1.0,2.0,2.0,36,191754,191754,100.0,64659,127095,0,33.719765950123595,-0.07415493016899748,0.005847408794520384,1.2708276384928654,0.8300155156089145,33.37713945993304,66.14255765199162,0.4803028880753466,3.8255160257413143,0.00800152817863508,1.1483244622373778,0.5741622311186889,-31.811559701375636,104.4435672097012,-0.0007415493016899747,596,117,19.630872483221477,26,15.384615384615385,171109.0,-0.07980918273861978,0.8131305651184793,33.36528177945052,20645.0,-0.027291597500772327,0.9467132668242569,36.65778638895617,2579.0,-0.1107871868410502,0.7043249973305276,32.99728576967817,False
74,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl1atr__tp2atr__h72,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,1.0,2.0,2.0,72,191754,191754,100.0,64494,127260,0,33.6337182014456,-0.07418218012213222,0.005820147937042605,1.2740297926412416,0.8305066701554529,33.57687453716741,66.3438572337474,0.07926822908518205,3.8972433430332614,0.00800152817863508,1.1483244622373778,0.5741622311186889,-31.811559701375636,104.4435672097012,-0.0007418218012213222,596,114,19.12751677852349,26,15.384615384615385,171109.0,-0.07981641839665439,0.8136832260718142,33.281124896995486,20645.0,-0.02748472907271532,0.9465878450347429,36.55606684427222,2579.0,-0.11011476493277336,0.7068701727159968,32.919736331911594,False
75,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.75atr__tp1.5atr__h36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.75,1.5,2.0,36,184439,184439,100.0,62740,121699,0,34.01666675703078,-0.07571758667792285,0.004284126972866286,0.9818962490985875,0.7836435547682911,33.97925601418355,65.96869425663769,0.05204972917875287,2.2118207103703664,0.007243983303355881,0.8836803159434073,0.4418401579717035,-27.007187327898443,103.34421022992026,-0.0007571758667792285,594,88,14.814814814814813,26,11.538461538461538,164105.0,-0.07992474582707042,0.7666095533537053,33.501112092867366,20334.0,-0.041763821940494994,0.8982920708905628,38.177436805350645,2409.0,-0.11354120808298712,0.628907455319693,30.92569530925695,False
76,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.75atr__tp1.5atr__h72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.75,1.5,2.0,72,184439,184439,100.0,62720,121719,0,34.00582306345187,-0.07578496090072992,0.004216725789585938,0.9822687937931408,0.7835702235139717,34.00094340134137,65.99309256719023,0.005964031468398766,2.2197149192958103,0.007243983303355881,0.8836803159434073,0.4418401579717035,-27.007187327898443,103.34421022992026,-0.0007578496090072992,594,86,14.47811447811448,26,11.538461538461538,164105.0,-0.07996222279323768,0.7666051486912729,33.49379970141068,20334.0,-0.04207248116875432,0.8976660767066454,38.138093832989085,2409.0,-0.11333179999044475,0.6295918745120748,30.92569530925695,False
