symbol,file,accepted_nonoverlap_trades
BLUR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLUR_5m.csv,16041
BLZ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLZ_5m.csv,37405
BMT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BMT_5m.csv,5058
BNB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNB_5m.csv,42241
BNT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNT_5m.csv,14214
BNX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNX_5m.csv,13812
BOB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOB_5m.csv,828
BOME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOME_5m.csv,7989
BOND,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOND_5m.csv,8304
BR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BR_5m.csv,4971
BRETT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BRETT_5m.csv,8136
BROCCOLI714,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BROCCOLI714_5m.csv,4170
BROCCOLIF3B,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BROCCOLIF3B_5m.csv,5955
BSV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BSV_5m.csv,18204
BSW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BSW_5m.csv,6840
BTC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTC_5m.csv,39401
BTCDOM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTCDOM_5m.csv,15465
BTR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTR_5m.csv,3072
BULLA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BULLA_5m.csv,4353
C98,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\C98_5m.csv,26430
C,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\C_5m.csv,3054
CAKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CAKE_5m.csv,11979
CARV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CARV_5m.csv,3327
CATI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CATI_5m.csv,6714
