symbol,timeout,trades,win_rate_pct,avg_net_ret_pct,med_net_ret_pct,avg_mae_pct,p95_mae_pct,max_mae_pct,avg_mfe_pct,p95_mfe_pct
NKN_5m,288,1,100.0,9.406166007905128,9.406166007905128,0.5776173285198638,0.5776173285198638,0.5776173285198638,11.75363098440021,11.75363098440021
Q_5m,288,2,50.0,8.401253526650217,8.401253526650217,6.726970988248803,10.053626313127962,10.42325468255898,14.676294144358105,24.01758184069653
OP_5m,288,3,100.0,8.213937328514563,7.414145199063241,2.965844102093529,5.226524926310396,5.620000000000003,16.350367531776858,25.41825924645695
ENSO_5m,288,1,100.0,7.924926108374378,7.924926108374378,1.026225769669331,1.026225769669331,1.026225769669331,10.175879396984921,10.175879396984921
1000X_5m,288,1,100.0,7.89575757575757,7.89575757575757,1.6838796587337113,1.6838796587337113,1.6838796587337113,10.507381218211155,10.507381218211155
B3_5m,288,1,100.0,7.884601769911518,7.884601769911518,0.30737704918033515,0.30737704918033515,0.30737704918033515,11.330798479087445,11.330798479087445
XPL_5m,288,2,100.0,7.6861834174502235,7.6861834174502235,4.25628631655135,5.804637378010802,5.97667638483963,11.975194456021809,20.94617801662731
ARPA_5m,288,1,100.0,7.535328288991941,7.535328288991941,0.18144704014515511,0.18144704014515511,0.18144704014515511,9.268897149938038,9.268897149938038
EPIC_5m,288,1,100.0,7.0479005170719065,7.0479005170719065,4.511548127169029,4.511548127169029,4.511548127169029,10.377773864036644,10.377773864036644
MASK_5m,288,3,100.0,6.995544540440179,7.4607608695652115,6.606035323333548,9.723032794507633,9.771573604060912,8.454720885464388,9.588545727136438
1MBABYDOGE_5m,288,1,100.0,6.926194710494441,6.926194710494441,6.382978723404253,6.382978723404253,6.382978723404253,8.829683358906394,8.829683358906394
BLUR_5m,288,2,100.0,6.787846542210199,6.787846542210199,2.2149285009861908,2.2335120808678477,2.2355769230769207,10.498383183668182,16.514627050761185
