events,reason,symbol,usable_bars
540,,MBOX,142493
435,,MDT,92916
429,,MELANIA,100718
125,,MEMEFI,31629
847,,MEME,228599
356,,MERL,63571
662,,METIS,191186
129,,MET,24639
646,,MEW,163178
435,,ME,112439
273,,MILK,70134
1027,,MINA,307826
116,,MIRA,28966
194,,MITO,37265
1978,,MKR,533902
349,,MLN,80564
73,,MMT,15432
528,,MOCA,110778
120,,MON,24990
547,,MOODENG,125778
415,,MORPHO,116215
427,,MOVE,112764
814,,MOVR,213322
2340,,MTL,503158
334,,MUBARAK,84537
627,,MYRO,178280
306,,MYX,57762
319,,M,52326
213,,NAORIS,45376
2279,,NEAR,551257
553,,NEIROETH,111324
494,,NEIRO,136995
2614,,NEO,620674
238,,NEWT,57450
799,,NFP,213022
377,,NIL,82530
2117,,NKN,500565
1116,,NMR,267206
597,,NOT,172396
788,,NTRN,225429
255,,NULS,67038
235,,NXPC,67627
266,,OBOL,69885
1561,,OCEAN,545795
1952,,OGN,502869
373,,OG,68461
254,,OL,55758
1988,,OMG,482615
577,,OMNI,180748
822,,OM,199187
639,,ONDO,206113
1635,,ONE,506905
886,,ONG,221670
2370,,ONT,622413
75,,ON,15431
149,,OPEN,34138
1453,,OP,380083
517,,ORBS,121211
421,,ORCA,113617
150,,ORDER,28957
852,,ORDI,227440
920,,OXT,252800
362,,PARTI,82241
352,,PAXG,81694
893,,PENDLE,256949
439,,PENGU,110432
1697,,PEOPLE,426000
943,,PERP,300035
405,,PHA,106744
1209,,PHB,305191
84,,PIEVERSE,15432
494,,PIPPIN,99557
693,,PIXEL,197446
272,,PLAY,45412
284,,PLUME,83394
460,,PNUT,120849
1010,,POLYX,231308
375,,POL,137850
402,,PONKE,122866
484,,POPCAT,144180
252,,PORT3,61840
748,,PORTAL,194565
884,,POWR,230731
333,,PROMPT,77422
443,,PROM,102122
208,,PROVE,43883
186,,PTB,35584
268,,PUFFER,61843
353,,PUMPBTC,59232
316,,PUMP,74588
310,,PUNDIX,71907
749,,PYTH,223092
1168,,QNT,339610
2587,,QTUM,619818
395,,QUICK,127835
170,,Q,35931
494,,RAD,279592
602,,RARE,146198
416,,RAYSOL,112500
454,,RAY,462299
915,,RDNT,289677
132,,RECALL,23487
380,,RED,87678
1589,,REEF,412366
486,,REI,133831
429,,RENDER,151994
1717,,REN,551846
249,,RESOLV,60055
778,,REZ,177005
828,,RIF,232341
138,,RIVER,22884
2641,,RLC,573167
49,,RLS,11443
604,,RONIN,201317
1441,,ROSE,423989
536,,RPL,138999
2147,,RSR,550115
2147,,RUNE,563081
1928,,RVN,513533
94,,RVV,22611
478,,SAFE,125747
634,,SAGA,183095
261,,SAHARA,55464
2323,,SAND,521887
665,,SANTOS,124865
229,,SAPIEN,39557
397,,SCRT,117980
452,,SCR,126642
566,,SC,499700
958,,SEI,251186
85,,SENT,15432
1963,,SFP,513244
378,,SHELL,92560
310,,SIGN,72471
456,,SIREN,83154
272,,SKATE,51727
2496,,SKL,535706
357,,SKYAI,68164
162,,SKY,33922
285,,SLERF,96378
141,,SLP,47690
224,,SNT,56045
2057,,SNX,569134
430,,SOLV,101549
2349,,SOL,560201
197,,SOMI,38213
422,,SONIC,104206
392,,SOON,65300
295,,SOPH,63805
1573,,SPELL,352170
309,,SPK,58092
428,,SPX,112491
344,,SQD,59775
1222,,SSV,302916
79,,STABLE,15432
152,,STBL,31633
841,,STEEM,227128
1258,,STG,355626
1567,,STMX,412944
2534,,STORJ,559625
345,,STO,77035
236,,STPT,60341
281,,STRAX,235344
550,,STRK,197134
1275,,STX,303751
1016,,SUI,281562
456,,SUN,144179
783,,SUPER,221958
2019,,SUSHI,563082
361,,SWARMS,104431
473,,SWELL,121672
2361,,SXP,565848
309,,SXT,71349
611,,SYN,145915
265,,SYRUP,69909
484,,SYS,145051
349,,S,101864
255,,TAC,50010
244,,TAG,47120
244,,TAIKO,59779
234,,TAKE,35599
292,,TANSSI,51725
570,,TAO,182471
262,,TA,48318
2136,,THETA,591882
473,,THE,116243
766,,TIA,229392
1098,,TLM,291401
671,,TNSR,183306
838,,TOKEN,228562
587,,TON,194307
139,,TOSHI,31636
216,,TOWNS,43912
164,,TRADOOR,30976
2330,,TRB,563371
203,,TREE,45935
211,,TROY,124013
372,,TRUMP,101252
101,,TRUST,15432
145,,TRUTH,27526
1150,,TRU,298034
2169,,TRX,630196
469,,TST,94915
666,,TURBO,168346
101,,TURTLE,21441
453,,TUT,83729
790,,TWT,228569
1344,,T,309531
73,,UAI,15432
165,,UB,33016
1178,,UMA,279587
1730,,UNFI,389040
2069,,UNI,559048
2883,,USDC,296533
201,,USELESS,41060
1112,,USTC,221676
411,,USUAL,110183
495,,UXLINK,137240
447,,VANA,110754
732,,VANRY,190789
393,,VELODROME,111585
261,,VELVET,50025
2210,,VET,621548
120,,VFY,27815
305,,VIC,85938
279,,VIDT,143933
391,,VINE,99560
414,,VIRTUAL,112494
553,,VOXEL,136122
307,,VTHO,100142
412,,VVV,98141
354,,WAL,81634
2122,,WAVES,569711
828,,WAXP,233177
251,,WCT,76216
781,,WIF,206675
962,,WLD,257988
174,,WLFI,38801
1407,,WOO,395763
629,,W,184764
769,,XAI,209270
156,,XAN,28121
324,,XCN,77314
922,,XEM,511228
2436,,XLM,628755
2034,,XMR,624722
187,,XNY,41642
189,,XPIN,33046
202,,XPL,39077
2862,,XRP,632786
1941,,XTZ,623856
1071,,XVG,263460
1193,,XVS,287486
222,,YALA,43313
135,,YB,24900
1939,,YFI,564236
913,,YGG,254632
111,,ZBT,22923
2603,,ZEC,624144
2271,,ZEN,539745
402,,ZEREBRO,105849
786,,ZETA,202422
2123,,ZIL,585532
158,,ZKC,32110
321,,ZKJ,68167
562,,ZK,163214
224,,ZORA,47123
184,,ZRC,45986
596,,ZRO,162308
2336,,ZRX,583803
111,,币安人生,22065
