factor,side,horizon,market_shock_bucket,reversion_net_n,reversion_net_avg_pct,reversion_net_std_pct,reversion_net_win_rate_pct,reversion_net_profit_factor,reversion_net_min_pct,reversion_net_max_pct,continuation_net_n,continuation_net_avg_pct,continuation_net_std_pct,continuation_net_win_rate_pct,continuation_net_profit_factor,continuation_net_min_pct,continuation_net_max_pct,relative_reversion_n,relative_reversion_avg_pct,relative_reversion_std_pct,relative_reversion_win_rate_pct,relative_reversion_profit_factor,relative_reversion_min_pct,relative_reversion_max_pct,dominant_hypothesis,dominant_net_edge_pct,reversion_minus_continuation_pct,relative_hypothesis,relative_edge_abs_pct
market_mom,negative_residual,72,severe_ge075|market_opposite_or_flat,14816,0.597407326902276,6.308260004852316,55.04859611231102,1.3927552092548752,-57.39118376819563,117.91623805360007,14816,-0.394941427840607,6.806957665304263,41.995140388768895,0.8059512983577112,-54.202495073572045,134.22429601221916,14816,0.2254323479125487,3.6505345911634692,51.05966522678186,1.2956675323143674,-37.31648120525478,107.75935265969979,mean_reversion,0.597407326902276,0.9923487547428831,mean_reversion,0.2254323479125487
market_mom,negative_residual,72,severe_ge075|market_same_direction,31356,0.6771226245905306,8.258724685012648,58.40349534379385,1.3991158537995032,-85.5924838528486,360.04392763442564,31356,-0.20207793018887035,10.40840470262178,39.2620232172471,0.9083971827071109,-78.306376008208,592.6953878709762,31356,0.36761971001690347,3.9176590051662705,54.959178466641156,1.5030664987659852,-62.14656227252908,175.25973268313092,mean_reversion,0.6771226245905306,0.879200554779401,mean_reversion,0.36761971001690347
market_mom,negative_residual,288,calm_lt025|market_opposite_or_flat,198944,-0.1478753962848693,7.854577069971863,46.24718513752614,0.9378826215274353,-81.79313198870814,481.6956844906951,198944,0.48325516235237365,7.63588563627089,51.90154013189641,1.234571227258189,-82.84322842355891,448.1458963517947,198944,0.5027756170810599,6.59253559366477,49.53655299983915,1.3884175379376873,-82.52494498798644,447.85693744207265,continuation,0.48325516235237365,-0.6311305586372429,mean_reversion,0.5027756170810599
market_mom,negative_residual,288,calm_lt025|market_same_direction,212023,-0.1177312597010071,8.29186989650724,46.24639779646548,0.9507380980812143,-91.96308328826662,558.6068493182916,212023,0.49240742031938495,8.614731230844676,51.84862019686543,1.2363328087029761,-84.84677164208286,1141.7722297953158,212023,0.5089102181390751,7.102812336318354,49.541794993939334,1.3911165615993175,-91.92942865005062,556.3213692037397,continuation,0.49240742031938495,-0.6101386800203921,mean_reversion,0.5089102181390751
market_mom,negative_residual,288,moderate_025_075|market_opposite_or_flat,61211,-0.021412461016732,7.759099957800141,47.734884252830376,0.9914307611921471,-90.08998180700286,230.7672595307206,61211,0.3983142154356494,8.534277734445093,50.54647040564604,1.1733951852821682,-69.82766674075404,907.0637400908832,61211,0.6138155160956331,6.006477993905087,51.378020290470666,1.4999717646599184,-89.91240340717009,239.45862656798175,continuation,0.3983142154356494,-0.4197266764523814,mean_reversion,0.6138155160956331
market_mom,negative_residual,288,moderate_025_075|market_same_direction,87352,0.11121530388540758,8.841638144025397,49.44248557560216,1.0448994552804731,-81.83635454927118,1156.4051941980565,87352,0.2890743457539577,8.008710365449437,48.93190768385383,1.1209591714399938,-92.05668678234136,449.4502748845466,87352,0.5793263432116313,7.301493370270305,51.83052477333089,1.464746894707229,-81.27347977908057,1154.970107370261,continuation,0.2890743457539577,-0.17785904186855012,mean_reversion,0.5793263432116313
market_mom,negative_residual,288,severe_ge075|market_opposite_or_flat,14814,1.3571569541020037,9.793860251705974,55.63656001080059,1.5587204833890438,-48.68268955824442,179.10411075216408,14814,-0.666746949488587,9.447764437936945,42.682597542864855,0.8034958881013483,-64.24266214168966,94.47667658139605,14814,0.7599172951443476,5.7962453955663555,53.48994194680707,1.6566269215538294,-46.1062437927723,167.4950992357398,mean_reversion,1.3571569541020037,2.0239039035905906,mean_reversion,0.7599172951443476
market_mom,negative_residual,288,severe_ge075|market_same_direction,31356,1.3900299177500284,11.328120458270243,57.10549815027427,1.5485650364946486,-70.68840955784863,689.9534530571517,31356,-0.5703692198159527,10.151685580645808,41.379640260237274,0.8348910009826687,-87.36631893033024,240.48032997406662,31356,0.9170019627387931,6.184301343946368,55.63847429519071,1.8346165268550076,-70.71782119128419,382.1351480831164,mean_reversion,1.3900299177500284,1.960399137565981,mean_reversion,0.9170019627387931
market_mom,positive_residual,12,calm_lt025|market_opposite_or_flat,230076,-0.023187284704691575,2.3033812523065196,51.11397972843756,0.9618276969228401,-61.23976673422072,310.1698297772943,230076,-0.12852024223809574,2.2295486127241633,40.7191536709609,0.8089533489398244,-75.66856638083999,157.48090620031383,230076,0.04386056997059345,2.063164669018265,58.33246405535562,1.0952685494848877,-60.92443495531048,309.0030055917557,mean_reversion,-0.023187284704691575,0.10533295753340417,mean_reversion,0.04386056997059345
market_mom,positive_residual,12,calm_lt025|market_same_direction,292804,-0.041578309815091107,2.2512836856230125,51.46616849496591,0.9319230747654905,-69.9186715109381,275.3795995634127,292804,-0.11005278473230064,2.289383437250411,40.3963060613926,0.8331996949743613,-73.41352594169818,231.76792672030126,292804,0.020097363520532683,1.9340803476291313,58.189437302769086,1.0429864353163045,-69.81761435174789,123.69872447663069,mean_reversion,-0.041578309815091107,0.06847447491720954,mean_reversion,0.020097363520532683
market_mom,positive_residual,12,moderate_025_075|market_opposite_or_flat,66088,-0.034650354211749196,2.411634745937081,48.265948432393174,0.9511693522178203,-46.42758295434631,184.78948134399374,66088,-0.10943691914107488,2.386015280733435,44.864423193318004,0.8544230210547197,-64.95650071515931,86.2902690633421,66088,0.05259621073593222,1.972696915234711,57.37501513134003,1.1153538910642313,-46.64949535529241,185.30920661415905,mean_reversion,-0.034650354211749196,0.07478656492932569,mean_reversion,0.05259621073593222
market_mom,positive_residual,12,moderate_025_075|market_same_direction,98137,-0.06914015388837928,2.219401541625823,49.96280709620225,0.9018088956160819,-46.542297696302114,103.64428113110114,98137,-0.08125775218788568,2.262260921661143,43.32005257955715,0.8871448505523438,-50.992878708027604,86.69002885891042,98137,0.025558579515403943,1.8290398355384345,57.80388640370095,1.0555792861390019,-45.79760522880063,102.3448038642376,mean_reversion,-0.06914015388837928,0.012117598299506399,mean_reversion,0.025558579515403943
market_mom,positive_residual,12,severe_ge075|market_opposite_or_flat,24848,-0.28511242695587186,5.021926901832121,39.013200257566,0.7896200539724787,-66.01306797204299,109.2418913210111,24848,0.3312704143764362,5.299124295018929,56.08097231165486,1.3203358050682603,-52.30391045119438,193.64286183875086,24848,0.371519309663854,3.4955407140332047,61.97681905988409,1.8668818120162456,-34.5065459480734,201.524041148636,continuation,0.3312704143764362,-0.616382841332308,mean_reversion,0.371519309663854
market_mom,positive_residual,12,severe_ge075|market_same_direction,18845,-0.16771322394736682,3.9949847954193247,45.01989917750066,0.8478029489470807,-56.19001130488663,102.1606450533747,18845,0.1151480688872985,3.8683392000098733,50.1830724330061,1.1210333374475623,-50.63322051048335,127.80238669455733,18845,0.05671650259691797,2.081752697807352,56.85858317856195,1.114608349364119,-45.96150541388603,71.15375653712171,continuation,0.1151480688872985,-0.2828612928346653,mean_reversion,0.05671650259691797
market_mom,positive_residual,72,calm_lt025|market_opposite_or_flat,230023,0.1363590408064665,4.737712422368141,52.654734526547344,1.1149919623683873,-82.47778933026713,832.5110309691635,230023,-0.1462877223897297,4.754511392741286,43.57781613143033,0.8911916467885936,-89.29769230135958,469.56397648200107,230023,0.039451617389411754,4.1560475883053325,56.91430856914309,1.0436533950524949,-82.26485448885235,832.3167708303472,mean_reversion,0.1363590408064665,0.2826467631961962,mean_reversion,0.039451617389411754
market_mom,positive_residual,72,calm_lt025|market_same_direction,292739,0.100773230515822,4.34792343288895,52.597706489398405,1.0845084707310435,-63.52478620978972,514.6388857987779,292739,-0.12396824680131625,4.361821325512331,43.7133419189107,0.9062356490233274,-83.76279110157752,173.61100727768658,292739,-0.00399488813941273,3.722287923610654,56.42978899292544,0.9956224057475589,-63.661074324287334,514.0867030115334,mean_reversion,0.100773230515822,0.22474147731713826,continuation,0.00399488813941273
market_mom,positive_residual,72,moderate_025_075|market_opposite_or_flat,66087,0.15696046288541454,5.2880574149657855,49.813125122944,1.1169001050001126,-84.24340675127833,396.8349640871808,66087,-0.128021907653782,5.087204663596683,46.97141646617338,0.9135324422227684,-79.91280665171307,533.3869148153632,66087,0.06558687182286602,3.7672542623283527,55.77798961974367,1.0744780881064697,-84.3926351603208,269.15556133484165,mean_reversion,0.15696046288541454,0.2849823705391965,mean_reversion,0.06558687182286602
market_mom,positive_residual,72,moderate_025_075|market_same_direction,98117,0.061340116769439665,4.4521262978272675,50.28588318028476,1.0455752505145923,-68.70916966634222,173.03781580473236,98117,-0.06908413567905528,4.475540591015778,46.38747617640164,0.9512024322440287,-63.44821336782969,218.9439167765853,98117,-0.014681551827082551,3.3040739260024017,55.312535034703465,0.9835721532934569,-68.90377145189461,163.10873331960192,mean_reversion,0.061340116769439665,0.13042425244849493,continuation,0.014681551827082551
