factor,residual_mode,profile,side,horizon,quarter,reversion_net_n,reversion_net_avg_pct,reversion_net_std_pct,reversion_net_win_rate_pct,reversion_net_profit_factor,reversion_net_min_pct,reversion_net_max_pct,continuation_net_n,continuation_net_avg_pct,continuation_net_std_pct,continuation_net_win_rate_pct,continuation_net_profit_factor,continuation_net_min_pct,continuation_net_max_pct,relative_reversion_n,relative_reversion_avg_pct,relative_reversion_std_pct,relative_reversion_win_rate_pct,relative_reversion_profit_factor,relative_reversion_min_pct,relative_reversion_max_pct,dominant_hypothesis,dominant_net_edge_pct,reversion_minus_continuation_pct,relative_hypothesis,relative_edge_abs_pct
btc,rolling_beta,z3_abs025,negative_residual,72,2020Q2,3729,0.22904033406622412,2.3021155727083684,55.83266291230893,1.3239928315375518,-11.815916980772235,20.95460596694041,3729,-0.37525707295066346,2.294132291405568,39.74255832662912,0.6325118910223978,-17.489541584417545,13.172577681987608,3729,0.1222798692666493,1.7629929214515239,54.62590506838294,1.2373830091686224,-10.3207908397339,22.698919344603834,mean_reversion,0.22904033406622412,0.6042974070168876,mean_reversion,0.1222798692666493
btc,rolling_beta,z3_abs025,negative_residual,72,2020Q3,6064,0.34073685998004155,3.52580948521824,54.254617414248024,1.3454573161254375,-41.68775026063835,38.25278335878481,6064,-0.4143415950461045,3.592096663848477,41.62269129287599,0.6972374257570185,-27.81324365883554,71.14791541084607,6064,0.3270318147175786,3.107162746490356,53.87532981530343,1.3928879498457802,-39.45067937833876,34.72869398144175,mean_reversion,0.34073685998004155,0.755078455026146,mean_reversion,0.3270318147175786
btc,rolling_beta,z3_abs025,negative_residual,72,2020Q4,10925,-0.14325853005543407,3.5469648671678726,47.048054919908466,0.8909024449537947,-21.487263779240738,42.51206791805053,10925,0.06906434408142158,3.5541488794141505,49.336384439359264,1.0571599061951253,-29.970702610622002,27.11338906527141,10925,-0.31362261577802725,3.3253617665918225,43.77116704805492,0.7545143404964088,-23.218501248380456,41.65722934682614,continuation,0.06906434408142158,-0.21232287413685563,continuation,0.31362261577802725
btc,rolling_beta,z3_abs025,negative_residual,72,2021Q1,10526,1.0125264516774177,5.347117804256983,56.11818354550636,1.753196318289402,-43.139118505229646,80.3078702005473,10526,-0.9364510732721113,5.04862975317075,41.744252327569825,0.5890846278178453,-44.650114414261964,75.51644862780196,10526,0.6517319700620556,4.7746394731319715,52.94508835265058,1.5240201049799587,-44.537639056386055,67.82839303130856,mean_reversion,1.0125264516774177,1.948977524949529,mean_reversion,0.6517319700620556
btc,rolling_beta,z3_abs025,negative_residual,72,2021Q2,12425,0.21423569137992451,6.3942886592757056,50.156941649899395,1.1116138675454228,-51.36166826162025,116.94076496529706,12425,-0.03228217955165525,6.183961051987628,47.67806841046278,0.9840568982248028,-53.996566816730585,105.18836952488076,12425,0.38262079498542984,4.655481923624954,51.84708249496982,1.3011861510874685,-39.05864688876283,98.03819060708065,mean_reversion,0.21423569137992451,0.24651787093157976,mean_reversion,0.38262079498542984
btc,rolling_beta,z3_abs025,negative_residual,72,2021Q3,13638,0.407436068184394,3.7179750039045474,53.89353277606687,1.3682283375228377,-24.58410718070447,38.87225422664857,13638,-0.47029450824937413,3.649056685028171,43.21748056899839,0.6949162293630108,-28.13524889197553,32.3331145826462,13638,0.2474121441842231,3.0735654800479226,50.11731925502273,1.2906074032645054,-32.30201717930403,41.31367780128834,mean_reversion,0.407436068184394,0.8777305764337682,mean_reversion,0.2474121441842231
btc,rolling_beta,z3_abs025,negative_residual,72,2021Q4,17354,0.06841620047180577,4.208679894374884,50.87011639967731,1.0531621420470019,-30.78247097234865,93.84087367570409,17354,-0.09931021491853799,4.082223351422679,45.499596634781604,0.927630787669459,-48.51436749864748,44.18341894033133,17354,0.17777577952792653,3.6215110951317167,49.46410049556298,1.1827498770035865,-26.786478895472044,92.56310064229731,mean_reversion,0.06841620047180577,0.16772641539034377,mean_reversion,0.17777577952792653
btc,rolling_beta,z3_abs025,negative_residual,72,2022Q1,18719,-0.09938231865866498,3.427244281183468,49.91185426571932,0.9200902724200283,-19.797025849747897,43.11173746392774,18719,0.01518140035996624,3.389046342218374,46.88284630589241,1.0127475793682525,-30.264140715055397,24.43453739149184,18719,0.09828222029270475,2.5859958268230536,51.17794753993269,1.125270352594362,-19.192678602710718,42.65548641423237,continuation,0.01518140035996624,-0.11456371901863122,mean_reversion,0.09828222029270475
btc,rolling_beta,z3_abs025,negative_residual,72,2022Q2,19231,-0.35113379872406836,4.311436542127094,46.222245333056,0.7852751483734713,-56.89476892185476,47.69536800818126,19231,0.34415348594293244,4.5317231953044805,50.818990172117935,1.2644055503163365,-32.42834815743456,131.52688748415886,19231,0.21295510212722918,3.1704767113006374,53.21096146846238,1.2405519589478538,-53.22744536735187,44.95667400889248,continuation,0.34415348594293244,-0.6952872846670008,mean_reversion,0.21295510212722918
btc,rolling_beta,z3_abs025,negative_residual,72,2022Q3,21631,-0.11813860392117301,2.8843837669269026,49.81739170634737,0.8879082366539303,-32.846826031790734,34.6224929795945,21631,0.0010319434447160667,2.8817341286234335,46.37326059821552,1.0010318947959023,-25.866623289162185,48.6157600016494,21631,0.11850282942653147,2.226210893181738,53.33549073089547,1.1827357080403853,-32.375596588809316,35.37754775384687,continuation,0.0010319434447160667,-0.11917054736588907,mean_reversion,0.11850282942653147
