rank,factor,residual_mode,profile,side,horizon,reversion_net_n,reversion_net_avg_pct,reversion_net_std_pct,reversion_net_win_rate_pct,reversion_net_profit_factor,reversion_net_min_pct,reversion_net_max_pct,continuation_net_n,continuation_net_avg_pct,continuation_net_std_pct,continuation_net_win_rate_pct,continuation_net_profit_factor,continuation_net_min_pct,continuation_net_max_pct,relative_reversion_n,relative_reversion_avg_pct,relative_reversion_std_pct,relative_reversion_win_rate_pct,relative_reversion_profit_factor,relative_reversion_min_pct,relative_reversion_max_pct,dominant_hypothesis,dominant_net_edge_pct,reversion_minus_continuation_pct,relative_hypothesis,relative_edge_abs_pct,eligible_symbols,positive_reversion_symbols,positive_reversion_symbol_pct,positive_continuation_symbols,positive_continuation_symbol_pct,positive_relative_reversion_symbols,positive_relative_reversion_symbol_pct,mean_symbol_reversion_avg_pct,mean_symbol_continuation_avg_pct,mean_symbol_relative_reversion_avg_pct,ex_2025q4_reversion_net_n,ex_2025q4_reversion_net_avg_pct,ex_2025q4_reversion_net_profit_factor,ex_2025q4_continuation_net_avg_pct,ex_2025q4_continuation_net_profit_factor,ex_2025q4_relative_reversion_avg_pct,2025q4_reversion_net_n,2025q4_reversion_net_avg_pct,2025q4_reversion_net_profit_factor,2025q4_continuation_net_avg_pct,2025q4_continuation_net_profit_factor,2025q4_relative_reversion_avg_pct,2026_reversion_net_n,2026_reversion_net_avg_pct,2026_reversion_net_profit_factor,2026_continuation_net_avg_pct,2026_continuation_net_profit_factor,2026_relative_reversion_avg_pct,pre_2025q4_reversion_net_n,pre_2025q4_reversion_net_avg_pct,pre_2025q4_reversion_net_profit_factor,pre_2025q4_continuation_net_avg_pct,pre_2025q4_continuation_net_profit_factor,pre_2025q4_relative_reversion_avg_pct,eligible_quarters,positive_reversion_quarter_pct,positive_continuation_quarter_pct,preferred_direction,robust_pass
119,btc,rolling_beta,z3_abs025,negative_residual,36,627048,-0.011185074103656514,3.461664005093988,49.65425294395325,0.9883954300045209,-92.94174781637093,380.1445091876137,627048,-0.06809102092907876,4.110873503976274,45.29063165818247,0.9321787509170294,-79.21454938078077,1313.9506107412951,627048,0.05195325065972517,3.0761024713885874,50.96978221762927,1.0686367090493272,-92.93523530648478,382.3155017539607,mean_reversion,-0.011185074103656514,0.05690594682542224,mean_reversion,0.05195325065972517,596,245,41.10738255033557,247,41.442953020134226,345,57.88590604026846,-0.03189212641354826,0.03259599736843785,0.03603101206438095,558338,0.023218724878965154,1.0254644803941402,-0.12566643677948855,0.8734770933070612,0.07532266555540451,68710,-0.2907506150199572,0.7903364476144226,0.39976726076334,1.366319470709317,-0.13794679844555505,8874,0.0032693779279496745,1.0040460198924432,-0.11525301056108062,0.8692179217259283,0.09377237889330306,549464,0.023540912510626733,1.0257704685148463,-0.12583461657700418,0.8735380146160988,0.07502469743345194,26,61.53846153846154,19.230769230769234,mean_reversion,False
120,market_mom,rolling_beta,z4,negative_residual,12,257910,0.0010898454150045694,3.3261717399010706,47.913613275948975,1.0015233395917824,-82.091677860474,369.69813414500214,257910,-0.10361226544533263,3.412516140816306,43.84707843821488,0.865751186404656,-78.75226819034494,457.2839212994269,257910,0.05180908083706298,2.4069855874667394,52.310883641580396,1.109183370637231,-77.75307903433344,233.8216174293416,mean_reversion,0.0010898454150045694,0.10470211086033719,mean_reversion,0.05180908083706298,597,271,45.39363484087102,193,32.32830820770519,377,63.14907872696818,0.008600764365853974,-0.0508490300115932,0.07206327943164437,226485,-0.009596995871847345,0.9856203198458903,-0.1282107451038292,0.8250427321201149,0.04217592425844973,31425,0.07811161944372864,1.0735787923704292,0.07367291086189327,1.0699823777186803,0.12123678068454831,3646,-0.08994258343511247,0.8674262558765958,-0.01783004495940529,0.9729787816311904,-0.03238415157121127,222839,-0.008282414437467966,0.98758666785594,-0.13001674868815052,0.8228667882543279,0.04339584553109475,23,47.82608695652174,8.695652173913043,mean_reversion,False
121,market_mom,rolling_beta,z3_abs025_vol15,positive_residual,36,636229,0.01601078775464948,3.8831349614762343,51.67086064923164,1.015986012758331,-91.62794172268165,1259.7136325577208,636229,-0.08676653738929131,4.031248040929425,43.577391159472455,0.9188266676037681,-92.66020451156672,1092.062890059706,636229,0.05170362668949919,3.349087017881154,57.715225178355595,1.0724969890702807,-91.55503739736173,1258.1769393775855,mean_reversion,0.01601078775464948,0.10277732514394079,mean_reversion,0.05170362668949919,597,362,60.63651591289782,138,23.115577889447238,426,71.35678391959799,0.08658709615581539,-0.07423248948220723,0.13198018316646473,567712,-0.008802876782051194,0.9910423043385621,-0.08296488549801431,0.9197400337810028,0.0339416473866748,68517,0.22160961901491197,1.191439575376649,-0.11826592292135808,0.9130769666971924,0.1988742382744343,8880,-0.0045996977171016366,0.9948868496577625,-0.09113625102000407,0.9040941262109156,0.150560952561015,558832,-0.008869666497201275,0.9909864565890638,-0.08283504016733308,0.9199682919927596,0.03208853333818052,23,47.82608695652174,13.043478260869565,mean_reversion,False
122,btc,rolling_beta,z3,negative_residual,36,635297,-0.012276776358874772,3.4407091132566268,49.35471126103224,0.9871324546086128,-92.94174781637093,380.1445091876137,635297,-0.06848099373244025,4.084959489829895,45.008712460471244,0.931089193050874,-79.21454938078077,1313.9506107412951,635297,0.051304692766020246,3.0575278605865703,50.999296392081185,1.0685420707842515,-92.93523530648478,382.3155017539607,mean_reversion,-0.012276776358874772,0.05620421737356548,mean_reversion,0.051304692766020246,596,243,40.77181208053691,246,41.2751677852349,346,58.053691275167786,-0.03237686781020671,0.03273824499437489,0.03551266694899001,565952,0.021581602266541766,1.023915454783772,-0.12524906138891362,0.8725526784255095,0.07429904412840936,69345,-0.2886084094948145,0.7902307175611921,0.39482568196611684,1.3643550149350876,-0.1363613126020219,8991,0.0034138778292330998,1.0042693308014328,-0.11651209775099393,0.8666304892441054,0.09291702847516141,556961,0.02187488314332817,1.0241959628983974,-0.12539010185686117,0.8726375101386823,0.0739984947232236,26,61.53846153846154,19.230769230769234,mean_reversion,False
123,market_mom,rolling_beta,z3_abs050,positive_residual,72,530943,0.12571476854628216,5.203681951010595,52.805291716813294,1.0872158187423757,-84.24340675127833,425.8924830656983,530943,-0.07145984239274968,5.370438052596036,44.21642247849581,0.9541800101880734,-81.0226989219741,533.3869148153632,530943,0.05109701688353531,4.238783343439082,57.52896261933955,1.0470422768446905,-84.3926351603208,424.3684546020096,mean_reversion,0.12571476854628216,0.19717461093903182,mean_reversion,0.05109701688353531,596,445,74.66442953020135,206,34.56375838926174,399,66.94630872483222,0.24414049244710886,-0.08167011144221104,0.18489515241002813,471070,0.06598145248153726,1.0462915173231775,-0.05049437541660105,0.9664155479161639,0.01317394408139631,59873,0.5956857604561467,1.3799263695398771,-0.236412367378207,0.8818383031628413,0.34946893586043015,7770,-0.018971274038528375,0.9848052232883359,-0.011712367540842266,0.9906675030029298,0.24633652799333253,463300,0.06740619386953837,1.047192914524215,-0.05114478811074022,0.9660769802901277,0.009263576550647905,23,65.21739130434783,39.130434782608695,mean_reversion,False
124,market_mom,unit_beta,z3_abs050,positive_residual,72,578728,0.10073477495676288,5.119831654739229,49.8278984255125,1.0738964897813035,-84.24340675127833,832.5110309691635,578728,-0.06120057833043155,5.223898588381931,42.25059095118951,0.9581673261120466,-89.29769230135958,533.3869148153632,578728,0.05099729883993226,4.259890795703329,57.05132635711422,1.0471703178461933,-84.37980938348534,827.5221741608385,mean_reversion,0.10073477495676288,0.16193535328719444,mean_reversion,0.05099729883993226,597,419,70.18425460636516,214,35.845896147403685,403,67.50418760469012,0.2079786948133746,-0.0611786990439427,0.1710519291288346,509121,0.05284919377733149,1.0391094501421103,-0.05029007930734376,0.9645927387160541,0.020273694762912558,69607,0.45098051138633716,1.3110157486306877,-0.14100238236067944,0.9205600939024158,0.27571653729721884,9103,-0.03389262189034225,0.9692370141022836,-0.021122730265087784,0.9808713397455674,0.25013974318916016,500018,0.05442835842344983,1.0401430845875712,-0.050821080947948,0.9643632636472503,0.0160889041377268,23,65.21739130434783,34.78260869565217,mean_reversion,False
125,market_mom,rolling_beta,z3_abs050,positive_residual,6,531076,-0.03061356115053815,3.165238631515613,51.19775700653014,0.9503142434768879,-66.47751131891758,774.6038858315494,531076,-0.1027726896797489,2.4570607872522165,40.969277466878566,0.8435646827037256,-88.58909713587693,197.71118966595026,531076,0.050635848632000637,2.0893243430165196,58.95860479479396,1.11146600034204,-72.68928551015958,442.5913932350822,mean_reversion,-0.03061356115053815,0.07215912852921075,mean_reversion,0.050635848632000637,596,247,41.442953020134226,96,16.107382550335572,429,71.97986577181209,0.003789760323465231,-0.10940705863178915,0.06579056544250662,471070,-0.07050716240546173,0.882675729467616,-0.09090992548831973,0.8542135446924528,0.039954755399279125,60006,0.2825664332359706,1.3842649135611278,-0.19589991575141785,0.7868422281237544,0.13448650671849458,7770,-0.08815710544964994,0.8423589941196562,-0.07232684769211156,0.8718720414702182,0.02793248346119614,463300,-0.07021115537448104,0.8833041948006475,-0.09122158211356579,0.8539458841959098,0.04015638081037101,23,21.73913043478261,8.695652173913043,mean_reversion,False
126,market_mom,unit_beta,z3_abs025_vol15,positive_residual,36,640731,0.01015130395567785,3.8858378238996045,51.383653982716616,1.0101031961124969,-91.62794172268165,1259.7136325577208,640731,-0.07833547510887237,4.095021452970235,43.71600562482539,0.92650725450295,-92.66020451156672,1092.062890059706,640731,0.04994962330769386,3.2988194243478386,57.57580014077671,1.0684079401194666,-91.57621844797154,1232.7469405859906,mean_reversion,0.01015130395567785,0.08848677906455021,mean_reversion,0.04994962330769386,597,341,57.11892797319933,163,27.30318257956449,411,68.84422110552764,0.07633194901325616,-0.059489545317447004,0.12584828733807263,570635,-0.00872133455243009,0.9911045687524493,-0.08372795870096014,0.918822835124155,0.0351278378952112,70096,0.16378900189955725,1.1361672301208428,-0.03443653829976787,0.9744254849366135,0.17061028181676802,8982,-0.01758219181494327,0.9802565678383334,-0.0833149826650894,0.9106251410776375,0.14390137968234973,561653,-0.008579631009616475,0.9912619136858256,-0.08373456304697827,0.9189411393203806,0.03338832265656368,23,43.47826086956522,13.043478260869565,mean_reversion,False
127,market_mom,rolling_beta,z3_abs025_vol15,positive_residual,12,636279,-0.04814800186128923,2.5405442706229544,50.62150408861521,0.9302516196116893,-69.9186715109381,310.1698297772943,636279,-0.08943477600892724,2.587706937589037,41.93899217167312,0.8762944791349071,-75.66856638083999,231.76792672030126,636279,0.04737589679024288,2.1304101126504436,58.4820495411604,1.0973049444143599,-69.81761435174789,309.0030055917557,mean_reversion,-0.04814800186128923,0.04128677414763801,mean_reversion,0.04737589679024288,597,220,36.85092127303182,107,17.922948073701843,448,75.04187604690117,-0.01310232315967169,-0.08441594469785067,0.07877491278114568,567712,-0.06528493991737308,0.9031234584135016,-0.08514971378754933,0.8776484698834228,0.037473708077881654,68567,0.09374015684035328,1.1134603886775605,-0.12491366882650548,0.8680532671118697,0.12936273241484414,8880,-0.07730579994588974,0.8775911791660879,-0.063053497957523,0.90147858398471,0.05414090459223162,558832,-0.0650939250201353,0.903503291409974,-0.085500828964509,0.8773006870305884,0.037208861567575496,23,13.043478260869565,8.695652173913043,mean_reversion,False
128,btc,rolling_beta,z4,negative_residual,72,261987,-0.019389799285780683,5.362075817129792,49.9303400550409,0.9863874579833936,-85.5924838528486,634.0210748197492,261987,0.1094564285058608,6.390314049811809,45.8648711577292,1.0782872901494946,-86.40363290896089,592.6953878709762,261987,0.047326103615693005,4.807362252635313,50.79259657921958,1.0419519095446048,-83.28431987358404,635.1697657207806,continuation,0.1094564285058608,-0.12884622779164148,mean_reversion,0.047326103615693005,596,241,40.43624161073826,384,64.42953020134229,280,46.97986577181208,-0.08062932440182564,0.36232295269040704,-0.007676048523718688,232213,0.09078797048297771,1.0709165062541703,-0.0941381111453193,0.931860452241452,0.13039472633751742,29774,-0.8786868521276133,0.6552859761817347,1.69732835824387,2.1111664569766417,-0.6005416362950681,3677,0.16299102076345964,1.1507066109499637,-0.16992749498758425,0.8655317646010738,0.12098145958384145,228536,0.08962626897476327,1.0698346855636622,-0.09291870779360226,0.9328352678796005,0.1305461798584213,26,61.53846153846154,34.61538461538461,mean_reversion,False
129,market_mom,rolling_beta,z3_abs025,negative_residual,12,606190,-0.04088596476251123,2.4959104547622704,47.42819907949653,0.9352238925117755,-85.99375087133095,369.69813414500214,606190,-0.09954396551300128,2.7016568484270196,44.39548656361867,0.8503344971058041,-78.75226819034494,612.5405163171439,606190,0.04707779919427393,1.8672755912590404,51.81329286197397,1.12017448580542,-85.70955504324176,233.8216174293416,mean_reversion,-0.04088596476251123,0.05865800075049005,mean_reversion,0.04707779919427393,597,169,28.30820770519263,153,25.628140703517587,416,69.68174204355108,-0.043648289583036626,-0.05598217582141006,0.051696268421708796,536442,-0.038847916512816216,0.9356662106966444,-0.11753587794315468,0.8185241454733876,0.04497567721203078,69748,-0.056560889909653286,0.9327825996205257,0.03883444659711406,1.0485876854986402,0.06324552472616646,8119,-0.09377161700006142,0.8378266356504768,-0.055076461136187964,0.9030366078597241,-0.03492992994645224,528323,-0.03800387693048504,0.9371050015486279,-0.11849572259321854,0.8173872766255982,0.04620362607005838,23,21.73913043478261,4.3478260869565215,mean_reversion,False
130,btc,rolling_beta,z3_abs025_vol15,negative_residual,36,556579,-0.011756513126474749,3.5397773775351853,49.85563594745759,0.9880711188192802,-92.94174781637093,380.1445091876137,556579,-0.061390924653031934,4.256362611427551,45.176156484524206,0.9400420956232024,-79.21454938078077,1313.9506107412951,556579,0.04683001475684265,3.168735194171891,50.983059008694184,1.0601410111523601,-92.93523530648478,382.3155017539607,mean_reversion,-0.011756513126474749,0.04963441152655718,mean_reversion,0.04683001475684265,596,245,41.10738255033557,259,43.45637583892618,330,55.369127516778526,-0.03186164202024756,0.04119950394066324,0.031855705446347894,494941,0.02498360611479591,1.0269296537798063,-0.12405513929969611,0.8772472312359506,0.0706389654110981,61638,-0.3067724344314124,0.7884020441531142,0.44179037684011646,1.390749701401368,-0.1443511696710716,7968,-0.00692134288809416,0.9917339330230326,-0.09839263033498355,0.8903679631088013,0.0895145426761933,486973,0.025505644572071818,1.0274485845241013,-0.12447503705877276,0.8770569265893173,0.07033011748801342,26,57.692307692307686,19.230769230769234,mean_reversion,False
131,btc,unit_beta,z4,negative_residual,12,275869,-0.034516807501038985,2.918862059837258,47.89519663318459,0.9537415138369093,-82.091677860474,234.49646690475063,275869,-0.07177298301197405,3.515434373638286,39.24942635816275,0.9088500527678438,-70.16404962910937,457.2839212994269,275869,0.04679552175700558,2.671850528602569,54.71292533775089,1.075860723796926,-80.67602530437284,234.2201160180689,mean_reversion,-0.034516807501038985,0.03725617551093506,mean_reversion,0.04679552175700558,596,212,35.57046979865772,233,39.09395973154363,335,56.20805369127517,-0.05248770112589023,0.0026201266300369987,0.029384107262310617,240918,-0.004393520887328418,0.9936883178810532,-0.1268809303886228,0.8357639629316062,0.07474731594717145,34951,-0.24215727456641412,0.7781157705781676,0.3080872918324491,1.3462135086150713,-0.145876801000752,4505,-0.09281813058657597,0.8395945866681065,-0.03289134751858927,0.9421499673301947,-0.07885962413226004,236413,-0.0027085337390112324,0.9961214212944426,-0.12867196163829817,0.8342794691212546,0.07767439383653381,26,53.84615384615385,19.230769230769234,mean_reversion,False
