timestamp,equity,event,active_positions,peak,drawdown_pct
2025-03-18 23:15:00+00:00,94237.41123406882,exit,2,101735.50486153783,-7.370183730521552
2025-03-18 23:45:00+00:00,94234.02148663973,exit,1,101735.50486153783,-7.373515652286422
2025-03-19 14:50:00+00:00,94231.40523689175,exit,5,101735.50486153783,-7.376087271458642
2025-03-19 15:25:00+00:00,94218.7781624814,exit,9,101735.50486153783,-7.388498940745136
2025-03-19 15:25:00+00:00,94211.80892704218,exit,8,101735.50486153783,-7.395349288073438
2025-03-19 15:25:00+00:00,94224.72604922713,exit,10,101735.50486153783,-7.382652518934152
2025-03-19 15:30:00+00:00,94207.43782175408,exit,7,101735.50486153783,-7.399645826724366
2025-03-19 15:35:00+00:00,94188.7404110572,exit,6,101735.50486153783,-7.41802427849726
2025-03-19 16:05:00+00:00,94184.40741823545,exit,6,101735.50486153783,-7.422283354841985
2025-03-19 16:10:00+00:00,94179.56324789149,exit,5,101735.50486153783,-7.427044888537182
2025-03-19 16:40:00+00:00,94174.76008218288,exit,8,101735.50486153783,-7.431766117094652
2025-03-19 16:40:00+00:00,94172.69480842885,exit,7,101735.50486153783,-7.433796159366368
2025-03-19 16:40:00+00:00,94163.65593083238,exit,6,101735.50486153783,-7.44268084284907
2025-03-19 16:45:00+00:00,94204.95679845924,exit,5,101735.50486153783,-7.402084526270036
2025-03-19 16:45:00+00:00,94198.62886889103,exit,4,101735.50486153783,-7.408304507757157
2025-03-19 17:05:00+00:00,94179.37260966326,exit,3,101735.50486153783,-7.42723227466997
2025-03-19 18:00:00+00:00,94189.79704343078,exit,7,101735.50486153783,-7.416985671203746
2025-03-19 19:30:00+00:00,94197.18094143781,exit,6,101735.50486153783,-7.409727735031835
2025-03-19 19:30:00+00:00,94213.8939750519,exit,5,101735.50486153783,-7.393299808874831
2025-03-19 19:30:00+00:00,94220.45359194849,exit,4,101735.50486153783,-7.386852092410945
2025-03-19 19:30:00+00:00,94217.13747495452,exit,3,101735.50486153783,-7.390111639801489
2025-03-19 20:15:00+00:00,94242.6629983534,exit,8,101735.50486153783,-7.365021556026297
2025-03-19 20:20:00+00:00,94233.4588386786,exit,7,101735.50486153783,-7.3740687020421465
2025-03-20 00:40:00+00:00,94257.12517804137,exit,6,101735.50486153783,-7.350806086502981
2025-03-20 01:35:00+00:00,94153.18112287659,exit,5,101735.50486153783,-7.452976961170831
2025-03-20 02:10:00+00:00,94137.22605119558,exit,4,101735.50486153783,-7.468659855459037
2025-03-20 03:00:00+00:00,94109.90965112453,exit,3,101735.50486153783,-7.495510265360894
2025-03-20 07:55:00+00:00,94144.13191899956,exit,2,101735.50486153783,-7.461871794778185
2025-03-20 08:50:00+00:00,94113.95372406013,exit,1,101735.50486153783,-7.491535180221143
2025-03-20 09:00:00+00:00,94111.21452274751,exit,0,101735.50486153783,-7.494227653528618
2025-03-20 14:25:00+00:00,94102.62889815959,exit,3,101735.50486153783,-7.50266681604087
2025-03-20 14:35:00+00:00,94096.71042265395,exit,6,101735.50486153783,-7.508484328337772
2025-03-20 15:05:00+00:00,94081.37440918435,exit,4,101735.50486153783,-7.523558724921808
2025-03-20 15:05:00+00:00,94090.19878720364,exit,3,101735.50486153783,-7.5148848818703655
2025-03-20 15:05:00+00:00,94089.09674614495,exit,6,101735.50486153783,-7.5159681232227165
2025-03-20 15:05:00+00:00,94084.79907537778,exit,5,101735.50486153783,-7.520192480071408
2025-03-20 15:10:00+00:00,94087.58043600892,exit,3,101735.50486153783,-7.517458566640767
2025-03-20 15:55:00+00:00,94075.59460968275,exit,8,101735.50486153783,-7.52923992688711
2025-03-20 15:55:00+00:00,94070.3449565376,exit,7,101735.50486153783,-7.534400026256827
2025-03-20 16:10:00+00:00,94063.7979406406,exit,6,101735.50486153783,-7.540835356681463
2025-03-20 16:20:00+00:00,94058.10943527726,exit,7,101735.50486153783,-7.546426821894203
2025-03-20 16:25:00+00:00,94053.61343861587,exit,6,101735.50486153783,-7.5508461213978695
2025-03-20 16:25:00+00:00,94046.04452139499,exit,5,101735.50486153783,-7.558285920542895
2025-03-20 17:05:00+00:00,94040.85572556309,exit,9,101735.50486153783,-7.5633862007636115
2025-03-20 17:10:00+00:00,94037.30675287438,exit,9,101735.50486153783,-7.5668746315661455
2025-03-20 17:15:00+00:00,94032.92650632051,exit,8,101735.50486153783,-7.571180155542101
2025-03-20 17:20:00+00:00,94028.35238488115,exit,7,101735.50486153783,-7.575676247093998
2025-03-20 17:20:00+00:00,94023.05573383215,exit,6,101735.50486153783,-7.580882542630851
2025-03-20 17:25:00+00:00,94012.49848496256,exit,5,101735.50486153783,-7.591259695507768
2025-03-20 17:35:00+00:00,94003.76818369744,exit,5,101735.50486153783,-7.5998410666593745
2025-03-20 18:20:00+00:00,94043.15532505987,exit,4,101735.50486153783,-7.561125830109427
2025-03-20 19:00:00+00:00,94037.55734128557,exit,4,101735.50486153783,-7.566628317939916
2025-03-20 19:05:00+00:00,94032.55230052922,exit,4,101735.50486153783,-7.571547977760906
2025-03-20 19:05:00+00:00,94026.86050667585,exit,3,101735.50486153783,-7.5771426753653675
2025-03-20 19:15:00+00:00,94053.75834714799,exit,3,101735.50486153783,-7.5507036848588065
2025-03-20 19:15:00+00:00,94040.20552651094,exit,4,101735.50486153783,-7.564025308077261
2025-03-20 19:20:00+00:00,94064.24579380616,exit,2,101735.50486153783,-7.54039514343815
2025-03-20 20:15:00+00:00,94053.60209199319,exit,2,101735.50486153783,-7.550857274458633
2025-03-20 21:15:00+00:00,94077.03999394288,exit,1,101735.50486153783,-7.527819199421226
2025-03-21 03:40:00+00:00,94073.85510517789,exit,0,101735.50486153783,-7.530949757203698
2025-03-21 14:30:00+00:00,94064.15331497959,exit,5,101735.50486153783,-7.540486044669425
2025-03-21 14:40:00+00:00,94045.39378199031,exit,5,101735.50486153783,-7.558925558991203
2025-03-21 14:45:00+00:00,94039.33548597938,exit,6,101735.50486153783,-7.564880506596938
2025-03-21 15:10:00+00:00,93999.8297493238,exit,6,101735.50486153783,-7.603712315324229
2025-03-21 15:45:00+00:00,93993.58072327133,exit,7,101735.50486153783,-7.609854739309818
2025-03-21 16:05:00+00:00,93998.7310105825,exit,6,101735.50486153783,-7.604792310693387
2025-03-21 16:15:00+00:00,94012.06033955092,exit,6,101735.50486153783,-7.591690366601633
2025-03-21 17:10:00+00:00,94005.89775653582,exit,5,101735.50486153783,-7.597747822180678
2025-03-21 17:30:00+00:00,94019.33244810015,exit,6,101735.50486153783,-7.584542312872388
2025-03-21 17:40:00+00:00,94040.74303378751,exit,5,101735.50486153783,-7.563496970131423
2025-03-21 19:15:00+00:00,94054.51740258107,exit,4,101735.50486153783,-7.549957578144029
2025-03-21 19:30:00+00:00,94077.68301288414,exit,3,101735.50486153783,-7.527187149733027
2025-03-21 19:30:00+00:00,94094.77991804936,exit,2,101735.50486153783,-7.510381900485486
2025-03-21 23:00:00+00:00,94236.14484507173,exit,1,101735.50486153783,-7.3714285162026165
2025-03-22 01:45:00+00:00,94288.82585673167,exit,0,101735.50486153783,-7.3196461893427545
2025-03-22 14:15:00+00:00,94279.75036877333,exit,6,101735.50486153783,-7.328566858651564
2025-03-22 14:15:00+00:00,94269.22589858781,exit,5,101735.50486153783,-7.338911792015612
2025-03-22 14:20:00+00:00,94273.28675050742,exit,4,101735.50486153783,-7.334920214124363
2025-03-22 14:45:00+00:00,94277.395327917,exit,8,101735.50486153783,-7.330881724891758
2025-03-22 14:55:00+00:00,94272.63343463949,exit,8,101735.50486153783,-7.335562385084071
2025-03-22 15:00:00+00:00,94280.95653696022,exit,8,101735.50486153783,-7.32738126647453
2025-03-22 15:05:00+00:00,94284.5896512515,exit,7,101735.50486153783,-7.3238101294401
2025-03-22 15:30:00+00:00,94279.78175440196,exit,8,101735.50486153783,-7.32853600843002
2025-03-22 15:30:00+00:00,94273.35089935268,exit,7,101735.50486153783,-7.334857159593556
2025-03-22 16:10:00+00:00,94279.59447698209,exit,10,101735.50486153783,-7.3287200910864385
2025-03-22 16:25:00+00:00,94271.60519422611,exit,9,101735.50486153783,-7.336573084755516
2025-03-22 16:30:00+00:00,94298.88438042816,exit,8,101735.50486153783,-7.309759253891668
2025-03-22 16:35:00+00:00,94308.54979115813,exit,8,101735.50486153783,-7.300258725297326
2025-03-22 16:45:00+00:00,94318.57206165903,exit,7,101735.50486153783,-7.2904074245989765
2025-03-22 16:45:00+00:00,94308.67945720215,exit,6,101735.50486153783,-7.30013127122493
2025-03-22 16:50:00+00:00,94300.36032510309,exit,5,101735.50486153783,-7.308308487340764
2025-03-22 17:45:00+00:00,94307.63589604798,exit,6,101735.50486153783,-7.301157030280814
2025-03-22 17:45:00+00:00,94303.37279965225,exit,5,101735.50486153783,-7.305347402561891
2025-03-22 18:00:00+00:00,94314.41750741891,exit,4,101735.50486153783,-7.294491106343881
2025-03-22 18:05:00+00:00,94301.37042595253,exit,3,101735.50486153783,-7.307315617790633
2025-03-22 18:45:00+00:00,94328.52079822528,exit,5,101735.50486153783,-7.280628403420685
2025-03-22 20:00:00+00:00,94322.97317400687,exit,4,101735.50486153783,-7.286081390778398
2025-03-22 20:10:00+00:00,94386.1534983884,exit,3,101735.50486153783,-7.223978858857494
2025-03-22 21:05:00+00:00,94379.87855554954,exit,2,101735.50486153783,-7.230146757515299
2025-03-22 21:40:00+00:00,94376.05498182203,exit,1,101735.50486153783,-7.23390510494053
2025-03-22 22:35:00+00:00,94369.35342636006,exit,0,101735.50486153783,-7.2404923386413795
2025-03-23 14:35:00+00:00,94388.14211916347,exit,7,101735.50486153783,-7.222024161942409
2025-03-23 14:45:00+00:00,94370.61292019098,exit,5,101735.50486153783,-7.239254330501909
2025-03-23 14:45:00+00:00,94375.89317284488,exit,6,101735.50486153783,-7.234064153620112
2025-03-23 14:45:00+00:00,94381.5167235169,exit,7,101735.50486153783,-7.2285365350373105
2025-03-23 14:50:00+00:00,94368.3727991185,exit,5,101735.50486153783,-7.241456237373578
2025-03-23 15:00:00+00:00,94363.49669843655,exit,6,101735.50486153783,-7.246249156707485
2025-03-23 15:00:00+00:00,94347.10414707435,exit,5,101735.50486153783,-7.2623620677158
2025-03-23 15:00:00+00:00,94338.79813564845,exit,4,101735.50486153783,-7.270526386983889
2025-03-23 15:25:00+00:00,94332.68712496875,exit,5,101735.50486153783,-7.276533149999431
2025-03-23 15:35:00+00:00,94329.35479867758,exit,6,101735.50486153783,-7.279808630172946
2025-03-23 15:35:00+00:00,94325.77563109466,exit,5,101735.50486153783,-7.2833267407753315
2025-03-23 15:45:00+00:00,94331.12782695878,exit,5,101735.50486153783,-7.278065847961757
2025-03-23 15:50:00+00:00,94312.20554034945,exit,3,101735.50486153783,-7.296665339491371
2025-03-23 15:50:00+00:00,94327.64824021645,exit,4,101735.50486153783,-7.28148607647201
2025-03-23 16:50:00+00:00,94309.87398686289,exit,5,101735.50486153783,-7.2989571190325675
2025-03-23 17:00:00+00:00,94302.61450241612,exit,5,101735.50486153783,-7.306092764013783
2025-03-23 17:10:00+00:00,94298.05599281151,exit,5,101735.50486153783,-7.310573510053054
2025-03-23 18:10:00+00:00,94305.61601144711,exit,6,101735.50486153783,-7.303142457692435
2025-03-23 18:30:00+00:00,94301.38137558171,exit,6,101735.50486153783,-7.307304854951058
2025-03-23 18:35:00+00:00,94292.11352320864,exit,6,101735.50486153783,-7.316414607132149
2025-03-23 18:40:00+00:00,94289.2471788095,exit,5,101735.50486153783,-7.319232054593627
2025-03-23 19:10:00+00:00,94306.24265532037,exit,6,101735.50486153783,-7.3025265037301335
2025-03-23 19:30:00+00:00,94288.69769734528,exit,5,101735.50486153783,-7.31977216245957
2025-03-23 19:35:00+00:00,94297.3659759986,exit,4,101735.50486153783,-7.311251755876713
2025-03-23 20:05:00+00:00,94289.28073429593,exit,4,101735.50486153783,-7.319199071529869
2025-03-23 20:05:00+00:00,94285.17764174951,exit,3,101735.50486153783,-7.323232169465543
2025-03-23 20:15:00+00:00,94303.66906793581,exit,2,101735.50486153783,-7.305056188315728
2025-03-23 20:25:00+00:00,94309.74630271576,exit,1,101735.50486153783,-7.299082625017228
2025-03-23 20:25:00+00:00,94316.15821419907,exit,0,101735.50486153783,-7.292780094261597
2025-03-24 15:05:00+00:00,94343.73999876711,exit,10,101735.50486153783,-7.265668827053961
2025-03-24 15:10:00+00:00,94351.65584141364,exit,9,101735.50486153783,-7.257888020680314
2025-03-24 15:20:00+00:00,94360.38206747759,exit,8,101735.50486153783,-7.249310655211072
2025-03-24 15:45:00+00:00,94344.8005913835,exit,7,101735.50486153783,-7.264626327075385
2025-03-24 15:50:00+00:00,94345.2511394107,exit,5,101735.50486153783,-7.264183464942042
2025-03-24 15:50:00+00:00,94354.15701641851,exit,6,101735.50486153783,-7.2554295131924125
2025-03-24 17:30:00+00:00,94332.7318791081,exit,6,101735.50486153783,-7.276489159320443
2025-03-24 18:10:00+00:00,94317.72516714156,exit,7,101735.50486153783,-7.291239871952159
2025-03-24 19:15:00+00:00,94310.3687768445,exit,7,101735.50486153783,-7.298470769667831
2025-03-24 19:40:00+00:00,94322.5675600585,exit,7,101735.50486153783,-7.286480085362879
2025-03-24 20:15:00+00:00,94369.94763349877,exit,6,101735.50486153783,-7.239908268075723
2025-03-24 20:55:00+00:00,94380.52706427491,exit,5,101735.50486153783,-7.22950931169316
2025-03-24 20:55:00+00:00,94396.03139170267,exit,4,101735.50486153783,-7.214269472416934
2025-03-24 21:05:00+00:00,94406.57200274456,exit,3,101735.50486153783,-7.2039086735431805
2025-03-24 23:00:00+00:00,94422.29584913135,exit,2,101735.50486153783,-7.188453060079436
2025-03-24 23:30:00+00:00,94402.80011172139,exit,1,101735.50486153783,-7.2076162199187666
2025-03-25 10:50:00+00:00,94381.90277549277,exit,0,101735.50486153783,-7.228157068717877
2025-03-25 14:25:00+00:00,94377.57973416419,exit,3,101735.50486153783,-7.232406363331845
2025-03-25 14:35:00+00:00,94389.95177731855,exit,6,101735.50486153783,-7.220245374725954
2025-03-25 14:40:00+00:00,94386.10827814059,exit,5,101735.50486153783,-7.224023307693594
2025-03-25 14:45:00+00:00,94376.29552464496,exit,4,101735.50486153783,-7.233668665534976
2025-03-25 14:50:00+00:00,94385.156820829,exit,4,101735.50486153783,-7.224958534105341
2025-03-25 15:45:00+00:00,94376.33026455095,exit,3,101735.50486153783,-7.233634518256659
2025-03-25 16:00:00+00:00,94390.63233502547,exit,2,101735.50486153783,-7.2195764266454905
2025-03-25 16:25:00+00:00,94375.63961571273,exit,2,101735.50486153783,-7.2343133853239205
2025-03-25 16:30:00+00:00,94370.97483515668,exit,1,101735.50486153783,-7.238898589439636
2025-03-25 17:05:00+00:00,94363.52504800048,exit,2,101735.50486153783,-7.246221290758459
2025-03-25 17:15:00+00:00,94358.8199937892,exit,1,101735.50486153783,-7.250846081501539
2025-03-25 18:30:00+00:00,94352.70743638376,exit,1,101735.50486153783,-7.256854364857257
2025-03-25 19:55:00+00:00,94342.07154849374,exit,2,101735.50486153783,-7.267308815252416
2025-03-25 20:25:00+00:00,94336.29167769426,exit,1,101735.50486153783,-7.272990087299325
2025-03-25 21:40:00+00:00,94323.0548927663,exit,0,101735.50486153783,-7.28600106605839
2025-03-26 14:20:00+00:00,94313.48549527234,exit,3,101735.50486153783,-7.295407219305461
2025-03-26 14:40:00+00:00,94337.42552975655,exit,7,101735.50486153783,-7.271875577606924
2025-03-26 14:40:00+00:00,94333.25875222926,exit,8,101735.50486153783,-7.275971274122083
2025-03-26 14:40:00+00:00,94326.00296474341,exit,9,101735.50486153783,-7.283103285208803
