file,selected,reason,mapping
C:\Users\user\Desktop\LCD\파이썬\local_results\2V2\FAST\_staging\2V2_S02_trend_pullback_fail\candidates.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\2V2\FAST\_staging\2V2_S03_squeeze_breakdown\candidates.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\3V2\3V2_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\4V2\4V2_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\4V2R1\4V2R1_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\5V2\5V2_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\5V2_COMBO10_REVIEWED\5V2_COMBO10_REVIEWED_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\6V1_LONG10_REVIEWED\6V1_LONG10_REVIEWED_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\6V2\6V2_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\6V2_LONG10_REVIEWED\6V2_LONG10_REVIEWED_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\6V3_LONG10_REVIEWED\6V3_LONG10_REVIEWED_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\6V4_LONG10_REVIEWED\6V4_LONG10_REVIEWED_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\6V5_LONG10_REVIEWED\6V5_LONG10_REVIEWED_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\7V1_LONG10_REVIEWED\7V1_LONG10_REVIEWED_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\7V2_LONG40_REVIEWED\7V2_LONG40_REVIEWED_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\7V3_LONG40_REVIEWED\7V3_LONG40_REVIEWED_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\7V4_LONG40_REVIEWED\7V4_LONG40_REVIEWED_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\7V5_LONG40_REVIEWED\7V5_LONG40_REVIEWED_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V10_LONG_DUAL_LEADERS_400_NEW_NO_TRADE_CAP\8V10_LONG_DUAL_LEADERS_400_NEW_NO_TRADE_CAP_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V11_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP\8V11_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP\8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\all_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\errors.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\long_main_all_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\long_main_top_any_mdd.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\long_main_top_under_mdd5.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\long_max_all_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\long_max_top_any_mdd.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\long_max_top_under_mdd5.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\short_main_all_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\short_main_top_any_mdd.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\short_main_top_under_mdd5.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\short_max_all_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\short_max_top_any_mdd.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\short_max_top_under_mdd5.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_4AXIS_50_EACH_STREAMSAFE\8V14_4AXIS_50_EACH_STREAMSAFE_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\all_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\errors.csv,False,excluded_path_or_result_file,{}
